Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Equipo_anterior,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
COL,0.0,2018,8,1,463,214369,128,16384,1,5,32,Colorado Rockies,COL,Colorado,16,256,133,163,17689,Carlos Gonzalez,0.796,0.6336160000000001,1,220,5,0.277,0.07672900000000002,0.816,0.6658559999999999,RF,0.558282208588957,64,4096,UFA,8000000,5000000,8000000,38.12,1453.1344,8000000,122500000,8000000,91,0.37,0.1369,0,15.89495209964411,15.424948470398375,15.89495209964411
HOU,6.5,2017,8,2,6,36,1,1,2,2,34,Houston Astros,PHI,Texas,0,0,30,162,900,Charlie Morton,0.333,0.11088900000000002,2,215,12,0.167,0.027889000000000004,0.185,0.034225,SP,0.6358024691358025,0,0,UFA,8875000,7000000,8875000,78.96,6234.681599999999,14000000,23500000,7000000,103,3.47,12.0409,1,15.998748893325754,15.761420707019587,15.998748893325754
LAD,6.1,2018,8,2,164,26896,35,1225,5,2,39,Los Angeles Dodgers,LAD,California,1,1,87,163,7569,Chase Utley,0.61,0.3721,25,195,32,0.213,0.045369,0.534,0.285156,2B,0.5644171779141104,14,196,UFA,1000000,1000000,1000000,0.0,0.0,2000000,4000000,1000000,92,-0.21,0.04409999999999999,6,13.815510557964274,13.815510557964274,13.815510557964274
BAL,6.3,2016,8,7,470,220900,79,6241,1,2,32,Baltimore Orioles,BAL,Maryland,16,256,129,162,16641,Chris Davis,0.539,0.29052100000000003,7,245,14,0.168,0.028224000000000003,0.796,0.6336160000000001,1B,0.2901234567901234,49,2401,UFA,21065362,17000000,21065362,0.15,0.0225,161000000,73000000,23000000,47,-3.25,10.5625,3,16.863140638151464,16.64872390202049,16.863140638151464
COL,0.0,2018,8,2,299,89401,67,4489,1,5,35,Colorado Rockies,ARI,Colorado,11,121,110,163,12100,Chris Iannetta,0.73,0.5328999999999999,1,230,5,0.224,0.050176000000000005,0.675,0.45562500000000006,C,0.558282208588957,36,1296,UFA,3600000,3450000,3600000,23.43,548.9649,8500000,122500000,4250000,91,-0.41,0.16809999999999997,0,15.096444403426338,15.053884789007542,15.096444403426338
ARI,6.4,2018,8,1,15,225,3,9,1,2,36,Arizona Diamondbacks,PIT,Arizona,0,0,8,162,64,Chris Stewart,0.435,0.189225,1,215,6,0.2,0.04000000000000001,0.049,0.0024010000000000004,C,0.5061728395061729,3,9,UFA,575000,575000,98912,0.0,0.0,575000,15750000,575000,82,-0.03,0.0009,1,13.262125319779487,13.262125319779487,11.501985844931843
LAA,6.2,2018,8,1,113,12769,19,361,5,3,34,Los Angeles Angels,BOS,California,6,36,59,162,3481,Chris Young,0.615,0.378225,1,200,10,0.168,0.028224000000000003,0.364,0.132496,RF,0.4938271604938271,13,169,UFA,2000000,2000000,2000000,0.0,0.0,2000000,42800000,2000000,80,-0.58,0.3364,1,14.508657738524219,14.508657738524219,14.508657738524219
ARI,6.3,2018,8,1,31,961,2,4,1,2,33,Arizona Diamondbacks,PHI,Arizona,0,0,17,162,289,Clay Buchholz,0.191,0.036481,1,190,6,0.065,0.0042250000000000005,0.105,0.011024999999999998,SP,0.5061728395061729,1,1,UFA,1500000,1500000,1080645,93.12,8671.334400000002,1500000,15750000,1500000,82,3.15,9.9225,1,14.22097566607244,14.22097566607244,13.893068643056406
MIL,6.1,2018,8,1,343,117649,83,6889,1,5,37,Milwaukee Brewers,LAD,Wisconsin,13,169,123,163,15129,Curtis Granderson,0.782,0.6115240000000001,1,200,5,0.242,0.058564,0.755,0.570025,RF,0.588957055214724,38,1444,UFA,5000000,5000000,833342,39.12,1530.3743999999997,5000000,103750000,5000000,96,0.6,0.36,0,15.424948470398375,15.424948470398375,13.63319940111624
MIL,6.3,2018,8,1,3,9,2,4,1,5,31,Milwaukee Brewers,TB,Wisconsin,0,0,73,163,5329,Dan Jennings,1.667,2.778889,1,210,5,0.667,0.44488900000000003,0.448,0.20070400000000002,RP,0.588957055214724,0,0,UFA,750000,750000,750000,40.02,1601.6004000000003,750000,103750000,750000,96,0.34,0.11560000000000002,0,13.527828485512494,13.527828485512494,13.527828485512494
LAD,6.3,2017,8,2,2,4,0,0,5,2,31,Los Angeles Dodgers,ARI,California,0,0,40,163,1600,Daniel Hudson,0.0,0.0,25,215,32,0.0,0.0,0.245,0.060024999999999995,RP,0.5644171779141104,0,0,UFA,545000,545000,468800,0.0,0.0,11000000,4000000,5500000,92,-0.38,0.1444,6,13.208541073645382,13.208541073645382,13.05793151724494
CHC,0.0,2016,8,3,328,107584,98,9604,2,7,33,Chicago Cubs,NYM,Illinois,12,144,92,163,8464,Daniel Murphy,0.79,0.6241000000000001,17,221,20,0.299,0.089401,0.564,0.31809599999999993,2B,0.5828220858895705,42,1764,UFA,17500000,17500000,3857526,0.0,0.0,37500000,215545000,12500000,95,-0.77,0.5929,3,16.67771143889374,16.67771143889374,15.165536603313395
CIN,0.0,2018,8,2,1,1,0,0,2,3,33,Cincinnati Reds,ARI,Ohio,0,0,57,162,3249,David Hernandez,0.0,0.0,10,245,15,0.0,0.0,0.352,0.12390399999999999,RP,0.4135802469135802,0,0,UFA,2800000,2500000,2800000,75.49,5698.740099999999,5000000,10250000,2500000,67,1.78,3.1684,5,14.845129975145433,14.73180128983843,14.845129975145433
SEA,6.0,2016,8,3,437,190969,114,12996,1,3,34,Seattle Mariners,WSH,Washington,11,121,137,162,18769,Denard Span,0.76,0.5776,0,210,4,0.261,0.068121,0.846,0.7157159999999999,LF,0.5493827160493827,58,3364,UFA,12500000,9000000,1491923,31.76,1008.6976000000001,31000000,17750000,10333333,89,0.92,0.8464,0,16.34123920227253,16.012735135300492,14.215576449834986
STL,6.5,2017,8,5,289,83521,52,2704,2,3,32,St. Louis Cardinals,CHC,Missouri,8,64,90,162,8100,Dexter Fowler,0.576,0.33177599999999996,23,205,28,0.18,0.0324,0.556,0.3091360000000001,CF,0.5432098765432098,31,961,UFA,16500000,14500000,16500000,0.0,0.0,82500000,28000000,16500000,88,-1.38,1.9043999999999996,11,16.61887093887081,16.489659207390805,16.61887093887081
COL,6.1,2017,8,2,163,26569,31,961,1,5,34,Colorado Rockies,KC,Colorado,3,9,62,163,3844,Drew Butera,0.564,0.31809599999999993,1,205,5,0.19,0.0361,0.38,0.1444,C,0.558282208588957,21,441,UFA,2300000,2300000,383346,0.0,0.0,3800000,122500000,1900000,91,-0.66,0.43560000000000004,0,14.648419680899378,14.648419680899378,12.85669325460366
BOS,0.0,2018,8,2,480,230400,127,16129,1,3,31,Boston Red Sox,BOS,Massachusetts,10,100,127,162,16129,Eduardo Nunez,0.677,0.45832900000000004,14,195,24,0.265,0.07022500000000001,0.784,0.6146560000000001,2B,0.6666666666666666,44,1936,UFA,4000000,4000000,4000000,13.98,195.4404,8000000,131000000,4000000,108,-1.12,1.2544000000000002,9,15.201804919084164,15.201804919084164,15.201804919084164
SD,6.4,2018,8,8,613,375769,155,24025,5,3,28,San Diego Padres,KC,California,18,324,157,162,24649,Eric Hosmer,0.72,0.5184,2,226,5,0.253,0.064009,0.969,0.9389609999999999,1B,0.4074074074074074,69,4761,UFA,21000000,20000000,21000000,17.01,289.34010000000006,144000000,149500000,18000000,66,1.44,2.0736,0,16.860032995687696,16.811242831518264,16.860032995687696
DET,6.3,2018,8,1,1,1,0,0,1,3,34,Detroit Tigers,HOU,Michigan,0,0,27,162,729,Francisco Liriano,0.0,0.0,11,218,16,0.0,0.0,0.167,0.027889000000000004,SP,0.3950617283950617,0,0,UFA,4000000,4000000,4000000,22.68,514.3824,4000000,11750000,4000000,64,0.0,0.0,4,15.201804919084164,15.201804919084164,15.201804919084164
WSH,0.0,2018,8,2,152,23104,46,2116,1,5,34,Washington Nationals,WSH,Washington DC,4,16,40,162,1600,Howie Kendrick,0.805,0.6480250000000001,1,220,5,0.303,0.091809,0.247,0.061009,LF,0.5061728395061729,12,144,UFA,3000000,3000000,3000000,0.0,0.0,7000000,23300000,3500000,82,-0.22,0.0484,0,14.914122846632385,14.914122846632385,14.914122846632385
COL,6.3,2017,8,5,555,308025,131,17161,1,5,32,Colorado Rockies,TEX,Colorado,22,484,160,163,25600,Ian Desmond,0.729,0.5314409999999999,1,220,5,0.236,0.055695999999999996,0.982,0.964324,1B,0.558282208588957,88,7744,UFA,22000000,22000000,22000000,19.43,377.5249,70000000,122500000,14000000,91,-0.1,0.010000000000000002,0,16.90655301132259,16.90655301132259,16.90655301132259
KC,6.0,2016,8,5,2,4,1,1,2,6,33,Kansas City Royals,SD,Missouri,0,0,22,162,484,Ian Kennedy,1.0,1.0,4,205,9,0.5,0.25,0.136,0.018496000000000002,SP,0.4938271604938271,0,0,UFA,16000000,16000000,16000000,13.73,188.5129,70000000,16775000,14000000,80,0.49,0.24009999999999998,2,16.588099280204055,16.588099280204055,16.588099280204055
NYY,6.5,2016,8,3,6,36,2,4,2,2,35,New York Yankees,PIT,New York,0,0,31,162,961,J.A. Happ,0.762,0.580644,40,205,54,0.333,0.11088900000000002,0.191,0.036481,SP,0.6172839506172839,0,0,UFA,13000000,13000000,4612872,56.97,3245.5809,36000000,14000000,12000000,100,1.18,1.3923999999999999,27,16.38045991542581,16.38045991542581,15.344361214485355
BOS,6.3,2018,8,5,569,323761,188,35344,1,3,30,Boston Red Sox,ARI,Massachusetts,43,1849,150,162,22500,J.D. Martinez,1.031,1.0629609999999998,14,230,24,0.33,0.10890000000000001,0.926,0.8574760000000001,DH,0.6666666666666666,130,16900,UFA,23750000,23750000,23750000,96.69,9348.9561,110000000,131000000,22000000,108,6.37,40.5769,9,16.983093088444924,16.983093088444924,16.983093088444924
CHC,6.2,2018,8,1,4,16,0,0,2,7,31,Chicago Cubs,NYY,Illinois,0,0,33,163,1089,Jaime Garcia,0.0,0.0,17,215,20,0.0,0.0,0.203,0.041209,RP,0.5828220858895705,0,0,UFA,545000,545000,79110,0.0,0.0,10000000,215545000,10000000,95,-0.49,0.24009999999999998,3,13.208541073645382,13.208541073645382,11.278594568015443
PHI,6.4,2018,8,3,45,2025,6,36,2,4,32,Philadelphia Phillies,CHC,Pennsylvania,1,1,31,162,961,Jake Arrieta,0.388,0.150544,7,230,14,0.133,0.017689000000000003,0.191,0.036481,SP,0.4938271604938271,3,9,UFA,30000000,30000000,30000000,32.43,1051.7049,75000000,169200000,25000000,80,2.96,8.7616,2,17.216707939626428,17.216707939626428,17.216707939626428
CHW,6.3,2015,8,4,6,36,1,1,2,2,36,Chicago White Sox,KC,Illinois,0,0,34,162,1156,James Shields,0.333,0.11088900000000002,6,215,9,0.167,0.027889000000000004,0.21,0.04409999999999999,SP,0.382716049382716,0,0,UFA,21000000,21000000,10000000,17.57,308.7049,75000000,19750000,18750000,62,1.35,1.8225000000000002,3,16.860032995687696,16.860032995687696,16.11809565095832
