Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Trea Turner,SS,59,0.983,233,78,12,41,0.335,0.982,WSH,7450000,7450000,2759259,3481,0.966289,54289,6084,144,1681,0.11222500000000002,0.964324
Jose Abreu,1B,60,1.0,240,76,19,60,0.317,0.987,CHW,11000000,12781666,5740740,3600,1.0,57600,5776,361,3600,0.10048900000000001,0.974169
Freddie Freeman,1B,60,1.0,214,73,13,53,0.341,1.102,ATL,22000000,22559375,8507523,3600,1.0,45796,5329,169,2809,0.11628100000000002,1.2144040000000003
D.J. LeMahieu,2B,50,0.833,195,71,10,27,0.364,1.011,NYY,12000000,12000000,4444444,2500,0.693889,38025,5041,100,729,0.132496,1.0221209999999998
Whit Merrifield,CF,60,1.0,248,70,9,30,0.282,0.764,KC,5000000,5000000,1851852,3600,1.0,61504,4900,81,900,0.07952399999999998,0.583696
Manny Machado,3B,60,1.0,224,68,16,47,0.304,0.95,SD,30000000,32000000,13111111,3600,1.0,50176,4624,256,2209,0.092416,0.9025
Trevor Story,SS,59,0.983,235,68,11,28,0.289,0.874,COL,8000000,9000000,3962963,3481,0.966289,55225,4624,121,784,0.08352099999999998,0.763876
Charlie Blackmon,RF,59,0.983,221,67,6,42,0.303,0.804,COL,21000000,21333333,8111111,3481,0.966289,48841,4489,36,1764,0.091809,0.6464160000000001
Tim Anderson,SS,49,0.817,208,67,10,21,0.322,0.886,CHW,4000000,4000000,1481481,2401,0.6674889999999999,43264,4489,100,441,0.10368400000000001,0.784996
David Fletcher,2B,49,0.817,207,66,3,18,0.319,0.801,LAA,593500,593500,219815,2401,0.6674889999999999,42849,4356,9,324,0.101761,0.6416010000000001
Dansby Swanson,SS,60,1.0,237,65,10,35,0.274,0.809,ATL,3150000,3150000,1166667,3600,1.0,56169,4225,100,1225,0.07507600000000002,0.6544810000000001
Michael Conforto,RF,54,0.9,202,65,9,31,0.322,0.927,NYM,8000000,8000000,2962963,2916,0.81,40804,4225,81,961,0.10368400000000001,0.8593290000000001
Corey Seager,SS,52,0.867,212,65,15,41,0.307,0.943,LAD,7600000,7600000,2814815,2704,0.7516889999999999,44944,4225,225,1681,0.094249,0.889249
Mookie Betts,RF,55,0.917,219,64,16,39,0.292,0.927,LAD,27000000,32000000,10000000,3025,0.8408890000000001,47961,4096,256,1521,0.08526399999999999,0.8593290000000001
Lourdes Gurriel Jr.,LF,57,0.95,208,64,11,33,0.308,0.882,TOR,2500000,2928571,1354497,3249,0.9025,43264,4096,121,1089,0.094864,0.7779240000000001
Eloy Jimenez,DH,55,0.917,213,63,14,41,0.296,0.891,CHW,1500000,2333333,1388889,3025,0.8408890000000001,45369,3969,196,1681,0.08761599999999999,0.7938810000000001
Donovan Solano,2B,54,0.9,190,62,3,29,0.326,0.828,SF,1375000,1375000,509259,2916,0.81,36100,3844,9,841,0.10627600000000001,0.685584
Hanser Alberto,2B,54,0.9,219,62,3,22,0.283,0.698,BAL,1650000,1650000,611111,2916,0.81,47961,3844,9,484,0.08008899999999998,0.4872039999999999
Alex Verdugo,RF,53,0.883,201,62,6,15,0.309,0.844,BOS,601500,601500,222778,2809,0.779689,40401,3844,36,225,0.095481,0.712336
