Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias,Jugador,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,WAR,TVS,Edad,Peso,Altura,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,WAR_2,TVS_2,Dominio_2,Control_2,Comando_2,Agente libre
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Randy Wolf,SP,33,33,212.3,214,95,87,66,134,13,10,0,1.32,3.69,2.5,43.6,34,0,0.0,9500000,9500000,9500000,0.07013136546815303,0.03454231433506045,2.0303030303030303,1089,1089,45071.29000000001,45796,9025,7569,4356,17956,169,100,0,1.7424000000000002,13.6161,6.25,1900.96,0.0049184084224276475,0.0011931714796221226,4.122130394857668,No
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Yovani Gallardo,RP,33,33,207.3,193,92,81,59,207,17,10,0,1.22,3.52,2.25,60.27,25,205,6.2,3250000,3500000,3500000,0.11095031355523395,0.031623519322506295,3.5084745762711864,1089,1089,42973.29000000001,37249,8464,6561,3481,42849,289,100,0,1.4884,12.3904,5.0625,3632.4729,0.01230997207800473,0.001000046974340929,12.30939385234128,No
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Shaun Marcum,SP,33,33,200.7,175,84,79,57,158,13,7,0,1.16,3.54,2.93,69.58,29,0,6.0,3950000,3950000,3950000,0.08747162708298732,0.031556219897027074,2.7719298245614037,1089,1089,40280.49,30625,7056,6241,3249,24964,169,49,0,1.3456,12.531600000000001,8.584900000000001,4841.3764,0.007651285544545201,0.0009957950141895274,7.6835949522930145,No
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Zack Greinke,SP,29,28,171.7,161,82,73,45,201,16,6,0,1.2,3.83,1.4,45.52,27,200,6.2,13500000,13500000,13500000,0.13007183071248302,0.029120559114735003,4.466666666666667,841,784,29480.889999999996,25921,6724,5329,2025,40401,256,36,0,1.44,14.6689,1.9599999999999997,2072.0704,0.01691868114489684,0.0008480069631547759,19.95111111111111,No
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Chris Narveson,RP,30,28,161.7,160,82,80,65,126,11,8,0,1.39,4.45,0.56,0.0,29,205,6.3,444150,444150,444150,0.08658008658008658,0.04466433037861609,1.9384615384615385,900,784,26146.889999999996,25600,6724,6400,4225,15876,121,64,0,1.9320999999999997,19.802500000000002,0.31360000000000005,0.0,0.007496111392215288,0.0019949024081701685,3.7576331360946744,No
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Marco Estrada,SP,43,7,92.7,83,45,42,29,88,4,8,0,1.21,4.08,0.33,15.65,27,180,6.0,414000,414000,414000,0.10547764593072036,0.03475967877262375,3.0344827586206895,1849,49,8593.29,6889,2025,1764,841,7744,16,64,0,1.4641,16.6464,0.10890000000000001,244.9225,0.011125533791086408,0.0012082352683759903,9.20808561236623,No
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,John Axford,RP,74,0,73.7,59,19,16,25,86,2,2,46,1.14,1.96,2.27,97.83,28,234,6.5,442500,442500,442500,0.12965475652042815,0.03769033619779888,3.44,5476,0,5431.6900000000005,3481,361,256,625,7396,4,4,2116,1.2995999999999999,3.8415999999999997,5.1529,9570.7089,0.016810355888371507,0.0014205614427031084,11.833599999999999,No
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Francisco Rodriguez,RP,73,0,71.7,67,22,21,26,79,6,2,23,1.3,2.64,0.94,9.28,29,180,6.0,11500000,12166667,2450819,0.12242367890903455,0.04029133736246707,3.0384615384615383,5329,0,5140.89,4489,484,441,676,6241,36,4,529,1.6900000000000002,6.969600000000001,0.8835999999999999,86.1184,0.014987557157622391,0.0016233918664561346,9.232248520710058,No
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,LaTroy Hawkins,RP/CL,52,0,48.3,50,15,13,10,28,3,1,0,1.24,2.42,0.94,59.05,38,195,6.5,4000000,4250000,4250000,0.06441223832528181,0.02300437083045779,2.8,2704,0,2332.89,2500,225,169,100,784,9,1,0,1.5376,5.8564,0.8835999999999999,3486.9024999999997,0.004148936446072903,0.0005292010773052172,7.839999999999999,No
Milwaukee Brewers,1,775000,MIL,96,162,4,1,0,0.5925925925925926,Michael Fiers,SP,2,0,2.0,2,0,0,3,2,0,0,0,2.5,0.0,0.06,0.0,26,211,6.2,414000,414000,414000,0.1111111111111111,0.16666666666666666,0.6666666666666666,4,0,4.0,4,0,0,9,4,0,0,0,6.25,0.0,0.0036,0.0,0.012345679012345678,0.027777777777777776,0.4444444444444444,No
