Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
George Springer,2021,UFA,HOU,6,150000000,25000000,CF,78,0.482,299,79,22,50,0.264,0.907,TOR,22000000,23666666,23666666,6084,0.23232399999999997,89401,6241,484,2500,0.06969600000000001,0.8226490000000001
J.T. Realmuto,2021,UFA,PHI,5,115500000,23100000,C,134,0.827,476,125,17,73,0.263,0.782,PHI,20000000,20000000,10000000,17956,0.6839289999999999,226576,15625,289,5329,0.06916900000000001,0.6115240000000001
Trevor Bauer,2021,UFA,CIN,3,102000000,34000000,SP,17,0.105,30,1,0,1,0.033,0.098,LAD,28000000,31333333,31333333,289,0.011024999999999998,900,1,0,1,0.0010890000000000001,0.009604000000000001
D.J. LeMahieu,2021,UFA,NYY,6,90000000,15000000,3B,150,0.926,597,160,10,57,0.268,0.711,NYY,15000000,15000000,15000000,22500,0.8574760000000001,356409,25600,100,3249,0.07182400000000001,0.505521
Marcell Ozuna,2021,UFA,ATL,4,65000000,16250000,LF,48,0.298,188,40,7,26,0.213,0.645,ATL,16000000,16000000,16000000,2304,0.088804,35344,1600,49,676,0.045369,0.41602500000000003
James McCann,2021,UFA,CHW,4,40600000,10150000,C,121,0.747,375,87,10,46,0.232,0.643,NYM,8000000,8150000,8150000,14641,0.558009,140625,7569,100,2116,0.053824000000000004,0.413449
Justin Turner,2021,UFA,LAD,2,34000000,17000000,3B,151,0.932,533,148,27,87,0.278,0.832,LAD,8000000,12000000,12000000,22801,0.8686240000000001,284089,21904,729,7569,0.07728400000000002,0.692224
Michael Brantley,2021,UFA,HOU,2,32000000,16000000,LF,121,0.747,469,146,8,47,0.311,0.799,HOU,16000000,16000000,16000000,14641,0.558009,219961,21316,64,2209,0.096721,0.6384010000000001
Didi Gregorius,2021,UFA,PHI,2,28000000,14000000,SS,103,0.636,368,77,13,54,0.209,0.639,PHI,12000000,12750000,12750000,10609,0.404496,135424,5929,169,2916,0.043681,0.408321
Jackie Bradley Jr.,2021,UFA,BOS,2,24000000,12000000,CF,134,0.827,387,63,6,29,0.163,0.497,MIL,6500000,6500000,6500000,17956,0.6839289999999999,149769,3969,36,841,0.026569000000000002,0.247009
Jake Odorizzi,2021,UFA,MIN,3,23500000,7833333,SP,24,0.148,1,0,0,0,0.0,0.0,HOU,6000000,9000000,9000000,576,0.021903999999999996,1,0,0,0,0.0,0.0
Taijuan Walker,2021,UFA,TOR,3,23000000,7666667,SP,31,0.191,47,5,0,1,0.106,0.249,NYM,10000000,10000000,10000000,961,0.036481,2209,25,0,1,0.011236,0.062001
Jurickson Profar,2021,UFA,SD,3,21000000,7000000,LF,137,0.846,353,80,4,33,0.227,0.649,SD,3500000,4333333,4333333,18769,0.7157159999999999,124609,6400,16,1089,0.051529000000000005,0.42120100000000005
Tommy La Stella,2021,UFA,OAK,3,18750000,6250000,2B,76,0.469,220,56,7,27,0.255,0.731,SF,2000000,2000000,2000000,5776,0.21996099999999996,48400,3136,49,729,0.065025,0.534361
Kolten Wong,2021,UFA,STL,2,18000000,9000000,2B,116,0.716,445,121,14,50,0.272,0.783,MIL,7000000,7500000,2000000,13456,0.512656,198025,14641,196,2500,0.07398400000000001,0.613089
Mike Minor,2021,UFA,OAK,2,18000000,9000000,SP,28,0.173,7,0,0,0,0.0,0.0,KC,7000000,7000000,7000000,784,0.029928999999999997,49,0,0,0,0.0,0.0
Marcus Semien,2021,UFA,OAK,1,18000000,18000000,SS,162,1.0,652,173,45,102,0.265,0.873,TOR,18000000,18000000,18000000,26244,1.0,425104,29929,2025,10404,0.07022500000000001,0.762129
Carlos Santana,2021,UFA,CLE,2,17500000,8750000,1B,158,0.975,565,121,19,69,0.214,0.66,KC,7000000,7250000,7250000,24964,0.9506249999999999,319225,14641,361,4761,0.045795999999999996,0.43560000000000004
Charlie Morton,2021,UFA,TB,1,15000000,15000000,SP,34,0.211,55,7,0,1,0.127,0.273,ATL,15000000,15000000,15000000,1156,0.044521,3025,49,0,1,0.016129,0.07452900000000001
Enrique Hernandez,2021,UFA,LAD,2,14000000,7000000,2B,134,0.827,508,127,20,60,0.25,0.786,BOS,6000000,6000000,4500000,17956,0.6839289999999999,258064,16129,400,3600,0.0625,0.617796
Nelson Cruz,2021,UFA,MIN,1,13000000,13000000,DH,140,0.864,513,136,32,86,0.265,0.832,TB,13000000,13000000,5102116,19600,0.7464959999999999,263169,18496,1024,7396,0.07022500000000001,0.692224
Drew Smyly,2021,UFA,SF,1,11000000,11000000,SP,32,0.199,41,3,0,0,0.073,0.146,ATL,11000000,11000000,11000000,1024,0.039601000000000004,1681,9,0,0,0.0053289999999999995,0.021315999999999998
Corey Kluber,2021,UFA,TEX,1,11000000,11000000,SP,16,0.099,2,0,0,0,0.0,0.0,NYY,11000000,11000000,11000000,256,0.009801,4,0,0,0,0.0,0.0
Andrelton Simmons,2021,UFA,LAA,1,10500000,10500000,SS,131,0.809,412,92,3,31,0.223,0.558,MIN,10500000,10500000,10500000,17161,0.6544810000000001,169744,8464,9,961,0.049729,0.3113640000000001
Garrett Richards,2021,UFA,SD,1,10000000,10000000,RP,40,0.247,5,1,0,1,0.2,0.6,BOS,8500000,9500000,9500000,1600,0.061009,25,1,0,1,0.04000000000000001,0.36
