Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anios_de_contrato_t,Anios_de_contrato_t_1,Bateos_pitcher_2_t,Bateos_pitcher_2_t_1,Bateos_pitcher_t,Bateos_pitcher_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_iniciados_2_t,Juegos_iniciados_2_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIL,MIL,0.0,0.0,2012,2013,2013,2010,2010,3,3,38416,45796,196,214,0,0,3,1,1,1,10609,9025,9801,7569,99,87,103,95,4.0,4.122130394857668,2.0,2.0303030303030303,0.0013423268637497378,0.0011931714796221226,0.03663777918692313,0.03454231433506045,0.005369307454998951,0.0049184084224276475,0.07327555837384626,0.07013136546815303,31.922500000000003,13.6161,5.65,3.69,33,33,35,34,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,72462104,62962104,24869.289999999997,45071.29000000001,157.7,212.3,961,1089,676,1089,26,33,31,33,162,162,Randy Wolf,100,100,10,10,1,1,0,0,4,4,SP,SP,0.5123456790123457,0.5925925925925926,0,0,0,0,10816,17956,104,134,9500000,9500000,9500000,9500000,9500000,9500000,39.31289999999999,1900.96,6.27,43.6,40250000,775000,29750000,29750000,83,96,0.0004,6.25,0.02,2.5,2.4649,1.7424000000000002,1.57,1.32,0,0,2704,4356,52,66,25,169,5,13,16.06680235657077,16.06680235657077,16.06680235657077
MIL,MIL,6.2,6.2,2012,2016,2016,2010,2010,5,5,34225,37249,185,193,250000,250000,3,1,1,1,7396,8464,6889,6561,83,81,86,92,6.342935528120714,12.30939385234128,2.5185185185185186,3.5084745762711864,0.0019463667820069207,0.001000046974340929,0.04411764705882353,0.031623519322506295,0.012345679012345678,0.01230997207800473,0.1111111111111111,0.11095031355523395,13.395600000000002,12.3904,3.66,3.52,23,23,26,25,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,12423000,6923000,41616.0,42973.29000000001,204.0,207.3,1089,1089,1089,1089,33,33,33,33,162,162,Yovani Gallardo,81,100,9,10,1,1,205,205,4,4,RP,RP,0.5123456790123457,0.5925925925925926,0,0,0,0,41616,42849,204,207,5750000,3500000,5500000,3250000,5750000,3500000,3621.6324,3632.4729,60.18,60.27,40250000,775000,30100000,30100000,83,96,8.468100000000002,5.0625,2.91,2.25,1.6900000000000002,1.4884,1.3,1.22,0,0,6561,3481,81,59,256,289,16,17,15.564710412773533,15.520258650202699,15.564710412773533
MIL,MIL,6.2,6.2,2012,2013,2013,2009,2009,4,4,40000,25921,200,161,0,0,3,1,1,1,7056,6724,6724,5329,82,73,84,82,13.717421124828533,19.95111111111111,3.7037037037037037,4.466666666666667,0.0007987346268544789,0.0008480069631547759,0.02826189354686764,0.029120559114735003,0.01095657924354566,0.01691868114489684,0.10467367980321347,0.13007183071248302,12.1104,14.6689,3.48,3.83,25,25,28,27,Milwaukee Brewers,Milwaukee Brewers,Wisconsin,43397172,29897172,45071.29000000001,29480.889999999996,212.3,171.7,1369,841,1156,784,34,28,37,29,162,162,Zack Greinke,25,36,5,6,1,1,200,200,4,4,SP,SP,0.5123456790123457,0.5925925925925926,0,0,0,0,40000,40401,200,201,13500000,13500000,13500000,13500000,13500000,13500000,3567.6728999999996,2072.0704,59.73,45.52,40250000,775000,38000000,38000000,83,96,2.1609,1.9599999999999997,1.47,1.4,1.44,1.44,1.2,1.2,0,0,2916,2025,54,45,225,256,15,16,16.41820024340866,16.41820024340866,16.41820024340866
