Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
NYY,NYY,6.1,6.1,2019,0,2017,1,1,0,0,1225,3364,35,58,0,0,3,4,2,2,361,1369,225,961,15,31,19,37,12.96,3.2152199762187874,3.6,1.793103448275862,0.0008460348546055263,0.0024499036220732647,0.02908667830133799,0.04949650110940434,0.010964611715687621,0.007876979065500722,0.10471204188481677,0.08875234681686295,5.569599999999999,18.4041,2.36,4.29,29,28,29,New York Yankees,New York Yankees,New York,6244802,3954802,3283.2899999999995,4238.009999999999,57.3,65.1,0,1,46,58,162,161,Adam Warren,4,16,2,4,2290000,650273,40,40,224.0,224.0,53,52,0.2839506172839506,0.36024844720496896,RP,RP,0.5617283950617284,0.5217391304347826,1,0,1,0,2916,2704,54,52,2290000,650273,2290000,1700000,0.011,0.003,2290000,1700000,0.0,456.2496,0.0,21.36,2290000,1700000,102500000,1049914,2290000,1700000,91,84,1.9043999999999996,1.555108761600001,1.38,1.2470400000000004,0.7569,1.7956000000000003,0.87,1.34,27,27,225,841,15,29,9,49,3,7,14.644062375530423,14.644062375530423,14.644062375530423
BOS,NYM,6.4,6.4,2018,0,2017,1,1,0,0,4225,3600,65,60,0,0,1,9,1,2,576,324,576,289,24,17,24,18,25.67111111111111,49.0,5.066666666666666,7.0,0.00048091720529393656,0.00034558879117723676,0.021929824561403508,0.01859001859001859,0.012345679012345678,0.016933850767684597,0.1111111111111111,0.1301301301301301,8.0656,3.8809,2.84,1.97,28,27,28,Boston Red Sox,New York Mets,Massachusetts,19887306,12137306,5776.0,6037.290000000001,76.0,77.7,0,0,77,80,162,161,Addison Reed,9,4,3,2,2668050,5300000,13,5,230.0,230.0,23,9,0.47530864197530864,0.4968944099378882,RP,RP,0.5740740740740741,0.5403726708074534,361,1,19,1,5776,8281,76,91,2668050,5300000,7750000,5300000,0.013,0.036,7750000,5300000,1066.6755999999998,6933.892899999999,32.66,83.27,7750000,5300000,5500000,48757500,7750000,5300000,93,87,0.2916,7.290000000000001,0.54,2.7,1.1025,0.8835999999999999,1.05,0.94,8,2,225,169,15,13,4,16,2,4,14.796858426471733,15.86320340132953,15.86320340132953
SF,SF,6.2,6.2,2018,0,2017,1,1,0,0,784,7056,28,84,0,0,3,8,5,5,324,1764,324,1600,18,40,18,42,9.553719008264462,4.313609467455622,3.090909090909091,2.076923076923077,0.0014865578923999913,0.001188430091584361,0.0385559060637925,0.03447361442588173,0.014202156393507352,0.00512642329446745,0.11917280056081317,0.07159904534606205,26.2144,18.49,5.12,4.3,27,26,27,San Francisco Giants,San Francisco Giants,California,881625,346625,1004.89,7022.44,31.7,83.8,0,12,18,22,162,161,Albert Suarez,9,25,3,5,535000,346625,23,23,235.0,235.0,26,26,0.1111111111111111,0.13664596273291926,RP,RP,0.3950617283950617,0.5341614906832298,1,0,1,0,1156,2916,34,54,210456,346625,535000,507500,0.001,0.002,535000,507500,0.0,0.0,0.0,0.0,535000,507500,65250000,251000000,535000,507500,64,86,0.0001,0.2304,0.01,0.48,1.5129,1.7161000000000002,1.23,1.31,8,8,121,676,11,26,0,9,0,3,12.2570318841273,13.190022025878143,13.190022025878143
TB,TB,6.3,6.3,2018,0,2017,1,1,0,0,30625,1024,175,32,0,0,5,4,2,2,6084,484,5329,441,73,21,78,22,8.462809917355372,5.224489795918367,2.909090909090909,2.2857142857142856,0.00074346367645576,0.001249872461993674,0.027266530334014997,0.03535353535353535,0.0062917917743032905,0.006529945923885319,0.07932081551713453,0.08080808080808081,13.395600000000002,73.7881,3.66,8.59,29,28,29,Tampa Bay Rays,Tampa Bay Rays,Florida,14513100,10313100,32148.490000000005,484.0,179.3,22.0,29,5,29,5,162,161,Alex Cobb,100,4,10,2,4200000,4000000,1,1,205.0,205.0,4,4,0.17901234567901234,0.031055900621118012,SP,SP,0.4938271604938271,0.4161490683229814,0,0,0,0,16384,256,128,16,4200000,4000000,4200000,4000000,0.054,0.063,4200000,4000000,6000.051599999999,0.0,77.46,0.0,4200000,4000000,21700000,5275000,4200000,4000000,80,67,7.6729,1.555108761600001,2.77,1.2470400000000004,1.4884,3.1329000000000002,1.22,1.77,0,0,1936,49,44,7,144,1,12,1,15.250595083253597,15.250595083253597,15.250595083253597
TB,TB,6.1,6.1,2021,0,2017,1,1,0,0,3249,1849,57,43,0,0,5,4,2,2,729,144,576,144,24,12,27,12,6.359168241965974,22.404444444444444,2.5217391304347827,4.733333333333333,0.0014679761013490697,0.0008640350922668514,0.038314176245210725,0.029394473838918283,0.009335107003664026,0.0193582262227431,0.09661835748792269,0.13913384283754654,10.497600000000002,3.6481,3.24,1.91,28,27,28,Tampa Bay Rays,Tampa Bay Rays,Florida,1733896,1185996,4448.89,3214.8900000000003,66.7,56.7,0,0,65,57,162,161,Alex Colome,9,16,3,4,547900,521700,1,1,225.0,225.0,4,4,0.4012345679012346,0.35403726708074534,RP,RP,0.4938271604938271,0.4161490683229814,2209,1369,47,37,3364,5041,58,71,547900,521700,547900,521700,0.007,0.008,547900,521700,8669.472099999999,9745.6384,93.11,98.72,547900,521700,21700000,5275000,547900,521700,80,67,0.7744,5.2441,0.88,2.29,1.44,1.0404,1.2,1.02,0,0,529,225,23,15,4,4,2,2,13.213848067526508,13.213848067526508,13.213848067526508
LAA,LAA,6.9,6.9,2023,0,2017,1,1,1,1,2304,625,48,25,0,0,4,9,5,5,900,256,784,256,28,16,30,16,3.188775510204082,2.9100346020761245,1.7857142857142858,1.7058823529411764,0.004808210067754059,0.005574061826567982,0.06934125804853888,0.07465963987703117,0.015332302511970854,0.016220712789424475,0.12382367508667659,0.12736056214317082,13.987600000000002,32.2624,3.74,5.68,26,25,27,Los Angeles Angels,Los Angeles Angels,California,2665332,2130332,4529.29,640.09,67.3,25.3,13,6,13,7,162,161,Alex Meyer,25,9,5,3,535000,83190,1,1,225.0,225.0,10,10,0.08024691358024691,0.043478260869565216,SP,SP,0.4938271604938271,0.453416149068323,0,0,0,0,5625,841,75,29,409220,83190,535000,507500,0.003,0.001,535000,507500,0.0,0.0,0.0,0.0,535000,507500,24750000,12525000,535000,507500,80,73,1.0,0.0064,1.0,0.08,1.7956000000000003,2.7556,1.34,1.66,1,1,1764,289,42,17,16,1,4,1,12.92200818772055,13.190022025878143,13.190022025878143
DET,DET,5.718369351669941,5.721339712918669,2020,0,2017,1,1,0,0,4489,4624,67,68,0,0,1,11,1,1,1156,676,900,576,30,24,34,26,7.839999999999999,5.4444444444444455,2.8,2.3333333333333335,0.0007716049382716049,0.0010358039371119038,0.027777777777777776,0.03218390804597701,0.006049382716049383,0.005639376990942588,0.07777777777777778,0.07509578544061303,20.25,8.8804,4.5,2.98,30,29,30,Detroit Tigers,Detroit Tigers,Michigan,3263281,2088281,3600.0,5256.25,60.0,72.5,0,0,66,62,162,160,Alex Wilson,25,0,5,0,1175000,522500,11,11,220.0,220.0,16,16,0.4074074074074074,0.3875,RP,RP,0.3950617283950617,0.5375,4,0,2,0,1764,2401,42,49,1175000,522500,1175000,522500,0.006,0.003,1175000,522500,625.0,6099.609999999999,25.0,78.1,1175000,522500,2000000,272257500,1175000,522500,64,86,0.28090000000000004,3.8024999999999998,0.53,1.95,1.8769000000000002,1.5129,1.37,1.23,4,4,225,441,15,21,4,16,2,4,13.976778705560397,13.976778705560397,13.976778705560397
LAD,LAD,6.4,6.4,2020,0,2017,1,1,1,1,15129,3136,123,56,0,0,6,8,5,5,2500,900,2116,625,46,25,50,30,15.79016620498615,10.889999999999999,3.973684210526316,3.3,0.00076856812283128,0.001358126890406528,0.027723061209600934,0.03685277317118114,0.012135818399360121,0.014790001836527091,0.11016269059604582,0.12161415146489775,7.398400000000001,13.9129,2.72,3.73,25,24,26,Los Angeles Dodgers,Los Angeles Dodgers,California,5382916,2582916,23195.290000000005,3636.0899999999997,152.3,60.3,25,10,27,15,162,161,Alex Wood,9,16,3,4,2800000,530000,25,25,215.0,215.0,31,30,0.16666666666666666,0.09316770186335403,SP,SP,0.6419753086419753,0.5652173913043478,0,0,0,0,22801,4356,151,66,2800000,530000,2800000,530000,0.011,0.002,2800000,530000,9080.1841,0.0,95.29,0.0,2800000,530000,199600000,79750000,2800000,530000,104,91,11.833599999999999,0.18489999999999998,3.44,0.43,1.1236000000000002,1.5876000000000001,1.06,1.26,6,6,1444,400,38,20,256,1,16,1,14.845129975145433,14.845129975145433,14.845129975145433
TEX,TEX,6.3,6.3,2022,0,2017,1,1,1,1,5041,3025,71,55,0,0,4,10,2,2,676,361,529,256,23,16,26,19,13.937777777777779,11.559999999999999,3.7333333333333334,3.4,0.0004061500210954321,0.0004618850387537714,0.02015316404675534,0.02149151085321298,0.005660828738467888,0.005339391047993597,0.0752384791078866,0.07307113690092414,6.25,7.7841000000000005,2.5,2.79,24,23,25,Texas Rangers,Texas Rangers,Texas,1377092,832042,6839.290000000001,2672.8900000000003,82.7,51.7,1,0,70,39,162,161,Alexander Claudio,4,1,2,1,545050,510250,2,2,188.0,188.0,8,8,0.43209876543209874,0.2422360248447205,RP,RP,0.4814814814814814,0.5900621118012422,121,0,11,0,3136,1156,56,34,545050,420988,545050,510250,0.003,0.003,545050,510250,9475.0756,0.0,97.34,0.0,545050,510250,36000000,20165000,545050,510250,78,95,8.2944,1.3456,2.88,1.16,1.0816000000000001,1.5876000000000001,1.04,1.26,0,0,225,100,15,10,16,16,4,4,13.208632812556505,13.208632812556505,13.208632812556505
SEA,MIN,6.1,6.1,2024,2017,2017,1,1,0,0,1849,729,43,27,0,0,2,4,1,1,484,256,256,121,16,11,22,16,13.690000000000001,7.111111111111111,3.7,2.6666666666666665,0.0007344246884203261,0.0015747039556563364,0.02710027100271003,0.03968253968253968,0.010054273984474263,0.011197894795778393,0.1002710027100271,0.10582010582010581,12.320099999999998,34.9281,3.51,5.91,31,30,31,Seattle Mariners,Minnesota Twins,Washington,427521,287217,1681.0,282.24,41.0,16.8,6,2,9,6,162,161,Andrew Albers,1,0,1,0,140304,116466,0,6,200.0,200.0,4,14,0.05555555555555555,0.037267080745341616,RP,RP,0.4814814814814814,0.3602484472049689,1,0,1,0,1369,256,37,16,140304,116466,535000,507500,0.001,0.001,535000,507500,0.0,0.0,0.0,0.0,535000,507500,11535000,1900000,535000,507500,78,58,0.0529,1.555108761600001,0.23,1.2470400000000004,1.6641000000000001,3.8809,1.29,1.97,0,3,100,36,10,6,25,0,5,0,11.851566776019137,13.190022025878143,13.190022025878143
