Equipo,Cantidad_agentes_libres,Valor_contrato_total,Acronimo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Promedio_victorias
Chicago Cubs,15,291277500,CHC,102,160,18,17,3,0.6375
Detroit Tigers,11,272257500,DET,86,160,16,11,4,0.5375
San Francisco Giants,8,251000000,SF,86,161,26,23,8,0.5341614906832298
Boston Red Sox,6,230000000,BOS,93,161,22,13,8,0.577639751552795
Baltimore Orioles,8,220260000,BAL,88,161,14,7,3,0.546583850931677
Arizona Diamondbacks,7,218750000,ARI,68,161,5,1,1,0.422360248447205
Kansas City Royals,10,186750000,KC,81,161,9,4,2,0.5031055900621118
St. Louis Cardinals,5,94000000,STL,85,161,28,23,11,0.5279503105590062
Miami Marlins,10,84707500,MIA,79,160,2,2,2,0.49375
Los Angeles Dodgers,8,79750000,LAD,91,161,30,25,6,0.5652173913043478
Washington Nationals,11,68750000,WSH,94,161,4,1,0,0.5838509316770186
Toronto Blue Jays,13,65800000,TOR,88,161,7,2,2,0.546583850931677
New York Mets,9,48757500,NYM,87,161,9,5,2,0.5403726708074534
Colorado Rockies,3,43500000,COL,75,161,3,1,0,0.4658385093167702
Oakland Athletics,4,42250000,OAK,68,161,26,15,9,0.422360248447205
Seattle Mariners,8,35100000,SEA,86,161,4,0,0,0.5341614906832298
Houston Astros,3,26000000,HOU,84,161,10,1,0,0.5217391304347826
Pittsburgh Pirates,10,25150000,PIT,78,160,17,9,5,0.4875
Texas Rangers,10,20165000,TEX,95,161,8,2,0,0.5900621118012422
Atlanta Braves,13,19157500,ATL,67,160,23,18,3,0.41875
Chicago White Sox,13,17650000,CHW,78,161,9,6,3,0.484472049689441
Los Angeles Angels,9,12525000,LAA,73,161,10,1,1,0.453416149068323
San Diego Padres,13,12120000,SD,68,161,5,2,0,0.422360248447205
Philadelphia Phillies,6,8750000,PHI,70,161,14,7,2,0.43478260869565216
Milwaukee Brewers,8,8100000,MIL,72,161,4,1,0,0.4472049689440994
Tampa Bay Rays,4,5275000,TB,67,161,4,1,0,0.4161490683229814
Cincinnati Reds,8,3400000,CIN,68,161,15,10,5,0.422360248447205
Minnesota Twins,4,1900000,MIN,58,161,14,6,3,0.36024844720496896
New York Yankees,4,1049914,NYY,84,161,52,40,27,0.5217391304347826
