Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
1,Whit Merrifield,2B,KC,158,0.975,632,192,12,60,0.304,0.806,"$7,000,000"
2,Freddie Freeman,1B,ATL,162,1,618,191,23,98,0.309,0.892,"$20,000,000"
3,J.D. Martinez,DH,BOS,150,0.926,569,188,43,130,0.33,1.031,"$19,350,000"
4,Manny Machado,3B,LAD,162,0.994,632,188,37,107,0.298,0.905,"$30,000,000"
5,Christian Yelich,LF,MIL,147,0.902,574,187,36,110,0.326,1,"$22,000,000"
6,Nick Markakis,RF,ATL,162,1,623,185,14,93,0.297,0.806,$0
7,Nick Castellanos,RF,DET,158,0.975,620,185,23,89,0.298,0.854,"$20,000,000"
8,Charlie Blackmon,CF,COL,157,0.963,626,182,29,70,0.291,0.86,"$21,000,000"
9,Jose Peraza,SS,CIN,158,0.975,632,182,14,58,0.288,0.742,$0
10,Scooter Gennett,2B,CIN,154,0.951,584,181,23,92,0.31,0.847,$0
11,Mookie Betts,RF,BOS,137,0.846,520,180,32,80,0.346,1.078,"$14,500,000"
12,Trea Turner,SS,WSH,162,1,664,180,19,73,0.271,0.76,"$21,000,000"
13,Jean Segura,SS,SEA,146,0.901,586,178,10,63,0.304,0.755,"$14,250,000"
14,Javier Baez,2B,CHC,161,0.988,606,176,34,111,0.29,0.881,"$20,000,000"
15,Nolan Arenado,3B,COL,156,0.957,590,175,38,110,0.297,0.935,"$29,429,500"
16,Trevor Story,SS,COL,158,0.969,598,174,37,108,0.291,0.914,"$20,000,000"
17,Paul Goldschmidt,1B,ARI,158,0.975,593,172,33,83,0.29,0.922,"$26,000,000"
18,Alex Bregman,3B,HOU,157,0.969,594,170,31,103,0.286,0.926,"$11,000,000"
19,Mitch Haniger,RF,SEA,158,0.975,596,170,26,93,0.285,0.859,"$7,750,000"
20,Miguel Andujar,3B,NYY,149,0.92,573,170,27,92,0.297,0.855,$0
21,Jose Altuve,2B,HOU,137,0.846,534,169,13,61,0.317,0.837,"$26,000,000"
22,Andrew Benintendi,OF,BOS,148,0.914,579,168,16,87,0.29,0.83,"$7,900,000"
23,Ozzie Albies,2B,ATL,158,0.975,639,167,24,72,0.261,0.757,"$5,000,000"
24,Lorenzo Cain,CF,MIL,142,0.871,539,166,10,38,0.308,0.813,"$17,000,000"
25,Starlin Castro,2B,MIA,154,0.957,593,165,12,54,0.278,0.729,$0
26,Giancarlo Stanton,DH,NYY,159,0.982,617,164,38,100,0.266,0.852,"$19,000,000"
27,David Peralta,RF,ARI,147,0.907,560,164,30,87,0.293,0.868,"$8,000,000"
28,Adam Jones,CF,BAL,146,0.901,580,163,15,63,0.281,0.732,$0
29,Anthony Rendon,3B,WSH,137,0.846,529,163,24,92,0.308,0.909,"$36,000,000"
30,Marcell Ozuna,LF,STL,150,0.926,582,163,23,88,0.28,0.758,"$16,000,000"
31,Jose Martinez,1B,STL,152,0.938,534,163,17,83,0.305,0.821,$0
32,Andrelton Simmons,SS,LAA,148,0.914,554,162,11,75,0.292,0.754,"$4,000,000"
33,Marcus Semien,SS,OAK,159,0.982,632,161,15,70,0.255,0.706,"$25,000,000"
34,Eddie Rosario,LF,MIN,139,0.858,559,161,24,77,0.288,0.803,"$9,000,000"
35,Brian Anderson,RF,MIA,156,0.969,590,161,11,65,0.273,0.757,"$4,475,000"
36,Anthony Rizzo,1B,CHC,154,0.945,566,160,25,101,0.283,0.846,"$16,000,000"
37,Jed Lowrie,2B,OAK,157,0.969,596,159,23,99,0.267,0.801,"$850,000"
38,Ender Inciarte,CF,ATL,156,0.963,597,158,10,61,0.265,0.705,$0
39,Yulieski Gurriel,1B,HOU,136,0.84,537,156,13,85,0.291,0.751,"$8,000,000"
40,Eric Hosmer,1B,SD,157,0.969,613,155,18,69,0.253,0.72,"$20,000,000"
41,Starling Marte,CF,PIT,146,0.907,559,155,20,72,0.277,0.787,"$17,000,000"
42,Eduardo Escobar,3B,ARI,152,0.938,566,154,23,84,0.272,0.824,"$10,000,000"
43,Cesar Hernandez,2B,PHI,161,0.994,605,153,15,60,0.253,0.718,"$4,000,000"
44,Matt Chapman,3B,OAK,145,0.895,547,152,24,68,0.278,0.864,"$13,000,000"
45,Corey Dickerson,LF,PIT,135,0.839,504,151,13,55,0.3,0.804,"$5,000,000"
46,Dee Gordon,2B,SEA,142,0.877,556,149,4,36,0.268,0.637,"$1,000,000"
47,Freddy Galvis,SS,SD,162,1,602,149,13,67,0.248,0.68,$0
48,Eugenio Suarez,3B,CIN,144,0.889,527,149,34,104,0.283,0.892,"$11,000,000"
49,Shin-Soo Choo,DH,TEX,146,0.901,560,148,21,62,0.264,0.812,$0
50,Xander Bogaerts,SS,BOS,136,0.84,513,148,23,103,0.289,0.883,"$20,000,000"
51,Matt Duffy,3B,TB,133,0.821,503,148,4,44,0.294,0.727,$0
52,Mike Trout,CF,LAA,140,0.864,471,147,39,79,0.312,1.088,"$35,450,000"
53,D.J. LeMahieu,2B,COL,129,0.791,533,147,15,62,0.276,0.749,"$15,000,000"
