Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
268,Stephen Vogt,C,SF,99,0.611,255,67,10,40,0.263,0.804,"$850,000"
269,Dawel Lugo,SS,DET,77,0.478,272,66,6,26,0.243,0.643,$0
270,Matt Beaty,3B,LAD,99,0.611,249,66,9,46,0.265,0.775,"$700,000"
271,Victor Caratini,C,CHC,95,0.586,244,65,11,34,0.266,0.794,"$2,000,000"
272,Gerardo Parra,RF,WSH,119,0.735,274,64,9,48,0.234,0.684,$0
273,Austin Romine,C,NYY,73,0.451,228,64,8,35,0.281,0.748,$0
274,Phillip Ervin,CF,CIN,94,0.58,236,64,7,23,0.271,0.797,$0
275,Austin Nola,C,SEA,79,0.488,238,64,10,31,0.269,0.796,"$700,000"
276,Ryan O'Hearn,1B,KC,105,0.648,328,64,14,38,0.195,0.65,"$1,250,000"
277,Josh Naylor,1B,SD,94,0.58,253,63,8,32,0.249,0.719,"$1,200,000"
278,Tyler Flowers,C,ATL,85,0.525,271,62,11,34,0.229,0.733,$0
279,Austin Riley,3B,ATL,80,0.494,274,62,18,49,0.226,0.75,"$4,000,000"
280,Joey Gallo,LF,TEX,71,0.438,241,61,22,49,0.253,0.986,"$10,275,000"
281,Bo Bichette,SS,TOR,46,0.284,196,61,11,21,0.311,0.93,"$723,550"
282,Ronny Rodriguez,2B,DET,85,0.528,275,61,14,43,0.222,0.693,$0
283,Steven Duggar,CF,SF,74,0.457,261,61,4,28,0.234,0.619,"$700,000"
284,Francisco Mejia,C,SD,79,0.488,226,60,8,22,0.266,0.754,"$1,455,000"
285,Clint Frazier,OF,NYY,69,0.426,225,60,12,38,0.267,0.806,"$1,500,000"
286,Matt Joyce,LF,ATL,129,0.796,200,59,7,23,0.295,0.858,$0
287,Richie Martin,SS,BAL,120,0.741,283,59,6,23,0.209,0.581,$0
288,Adam Haseley,OF,PHI,68,0.42,222,59,5,26,0.266,0.72,$0
289,Curtis Granderson,LF,MIA,138,0.852,317,58,12,34,0.183,0.637,$0
290,Yonder Alonso,1B,COL,121,0.747,292,58,10,37,0.199,0.641,$0
291,Martin Prado,1B,MIA,104,0.642,245,57,2,15,0.233,0.559,$0
292,Aledmys Diaz,SS,HOU,69,0.426,210,57,9,40,0.271,0.823,"$4,450,000"
293,Ian Kinsler,2B,SD,87,0.537,258,56,9,22,0.217,0.646,$0
