Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
1,Trea Turner,SS,WSH,59,0.983,233,78,12,41,0.335,0.982,"$21,000,000"
2,Marcell Ozuna,LF,ATL,60,1,228,77,18,56,0.338,1.067,"$16,000,000"
3,Jose Abreu,1B,CHW,60,1,240,76,19,60,0.317,0.987,"$14,000,000"
4,Freddie Freeman,1B,ATL,60,1,214,73,13,53,0.341,1.102,"$20,000,000"
5,D.J. LeMahieu,2B,NYY,50,0.833,195,71,10,27,0.364,1.011,"$15,000,000"
6,Whit Merrifield,CF,KC,60,1,248,70,9,30,0.282,0.764,"$7,000,000"
7,Manny Machado,3B,SD,60,1,224,68,16,47,0.304,0.95,"$30,000,000"
8,Trevor Story,SS,COL,59,0.983,235,68,11,28,0.289,0.874,"$20,000,000"
9,Charlie Blackmon,RF,COL,59,0.983,221,67,6,42,0.303,0.804,"$21,000,000"
10,Tim Anderson,SS,CHW,49,0.817,208,67,10,21,0.322,0.886,"$9,500,000"
11,David Fletcher,2B,LAA,49,0.817,207,66,3,18,0.319,0.801,"$4,000,000"
12,Dansby Swanson,SS,ATL,60,1,237,65,10,35,0.274,0.809,"$10,100,000"
13,Michael Conforto,RF,NYM,54,0.9,202,65,9,31,0.322,0.927,$0
14,Corey Seager,SS,LAD,52,0.867,212,65,15,41,0.307,0.943,"$37,500,000"
15,Mookie Betts,RF,LAD,55,0.917,219,64,16,39,0.292,0.927,"$14,500,000"
16,Lourdes Gurriel Jr.,LF,TOR,57,0.95,208,64,11,33,0.308,0.882,"$4,500,000"
17,Eloy Jimenez,DH,CHW,55,0.917,213,63,14,41,0.296,0.891,"$6,500,000"
18,Donovan Solano,2B,SF,54,0.9,190,62,3,29,0.326,0.828,"$4,500,000"
19,Maikel Franco,3B,KC,60,1,223,62,8,38,0.278,0.778,"$1,000,000"
20,Hanser Alberto,2B,BAL,54,0.9,219,62,3,22,0.283,0.698,"$1,350,000"
21,Alex Verdugo,RF,BOS,53,0.883,201,62,6,15,0.309,0.844,"$3,550,000"
22,Fernando Tatis Jr.,SS,SD,59,0.983,224,62,17,45,0.277,0.937,"$5,000,000"
23,Didi Gregorius,SS,PHI,60,1,215,61,10,40,0.284,0.827,"$14,500,000"
24,Xander Bogaerts,SS,BOS,56,0.933,203,61,11,28,0.301,0.867,"$20,000,000"
25,David Peralta,RF,ARI,54,0.9,203,61,5,34,0.301,0.773,"$8,000,000"
26,Rafael Devers,3B,BOS,57,0.95,232,61,11,43,0.263,0.793,"$11,200,000"
27,Kevin Pillar,CF,COL,54,0.9,208,60,6,26,0.289,0.798,$0
28,Randal Grichuk,CF,TOR,55,0.917,216,59,12,35,0.273,0.793,"$3,950,000"
29,Christian Walker,1B,ARI,57,0.95,218,59,7,34,0.271,0.792,"$2,600,000"
30,Raimel Tapia,CF,COL,51,0.85,184,59,1,17,0.321,0.772,"$3,950,000"
31,Luke Voit,1B,NYY,56,0.933,213,59,22,52,0.277,0.948,"$5,450,000"
32,Isiah Kiner-Falefa,3B,TEX,59,0.983,211,59,3,10,0.28,0.699,"$4,700,000"
33,Paul Goldschmidt,1B,STL,58,1,191,58,6,21,0.304,0.883,"$26,000,000"
34,Vladimir Guerrero Jr.,3B,TOR,60,1,221,58,9,33,0.262,0.791,"$7,900,000"
35,Wil Myers,LF,SD,55,0.917,198,57,15,40,0.288,0.959,"$20,000,000"
36,Mike Yastrzemski,RF,SF,54,0.9,192,57,10,35,0.297,0.968,"$3,700,000"
37,Jeff McNeil,3B,NYM,52,0.867,183,57,4,23,0.312,0.836,"$3,000,000"
38,Nelson Cruz,DH,MIN,53,0.883,185,56,16,33,0.303,0.992,"$12,000,000"
39,Mike Trout,CF,LAA,53,0.883,199,56,17,46,0.281,0.993,"$35,450,000"
40,Kyle Tucker,LF,HOU,58,0.967,209,56,9,42,0.268,0.837,"$700,000"
41,Adalberto Mondesi,SS,KC,59,0.983,219,56,6,22,0.256,0.71,"$3,000,000"
42,Nick Solak,2B,TEX,58,0.967,209,56,2,23,0.268,0.671,"$720,000"
43,Dominic Smith,1B,NYM,50,0.833,177,56,10,42,0.316,0.993,"$3,950,000"
44,Victor Reyes,RF,DET,57,0.983,202,56,4,14,0.277,0.706,"$1,400,000"
45,Andrew McCutchen,LF,PHI,57,0.95,217,55,10,34,0.254,0.757,"$8,500,000"
46,Tommy La Stella,2B,OAK,55,0.917,196,55,5,25,0.281,0.819,"$5,250,000"
47,Jeimer Candelario,3B,DET,52,0.897,185,55,7,29,0.297,0.872,"$5,800,000"
48,Cavan Biggio,2B,TOR,59,0.983,220,55,8,28,0.25,0.807,"$2,122,500"
49,Teoscar Hernandez,DH,TOR,50,0.833,190,55,16,34,0.29,0.919,"$10,650,000"
50,Robinson Cano,2B,NYM,49,0.817,171,54,10,30,0.316,0.896,"$20,250,000"
51,A.J. Pollock,LF,LAD,55,0.917,196,54,16,34,0.276,0.881,"$10,000,000"
52,Anthony Rendon,3B,LAA,52,0.867,189,54,9,31,0.286,0.915,"$36,000,000"
53,Jackie Bradley Jr.,CF,BOS,55,0.917,191,54,7,22,0.283,0.814,"$9,500,000"
54,Jorge Polanco,SS,MIN,55,0.917,209,54,4,19,0.258,0.658,"$5,500,000"
55,Eddie Rosario,LF,MIN,57,0.95,210,54,13,42,0.257,0.792,"$9,000,000"
56,Kyle Lewis,LF,SEA,58,0.967,206,54,11,28,0.262,0.801,$0
57,Juan Soto,LF,WSH,47,0.783,154,54,13,37,0.351,1.185,"$17,100,000"
58,Alec Bohm,3B,PHI,44,0.733,160,54,4,23,0.338,0.881,"$700,000"
59,Trent Grisham,CF,SD,59,0.983,215,54,10,26,0.251,0.808,"$700,000"
60,Jose Iglesias,SS,BAL,39,0.65,142,53,3,24,0.373,0.956,"$5,000,000"
61,Wilmer Flores,2B,SF,55,0.917,198,53,12,32,0.268,0.83,"$3,500,000"
62,Travis d'Arnaud,C,ATL,44,0.733,165,53,9,34,0.321,0.919,"$8,000,000"
63,Nick Ahmed,SS,ARI,57,0.95,199,53,5,29,0.266,0.729,"$8,250,000"
64,Carlos Correa,SS,HOU,58,0.967,201,53,5,25,0.264,0.709,"$35,100,000"
65,Jesus Aguilar,1B,MIA,51,0.85,188,52,8,34,0.277,0.809,"$7,300,000"
66,Ketel Marte,2B,ARI,45,0.75,181,52,2,17,0.287,0.732,"$11,000,000"
67,Brandon Lowe,2B,TB,56,0.933,193,52,14,37,0.269,0.916,"$4,000,000"
68,Brandon Nimmo,CF,NYM,55,0.917,186,52,8,18,0.28,0.888,"$7,000,000"
69,J.P. Crawford,SS,SEA,53,0.883,204,52,2,24,0.255,0.674,"$10,000,000"
70,Miguel Cabrera,DH,DET,57,0.983,204,51,10,35,0.25,0.746,"$32,000,000"
71,Michael Brantley,LF,HOU,46,0.767,170,51,5,22,0.3,0.84,"$16,000,000"
72,Bryce Harper,RF,PHI,58,0.967,190,51,13,33,0.268,0.962,"$26,000,000"
73,Jean Segura,2B,PHI,54,0.9,192,51,7,25,0.266,0.769,"$14,250,000"
74,Ian Happ,CF,CHC,57,0.95,198,51,12,28,0.258,0.866,"$6,850,000"
75,Tommy Edman,LF,STL,55,0.948,204,51,5,26,0.25,0.685,"$700,000"
76,Cody Bellinger,CF,LAD,56,0.933,213,51,12,30,0.239,0.789,"$17,000,000"
77,Brian Anderson,RF,MIA,59,0.983,200,51,11,38,0.255,0.81,"$4,475,000"
78,Salvador Perez,C,KC,37,0.617,150,50,11,32,0.333,0.986,"$18,000,000"
79,Jurickson Profar,2B,SD,56,0.933,180,50,7,25,0.278,0.771,"$8,000,000"
80,Corey Dickerson,LF,MIA,52,0.867,194,50,7,17,0.258,0.713,"$5,000,000"
81,George Springer,CF,HOU,51,0.85,189,50,14,32,0.265,0.899,"$28,000,000"
82,Chris Taylor,2B,LAD,56,0.933,185,50,8,32,0.27,0.842,"$15,000,000"
83,Renato Nunez,3B,BAL,52,0.867,195,50,12,31,0.256,0.816,$0
84,Evan Longoria,3B,SF,53,0.883,193,49,7,28,0.254,0.722,"$14,500,000"
85,Kyle Seager,3B,SEA,60,1,203,49,9,40,0.241,0.788,$0
86,Christian Vazquez,C,BOS,47,0.783,173,49,7,23,0.283,0.801,"$7,000,000"
87,Nick Castellanos,RF,CIN,60,1,218,49,14,34,0.225,0.784,"$20,000,000"
88,Yulieski Gurriel,1B,HOU,57,0.95,211,49,6,22,0.232,0.658,"$8,000,000"
89,Jake Cronenworth,SS,SD,54,0.9,172,49,4,20,0.285,0.831,"$700,000"
90,Joe Wendle,2B,TB,50,0.833,168,48,4,17,0.286,0.777,"$4,500,000"
91,Kolten Wong,2B,STL,53,0.914,181,48,1,16,0.265,0.675,"$8,000,000"
92,Willy Adames,SS,TB,54,0.9,185,48,8,23,0.26,0.813,"$4,600,000"
93,Adam Frazier,2B,PIT,58,0.967,209,48,7,23,0.23,0.661,"$7,500,000"
94,Pete Alonso,1B,NYM,57,0.95,208,48,16,35,0.231,0.817,"$7,400,000"
95,Marcus Semien,SS,OAK,53,0.883,211,47,7,23,0.223,0.679,"$25,000,000"
96,Mark Canha,LF,OAK,59,0.983,191,47,5,33,0.246,0.795,"$14,000,000"
97,Luis Robert,CF,CHW,56,0.933,202,47,11,31,0.233,0.738,"$6,000,000"
98,J.D. Davis,LF,NYM,56,0.933,190,47,6,19,0.247,0.761,"$2,760,000"
99,Asdrubal Cabrera,3B,WSH,52,0.867,190,46,8,31,0.242,0.753,$0
100,Josh Reddick,RF,HOU,56,0.933,188,46,4,23,0.245,0.693,$0
101,Brandon Belt,1B,SF,51,0.85,149,46,9,30,0.309,1.015,"$18,400,000"
102,Justin Turner,3B,LAD,42,0.7,150,46,4,23,0.307,0.86,"$16,000,000"
103,Nolan Arenado,3B,COL,48,0.8,182,46,8,26,0.253,0.738,"$29,429,500"
104,J.T. Realmuto,C,PHI,47,0.783,173,46,11,32,0.266,0.84,"$23,875,000"
105,Willson Contreras,C,CHC,57,0.95,189,46,7,26,0.243,0.763,"$7,500,000"
106,Keston Hiura,2B,MIL,59,0.983,217,46,13,32,0.212,0.707,"$700,000"
107,Anthony Rizzo,1B,CHC,58,0.967,203,45,11,24,0.222,0.755,"$16,000,000"
108,J.D. Martinez,DH,BOS,54,0.9,211,45,7,27,0.213,0.68,"$19,350,000"
109,Jonathan Schoop,2B,DET,44,0.759,162,45,8,23,0.278,0.799,"$7,500,000"
110,Javier Baez,SS,CHC,59,0.983,222,45,8,24,0.203,0.599,"$20,000,000"
111,Adam Duvall,RF,ATL,57,0.95,190,45,16,33,0.237,0.833,"$9,500,000"
112,Yoan Moncada,3B,CHW,52,0.867,200,45,6,24,0.225,0.705,"$14,000,000"
113,Giovanny Urshela,3B,NYY,43,0.717,151,45,6,30,0.298,0.86,"$6,550,000"
114,Alex Dickerson,LF,SF,52,0.867,151,45,10,27,0.298,0.947,"$1,000,000"
115,Orlando Arcia,SS,MIL,59,0.983,173,45,5,20,0.26,0.734,"$1,600,000"
116,Austin Riley,3B,ATL,51,0.85,188,45,8,27,0.239,0.716,"$4,000,000"
117,Willi Castro,SS,DET,36,0.621,129,45,6,24,0.349,0.932,$0
118,Brandon Crawford,SS,SF,54,0.9,172,44,8,28,0.256,0.792,"$16,000,000"
119,Josh Bell,1B,PIT,57,0.95,195,44,8,22,0.226,0.669,"$10,000,000"
