Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
1,Trea Turner,SS,LAD,148,0.914,595,195,28,77,0.328,0.911,"$21,000,000"
2,Bo Bichette,SS,TOR,159,0.982,640,191,29,102,0.298,0.828,"$723,550"
3,Vladimir Guerrero Jr.,1B,TOR,161,0.994,604,188,48,111,0.311,1.002,"$7,900,000"
4,Whit Merrifield,RF,KC,162,1,664,184,10,74,0.277,0.713,"$7,000,000"
5,Freddie Freeman,1B,ATL,160,0.994,600,180,31,83,0.3,0.895,"$20,000,000"
6,Austin Riley,3B,ATL,161,1,590,179,33,107,0.303,0.898,"$4,000,000"
7,Paul Goldschmidt,1B,STL,158,0.975,603,177,31,99,0.294,0.879,"$26,000,000"
8,Adam Frazier,2B,SD,155,0.957,577,176,5,43,0.305,0.779,"$7,500,000"
9,Cedric Mullins,CF,BAL,159,0.982,602,175,30,59,0.291,0.878,"$700,000"
10,Jonathan Schoop,2B,DET,156,0.963,623,173,22,84,0.278,0.755,"$7,500,000"
11,Marcus Semien,SS,TOR,162,1,652,173,45,102,0.265,0.873,"$25,000,000"
12,Isiah Kiner-Falefa,SS,TEX,158,0.975,635,172,8,53,0.271,0.67,"$4,700,000"
13,Salvador Perez,C,KC,161,0.994,620,169,48,121,0.273,0.859,"$18,000,000"
14,Bryan Reynolds,LF,PIT,159,0.982,559,169,24,90,0.302,0.912,"$6,750,000"
15,Yulieski Gurriel,1B,HOU,143,0.883,530,169,15,81,0.319,0.846,"$8,000,000"
16,J.P. Crawford,SS,SEA,160,0.988,619,169,9,54,0.273,0.714,"$10,000,000"
17,Tommy Edman,2B,STL,159,0.982,641,168,11,56,0.262,0.695,"$700,000"
18,Jose Altuve,2B,HOU,146,0.901,602,167,31,83,0.277,0.838,"$26,000,000"
19,Ty France,DH,SEA,152,0.938,571,166,18,73,0.291,0.813,"$700,000"
20,Rafael Devers,3B,BOS,156,0.963,591,165,38,113,0.279,0.89,"$11,200,000"
21,Nick Castellanos,RF,CIN,138,0.852,531,164,34,100,0.309,0.939,"$20,000,000"
22,David Fletcher,2B,LAA,157,0.969,626,164,2,47,0.262,0.622,"$4,000,000"
23,J.D. Martinez,DH,BOS,148,0.914,570,163,28,99,0.286,0.867,"$19,350,000"
24,Tim Anderson,SS,CHW,123,0.759,527,163,17,61,0.309,0.806,"$9,500,000"
25,Teoscar Hernandez,DH,TOR,143,0.883,550,163,32,116,0.296,0.87,"$10,650,000"
26,Ozzie Albies,2B,ATL,157,0.975,629,163,30,106,0.259,0.799,"$5,000,000"
