Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
1,Charlie Blackmon,CF,COL,159,0.982,644,215,37,104,0.334,1.007,"$21,000,000"
2,Jose Altuve,2B,HOU,153,0.944,590,204,24,81,0.346,0.957,"$26,000,000"
3,Ender Inciarte,CF,ATL,157,0.969,662,201,11,57,0.304,0.759,$0
4,Dee Gordon,2B,MIA,158,0.975,653,200,2,33,0.306,0.713,"$1,000,000"
5,Eric Hosmer,1B,KC,162,1,603,192,25,94,0.318,0.882,"$20,000,000"
6,Elvis Andrus,SS,TEX,158,0.975,643,191,20,88,0.297,0.808,"$6,750,000"
7,D.J. LeMahieu,2B,COL,155,0.957,609,189,8,64,0.31,0.783,"$15,000,000"
8,Marcell Ozuna,CF,MIA,159,0.982,613,189,37,124,0.308,0.917,"$16,000,000"
9,Jose Abreu,1B,CHW,156,0.963,621,189,33,102,0.304,0.906,"$14,000,000"
10,Nolan Arenado,3B,COL,159,0.982,606,187,37,130,0.309,0.959,"$29,429,500"
11,Jonathan Schoop,2B,BAL,160,0.988,622,182,32,105,0.293,0.841,"$7,500,000"
12,Joey Votto,1B,CIN,162,1,559,179,36,100,0.32,1.032,"$25,000,000"
13,Melky Cabrera,LF,KC,156,0.963,620,177,17,85,0.286,0.746,$0
14,Lorenzo Cain,CF,KC,155,0.957,584,177,15,50,0.303,0.809,"$17,000,000"
15,Daniel Murphy,2B,WSH,144,0.889,534,172,23,93,0.322,0.928,$0
16,Avisail Garcia,RF,CHW,136,0.84,518,171,18,79,0.33,0.885,"$12,000,000"
17,Adam Jones,CF,BAL,147,0.907,597,170,26,73,0.285,0.787,$0
18,Christian Yelich,LF,MIA,156,0.963,602,170,18,81,0.282,0.807,"$22,000,000"
19,Giancarlo Stanton,RF,MIA,159,0.982,597,169,59,132,0.283,1.01,"$19,000,000"
20,Whit Merrifield,2B,KC,145,0.895,587,169,19,78,0.288,0.784,"$7,000,000"
21,Nick Castellanos,3B,DET,157,0.969,614,167,26,101,0.272,0.811,"$20,000,000"
22,Robinson Cano,2B,SEA,150,0.926,592,166,23,97,0.28,0.791,"$20,250,000"
23,Paul Goldschmidt,1B,ARI,155,0.957,558,166,36,120,0.298,0.966,"$26,000,000"
24,Brian Dozier,2B,MIN,152,0.938,617,166,34,93,0.269,0.853,$0
25,Corey Dickerson,OF,TB,150,0.926,588,166,27,62,0.282,0.815,"$5,000,000"
26,Mookie Betts,RF,BOS,153,0.944,628,165,24,102,0.263,0.798,"$14,500,000"
27,Andrelton Simmons,SS,LAA,158,0.975,589,164,14,69,0.278,0.752,"$4,000,000"
28,Nick Markakis,RF,ATL,160,0.988,593,163,8,76,0.275,0.738,$0
29,Brandon Phillips,2B,LAA,144,0.889,572,163,13,60,0.285,0.735,$0
30,Manny Machado,3B,BAL,156,0.963,630,163,33,95,0.259,0.782,"$30,000,000"
31,Kris Bryant,3B,CHC,151,0.932,549,162,29,73,0.295,0.946,"$24,000,000"
32,Joe Mauer,1B,MIN,141,0.87,525,161,7,71,0.307,0.804,$0
33,Evan Longoria,3B,TB,156,0.963,613,160,20,86,0.261,0.737,"$14,500,000"
34,Nelson Cruz,DH,SEA,155,0.957,556,160,39,119,0.288,0.924,"$12,000,000"
35,Ryan Zimmerman,1B,WSH,144,0.889,524,159,36,108,0.303,0.93,$0
36,Andrew McCutchen,RF,PIT,156,0.963,570,159,28,88,0.279,0.849,"$8,500,000"
37,Corey Seager,SS,LAD,145,0.895,539,159,22,77,0.295,0.854,"$37,500,000"
38,Trey Mancini,LF,BAL,147,0.907,543,159,24,78,0.293,0.826,"$7,500,000"
39,Buster Posey,C,SF,140,0.864,494,158,12,67,0.32,0.861,$0
40,Alex Bregman,SS,HOU,155,0.957,556,158,19,71,0.284,0.827,"$11,000,000"
41,Yulieski Gurriel,1B,HOU,139,0.858,529,158,18,75,0.299,0.817,"$8,000,000"
42,Jed Lowrie,2B,OAK,153,0.944,567,157,14,69,0.277,0.808,"$850,000"
43,Brett Gardner,LF,NYY,151,0.932,594,157,21,63,0.264,0.778,$0
44,Jean Segura,SS,SEA,125,0.772,524,157,11,45,0.3,0.776,"$14,250,000"
45,Eddie Rosario,LF,MIN,151,0.932,542,157,27,78,0.29,0.836,"$9,000,000"
46,Anthony Rizzo,1B,CHC,157,0.969,572,156,32,109,0.273,0.899,"$16,000,000"
47,Xander Bogaerts,SS,BOS,148,0.914,571,156,10,62,0.273,0.746,"$20,000,000"
48,Ryon Healy,1B,OAK,149,0.92,576,156,25,78,0.271,0.754,$0
49,Freddy Galvis,SS,PHI,162,1,608,155,12,61,0.255,0.69,$0
50,George Springer,RF,HOU,140,0.864,548,155,34,85,0.283,0.889,"$28,000,000"
51,Andrew Benintendi,OF,BOS,151,0.932,573,155,20,90,0.271,0.776,"$7,900,000"
52,Didi Gregorius,SS,NYY,136,0.84,534,154,25,87,0.288,0.799,"$14,500,000"
53,David Peralta,RF,ARI,140,0.864,525,154,14,57,0.293,0.796,"$8,000,000"
54,Aaron Judge,RF,NYY,155,0.957,542,154,52,114,0.284,1.049,"$17,000,000"
55,Anthony Rendon,3B,WSH,147,0.907,508,153,25,100,0.301,0.937,"$36,000,000"
56,Justin Upton,LF,LAA,152,0.938,557,152,35,109,0.273,0.901,$0
57,Justin Smoak,1B,TOR,158,0.975,560,151,38,90,0.27,0.883,$0
