Rank,Player,Pos,Team,GP,GP%,AB,H,HR,RBI,AVG,OPS,Cash2022
1,Derek Jeter,SS,NYY,159,0.982,683,216,15,58,0.316,0.791,$0
2,Miguel Cabrera,1B,DET,161,0.994,622,205,44,139,0.33,0.999,"$32,000,000"
3,Robinson Cano,2B,NYY,161,0.994,627,196,33,94,0.313,0.929,"$20,250,000"
4,Everth Cabrera,SS,SD,230,0.71,796,196,4,48,0.246,0.648,$0
5,Adrian Beltre,3B,TEX,156,0.963,604,194,36,102,0.321,0.921,$0
6,Andrew McCutchen,RF,PIT,157,0.969,593,194,31,96,0.327,0.953,"$8,500,000"
7,Billy Butler,DH,KC,161,0.994,614,192,29,107,0.313,0.882,$0
8,Ryan Braun,LF,MIL,154,0.951,598,191,41,112,0.319,0.987,$0
9,Marco Scutaro,2B,SF,156,0.963,620,190,7,74,0.307,0.753,$0
10,Alex Gordon,LF,KC,161,0.994,642,189,14,72,0.294,0.822,$0
11,Adrian Gonzalez,1B,BOS,159,0.982,629,188,18,108,0.299,0.806,$0
12,Martin Prado,3B,ATL,156,0.963,617,186,10,70,0.302,0.796,$0
13,Adam Jones,CF,BAL,162,1,648,186,32,82,0.287,0.839,$0
14,Jose Reyes,3B,MIA,160,0.988,642,184,11,57,0.287,0.78,$0
15,Aaron Hill,3B,ARI,156,0.963,609,184,26,85,0.302,0.882,$0
16,Alex Rios,RF,CHW,157,0.969,605,184,25,91,0.304,0.85,$0
17,Starlin Castro,2B,CHC,162,1,646,183,14,78,0.283,0.753,$0
18,Prince Fielder,DH,DET,162,1,581,182,30,108,0.313,0.94,$0
19,Mike Trout,CF,LAA,139,0.858,559,182,30,83,0.326,0.963,"$35,450,000"
20,Elvis Andrus,SS,TEX,158,0.975,629,180,3,62,0.286,0.727,"$6,750,000"
21,David Wright,3B,NYM,156,0.963,581,178,21,93,0.306,0.883,$0
22,Ichiro Suzuki,RF,NYY,162,1,629,178,9,55,0.283,0.696,$0
23,Buster Posey,C,SF,148,0.914,530,178,24,103,0.336,0.957,$0
24,Matt Holliday,DH,STL,157,0.969,599,177,27,102,0.296,0.877,$0
25,Alcides Escobar,SS,KC,155,0.957,605,177,5,52,0.293,0.721,"$1,000,000"
26,Joe Mauer,1B,MIN,147,0.907,545,174,10,85,0.319,0.861,$0
27,Angel Pagan,LF,SF,154,0.951,605,174,8,56,0.288,0.778,$0
28,Albert Pujols,DH,LAA,154,0.951,607,173,30,105,0.285,0.859,"$2,500,000"
29,Chase Headley,3B,SD,161,0.994,604,173,31,115,0.286,0.875,$0
30,Aramis Ramirez,3B,MIL,149,0.92,570,171,27,105,0.3,0.901,$0
31,Michael Bourn,CF,ATL,155,0.957,624,171,9,57,0.274,0.739,$0
32,Ian Kinsler,2B,TEX,157,0.969,655,168,19,72,0.257,0.749,$0
33,Torii Hunter,RF,LAA,140,0.864,534,167,16,92,0.313,0.817,$0
34,Jose Altuve,2B,HOU,147,0.907,576,167,7,37,0.29,0.74,"$26,000,000"
35,Daniel Murphy,2B,NYM,156,0.963,571,166,6,65,0.291,0.735,$0
36,Dustin Pedroia,2B,BOS,141,0.87,563,163,15,65,0.29,0.797,$0
37,Brandon Phillips,2B,CIN,147,0.907,580,163,18,77,0.281,0.75,$0
38,Ryan Zimmerman,1B,WSH,145,0.895,578,163,25,95,0.282,0.824,$0
39,Austin Jackson,CF,DET,137,0.846,543,163,16,66,0.3,0.856,$0
40,Josh Hamilton,LF,TEX,148,0.914,562,160,43,127,0.285,0.93,$0
41,Paul Konerko,1B,CHW,144,0.889,533,159,26,75,0.298,0.857,$0
42,Melky Cabrera,LF,SF,113,0.698,459,159,11,60,0.346,0.906,$0
43,Yadier Molina,C,STL,138,0.852,505,159,22,76,0.315,0.874,"$10,000,000"
44,Howie Kendrick,LF,LAA,147,0.907,550,158,8,67,0.287,0.725,$0
45,Andre Ethier,CF,LAD,149,0.92,556,158,20,89,0.284,0.812,$0
46,J.J. Hardy,SS,BAL,158,0.975,663,158,22,68,0.238,0.671,$0
47,Jimmy Rollins,SS,PHI,156,0.963,632,158,23,68,0.25,0.743,$0
48,Jason Heyward,RF,ATL,158,0.975,587,158,27,82,0.269,0.814,"$22,000,000"
49,Alexei Ramirez,SS,CHW,158,0.975,593,157,9,73,0.265,0.651,$0
50,Carlos Gonzalez,RF,COL,135,0.833,518,157,22,85,0.303,0.881,$0
51,Hunter Pence,LF,PHI,160,0.988,617,156,24,104,0.253,0.743,$0
52,Justin Upton,LF,ARI,150,0.926,554,155,17,67,0.28,0.785,$0
53,Hanley Ramirez,DH,LAD,157,0.969,604,155,24,92,0.257,0.759,$0
54,Adam LaRoche,DH,WSH,154,0.951,571,155,33,100,0.272,0.853,$0
55,Kyle Seager,3B,SEA,155,0.957,594,154,20,86,0.259,0.738,$0
56,Delmon Young,LF,DET,151,0.932,574,153,18,74,0.267,0.707,$0
57,Omar Infante,2B,DET,149,0.92,554,152,12,53,0.274,0.719,$0
58,Edwin Encarnacion,DH,TOR,151,0.932,542,152,42,110,0.28,0.941,$0
59,Corey Hart,RF,MIL,149,0.92,562,152,30,83,0.271,0.841,$0
60,Shane Victorino,RF,LAD,154,0.951,595,152,11,55,0.256,0.704,$0
61,Nelson Cruz,DH,TEX,159,0.982,585,152,24,90,0.26,0.779,"$12,000,000"
62,Ben Zobrist,2B,TB,157,0.969,560,151,20,74,0.27,0.848,$0
63,Erick Aybar,SS,LAA,141,0.87,517,150,8,45,0.29,0.74,$0
64,Yonder Alonso,1B,SD,155,0.957,549,150,9,62,0.273,0.741,$0
65,Ben Revere,CF,MIN,124,0.765,511,150,0,32,0.294,0.675,$0
66,Ian Desmond,LF,WSH,130,0.803,513,150,25,73,0.292,0.845,$0
67,Norichika Aoki,LF,MIL,151,0.932,520,150,10,50,0.289,0.787,$0
68,Josh Reddick,RF,OAK,156,0.963,611,148,32,85,0.242,0.768,$0
69,Alfonso Soriano,DH,CHC,151,0.932,561,147,32,108,0.262,0.821,$0
70,Carlos Beltran,DH,STL,151,0.932,547,147,32,97,0.269,0.842,$0
71,Alejandro De Aza,LF,CHW,131,0.809,524,147,9,50,0.281,0.76,$0
72,David Freese,3B,STL,144,0.889,501,147,20,79,0.293,0.839,$0
73,Danny Espinosa,SS,WSH,160,0.988,594,147,17,56,0.248,0.717,$0
74,Paul Goldschmidt,1B,ARI,145,0.895,514,147,20,82,0.286,0.85,"$26,000,000"
75,Jordan Pacheco,3B,COL,132,0.815,475,147,5,54,0.31,0.762,$0
76,Nick Swisher,OF,NYY,148,0.914,537,146,24,93,0.272,0.837,$0
77,Denard Span,CF,MIN,128,0.79,516,146,4,41,0.283,0.738,$0
78,Mark Trumbo,DH,LAA,144,0.889,544,146,32,95,0.268,0.808,$0
79,Allen Craig,RF,STL,119,0.735,469,144,22,92,0.307,0.876,$0
80,Bryce Harper,RF,WSH,139,0.858,533,144,22,59,0.27,0.817,"$26,000,000"
81,Yoenis Cespedes,CF,OAK,129,0.796,487,142,23,82,0.292,0.861,$0
82,Yunel Escobar,3B,TOR,145,0.895,558,141,9,51,0.253,0.644,$0
83,Melvin Upton,LF,TB,146,0.901,573,141,28,78,0.246,0.752,$0
84,Jay Bruce,RF,CIN,155,0.957,560,141,34,99,0.252,0.841,$0
85,Freddie Freeman,1B,ATL,147,0.907,540,140,23,94,0.259,0.796,"$20,000,000"
