"Rank","Player","Pos","Team","GP","GP%","AB","H","HR","RBI","AVG","OPS","Cash2023","Age","Weight","Height",""
"","Mike Moustakas","DH","CIN","78","0.482","252","54","7","25","0.214","0.640","$0","33","225","6'0""",""
"","Victor Caratini","C","MIL","96","0.593","272","54","9","34","0.199","0.642","$2,528,184","28","215","6'1""",""
"","Pavin Smith","RF","ARI","75","0.463","245","54","9","33","0.220","0.667","$0","26","210","6'2""",""
"","Diego Castillo","2B","PIT","96","0.593","262","54","11","29","0.206","0.633","$0","28","170","6'0""",""
"","Eddie Rosario","LF","ATL","80","0.494","250","53","5","24","0.212","0.587","$9,000,000","30","180","6'1""",""
"","Tyler Stephenson","C","CIN","50","0.309","166","53","6","35","0.319","0.854","$0","25","225","6'4""",""
"","Franchy Cordero","1B","BOS","84","0.519","242","53","8","29","0.219","0.697","$0","27","175","6'3""",""
"","Keston Hiura","2B","MIL","80","0.494","234","53","14","32","0.227","0.765","$2,156,734","25","202","6'0""",""
"","Cavan Biggio","2B","TOR","97","0.599","257","52","6","24","0.202","0.668","$2,719,711","27","200","6'2""",""
"","Kyle Higashioka","C","NYY","83","0.512","229","52","10","31","0.227","0.653","$1,755,114","32","202","6'1""",""
"","Mauricio Dubon","CF","HOU","104","0.642","243","52","5","24","0.214","0.565","$818,594","27","160","6'0""",""
"","Nick Madrigal","2B","CHC","59","0.364","209","52","0","7","0.249","0.588","$2,400,000","25","175","5'8""",""
"","Jose Azocar","OF","SD","98","0.605","202","52","0","10","0.257","0.629","$0","26","0","0'0""",""
"","Orlando Arcia","2B","ATL","68","0.420","209","51","9","30","0.244","0.733","$1,300,000","27","187","6'0""",""
"","Aristides Aquino","RF","CIN","80","0.494","259","51","10","30","0.197","0.609","$0","28","220","6'4""",""
"","Nick Fortes","C","MIA","72","0.444","217","50","9","24","0.230","0.696","$0","25","210","6'0""",""
"","Kris Bryant","LF","COL","42","0.259","160","49","5","14","0.306","0.851","$27,000,000","30","230","6'5""",""
"","Austin Hedges","C","CLE","105","0.648","294","48","7","30","0.163","0.489","$5,000,000","29","223","6'1""",""
"","Cal Mitchell","OF","PIT","69","0.426","212","48","5","17","0.226","0.635","$0","23","0","0'0""",""
"","Brad Miller","LF","TEX","81","0.500","222","47","7","32","0.212","0.590","$4,000,000","32","195","6'2""",""
"","Kevin Kiermaier","CF","TB","63","0.389","206","47","7","22","0.228","0.649","$9,000,000","32","210","6'1""",""
"","Rob Refsnyder","RF","BOS","57","0.352","153","47","6","21","0.307","0.881","$1,200,000","31","200","6'0""",""
"","Dylan Moore","2B","SEA","104","0.642","205","46","6","24","0.224","0.753","$1,935,566","29","200","6'0""",""
"","Edward Olivares","OF","KC","53","0.327","161","46","4","15","0.286","0.743","$0","26","188","6'2""",""
"","Bubba Thompson","OF","TEX","55","0.340","170","45","1","9","0.265","0.613","$0","24","0","0'0""",""
"","Sergio Alcantara","3B","ARI","93","0.574","205","45","6","29","0.220","0.617","$0","25","151","5'9""",""
"","LaMonte Wade","LF","SF","77","0.475","217","45","8","26","0.207","0.665","$1,251,179","28","205","6'1""",""
"","Ryan Jeffers","C","MIN","67","0.414","212","44","7","27","0.208","0.648","$0","25","230","6'4""",""
"","Austin Wynns","C","SF","66","0.407","162","42","3","21","0.259","0.671","$0","31","190","6'0""",""
"","Josh Smith","3B","TEX","73","0.451","213","42","2","16","0.197","0.556","$0","24","0","0'0""",""
"","Akil Baddoo","CF","DET","73","0.451","201","41","2","9","0.204","0.558","$0","23","210","6'1""",""
"","Charles Leblanc","SS","MIA","48","0.296","156","41","4","11","0.263","0.723","$0","26","0","0'0""",""
"","Cristian Pache","CF","OAK","91","0.562","241","41","3","18","0.170","0.471","$0","23","215","6'2""",""
"","Vaughn Grissom","SS","ATL","41","0.253","141","41","5","18","0.291","0.792","$0","21","0","0'0""",""
"","Elehuris Montero","3B","COL","53","0.327","176","41","6","20","0.233","0.702","$0","23","235","6'3""",""
"","Luke Maile","C","CLE","76","0.469","181","40","3","17","0.221","0.627","$1,175,000","31","225","6'3""",""
"","Matt Carpenter","3B","NYY","47","0.290","128","39","15","37","0.305","1.138","$6,500,000","36","210","6'4""",""
"","Mitch Garver","C","TEX","54","0.333","188","39","10","24","0.207","0.702","$4,569,656","31","220","6'1""",""
"","Anthony Rendon","3B","LAA","47","0.290","166","38","5","24","0.229","0.706","$38,000,000","32","200","6'1""",""
"","Brian Serven","C","COL","62","0.383","187","38","6","16","0.203","0.593","$0","27","0","0'0""",""
"","Nelson Velazquez","OF","CHC","77","0.475","185","38","6","26","0.205","0.659","$0","23","190","6'0""",""
"","Kevin Plawecki","C","TEX","64","0.395","168","37","1","13","0.220","0.572","$0","31","208","6'2""",""
"","Trevor Larnach","DH","MIN","51","0.315","160","37","5","18","0.231","0.712","$0","25","223","6'4""",""
"","Alex Kirilloff","OF","MIN","45","0.278","144","36","3","21","0.250","0.651","$0","24","195","6'2""",""
"","Jordan Luplow","OF","ARI","83","0.512","205","36","11","28","0.176","0.634","$1,400,000","28","195","6'1""",""
"","David Villar","3B","SF","52","0.321","156","36","9","24","0.231","0.787","$0","25","0","0'0""",""
"","Robinson Chirinos","C","BAL","67","0.414","195","35","4","22","0.180","0.552","$0","38","220","6'1""",""
"","Yu-Cheng Chang","SS","BOS","69","0.426","168","35","4","15","0.208","0.605","$0","26","180","6'1""",""
"","Kyle Garlick","RF","MIN","66","0.407","150","35","9","18","0.233","0.717","$750,000","30","210","6'1""",""
"","Marwin Gonzalez","3B","NYY","86","0.531","184","34","6","18","0.185","0.576","$0","33","205","6'1""",""
"","James McCann","C","NYM","61","0.377","174","34","3","18","0.195","0.538","$1,000,000","32","220","6'3""",""
"","Luis Torrens","C","SEA","57","0.352","151","34","3","15","0.225","0.581","$0","26","175","6'0""",""
"","J.J. Bleday","OF","MIA","65","0.401","204","34","5","16","0.167","0.586","$0","24","205","6'3""",""
"","Jake Meyers","OF","HOU","52","0.321","150","34","1","15","0.227","0.582","$0","26","200","6'0""",""
"","Darick Hall","1B","PHI","42","0.259","136","34","9","16","0.250","0.804","$0","26","0","0'0""",""
"","Paul DeJong","SS","STL","77","0.475","210","33","6","25","0.157","0.530","$9,000,000","28","205","6'0""",""
"","Tucupita Marcano","SS","PIT","49","0.303","160","33","2","13","0.206","0.562","$0","22","170","6'0""",""
"","Zach McKinstry","SS","CHC","57","0.352","166","33","5","14","0.199","0.635","$0","27","180","6'0""",""
"","Jason Delay","C","PIT","57","0.352","155","33","1","11","0.213","0.540","$0","27","0","0'0""",""
"","Austin Meadows","LF","DET","36","0.222","128","32","0","11","0.250","0.675","$4,300,000","27","225","6'3""",""
"","Ryan O'Hearn","1B","KC","67","0.414","134","32","1","16","0.239","0.611","$0","28","200","6'3""",""
"","Alan Trejo","SS","COL","35","0.216","118","32","4","17","0.271","0.736","$0","26","185","6'2""",""
"","Miguel Andujar","3B","PIT","36","0.222","132","31","1","17","0.235","0.568","$1,525,000","27","211","6'0""",""
"","Tyler Nevin","3B","BAL","58","0.358","157","31","2","16","0.198","0.560","$0","25","200","6'4""",""
"","Shea Langeliers","C","OAK","40","0.247","142","31","6","22","0.218","0.691","$0","24","205","6'0""",""
"","Curt Casali","C","SEA","57","0.352","148","30","5","17","0.203","0.649","$2,500,000","33","220","6'2""",""
"","Ernie Clement","2B","OAK","70","0.432","163","30","0","6","0.184","0.452","$0","26","170","6'0""",""
"","David Bote","2B","CHC","41","0.253","116","30","4","12","0.259","0.746","$0","29","205","6'1""",""
"","Charlie Culberson","3B","TEX","70","0.432","115","29","2","12","0.252","0.640","$0","33","200","6'1""",""
"","Sam Huff","C","TEX","44","0.272","121","29","4","10","0.240","0.675","$0","24","230","6'4""",""
"","Jason Heyward","RF","CHC","48","0.296","137","28","1","10","0.204","0.556","$0","32","240","6'5""",""
"","Stephen Vogt","C","OAK","70","0.432","168","27","7","23","0.161","0.562","$0","37","225","6'0""",""
"","Alex Call","OF","WSH","47","0.290","114","27","5","13","0.237","0.748","$0","27","0","0'0""",""
"","Lewin Diaz","1B","MIA","58","0.358","160","27","5","11","0.169","0.512","$0","25","217","6'4""",""
"","Jason Vosler","3B","SF","36","0.222","98","26","4","12","0.265","0.812","$0","28","220","6'1""",""
"","Kerry Carpenter","LF","DET","31","0.191","103","26","6","10","0.252","0.795","$0","24","0","0'0""",""
"","Riley Adams","C","WSH","48","0.296","142","25","5","10","0.176","0.555","$0","26","235","6'4""",""
"","Romy Gonzalez","2B","CHW","32","0.198","105","25","2","11","0.238","0.609","$0","25","215","6'1""",""
"","Jose Barrero","SS","CIN","48","0.296","165","25","2","10","0.152","0.401","$0","24","175","6'2""",""
"","Stuart Fairchild","OF","CIN","46","0.284","97","24","5","6","0.247","0.800","$0","26","190","6'0""",""
"","Dermis Garcia","3B","OAK","39","0.241","116","24","5","20","0.207","0.652","$0","24","0","0'0""",""
"","Drew Waters","OF","KC","32","0.198","96","23","5","18","0.240","0.803","$0","23","185","6'2""",""
"","Jarred Kelenic","LF","SEA","54","0.333","163","23","7","17","0.141","0.534","$0","22","196","6'0""",""
"","Terrin Vavra","SS","BAL","40","0.247","89","23","1","12","0.258","0.677","$0","25","185","6'1""",""
"","Kyle Stowers","CF","BAL","34","0.210","91","23","3","11","0.253","0.724","$0","24","0","0'0""",""
"","Sean Bouchard","1B","COL","27","0.167","74","22","3","11","0.297","0.954","$0","26","0","0'0""",""
"","Eli White","OF","TEX","47","0.290","105","21","3","10","0.200","0.578","$0","28","175","6'2""",""
"","Stone Garrett","OF","ARI","27","0.167","76","21","4","10","0.276","0.848","$0","26","195","6'2""",""
"","Austin Romine","C","CIN","51","0.315","129","20","3","9","0.155","0.435","$0","33","220","6'1""",""
"","Mark Mathias","2B","TEX","30","0.185","81","20","6","20","0.247","0.825","$0","27","200","6'0""",""
"","Taylor Trammell","RF","SEA","43","0.265","102","20","4","10","0.196","0.686","$0","24","215","6'2""",""
"","Josh Jung","3B","TEX","26","0.161","98","20","5","14","0.204","0.654","$0","24","215","6'2""",""
"","Peyton Burdick","CF","MIA","32","0.198","92","19","4","11","0.207","0.665","$0","25","0","0'0""",""
"","Mickey Moniak","CF","LAA","37","0.228","105","18","3","8","0.171","0.514","$0","24","185","6'2""",""
"","Buddy Kennedy","3B","ARI","30","0.185","83","18","1","12","0.217","0.613","$0","23","190","6'1""",""
"","Nick Maton","SS","PHI","35","0.216","72","18","5","17","0.250","0.855","$0","25","178","6'2""",""
"","Ehire Adrianza","SS","ATL","37","0.228","97","17","0","7","0.175","0.470","$0","32","195","6'1""",""
"","Mike Zunino","C","TB","36","0.222","115","17","5","16","0.148","0.499","$6,000,000","31","235","6'2""",""
"","Kody Clemens","2B","DET","57","0.352","117","17","5","17","0.145","0.505","$0","26","170","6'1""",""
"","Conner Capel","RF","OAK","22","0.136","52","16","3","11","0.308","0.875","$0","25","0","0'0""",""
"","Jordan Groshans","SS","MIA","17","0.105","61","16","1","2","0.262","0.619","$0","22","205","6'3""",""
"","Matt Thaiss","1B","LAA","29","0.179","69","15","2","8","0.217","0.640","$0","27","215","6'0""",""
"","Zack Collins","DH","PIT","36","0.222","97","15","4","11","0.155","0.551","$0","27","220","6'3""",""
"","Oswald Peraza","SS","NYY","18","0.111","49","15","1","2","0.306","0.832","$0","22","176","6'0""",""
"","Bradley Zimmer","CF","TOR","109","0.673","105","13","2","5","0.124","0.435","$0","29","220","6'5""",""
"","Nick Ahmed","SS","ARI","17","0.105","52","12","3","7","0.231","0.702","$10,250,000","32","201","6'2""",""
"","Royce Lewis","SS","MIN","12","0.074","40","12","2","5","0.300","0.867","$0","23","200","6'2""",""
"","Jake Hager","OF","ARI","28","0.173","50","12","0","3","0.240","0.625","$0","29","170","6'1""",""
"","Michael Stefanic","2B","LAA","25","0.154","61","12","0","0","0.197","0.509","$0","26","0","0'0""",""
"","Ji-Hwan Bae","SS","PIT","10","0.062","33","11","0","6","0.333","0.830","$0","22","185","6'1""",""
"","Tom Murphy","C","SEA","14","0.086","33","10","1","1","0.303","0.894","$2,094,544","31","218","6'1""",""
"","Miguel Sano","1B","MIN","40","0.124","120","10","2","6","0.083","0.345","$0","29","272","6'4""",""
"","Joshua Palacios","CF","WSH","30","0.185","70","10","2","6","0.143","0.413","$0","26","145","6'0""",""
"","Will Benson","OF","CLE","28","0.173","55","10","0","3","0.182","0.450","$0","24","0","0'0""",""
"","David Hensley","SS","HOU","16","0.099","29","10","1","5","0.345","1.027","$0","26","0","0'0""",""
"","Jason Castro","C","HOU","34","0.210","78","9","1","3","0.115","0.384","$0","35","215","6'3""",""
"","Tres Barrera","C","WSH","19","0.117","50","9","0","4","0.180","0.412","$0","27","206","6'0""",""
"","Connor Wong","C","BOS","27","0.167","48","9","1","7","0.188","0.585","$0","26","181","6'1""",""
"","Gabriel Arias","SS","CLE","16","0.099","47","9","1","5","0.192","0.641","$0","22","201","6'1""",""
"","Chuckie Robinson","C","CIN","25","0.154","59","8","2","5","0.136","0.407","$0","27","0","0'0""",""
"","Adalberto Mondesi","SS","KC","15","0.093","50","7","0","3","0.140","0.344","$3,045,000","26","190","6'1""",""
"","Mark Contreras","OF","MIN","28","0.173","58","7","3","6","0.121","0.441","$0","27","0","0'0""",""
"","Brett Baty","3B","NYM","11","0.068","38","7","2","5","0.184","0.586","$0","22","0","0'0""",""
"","Ezequiel Tovar","SS","COL","9","0.056","33","7","1","2","0.212","0.590","$0","20","162","6'0""",""
"","Mark Vientos","3B","NYM","16","0.099","36","6","1","3","0.167","0.546","$0","22","185","6'4""",""
"","Anthony Bemboom","C","BAL","22","0.136","52","6","1","1","0.115","0.418","$0","32","200","6'2""",""
"","Sebastian Rivero","C","KC","17","0.105","26","4","0","1","0.154","0.368","$0","23","195","6'1""",""
"","Carlos Perez","C","CHW","7","0.043","18","4","0","2","0.222","0.556","$0","25","0","0'0""",""
"","Alex Jackson","C","MIL","5","0.031","12","3","0","0","0.250","0.500","$0","26","215","6'2""",""
"","Brandon Dixon","1B","SD","5","0.031","14","3","0","1","0.214","0.500","$0","30","215","0'0""",""
"","Ben DeLuzio","CF","STL","22","0.136","20","3","0","0","0.150","0.492","$0","27","190","6'3""",""
"","Chadwick Tromp","C","ATL","1","0.006","4","3","0","3","0.750","2.000","$0","27","221","5'8""",""
"","Mark Payton","LF","CHW","8","0.049","21","3","0","1","0.143","0.423","$0","30","190","5'8""",""
"","Manuel Pina","C","ATL","5","0.031","14","2","0","2","0.143","0.378","$4,500,000","35","222","6'0""",""
"","Brendon Davis","SS","DET","3","0.019","10","2","0","0","0.200","0.473","$0","24","185","6'4""",""
"","Heliot Ramos","OF","SF","9","0.056","20","2","0","0","0.100","0.282","$0","22","188","6'0""",""
"","Ford Proctor","SS","SF","7","0.043","18","2","1","6","0.111","0.460","$0","25","195","6'1""",""
"","Billy Hamilton","CF","MIN","37","0.228","20","1","0","0","0.050","0.186","$0","31","160","6'0""",""
"","Kevin Pillar","CF","LAD","4","0.025","12","1","0","0","0.083","0.321","$0","33","210","6'0""",""
"","Terrance Gore","CF","NYM","10","0.062","7","1","0","0","0.143","0.286","$0","31","160","5'7""",""
"","Simon Muzziotti","OF","PHI","9","0.056","7","1","0","0","0.143","0.393","$0","23","175","6'1""",""
"","Vinny Capra","SS","TOR","8","0.049","5","1","0","0","0.200","0.629","$0","25","0","0'0""",""
"","Canaan Smith-Njigba","LF","PIT","3","0.019","5","1","0","0","0.200","0.829","$0","23","215","6'0""",""
"","Tyler Anderson","SP","LAD","31","0.191","1","0","0","0","0.000","0.000","$13,000,000","32","213","6'2""",""
"","Jose Alvarado","RP","PHI","59","0.364","1","0","0","0","0.000","0.000","$4,007,410","27","245","6'2""",""
"","Reiver Sanmartin","RP","CIN","45","0.278","2","0","0","0","0.000","0.000","$0","26","160","6'2""",""
