Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Juegos_iniciados_t,Inning_pitched_t,Bateos_pitcher_t,Carreras_t,Carreras_ganadas_t,Walks_t,Strike_outs_t,Wins_t,Losses_t,Saves_t,WHIP_t,ERA_t,Equipo_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Dominio_t,Control_t,Comando_t,Juegos_2_t,Juegos_iniciados_2_t,Inning_pitched_2_t,Bateos_pitcher_2_t,Carreras_2_t,Carreras_ganadas_2_t,Walks_2_t,Strike_outs_2_t,Wins_2_t,Losses_2_t,Saves_2_t,WHIP_2_t,ERA_2_t,Control_2_t,Comando_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Juegos_iniciados_t_1,Inning_pitched_t_1,Bateos_pitcher_t_1,Carreras_t_1,Carreras_ganadas_t_1,Walks_t_1,Strike_outs_t_1,Wins_t_1,Losses_t_1,Saves_t_1,WHIP_t_1,ERA_t_1,Equipo_t_1,Dominio_t_1,Control_t_1,Comando_t_1,Juegos_2_t_1,Juegos_iniciados_2_t_1,Inning_pitched_2_t_1,Bateos_pitcher_2_t_1,Carreras_2_t_1,Carreras_ganadas_2_t_1,Walks_2_t_1,Strike_outs_2_t_1,Wins_2_t_1,Losses_2_t_1,Saves_2_t_1,WHIP_2_t_1,ERA_2_t_1,Control_2_t_1,Comando_2_t_1
Colby Lewis,6,1,6000000,6000000,19,19,116.3,103,53,48,28,73,6,5,0,1.13,3.71,TEX,15.60727002719233,15.60727002719233,15.60727002719233,0.0697430018152288,0.0267507404222795,2.607142857142857,361,361,13525.69,10609,2809,2304,784,5329,36,25,0,1.2768999999999997,13.7641,0.0007156021131401,6.79719387755102,5,1,4000000,4000000,33,33,204.7,211,114,106,42,142,17,9,0,1.24,4.66,TEX,0.0770775660858709,0.0227975899690604,3.380952380952381,1089,1089,41902.09,44521,12996,11236,1764,20164,289,81,0,1.5376,21.7156,0.0005197301083974,11.430839002267572
Dallas Keuchel,10,3,55500000,18500000,11,11,63.3,52,15,14,17,42,6,2,0,1.09,1.99,CHW,16.70588231586044,16.70588231586044,15.712630592850154,0.0737230121116377,0.0298402668070914,2.4705882352941178,121,121,4006.89,2704,225,196,289,1764,36,4,0,1.1881000000000002,3.9601,0.0008904415231184,6.103806228373703,9,1,21210000,21210000,19,19,112.7,115,50,47,39,91,8,8,0,1.37,3.75,ATL,0.0897170462387853,0.0384501626737651,2.333333333333333,361,361,12701.29,13225,2500,2209,1521,8281,64,64,0,1.8769,14.0625,0.001478415009639,5.4444444444444455
Dan Haren,4,1,10000000,10000000,32,32,186.0,183,101,83,36,145,13,11,0,1.18,4.02,LAD,16.11809565095832,16.213405830762646,16.213405830762646,0.0866188769414575,0.021505376344086,4.027777777777778,1024,1024,34596.0,33489,10201,6889,1296,21025,169,121,0,1.3924,16.160399999999996,0.0004624812117007,16.222993827160494,3,1,13000000,13000000,31,30,169.7,179,92,88,31,151,10,14,1,1.24,4.67,WSH,0.0988672821318667,0.0202972565966083,4.870967741935484,961,900,28798.09,32041,8464,7744,961,22801,100,196,1,1.5376,21.8089,0.0004119786253485,23.726326742976067
Edinson Volquez,5,2,20000000,10000000,35,34,206.0,195,94,81,74,161,13,9,0,1.31,3.54,KC,15.830413578506539,15.830413578506539,15.830413578506539,0.0868392664509169,0.0399137001078748,2.175675675675676,1225,1156,42436.0,38025,8836,6561,5476,25921,169,81,0,1.7161000000000002,12.5316,0.0015931034563013,4.733564645726808,4,1,5000000,5000000,32,31,192.7,166,75,65,71,140,13,7,0,1.23,3.04,PIT,0.0807242114974341,0.040938707259413,1.971830985915493,1024,961,37133.28999999999,27556,5625,4225,5041,19600,169,49,0,1.5129,9.2416,0.0016759777520719,3.888117437016465
Edwin Jackson,7,1,2450000,2450000,22,13,76.0,86,53,44,29,60,5,6,0,1.51,5.21,WSH,13.815510557964274,13.815510557964274,12.936669741536956,0.087719298245614,0.0423976608187134,2.0689655172413794,484,169,5776.0,7396,2809,1936,841,3600,25,36,0,2.2801,27.1441,0.0017975616428986,4.280618311533889,6,1,507500,507500,24,13,84.0,92,56,55,41,61,5,7,0,1.58,5.89,SD,0.0806878306878306,0.0542328042328042,1.4878048780487805,576,169,7056.0,8464,3136,3025,1681,3721,25,49,0,2.4964000000000004,34.6921,0.0029411970549536,2.2135633551457468
Edwin Jackson,3,4,52000000,13000000,31,31,175.3,197,110,97,59,135,8,18,0,1.46,4.98,CHC,16.213405830762646,16.38045991542581,16.38045991542581,0.0855675984027381,0.0373962096723077,2.288135593220339,961,961,30730.090000000004,38809,12100,9409,3481,18225,64,324,0,2.1316,24.800400000000003,0.0013984764978552,5.235564492961793,2,1,11000000,11000000,34,31,189.7,173,90,85,58,168,10,11,0,1.22,4.03,WSH,0.0984009840098401,0.0339717682891114,2.896551724137931,1156,961,35986.09,29929,8100,7225,3364,28224,100,121,0,1.4884,16.240900000000003,0.001154081040689,8.390011890606422
Ervin Santana,5,4,55000000,13750000,17,17,108.0,104,50,48,36,82,7,5,0,1.3,4.0,MIN,16.41820024340866,15.843442992496977,15.843442992496977,0.0843621399176954,0.037037037037037,2.2777777777777777,289,289,11664.0,10816,2500,2304,1296,6724,49,25,0,1.6900000000000002,16.0,0.0013717421124828,5.188271604938271,4,1,14100000,14100000,31,31,196.0,193,90,86,63,179,14,10,0,1.31,3.95,ATL,0.1014739229024943,0.0357142857142857,2.8412698412698414,961,961,38416.0,37249,8100,7396,3969,32041,196,100,0,1.7161000000000002,15.6025,0.0012755102040816,8.07281431090955
Hiroki Kuroda,3,1,15000000,15000000,32,32,201.3,191,79,74,43,150,11,13,0,1.16,3.31,NYY,16.523560759066484,16.523560759066484,16.523560759066484,0.0827951647623778,0.0237346138985483,3.488372093023256,1024,1024,40521.69,36481,6241,5476,1849,22500,121,169,0,1.3456,10.9561,0.0005633318969131,12.16873985938345,2,0,0,0,33,33,219.7,205,86,81,51,167,16,11,0,1.16,3.32,NYY,0.0844586051686643,0.0257927476862388,3.2745098039215685,1089,1089,48268.09,42025,7396,6561,2601,27889,256,121,0,1.3456,11.0224,0.0006652658332059,10.72241445597847
Hiroki Kuroda,4,1,16000000,16000000,32,32,199.0,191,91,82,35,146,11,9,0,1.14,3.71,NYY,16.588099280204055,16.588099280204055,16.588099280204055,0.0815187046342825,0.0195421552205471,4.171428571428572,1024,1024,39601.0,36481,8281,6724,1225,21316,121,81,0,1.2996,13.7641,0.0003818958306639,17.400816326530613,3,1,15000000,15000000,32,32,201.3,191,79,74,43,150,11,13,0,1.16,3.31,NYY,0.0827951647623778,0.0237346138985483,3.488372093023256,1024,1024,40521.69,36481,6241,5476,1849,22500,121,169,0,1.3456,10.9561,0.0005633318969131,12.16873985938345
Jason Hammel,5,2,20000000,10000000,32,31,170.7,158,79,71,40,172,10,7,0,1.16,3.74,CHC,16.012735135300492,16.012735135300492,16.012735135300492,0.1119573000065091,0.0260365813968625,4.3,1024,961,29138.489999999994,24964,6241,5041,1600,29584,100,49,0,1.3456,13.987600000000002,0.0006779035708354,18.49,4,1,6000000,6000000,30,29,176.3,154,70,68,44,158,10,11,0,1.12,3.47,OAK,0.0995777399634461,0.0277305098632381,3.590909090909091,900,841,31081.69,23716,4900,4624,1936,24964,100,121,0,1.2544000000000002,12.0409,0.0007689811772751,12.894628099173554
