Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Alex Gordon,2020,UFA,KC,1,4000000,4000000,LF,50,0.833,163,34,4,11,0.209,0.606,KC,4000000,4000000,1481481,2500,0.693889,26569,1156,16,121,0.043681,0.367236
Eric Thames,2020,UFA,MIL,1,4000000,4000000,1B,41,0.683,123,25,3,12,0.203,0.617,WSH,3000000,3000000,1111111,1681,0.4664890000000001,15129,625,9,144,0.041209,0.380689
Mitch Moreland,2020,UFA,BOS,1,3000000,3000000,1B,42,0.7,136,36,10,29,0.265,0.894,SD,2500000,2500000,400780,1764,0.48999999999999994,18496,1296,100,841,0.07022500000000001,0.7992360000000001
Stephen Vogt,2020,UFA,SF,1,3000000,3000000,C,26,0.433,72,12,1,7,0.167,0.525,ARI,2500000,2500000,925926,676,0.187489,5184,144,1,49,0.027889000000000004,0.275625
Jose Iglesias,2020,UFA,CIN,1,3000000,3000000,SS,39,0.65,142,53,3,24,0.373,0.956,BAL,2500000,2500000,925926,1521,0.42250000000000004,20164,2809,9,576,0.139129,0.913936
Maikel Franco,2020,UFA,PHI,1,2950000,2950000,3B,60,1.0,223,62,8,38,0.278,0.778,KC,2950000,3340000,1482593,3600,1.0,49729,3844,64,1444,0.07728400000000002,0.605284
Asdrubal Cabrera,2020,UFA,WSH,1,2500000,2500000,3B,52,0.867,190,46,8,31,0.242,0.753,WSH,2500000,2685000,1110926,2704,0.7516889999999999,36100,2116,64,961,0.058564,0.567009
Francisco Cervelli,2020,UFA,ATL,1,2000000,2000000,C,16,0.267,53,13,3,7,0.245,0.808,MIA,2000000,2000000,740741,256,0.071289,2809,169,9,49,0.060024999999999995,0.6528640000000001
Jedd Gyorko,2020,UFA,LAD,1,2000000,2000000,3B,43,0.717,117,29,9,17,0.248,0.838,MIL,1000000,1000000,370370,1849,0.5140889999999999,13689,841,81,289,0.061503999999999996,0.702244
Jarrod Dyson,2020,UFA,ARI,1,2000000,2000000,CF,32,0.533,61,11,0,5,0.18,0.411,CHW,2000000,2000000,342736,1024,0.28408900000000004,3721,121,0,25,0.0324,0.168921
Matt Wieters,2020,UFA,STL,1,2000000,2000000,C,19,0.328,35,7,0,4,0.2,0.529,STL,2000000,2000000,740741,361,0.10758400000000001,1225,49,0,16,0.04000000000000001,0.279841
Matt Joyce,2020,UFA,ATL,1,1500000,1500000,LF,46,0.767,127,32,2,14,0.252,0.682,MIA,1500000,1593000,648556,2116,0.5882890000000001,16129,1024,4,196,0.063504,0.4651240000000001
Cameron Maybin,2020,UFA,NYY,1,1500000,1500000,RF,32,0.533,93,23,1,7,0.247,0.694,CHC,1500000,1500000,232176,1024,0.28408900000000004,8649,529,1,49,0.061009,0.48163599999999995
Adeiny Hechavarria,2020,UFA,ATL,1,1000000,1000000,SS,27,0.45,59,15,0,2,0.254,0.607,ATL,1000000,1000000,370370,729,0.2025,3481,225,0,4,0.064516,0.36844899999999997
Guillermo Heredia,2020,UFA,TB,1,1000000,1000000,CF,15,0.25,33,7,2,5,0.212,0.672,NYM,1000000,1000000,38696,225,0.0625,1089,49,4,25,0.044944,0.45158400000000004
Kevin Plawecki,2020,UFA,CLE,1,900000,900000,C,24,0.4,82,28,1,17,0.342,0.857,BOS,900000,1000000,433333,576,0.16000000000000003,6724,784,1,289,0.11696400000000001,0.734449
Dustin Garneau,2020,UFA,OAK,1,650000,650000,C,17,0.283,38,6,1,4,0.158,0.562,HOU,650000,659300,250041,289,0.08008899999999998,1444,36,1,16,0.024964,0.31584400000000007
Logan Forsythe,2020,UFA,PHI,0,0,0,2B,13,0.217,34,4,1,2,0.118,0.446,MIA,575000,575000,212963,169,0.047089,1156,16,1,4,0.013923999999999999,0.198916
Jake Lamb,2020,UFA,ARI,0,0,0,1B,31,0.517,88,17,3,10,0.193,0.635,OAK,563500,563500,43610,961,0.267289,7744,289,9,100,0.037249000000000004,0.403225
Brock Holt,2020,UFA,MIL,0,0,0,2B,37,0.617,95,20,0,5,0.211,0.557,WSH,563500,563500,93450,1369,0.380689,9025,400,0,25,0.044521,0.31024900000000005
