"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age","Weight","Height",""
"","Mike Trout","2021","CF","LAA","$35,450,000","$1,666,667","$37,166,667","$37,166,667","12","$426,500,000","$161,290,125","2031","2019","27","29","235","6'2""",""
"","Jacob deGrom","2021","SP","NYM","$33,500,000","$2,500,000","$36,000,000","$22,000,000","5","$137,500,000","$54,159,998","2023","2019","30","33","180","6'4""",""
"","Gerrit Cole","2021","SP","NYY","$36,000,000","$0","$36,000,000","$36,000,000","9","$324,000,000","$84,222,046","2029","2020","29","30","220","6'4""",""
"","Nolan Arenado","2021","3B","STL","$35,000,000","$0","$35,050,000","$570,500","8","$260,000,000","$90,163,340","2028","2019","27","30","215","6'2""",""
"","Stephen Strasburg","2021","SP","WSH","$35,000,000","$0","$35,000,000","$23,571,429","7","$245,000,000","$139,376,586","2027","2020","31","32","235","6'5""",""
"","Zack Greinke","2021","SP","HOU","$32,000,000","$3,000,000","$35,000,000","$24,666,667","6","$206,500,000","$252,174,948","2022","2016","32","37","200","6'2""",""
"","Max Scherzer","2021","SP","LAD","$27,360,623","$7,142,857","$34,603,480","$0","7","$210,000,000","$139,575,000","2022","2015","30","36","208","6'3""",""
"","Justin Verlander","2021","SP","HOU","$33,000,000","$0","$33,000,000","$33,000,000","2","$66,000,000","$274,588,222","2022","2019","35","38","225","6'5""",""
"","Manny Machado","2021","3B","SD","$30,000,000","$2,000,000","$32,000,000","$32,000,000","10","$300,000,000","$110,560,896","2029","2019","26","28","218","6'3""",""
"","David Price","2021","SP","LAD","$32,000,000","$0","$32,000,000","$16,000,000","7","$217,000,000","$216,042,498","2023","2016","30","35","215","6'5""",""
"","Clayton Kershaw","2021","SP","LAD","$23,333,334","$7,666,666","$31,000,000","$31,000,000","3","$93,000,000","$251,176,411","2022","2019","30","33","225","6'4""",""
"","Miguel Cabrera","2021","DH","DET","$30,000,000","$0","$30,000,000","$30,000,000","8","$248,000,000","$321,188,684","2024","2016","32","38","249","6'4""",""
"","Chris Sale","2021","SP","BOS","$30,000,000","$0","$30,000,000","$20,000,000","5","$145,000,000","$89,195,275","2025","2019","29","32","183","6'6""",""
"","Jose Altuve","2021","2B","HOU","$26,000,000","$3,000,000","$29,000,000","$29,000,000","7","$163,500,000","$82,945,289","2025","2018","27","31","166","5'6""",""
"","Giancarlo Stanton","2021","DH","NYY","$29,000,000","$0","$29,000,000","$29,000,000","13","$325,000,000","$118,345,578","2029","2015","25","31","245","6'6""",""
"","Bryce Harper","2021","RF","PHI","$26,000,000","$1,538,462","$28,088,462","$28,088,462","13","$330,000,000","$118,529,629","2032","2019","26","28","220","6'3""",""
"","Anthony Rendon","2021","3B","LAA","$27,500,000","$571,428","$28,071,428","$28,071,428","7","$245,000,000","$91,244,444","2027","2020","29","31","200","6'1""",""
"","Paul Goldschmidt","2021","1B","STL","$22,000,000","$4,000,000","$26,000,000","$26,000,000","5","$130,000,000","$84,139,148","2025","2020","32","33","220","6'3""",""
"","Joey Votto","2021","1B","CIN","$25,000,000","$0","$25,000,000","$25,000,000","10","$225,000,000","$192,542,838","2025","2014","30","37","220","6'2""",""
