"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Stephen Strasburg","2019","SP","WSH","$35,000,000","$39,333,334","$5,000,000",""
"","Max Scherzer","2019","SP","WSH","$30,262,705","$37,505,562","$37,505,562",""
"","Zack Greinke","2019","SP","HOU","$31,500,000","$34,500,000","$4,537,635",""
"","David Price","2019","SP","BOS","$31,000,000","$31,000,000","$31,000,000",""
"","Clayton Kershaw","2019","SP","LAD","$23,333,334","$31,000,000","$31,000,000",""
"","Miguel Cabrera","2019","1B","DET","$30,000,000","$30,000,000","$30,000,000",""
"","Yoenis Cespedes","2019","CF","NYM","$29,000,000","$29,000,000","$14,811,828",""
"","Justin Verlander","2019","SP","HOU","$28,000,000","$28,075,000","$20,000,000",""
"","Albert Pujols","2019","1B","LAA","$28,000,000","$28,000,000","$28,000,000",""
"","Felix Hernandez","2019","SP","SEA","$27,000,000","$27,857,142","$27,857,142",""
"","Jon Lester","2019","SP","CHC","$22,500,000","$27,500,000","$27,500,000",""
"","Nolan Arenado","2019","3B","COL","$26,000,000","$26,050,000","$26,050,000",""
"","Giancarlo Stanton","2019","DH","NYY","$26,000,000","$26,000,000","$26,000,000",""
"","Jordan Zimmermann","2019","SP","DET","$25,000,000","$25,000,000","$25,000,000",""
"","Joey Votto","2019","1B","CIN","$25,000,000","$25,000,000","$25,000,000",""
"","Jake Arrieta","2019","SP","PHI","$25,000,000","$25,000,000","$25,000,000",""
"","Robinson Cano","2019","2B","NYM","$24,000,000","$24,000,000","$19,000,000",""
"","J.D. Martinez","2019","DH","BOS","$23,750,000","$23,750,000","$23,750,000",""
"","Josh Donaldson","2019","3B","ATL","$23,000,000","$23,000,000","$23,000,000",""
"","Jason Heyward","2019","RF","CHC","$20,000,000","$22,500,000","$22,500,000",""
"","Buster Posey","2019","C","SF","$21,400,000","$22,177,777","$22,177,777",""
"","Masahiro Tanaka","2019","SP","NYY","$22,000,000","$22,000,000","$22,000,000",""
"","Edwin Encarnacion","2019","DH","NYY","$20,000,000","$21,666,668","$8,000,000",""
"","Freddie Freeman","2019","1B","ATL","$21,000,000","$21,409,375","$21,409,375",""
"","Charlie Blackmon","2019","RF","COL","$21,000,000","$21,333,333","$21,333,333",""
"","Dallas Keuchel","2019","SP","ATL","$21,210,000","$21,210,000","$13,000,000",""
"","Jacoby Ellsbury","2019","CF","NYY","$21,142,857","$21,142,857","$21,142,857",""
"","Rick Porcello","2019","SP","BOS","$21,000,000","$21,125,000","$21,125,000",""
"","Chris Davis","2019","1B","BAL","$17,000,000","$21,065,362","$21,065,362",""
"","Johnny Cueto","2019","SP","SF","$21,000,000","$21,000,000","$21,000,000",""
"","Eric Hosmer","2019","1B","SD","$20,000,000","$21,000,000","$21,000,000",""
"","Shin-Soo Choo","2019","DH","TEX","$21,000,000","$21,000,000","$21,000,000",""
"","Mookie Betts","2019","RF","BOS","$20,000,000","$20,100,000","$20,100,000",""
"","Alex Gordon","2019","LF","KC","$20,000,000","$20,000,000","$20,000,000",""
"","Yu Darvish","2019","SP","CHC","$20,000,000","$20,000,000","$20,000,000",""
"","Cole Hamels","2019","SP","CHC","$20,000,000","$20,000,000","$20,000,000",""
"","Wei-Yin Chen","2019","RP","MIA","$20,000,000","$20,000,000","$20,000,000",""
"","Russell Martin","2019","C","LAD","$20,000,000","$20,000,000","$3,600,000",""
"","Yadier Molina","2019","C","STL","$20,000,000","$20,000,000","$20,000,000",""
"","Jeff Samardzija","2019","SP","SF","$18,000,000","$19,800,000","$19,800,000",""
"","Kyle Seager","2019","3B","SEA","$19,000,000","$19,500,000","$19,500,000",""
"","Kenley Jansen","2019","RP/CL","LAD","$18,000,000","$19,333,334","$19,333,334",""
"","Mark Melancon","2019","RP/CL","ATL","$14,000,000","$19,000,000","$4,591,409",""
"","Ryan Braun","2019","LF","MIL","$18,000,000","$19,000,000","$19,000,000",""
"","Justin Turner","2019","3B","LAD","$18,000,000","$19,000,000","$19,000,000",""
"","Anthony Rendon","2019","3B","WSH","$18,800,000","$18,800,000","$18,800,000",""
"","Rich Hill","2019","SP","LAD","$18,000,000","$18,666,668","$18,666,668",""
"","Justin Upton","2019","LF","LAA","$18,000,000","$18,000,000","$18,000,000",""
"","Wade Davis","2019","RP","COL","$18,000,000","$18,000,000","$18,000,000",""
"","Ryan Zimmerman","2019","1B","WSH","$18,000,000","$18,000,000","$18,000,000",""
"","Hyun-Jin Ryu","2019","SP","LAD","$17,900,000","$17,900,000","$17,900,000",""
"","Corey Kluber","2019","SP","TEX","$17,000,000","$17,700,000","$17,700,000",""
"","Mike Trout","2019","CF","LAA","$16,000,000","$17,666,667","$17,666,667",""
"","Aroldis Chapman","2019","RP/CL","NYY","$15,000,000","$17,200,000","$17,200,000",""
"","Brandon Belt","2019","1B","SF","$16,000,000","$17,200,000","$17,200,000",""
"","J.A. Happ","2019","SP","NYY","$17,000,000","$17,000,000","$17,000,000",""
"","Nathan Eovaldi","2019","SP","BOS","$17,000,000","$17,000,000","$17,000,000",""
"","Khris Davis","2019","DH","OAK","$16,500,000","$16,500,000","$16,500,000",""
"","Ian Kennedy","2019","RP","KC","$16,500,000","$16,500,000","$16,500,000",""
"","Dexter Fowler","2019","CF","STL","$14,500,000","$16,500,000","$16,500,000",""
"","Jose Abreu","2019","DH","CHW","$16,000,000","$16,015,000","$16,015,000",""
"","Yasmani Grandal","2019","C","MIL","$16,000,000","$16,000,000","$16,000,000",""
"","Mike Leake","2019","SP","ARI","$16,000,000","$16,000,000","$3,000,000",""
"","Michael Brantley","2019","LF","HOU","$15,000,000","$16,000,000","$16,000,000",""
"","Paul Goldschmidt","2019","1B","STL","$14,500,000","$15,500,000","$15,500,000",""
"","Danny Duffy","2019","SP","KC","$15,250,000","$15,250,000","$15,250,000",""
"","Elvis Andrus","2019","SS","TEX","$15,000,000","$15,250,000","$15,250,000",""
"","Brandon Crawford","2019","SS","SF","$15,000,000","$15,200,000","$15,200,000",""
"","Dustin Pedroia","2019","2B","BOS","$15,000,000","$15,125,000","$15,125,000",""
"","Lorenzo Cain","2019","CF","MIL","$15,000,000","$15,025,000","$15,025,000",""
"","Charlie Morton","2019","SP","TB","$15,000,000","$15,000,000","$15,000,000",""
"","Ian Desmond","2019","CF","COL","$15,000,000","$15,000,000","$15,000,000",""
"","Martin Prado","2019","1B","MIA","$15,000,000","$15,000,000","$15,000,000",""
"","Chris Sale","2019","SP","BOS","$15,000,000","$15,000,000","$15,000,000",""
"","Jean Segura","2019","SS","PHI","$14,250,000","$14,950,000","$14,950,000",""
"","Matt Carpenter","2019","1B","STL","$14,500,000","$14,750,000","$14,750,000",""
"","Evan Longoria","2019","3B","SF","$14,500,000","$14,500,000","$12,500,000",""
"","Nelson Cruz","2019","DH","MIN","$14,000,000","$14,000,000","$14,000,000",""
"","Alex Cobb","2019","SP","BAL","$14,000,000","$14,000,000","$9,500,000",""
"","Jay Bruce","2019","RF","PHI","$13,000,000","$14,000,000","$1,000,000",""
"","Gerrit Cole","2019","SP","HOU","$13,500,000","$13,500,000","$13,500,000",""
"","Mark Trumbo","2019","DH","BAL","$13,500,000","$13,500,000","$11,000,000",""
"","Dee Gordon","2019","2B","SEA","$13,000,000","$13,300,000","$13,300,000",""
"","Andrelton Simmons","2019","SS","LAA","$13,000,000","$13,000,000","$13,000,000",""
"","Trevor Bauer","2019","SP","CIN","$13,000,000","$13,000,000","$4,193,548",""
"","Zack Britton","2019","RP","NYY","$13,000,000","$13,000,000","$13,000,000",""
"","Josh Reddick","2019","RF","HOU","$13,000,000","$13,000,000","$13,000,000",""
"","Jedd Gyorko","2019","3B","LAD","$13,000,000","$13,000,000","$2,623,656",""
"","Patrick Corbin","2019","SP","WSH","$12,500,000","$12,916,666","$12,916,666",""
"","Kris Bryant","2019","3B","CHC","$12,900,000","$12,900,000","$12,900,000",""
"","Zack Cozart","2019","3B","LAA","$12,666,666","$12,666,666","$12,666,666",""
"","Ben Zobrist","2019","2B","CHC","$12,000,000","$12,500,000","$3,086,022",""
"","Tyler Chatwood","2019","RP","CHC","$12,500,000","$12,500,000","$12,500,000",""
"","Andrew Cashner","2019","RP","BOS","$8,000,000","$12,500,000","$1,577,000",""
"","Marcell Ozuna","2019","LF","STL","$12,250,000","$12,250,000","$12,250,000",""
"","D.J. LeMahieu","2019","2B","NYY","$12,000,000","$12,000,000","$12,000,000",""
"","Madison Bumgarner","2019","SP","SF","$12,000,000","$12,000,000","$12,000,000",""
"","Manny Machado","2019","3B","SD","$10,000,000","$12,000,000","$12,000,000",""
"","George Springer","2019","CF","HOU","$12,000,000","$12,000,000","$12,000,000",""
"","Xander Bogaerts","2019","SS","BOS","$12,000,000","$12,000,000","$12,000,000",""
"","Marwin Gonzalez","2019","3B","MIN","$12,000,000","$12,000,000","$12,000,000",""
"","Starlin Castro","2019","2B","MIA","$11,000,000","$11,857,142","$11,857,142",""
"","Didi Gregorius","2019","SS","NYY","$11,750,000","$11,750,000","$11,750,000",""
"","Carlos Martinez","2019","RP","STL","$11,500,000","$11,700,000","$11,700,000",""
"","Bryce Harper","2019","RF","PHI","$10,000,000","$11,538,462","$11,538,462",""
"","Andrew Miller","2019","RP","STL","$11,000,000","$11,500,000","$11,500,000",""
"","Anthony Rizzo","2019","1B","CHC","$11,000,000","$11,285,714","$11,285,714",""
"","Salvador Perez","2019","C","KC","$10,000,000","$11,200,000","$11,200,000",""
"","Julio Teheran","2019","SP","ATL","$11,000,000","$11,166,668","$11,166,668",""
"","Kole Calhoun","2019","RF","LAA","$10,500,000","$10,500,000","$10,500,000",""
"","Jose Quintana","2019","SP","CHC","$10,500,000","$10,500,000","$10,500,000",""
"","Yulieski Gurriel","2019","1B","HOU","$10,000,000","$10,400,000","$10,400,000",""
"","Starling Marte","2019","CF","PIT","$10,000,000","$10,333,334","$10,333,334",""
"","Tanner Roark","2019","SP","OAK","$10,000,000","$10,000,000","$1,179,543",""
"","Daniel Murphy","2019","1B","COL","$10,000,000","$10,000,000","$10,000,000",""
"","Craig Kimbrel","2019","RP","CHC","$10,000,000","$10,000,000","$10,000,000",""
"","Anibal Sanchez","2019","SP","WSH","$8,000,000","$10,000,000","$6,000,000",""
"","Andrew McCutchen","2019","RF","PHI","$10,000,000","$10,000,000","$10,000,000",""
"","David Robertson","2019","RP","PHI","$10,000,000","$10,000,000","$10,000,000",""
"","Adam Wainwright","2019","SP","STL","$2,000,000","$10,000,000","$10,000,000",""
"","Nick Castellanos","2019","RF","CHC","$9,950,000","$9,950,000","$2,859,700",""
"","Mike Minor","2019","SP","TEX","$9,500,000","$9,833,333","$9,833,333",""
"","Christian Yelich","2019","LF","MIL","$9,750,000","$9,750,000","$9,750,000",""
"","Alex Wood","2019","SP","CIN","$9,650,000","$9,650,000","$9,650,000",""
"","Yusei Kikuchi","2019","SP","SEA","$8,000,000","$9,500,000","$9,500,000",""
"","Jacob deGrom","2019","SP","NYM","$7,000,000","$9,500,000","$9,500,000",""
"","Jose Altuve","2019","2B","HOU","$6,500,000","$9,500,000","$9,500,000",""
"","Jake Odorizzi","2019","SP","MIN","$9,500,000","$9,500,000","$9,500,000",""
"","Kevin Gausman","2019","RP","CIN","$9,350,000","$9,350,000","$2,815,064",""
"","Lance Lynn","2019","SP","TEX","$8,000,000","$9,333,333","$9,333,333",""
"","Juan Nicasio","2019","RP","PHI","$9,000,000","$9,250,000","$9,250,000",""
"","Ivan Nova","2019","SP","CHW","$8,500,000","$9,166,668","$9,166,668",""
"","Tommy Hunter","2019","RP","PHI","$9,000,000","$9,000,000","$9,000,000",""
"","Trevor Cahill","2019","RP","LAA","$9,000,000","$9,000,000","$9,000,000",""
"","Darren O'Day","2019","RP","ATL","$9,000,000","$9,000,000","$9,000,000",""
"","Adam Ottavino","2019","RP","NYY","$8,000,000","$9,000,000","$9,000,000",""
"","Brandon Morrow","2019","RP","CHC","$9,000,000","$9,000,000","$9,000,000",""
"","Brian Dozier","2019","2B","WSH","$9,000,000","$9,000,000","$9,000,000",""
"","Todd Frazier","2019","3B","NYM","$9,000,000","$9,000,000","$9,000,000",""
"","Juan Lagares","2019","CF","NYM","$9,000,000","$9,000,000","$9,000,000",""
"","Miles Mikolas","2019","SP","STL","$7,750,000","$8,750,000","$8,750,000",""
"","James Paxton","2019","SP","NYY","$8,575,000","$8,575,000","$8,575,000",""
"","Jackie Bradley Jr.","2019","CF","BOS","$8,550,000","$8,550,000","$8,550,000",""
"","Kenta Maeda","2019","RP","LAD","$3,000,000","$8,525,000","$8,525,000",""
"","Corey Dickerson","2019","LF","PHI","$8,500,000","$8,500,000","$2,787,639",""
