"Rank","Player","Year","Pos","Team","BaseSalary","Payroll Salary","Adj Salary",""
"","Mike Trout","2020","CF","LAA","$36,000,000","$37,766,667","$15,000,000",""
"","Gerrit Cole","2020","SP","NYY","$36,000,000","$36,000,000","$13,333,333",""
"","Max Scherzer","2020","SP","WSH","$28,777,759","$35,920,616","$17,801,286",""
"","Nolan Arenado","2020","3B","COL","$35,000,000","$35,025,000","$12,962,963",""
"","Zack Greinke","2020","SP","HOU","$32,000,000","$35,000,000","$6,950,617",""
"","Stephen Strasburg","2020","SP","WSH","$35,000,000","$35,000,000","$8,730,159",""
"","Justin Verlander","2020","SP","HOU","$33,000,000","$33,000,000","$12,222,222",""
"","Manny Machado","2020","3B","SD","$30,000,000","$32,000,000","$13,111,111",""
"","Mookie Betts","2020","RF","LAD","$27,000,000","$32,000,000","$10,000,000",""
"","David Price","2020","SP","LAD","$32,000,000","$32,000,000","$5,925,926",""
"","Clayton Kershaw","2020","SP","LAD","$23,333,334","$31,000,000","$16,308,641",""
"","Chris Sale","2020","SP","BOS","$30,000,000","$30,000,000","$7,407,407",""
"","Miguel Cabrera","2020","DH","DET","$30,000,000","$30,000,000","$11,111,111",""
"","Jose Altuve","2020","2B","HOU","$26,000,000","$29,000,000","$12,703,704",""
"","Albert Pujols","2020","1B","LAA","$29,000,000","$29,000,000","$10,740,741",""
"","Bryce Harper","2020","RF","PHI","$26,000,000","$27,538,462","$11,168,092",""
"","Anthony Rendon","2020","3B","LAA","$25,500,000","$26,071,428","$10,015,872",""
"","Giancarlo Stanton","2020","DH","NYY","$26,000,000","$26,000,000","$9,629,630",""
"","Paul Goldschmidt","2020","1B","STL","$22,000,000","$26,000,000","$12,148,148",""
"","Jacob deGrom","2020","SP","NYM","$23,000,000","$25,500,000","$6,574,074",""
"","Joey Votto","2020","1B","CIN","$25,000,000","$25,000,000","$9,259,259",""
"","Jordan Zimmermann","2020","RP","DET","$25,000,000","$25,000,000","$9,259,259",""
"","Robinson Cano","2020","2B","NYM","$24,000,000","$24,000,000","$7,500,000",""
"","J.D. Martinez","2020","DH","BOS","$23,750,000","$23,750,000","$8,796,296",""
"","Jason Heyward","2020","RF","CHC","$21,000,000","$23,500,000","$7,777,778",""
"","Masahiro Tanaka","2020","SP","NYY","$23,000,000","$23,000,000","$8,518,519",""
"","Freddie Freeman","2020","1B","ATL","$22,000,000","$22,559,375","$8,507,523",""
"","Wil Myers","2020","LF","SD","$20,000,000","$22,500,000","$9,907,407",""
"","Buster Posey","2020","C","SF","$21,400,000","$22,177,777","$8,703,703",""
"","Yu Darvish","2020","SP","CHC","$22,000,000","$22,000,000","$8,148,148",""
"","Zack Wheeler","2020","SP","PHI","$21,500,000","$21,500,000","$7,962,963",""
"","Charlie Blackmon","2020","RF","COL","$21,000,000","$21,333,333","$8,111,111",""
"","Chris Davis","2020","1B","BAL","$17,000,000","$21,065,362","$7,801,986",""
"","George Springer","2020","CF","HOU","$21,000,000","$21,000,000","$7,777,778",""
"","Justin Upton","2020","LF","LAA","$21,000,000","$21,000,000","$7,777,778",""
"","Eric Hosmer","2020","1B","SD","$20,000,000","$21,000,000","$8,407,407",""
"","Josh Donaldson","2020","3B","MIN","$21,000,000","$21,000,000","$6,666,667",""
"","Johnny Cueto","2020","SP","SF","$21,000,000","$21,000,000","$7,777,778",""
"","Shin-Soo Choo","2020","DH","TEX","$21,000,000","$21,000,000","$7,777,778",""
"","Hyun-Jin Ryu","2020","SP","TOR","$20,000,000","$20,000,000","$7,407,407",""
"","Jon Lester","2020","SP","CHC","$15,000,000","$20,000,000","$10,555,556",""
"","Yadier Molina","2020","C","STL","$20,000,000","$20,000,000","$7,407,407",""
"","Xander Bogaerts","2020","SS","BOS","$20,000,000","$20,000,000","$7,407,407",""
"","Justin Turner","2020","3B","LAD","$19,000,000","$20,000,000","$8,037,037",""
"","Jake Arrieta","2020","SP","PHI","$20,000,000","$20,000,000","$7,407,407",""
"","Kyle Seager","2020","3B","SEA","$19,000,000","$19,500,000","$7,537,037",""
"","Patrick Corbin","2020","SP","WSH","$19,000,000","$19,416,666","$7,453,703",""
"","Mark Melancon","2020","RP/CL","ATL","$14,000,000","$19,000,000","$10,185,185",""
"","Kris Bryant","2020","3B","CHC","$18,600,000","$18,600,000","$6,888,889",""
"","Matt Carpenter","2020","3B","STL","$18,500,000","$18,500,000","$6,851,852",""
"","Yasmani Grandal","2020","C","CHW","$18,250,000","$18,250,000","$6,759,259",""
"","Cole Hamels","2020","SP","ATL","$18,000,000","$18,000,000","$6,666,667",""
"","Marcell Ozuna","2020","LF","ATL","$18,000,000","$18,000,000","$6,666,667",""
"","Dallas Keuchel","2020","SP","CHW","$18,000,000","$18,000,000","$6,666,667",""
"","Kenley Jansen","2020","RP/CL","LAD","$18,000,000","$18,000,000","$6,666,667",""
"","Jake Odorizzi","2020","SP","MIN","$17,800,000","$17,800,000","$6,592,593",""
"","Trevor Bauer","2020","SP","CIN","$17,500,000","$17,500,000","$6,481,481",""
"","Corey Kluber","2020","SP","TEX","$17,500,000","$17,500,000","$6,481,481",""
"","Aroldis Chapman","2020","RP/CL","NYY","$15,000,000","$17,200,000","$7,755,556",""
"","Brandon Belt","2020","1B","SF","$16,000,000","$17,200,000","$7,125,926",""
"","J.A. Happ","2020","SP","NYY","$17,000,000","$17,000,000","$6,296,296",""
"","Ryan Braun","2020","1B","MIL","$16,000,000","$17,000,000","$6,555,556",""
"","Nathan Eovaldi","2020","SP","BOS","$17,000,000","$17,000,000","$6,296,296",""
"","Andrew McCutchen","2020","LF","PHI","$17,000,000","$17,000,000","$6,296,296",""
"","Miles Mikolas","2020","SP","STL","$15,750,000","$16,750,000","$6,833,333",""
"","Khris Davis","2020","DH","OAK","$16,750,000","$16,750,000","$6,203,704",""
"","Anthony Rizzo","2020","1B","CHC","$16,500,000","$16,500,000","$6,111,111",""
"","Dexter Fowler","2020","RF","STL","$14,500,000","$16,500,000","$7,370,370",""
"","Ian Kennedy","2020","RP","KC","$16,500,000","$16,500,000","$6,111,111",""
"","Craig Kimbrel","2020","RP","CHC","$16,000,000","$16,000,000","$5,925,926",""
"","Nick Castellanos","2020","RF","CIN","$16,000,000","$16,000,000","$5,925,926",""
"","Michael Brantley","2020","LF","HOU","$15,000,000","$16,000,000","$6,555,556",""
"","Yusei Kikuchi","2020","SP","SEA","$14,000,000","$15,500,000","$6,685,185",""
"","Elvis Andrus","2020","SS","TEX","$15,000,000","$15,250,000","$5,805,556",""
"","Danny Duffy","2020","SP","KC","$15,250,000","$15,250,000","$5,648,148",""
"","Brandon Crawford","2020","SS","SF","$15,000,000","$15,200,000","$5,755,556",""
"","Ian Desmond","2020","CF","COL","$15,000,000","$15,000,000","$5,555,556",""
"","Andrelton Simmons","2020","SS","LAA","$15,000,000","$15,000,000","$4,757,308",""
"","Lorenzo Cain","2020","CF","MIL","$16,000,000","$15,000,000","$5,555,556",""
"","Charlie Morton","2020","SP","TB","$15,000,000","$15,000,000","$5,555,556",""
"","Evan Longoria","2020","3B","SF","$15,000,000","$15,000,000","$5,552,890",""
"","A.J. Pollock","2020","LF","LAD","$12,000,000","$15,000,000","$7,444,444",""
"","Mike Leake","2020","SP","ARI","$15,000,000","$15,000,000","$3,000,000",""
"","Jean Segura","2020","2B","PHI","$14,250,000","$14,850,000","$5,877,778",""
"","Salvador Perez","2020","C","KC","$13,000,000","$14,200,000","$6,014,815",""
"","Alex Cobb","2020","SP","BAL","$14,000,000","$14,000,000","$4,582,187",""
"","Jay Bruce","2020","RF","PHI","$13,000,000","$14,000,000","$1,648,148",""
"","Didi Gregorius","2020","SS","PHI","$14,000,000","$14,000,000","$5,185,185",""
"","Dee Gordon","2020","2B","SEA","$13,500,000","$13,800,000","$5,300,000",""
"","Dustin Pedroia","2020","2B","BOS","$13,000,000","$13,125,000","$4,762,737",""
"","Randal Grichuk","2020","CF","TOR","$12,000,000","$13,000,000","$5,444,444",""
"","Tyler Chatwood","2020","SP","CHC","$13,000,000","$13,000,000","$4,814,815",""
"","Zack Britton","2020","RP","NYY","$13,000,000","$13,000,000","$4,814,815",""
"","Josh Reddick","2020","RF","HOU","$13,000,000","$13,000,000","$4,814,815",""
"","Will Smith","2020","RP","ATL","$13,000,000","$13,000,000","$4,814,815",""
"","Marcus Semien","2020","SS","OAK","$13,000,000","$13,000,000","$4,814,815",""
"","Jose Abreu","2020","1B","CHW","$11,000,000","$12,781,666","$5,740,740",""
"","Alex Bregman","2020","3B","HOU","$11,000,000","$12,666,666","$5,740,741",""
"","James Paxton","2020","SP","NYY","$12,500,000","$12,500,000","$4,629,630",""
"","Christian Yelich","2020","LF","MIL","$12,500,000","$12,500,000","$4,629,630",""
"","Tanner Roark","2020","SP","TOR","$12,000,000","$12,000,000","$4,444,444",""
"","Kyle Hendricks","2020","SP","CHC","$12,000,000","$12,000,000","$4,444,444",""
"","Mike Moustakas","2020","2B","CIN","$12,000,000","$12,000,000","$4,444,444",""
"","D.J. LeMahieu","2020","2B","NYY","$12,000,000","$12,000,000","$4,444,444",""
"","Nelson Cruz","2020","DH","MIN","$12,000,000","$12,000,000","$4,444,444",""
"","Edwin Encarnacion","2020","DH","CHW","$11,000,000","$12,000,000","$5,074,074",""
"","Marcus Stroman","2020","SP","NYM","$12,000,000","$12,000,000","$1,061,360",""
"","Carlos Martinez","2020","SP","STL","$11,500,000","$11,700,000","$4,459,259",""
"","Jeurys Familia","2020","RP","NYM","$11,000,000","$11,666,666","$4,370,371",""
"","Kyle Gibson","2020","SP","TEX","$11,000,000","$11,555,555","$4,629,630",""
"","Andrew Miller","2020","RP","STL","$11,500,000","$11,537,000","$4,296,259",""
"","Starling Marte","2020","CF","MIA","$11,500,000","$11,500,000","$1,779,988",""
"","Cody Bellinger","2020","CF","LAD","$11,500,000","$11,500,000","$4,259,259",""
"","Jed Lowrie","2020","2B","NYM","$9,000,000","$11,500,000","$5,833,333",""
"","Lance Lynn","2020","SP","TEX","$10,000,000","$11,333,333","$5,037,037",""
"","Jackie Bradley Jr.","2020","CF","BOS","$11,000,000","$11,000,000","$4,074,074",""
"","David Robertson","2020","RP","PHI","$11,000,000","$11,000,000","$4,074,074",""
"","Aaron Hicks","2020","CF","NYY","$10,500,000","$10,785,714","$4,174,603",""
"","Alex Colome","2020","RP","CHW","$10,532,500","$10,532,500","$3,900,926",""
"","Jose Quintana","2020","RP","CHC","$10,500,000","$10,500,000","$4,259,259",""
"","Luis Severino","2020","SP","NYY","$10,000,000","$10,500,000","$4,203,704",""
"","Wilson Ramos","2020","C","NYM","$9,250,000","$10,436,000","$4,425,926",""
"","Kolten Wong","2020","2B","STL","$10,250,000","$10,250,000","$3,796,296",""
"","Sonny Gray","2020","SP","CIN","$10,000,000","$10,203,667","$4,166,630",""
"","Kevin Kiermaier","2020","CF","TB","$10,000,000","$10,166,666","$3,870,370",""
"","Javier Baez","2020","SS","CHC","$10,000,000","$10,000,000","$3,703,704",""
"","Brett Gardner","2020","CF","NYY","$8,000,000","$10,000,000","$4,962,963",""
"","Roberto Osuna","2020","RP/CL","HOU","$10,000,000","$10,000,000","$3,703,704",""
"","Michael Pineda","2020","SP","MIN","$10,000,000","$10,000,000","$651,759",""
"","Blake Treinen","2020","RP/CL","LAD","$10,000,000","$10,000,000","$3,703,704",""
"","J.T. Realmuto","2020","C","PHI","$10,000,000","$10,000,000","$3,703,704",""
"","Rick Porcello","2020","SP","NYM","$10,000,000","$10,000,000","$3,703,704",""
"","Mike Minor","2020","SP","OAK","$9,500,000","$9,833,334","$735,210",""
"","Noah Syndergaard","2020","SP","NYM","$9,700,000","$9,700,000","$3,592,593",""
"","Ken Giles","2020","RP","TOR","$9,600,000","$9,600,000","$3,555,556",""
"","Anibal Sanchez","2020","SP","WSH","$9,000,000","$9,555,555","$3,148,149",""
"","Eugenio Suarez","2020","3B","CIN","$9,250,000","$9,535,714","$2,878,307",""
"","Adam Eaton","2020","RF","WSH","$9,500,000","$9,500,000","$3,518,519",""
"","Robbie Ray","2020","SP","TOR","$9,430,000","$9,430,000","$1,159,584",""
"","Rougned Odor","2020","2B","TEX","$9,000,000","$9,333,333","$3,666,666",""
