"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Payroll Salary","Adj Salary","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age","Age","Weight","Height",""
"","Zack Britton","2022","RP","NYY","$14,000,000","$0","$14,000,000","$14,000,000","3","$39,000,000","$79,931,918","2023","2019","31","34","200","6'1""",""
"","Kyle Hendricks","2022","SP","CHC","$14,000,000","$0","$14,000,000","$14,000,000","4","$55,500,000","$46,149,468","2024","2019","29","32","190","6'3""",""
"","Yoan Moncada","2022","3B","CHW","$13,000,000","$800,000","$13,800,000","$13,800,000","5","$70,000,000","$55,300,012","2026","2020","24","27","225","6'2""",""
"","Blake Snell","2022","SP","SD","$12,500,000","$600,000","$13,100,000","$13,100,000","5","$50,000,000","$31,535,897","2024","2019","26","29","225","6'4""",""
"","Max Muncy","2022","DH","LAD","$11,500,000","$1,500,000","$13,000,000","$13,000,000","3","$26,000,000","$25,549,043","2024","2020","29","31","215","6'0""",""
"","Will Smith","2022","RP","HOU","$13,000,000","$0","$13,000,000","$4,642,857","3","$40,000,000","$44,322,101","2024","2020","30","32","255","6'5""",""
"","Alex Bregman","2022","3B","HOU","$11,000,000","$1,666,667","$12,666,666","$12,666,666","5","$100,000,000","$43,947,084","2025","2019","24","28","192","6'0""",""
"","Kevin Kiermaier","2022","CF","TB","$12,000,000","$166,668","$12,166,668","$12,166,668","6","$53,500,000","$48,662,095","2024","2017","26","32","210","6'1""",""
"","Carlos Carrasco","2022","SP","NYM","$12,000,000","$0","$12,000,000","$12,000,000","4","$47,000,000","$60,953,465","2024","2019","31","35","224","6'4""",""
"","Luis Severino","2022","SP","NYY","$11,000,000","$500,000","$11,500,000","$11,500,000","4","$40,000,000","$32,805,889","2024","2019","24","28","215","6'2""",""
"","German Marquez","2022","SP","COL","$11,000,000","$300,000","$11,300,000","$11,300,000","5","$43,000,000","$24,006,516","2025","2019","23","27","230","6'1""",""
"","Aaron Hicks","2022","CF","NYY","$10,500,000","$285,714","$10,785,714","$10,785,714","7","$70,000,000","$40,446,435","2027","2019","29","32","205","6'1""",""
"","Randal Grichuk","2022","RF","COL","$9,333,333","$1,000,000","$10,333,333","$10,333,333","5","$52,000,000","$40,889,324","2024","2019","27","30","216","6'2""",""
"","Wade Miley","2022","SP","CHC","$10,000,000","$0","$10,000,000","$10,000,000","2","$15,000,000","$49,603,762","2023","2020","33","35","220","6'2""",""
"","Felipe Vazquez","2022","RP","PIT","$10,000,000","$0","$10,000,000","$10,000,000","4","$22,500,000","$10,002,130","2024","2018","26","30","225","6'2""",""
"","Drew Pomeranz","2022","RP","SD","$8,000,000","$2,000,000","$10,000,000","$10,000,000","4","$34,000,000","$42,152,740","2024","2020","31","33","246","6'5""",""
"","Tim Anderson","2022","SS","CHW","$9,500,000","$0","$9,500,000","$9,500,000","6","$25,000,000","$23,913,301","2025","2017","23","29","185","6'1""",""
"","Miguel Sano","2022","1B","MIN","$9,250,000","$0","$9,250,000","$9,250,000","3","$30,000,000","$31,757,744","2024","2020","26","29","272","6'4""",""
"","David Peralta","2022","LF","TB","$8,000,000","$0","$8,150,000","$3,095,055","3","$22,000,000","$30,691,393","2023","2020","32","34","210","6'1""",""
"","Nick Ahmed","2022","SS","ARI","$7,750,000","$375,000","$8,125,000","$8,125,000","4","$32,500,000","$26,323,695","2024","2020","29","32","201","6'2""",""
"","Will Harris","2022","RP","WSH","$8,000,000","$0","$8,000,000","$8,000,000","3","$24,000,000","$30,143,927","2023","2020","35","37","240","6'4""",""
"","Kyle Gibson","2022","SP","PHI","$7,000,000","$0","$8,000,000","$8,000,000","3","$28,000,000","$42,932,074","2023","2020","32","34","215","6'6""",""
"","Eloy Jimenez","2022","LF","CHW","$6,500,000","$833,333","$7,333,333","$7,333,333","6","$43,000,000","$19,355,556","2027","2019","22","25","235","6'4""",""
"","Christian Vazquez","2022","C","HOU","$7,000,000","$0","$7,000,000","$2,461,568","3","$13,350,000","$20,797,346","2023","2018","27","31","205","5'9""",""
"","Scott Oberg","2022","RP","COL","$7,000,000","$0","$7,000,000","$7,000,000","3","$13,000,000","$14,921,284","2023","2020","29","32","203","6'2""",""
"","Whit Merrifield","2022","2B","TOR","$7,000,000","$0","$7,000,000","$2,461,568","4","$16,250,000","$18,792,486","2025","2019","29","33","195","6'1""",""
"","Max Kepler","2022","RF","MIN","$6,750,000","$0","$6,750,000","$6,750,000","5","$35,000,000","$23,924,086","2025","2019","25","29","220","6'4""",""
"","Paul DeJong","2022","SS","STL","$6,000,000","$166,666","$6,166,666","$6,166,666","6","$26,000,000","$14,790,556","2026","2018","24","28","205","6'0""",""
"","Luis Robert","2022","CF","CHW","$6,000,000","$0","$6,000,000","$6,000,000","6","$50,000,000","$36,055,556","2028","2020","22","24","220","6'2""",""
"","Marco Gonzales","2022","SP","SEA","$5,500,000","$250,000","$5,750,000","$5,750,000","4","$30,000,000","$15,450,517","2026","2020","27","30","195","6'1""",""
"","Jose Leclerc","2022","RP/CL","TEX","$4,750,000","$500,000","$5,250,000","$5,250,000","4","$14,750,000","$13,734,787","2025","2019","25","28","190","6'0""",""
"","Ozzie Albies","2022","2B","ATL","$5,000,000","$0","$5,000,000","$5,000,000","7","$35,000,000","$10,456,596","2028","2019","21","25","165","5'8""",""
"","Lourdes Gurriel Jr.","2022","LF","TOR","$4,500,000","$428,571","$4,928,571","$4,928,571","7","$22,000,000","$11,425,926","2025","2017","23","28","215","6'4""",""
"","Craig Stammen","2022","RP","SD","$4,000,000","$0","$4,000,000","$4,000,000","2","$9,000,000","$23,574,963","2023","2020","35","38","228","6'2""",""
"","Wilmer Flores","2022","DH","SF","$3,500,000","$0","$3,500,000","$3,500,000","2","$6,250,000","$19,725,803","0","2020","28","30","205","6'3""",""
"","Kenta Maeda","2022","SP","MIN","$3,000,000","$125,000","$3,125,000","$3,125,000","8","$25,000,000","$49,414,704","2024","2016","27","34","184","6'1""",""
"","Pierce Johnson","2022","RP","SD","$3,000,000","$0","$3,000,000","$3,000,000","2","$5,000,000","$7,531,836","2023","2020","28","31","200","6'2""",""
"","David Bote","2022","2B","CHC","$2,500,000","$10,000","$2,510,000","$2,510,000","5","$15,000,000","$4,856,352","2027","2020","26","29","205","6'1""",""
"","Aaron Bummer","2022","RP","CHW","$2,500,000","$0","$2,500,000","$2,500,000","5","$16,000,000","$5,921,731","2027","2020","26","28","215","6'3""",""
