Acronimo,Altura,Anio_de_agente_libre,Anio_inicio_de_contrato,Anio,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Status,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
NYM,6.3,2020,2018,2018,2,408,166464,87,7569,0,8,32,31,New York Mets,NYY,34846500,18,324,115,162,13225,Todd Frazier,0.695,0.4830249999999999,5,220,9,0.213,0.045369,0.71,0.5041,3B,0.4753086419753086,59,3481,UFA,8000000,8000000,8000000,40.25,1620.0625,17000000,89635000,17000000,8500000,77,2.47,6.100900000000001,2,15.89495209964411,15.89495209964411,15.89495209964411
BAL,6.6,2021,2018,2018,2,3,9,0,0,1500000,2,31,31,Baltimore Orioles,TEX,36454400,0,0,30,162,900,Andrew Cashner,0.0,0.0,7,235,14,0.0,0.0,0.185,0.034225,SP,0.2901234567901234,0,0,UFA,9500000,5000000,9500000,10.48,109.83040000000001,16000000,73000000,16000000,8000000,47,0.61,0.3721,3,16.06680235657077,15.424948470398375,16.06680235657077
NYM,6.0,2021,2018,2018,2,27,729,4,16,0,8,35,34,New York Mets,KC,56179500,0,0,21,162,441,Jason Vargas,0.327,0.10692900000000001,5,215,9,0.148,0.021903999999999996,0.13,0.016900000000000002,SP,0.4753086419753086,0,0,UFA,6000000,6000000,6000000,12.44,154.75359999999998,16000000,89635000,16000000,8000000,77,-0.31,0.0961,2,15.60727002719233,15.60727002719233,15.60727002719233
MIL,6.3,2020,2018,2018,2,56,3136,9,81,750000,5,30,29,Milwaukee Brewers,SD,21814609,0,0,36,163,1296,Jhoulys Chacin,0.382,0.145924,1,215,5,0.161,0.025921000000000003,0.221,0.048841,SP,0.588957055214724,1,1,UFA,8750000,8000000,8750000,70.03,4904.2009,15500000,103750000,15500000,7750000,96,1.98,3.9204,0,15.984564258333798,15.89495209964411,15.984564258333798
CHC,6.6,2020,2018,2018,2,6,36,1,1,0,7,32,31,Chicago Cubs,SEA,30516915,0,0,81,163,6561,Steve Cishek,0.333,0.11088900000000002,17,215,20,0.167,0.027889000000000004,0.497,0.247009,RP,0.5828220858895705,0,0,UFA,7500000,6500000,7500000,62.36,3888.7696,13000000,215545000,13000000,6500000,95,2.28,5.1983999999999995,3,15.830413578506539,15.687312734865866,15.830413578506539
BOS,6.3,2020,2018,2018,2,404,163216,99,9801,0,3,32,32,Boston Red Sox,BOS,25179800,15,225,125,162,15625,Mitch Moreland,0.758,0.574564,14,245,24,0.245,0.060024999999999995,0.772,0.5959840000000001,1B,0.6666666666666666,68,4624,UFA,6500000,6500000,6500000,39.38,1550.7844000000002,13000000,131000000,13000000,6500000,108,0.94,0.8835999999999999,9,15.687312734865866,15.687312734865866,15.687312734865866
NYY,6.5,2019,2018,2018,1,4,16,0,0,0,2,31,30,New York Yankees,STL,37737213,0,0,31,162,961,Lance Lynn,0.0,0.0,40,270,54,0.0,0.0,0.191,0.036481,SP,0.6172839506172839,0,0,UFA,1999996,12000000,12000000,20.31,412.49609999999996,12000000,14000000,12000000,12000000,100,0.33,0.10890000000000001,27,14.508655738522219,16.300417207752275,16.300417207752275
CHC,6.2,2019,2018,2018,1,4,16,0,0,0,7,31,31,Chicago Cubs,NYY,59316110,0,0,33,163,1089,Jaime Garcia,0.0,0.0,17,215,20,0.0,0.0,0.203,0.041209,RP,0.5828220858895705,0,0,UFA,79110,545000,545000,0.0,0.0,10000000,215545000,545000,10000000,95,-0.49,0.24009999999999998,3,11.278594568015443,13.208541073645382,13.208541073645382
COL,0.0,2021,2018,2018,2,299,89401,67,4489,150000,5,35,34,Colorado Rockies,ARI,35274000,11,121,110,163,12100,Chris Iannetta,0.73,0.5328999999999999,1,230,5,0.224,0.050176000000000005,0.675,0.45562500000000006,C,0.558282208588957,36,1296,UFA,3600000,3450000,3600000,23.43,548.9649,8500000,122500000,8500000,4250000,91,-0.41,0.16809999999999997,0,15.096444403426338,15.053884789007542,15.096444403426338
COL,0.0,2019,2018,2018,1,463,214369,128,16384,0,5,32,32,Colorado Rockies,COL,86817571,16,256,133,163,17689,Carlos Gonzalez,0.796,0.6336160000000001,1,220,5,0.277,0.07672900000000002,0.816,0.6658559999999999,RF,0.558282208588957,64,4096,UFA,8000000,5000000,8000000,38.12,1453.1344,8000000,122500000,8000000,8000000,91,0.37,0.1369,0,15.89495209964411,15.424948470398375,15.89495209964411
BOS,0.0,2020,2018,2018,2,480,230400,127,16129,0,3,31,30,Boston Red Sox,BOS,13033506,10,100,127,162,16129,Eduardo Nunez,0.677,0.45832900000000004,14,195,24,0.265,0.07022500000000001,0.784,0.6146560000000001,2B,0.6666666666666666,44,1936,UFA,4000000,4000000,4000000,13.98,195.4404,8000000,131000000,8000000,4000000,108,-1.12,1.2544000000000002,9,15.201804919084164,15.201804919084164,15.201804919084164
ARI,5.9,2020,2018,2018,2,206,42436,39,1521,250000,2,33,33,Arizona Diamondbacks,SEA,11688625,2,4,67,162,4489,Jarrod Dyson,0.539,0.29052100000000003,1,165,6,0.189,0.035721,0.414,0.171396,RF,0.5061728395061729,12,144,UFA,3750000,3500000,3750000,0.0,0.0,7500000,15750000,7500000,3750000,82,0.12,0.0144,1,15.137266397946593,15.068273526459642,15.137266397946593
WSH,0.0,2020,2018,2018,2,152,23104,46,2116,0,5,34,34,Washington Nationals,WSH,63320000,4,16,40,162,1600,Howie Kendrick,0.805,0.6480250000000001,1,220,5,0.303,0.091809,0.247,0.061009,LF,0.5061728395061729,12,144,UFA,3000000,3000000,3000000,0.0,0.0,7000000,23300000,7000000,3500000,82,-0.22,0.0484,0,14.914122846632385,14.914122846632385,14.914122846632385
CHC,6.0,2020,2018,2018,2,1,1,0,0,0,7,35,34,Chicago Cubs,CHC,13802500,0,0,49,163,2401,Brian Duensing,0.5,0.25,17,200,20,0.0,0.0,0.301,0.09060099999999999,RP,0.5828220858895705,0,0,UFA,3500000,3500000,3500000,0.7,0.48999999999999994,7000000,215545000,7000000,3500000,95,-1.52,2.3104,3,15.068273526459642,15.068273526459642,15.068273526459642
