Acronimo,Agente libre,Altura,Anio,At-bats,At-bats_2,Bateos,Bateos_2,Cantidad de equipos,Cantidad_agentes_libres,Edad,Equipo,Estado,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
PHI,Si,6.3,9,573,328329,149,22201,2,4,26,Philadelphia Phillies,Pennsylvania,35,1225,157,162,24649,Bryce Harper,0.882,0.7779240000000001,7,220,14,0.26,0.06760000000000001,0.969,0.9389609999999999,RF,0.5,114,12996,11538462,10000000,11538462,66.12,4371.8544,403000000,81,4.16,17.305600000000002,2,16.26119653459899,16.11809565095832,16.26119653459899
PHI,No,6.1,9,538,289444,148,21904,2,4,28,Philadelphia Phillies,Pennsylvania,25,625,145,162,21025,J.T. Realmuto,0.82,0.6723999999999999,7,210,14,0.275,0.07562500000000001,0.895,0.801025,C,0.5,83,6889,5900000,5900000,5900000,77.47,6001.6008999999995,403000000,81,4.37,19.0969,2,15.590462908875947,15.590462908875947,15.590462908875947
PHI,No,6.4,9,570,324900,129,16641,2,4,26,Philadelphia Phillies,Pennsylvania,29,841,160,162,25600,Rhys Hoskins,0.819,0.6707609999999999,7,225,14,0.226,0.051076,0.988,0.976144,1B,0.5,85,7225,575000,575000,575000,74.62,5568.144400000001,403000000,81,1.46,2.1315999999999997,2,13.262125319779487,13.262125319779487,13.262125319779487
PHI,No,6.1,9,389,151321,91,8281,2,4,26,Philadelphia Phillies,Pennsylvania,17,289,123,162,15129,Maikel Franco,0.705,0.49702499999999994,7,225,14,0.234,0.054756000000000006,0.759,0.5760810000000001,3B,0.5,56,3136,5200000,5200000,5200000,13.86,192.09959999999998,403000000,81,-0.24,0.0576,2,15.464169183551656,15.464169183551656,15.464169183551656
PHI,No,6.1,9,260,67600,79,6241,2,4,30,Philadelphia Phillies,Pennsylvania,12,144,78,162,6084,Corey Dickerson,0.906,0.820836,7,200,14,0.304,0.092416,0.482,0.23232399999999997,LF,0.5,59,3481,8500000,8500000,2787639,0.0,0.0,403000000,81,0.45,0.2025,2,15.955576721460545,15.955576721460545,14.840705558978122
PHI,Si,6.3,9,310,96100,67,4489,2,4,32,Philadelphia Phillies,Pennsylvania,26,676,100,162,10000,Jay Bruce,0.784,0.6146560000000001,7,230,14,0.216,0.046655999999999996,0.617,0.380689,RF,0.5,59,3481,14000000,13000000,1000000,20.95,438.9025,403000000,81,0.33,0.10890000000000001,2,16.454567887579532,16.38045991542581,13.815510557964274
PHI,No,6.1,9,222,49284,59,3481,2,4,23,Philadelphia Phillies,Pennsylvania,5,25,68,162,4624,Adam Haseley,0.72,0.5184,7,195,14,0.266,0.07075600000000001,0.42,0.17639999999999997,OF,0.5,26,676,555000,555000,304368,0.0,0.0,403000000,81,1.65,2.7224999999999997,2,13.226723392728571,13.226723392728571,12.625992774607923
PHI,No,6.2,9,154,23716,40,1600,2,4,29,Philadelphia Phillies,Pennsylvania,13,169,79,162,6241,Brad Miller,0.894,0.7992360000000001,7,195,14,0.26,0.06760000000000001,0.488,0.238144,2B,0.5,25,625,555000,555000,322272,0.0,0.0,403000000,81,0.3,0.09,2,13.226723392728571,13.226723392728571,12.683151188447871
PHI,No,6.1,9,136,18496,29,841,2,4,27,Philadelphia Phillies,Pennsylvania,2,4,74,162,5476,Andrew Knapp,0.642,0.41216400000000003,7,189,14,0.213,0.045369,0.457,0.208849,C,0.5,8,64,565000,565000,565000,0.0,0.0,403000000,81,-0.03,0.0009,2,13.244581010128577,13.244581010128577,13.244581010128577
PHI,No,0.0,9,112,12544,25,625,2,4,34,Philadelphia Phillies,Pennsylvania,4,16,76,162,5776,Sean Rodriguez,0.723,0.522729,7,200,14,0.223,0.049729,0.469,0.21996099999999996,2B,0.5,12,144,555000,555000,474456,0.0,0.0,403000000,81,0.34,0.11560000000000002,2,13.226723392728571,13.226723392728571,13.069924163543883
PHI,No,6.1,9,65,4225,17,289,2,4,30,Philadelphia Phillies,Pennsylvania,0,0,44,162,1936,Philip Gosselin,0.602,0.36240399999999995,7,200,14,0.262,0.06864400000000001,0.272,0.07398400000000001,2B,0.5,7,49,555000,555000,250656,0.0,0.0,403000000,81,-0.4,0.16000000000000003,2,13.226723392728571,13.226723392728571,12.431836760166965
PHI,No,6.3,9,106,11236,16,256,2,4,25,Philadelphia Phillies,Pennsylvania,2,4,67,162,4489,Nick Williams,0.442,0.195364,7,195,14,0.151,0.022801,0.414,0.171396,RF,0.5,5,25,575000,575000,333828,0.0,0.0,403000000,81,-1.18,1.3923999999999999,2,13.262125319779487,13.262125319779487,12.718381169256336
PHI,No,6.6,9,50,2500,8,64,2,4,25,Philadelphia Phillies,Pennsylvania,0,0,32,162,1024,Zach Eflin,0.34,0.11560000000000002,7,215,14,0.16,0.0256,0.198,0.039204,SP,0.5,2,4,590000,590000,590000,59.49,3539.0601,403000000,81,1.46,2.1315999999999997,2,13.287877815881902,13.287877815881902,13.287877815881902
PHI,Si,6.4,9,45,2025,7,49,2,4,33,Philadelphia Phillies,Pennsylvania,0,0,24,162,576,Jake Arrieta,0.352,0.12390399999999999,7,230,14,0.156,0.024336,0.148,0.021903999999999996,SP,0.5,4,16,25000000,25000000,25000000,16.71,279.2241,403000000,81,0.9,0.81,2,17.034386382832476,17.034386382832476,17.034386382832476
PHI,No,6.3,9,35,1225,7,49,2,4,31,Philadelphia Phillies,Pennsylvania,2,4,29,162,841,Logan Morrison,0.663,0.43956900000000004,7,245,14,0.2,0.04000000000000001,0.179,0.032041,DH,0.5,3,9,1000000,1000000,252672,0.0,0.0,403000000,81,-0.22,0.0484,2,13.815510557964274,13.815510557964274,12.439847483913043
PHI,No,6.3,9,30,900,7,49,2,4,27,Philadelphia Phillies,Pennsylvania,1,1,35,162,1225,Vincent Velasquez,0.615,0.378225,7,205,14,0.233,0.054289000000000004,0.216,0.046655999999999996,SP,0.5,3,9,2249000,2249000,2249000,20.68,427.6624,403000000,81,0.12,0.0144,2,14.625996230941453,14.625996230941453,14.625996230941453
PHI,No,6.2,9,59,3481,7,49,2,4,26,Philadelphia Phillies,Pennsylvania,0,0,34,162,1156,Aaron Nola,0.353,0.12460899999999998,7,195,14,0.119,0.014160999999999998,0.21,0.04409999999999999,SP,0.5,2,4,4500000,4000000,4500000,74.35,5527.922499999999,403000000,81,3.65,13.3225,2,15.319587954740548,15.201804919084164,15.319587954740548
