Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anio,Anios_de_contrato_t,Anios_de_contrato_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Status,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIN,ATL,6.1,6.1,2025,2020,2020,2019,2020,4,1,6561,301401,81,549,324,20164,18,142,0,0,7,6,1,1,34,33,34,33,ATL,Minnesota Twins,Atlanta Braves,Minnesota,87667798,81001131,36,1369,6,37,784,24649,28,157,60,161,Josh Donaldson,0.7089639999999999,0.81,0.842,0.9,6,18,210,210,17,25,0.049284,0.067081,0.222,0.259,0.21808900000000003,0.9389609999999999,0.467,0.969,3B,3B,0.6,0.6024844720496895,121,8836,11,94,UFA,6666667,23000000,21000000,23000000,21000000,23000000,0.0,6065.294399999999,0.0,77.88,92000000,134000000,52210000,92000000,23000000,23000000,36,97,0.2916,29.3764,0.54,5.42,3,3,15.712630592850154,16.860032995687696,16.860032995687696
CHW,MIL,6.2,6.2,2024,2021,2020,2019,2020,4,1,25921,263169,161,513,1369,15876,37,126,0,0,5,5,2,1,31,30,31,30,MIL,Chicago White Sox,Milwaukee Brewers,Illinois,47468259,40709000,64,784,8,28,2116,23409,46,153,60,161,Yasmani Grandal,0.597529,0.719104,0.773,0.848,6,1,225,225,10,6,0.0529,0.060516,0.23,0.246,0.5882890000000001,0.8911359999999999,0.767,0.944,C,C,0.5833333333333334,0.5527950310559007,729,5929,27,77,UFA,6759259,16000000,18250000,16000000,18250000,16000000,1487.6449,2522.0483999999997,38.57,50.22,73000000,151500000,31900000,73000000,18250000,18250000,35,89,0.36,6.100900000000001,0.6,2.47,3,0,15.726423826626327,16.719675637992776,16.719675637992776
CIN,CHC,6.4,6.4,2025,2020,2020,2019,2020,4,1,47524,378225,218,615,2401,31684,49,178,0,0,4,5,2,2,27,26,28,27,CHC,Cincinnati Reds,Chicago Cubs,Ohio,30017753,24091827,196,729,14,27,3600,24025,60,155,59,162,Nick Castellanos,0.6146560000000001,0.744769,0.784,0.863,10,17,203,203,16,20,0.050625,0.08352099999999998,0.225,0.289,1.0,0.9158489999999999,1.0,0.957,RF,RF,0.5254237288135594,0.5185185185185185,1156,5329,34,73,UFA,5925926,2859700,16000000,9950000,16000000,9950000,787.3635999999999,2806.8803999999996,28.06,52.98,64000000,144825000,49325000,64000000,9950000,16000000,31,84,0.0004,1.0816000000000001,0.02,1.04,5,3,15.594847519693772,16.588099280204055,16.588099280204055
CIN,MIL,6.0,6.0,2025,2021,2020,2019,2020,4,1,19321,273529,139,523,1024,17689,32,133,0,0,4,5,2,1,31,30,31,30,MIL,Cincinnati Reds,Milwaukee Brewers,Ohio,46006308,41561864,64,1225,8,35,1936,20449,44,143,59,161,Mike Moustakas,0.6384010000000001,0.7140249999999999,0.799,0.845,10,1,225,225,16,6,0.0529,0.064516,0.23,0.254,0.537289,0.779689,0.733,0.883,2B,3B,0.5254237288135594,0.5527950310559007,729,7569,27,87,UFA,4444444,7050000,12000000,7000000,12000000,7050000,927.8116,4595.484100000001,30.46,67.79,64000000,144825000,31900000,64000000,10000000,16000000,31,89,0.0144,10.3041,0.12,3.21,5,0,15.307165334741986,16.300417207752275,16.300417207752275
MIL,TB,6.4,6.4,2023,2020,2020,2019,2020,2,1,32761,239121,181,489,1849,19044,43,138,250000,0,9,2,1,2,28,27,29,28,TB,Milwaukee Brewers,Tampa Bay Rays,Wisconsin,21065538,17972946,4,400,2,20,2809,15876,53,126,60,161,Avisail Garcia,0.43428100000000003,0.6336160000000001,0.659,0.796,1,1,250,250,7,5,0.05664399999999999,0.07952399999999998,0.238,0.282,0.779689,0.605284,0.883,0.778,LF,RF,0.4833333333333333,0.5962732919254659,225,5184,15,72,UFA,2842593,4500000,7000000,3500000,7250000,4500000,125.88840000000002,3638.5024,11.22,60.32,20000000,49875000,33500000,20000000,3500000,10000000,29,96,0.22089999999999999,4.1616,-0.47,2.04,0,0,14.860227221749717,15.761420707019587,15.796512026830857
ATL,STL,6.1,6.1,2021,2020,2020,2019,2020,1,1,51984,235225,228,485,5929,13924,77,118,0,0,7,1,1,2,29,28,29,28,STL,Atlanta Braves,St. Louis Cardinals,Georgia,33191158,26524491,324,841,18,29,3600,17161,60,131,60,162,Marcell Ozuna,1.1384889999999999,0.6464160000000001,1.067,0.804,18,23,225,225,26,29,0.11424400000000001,0.059049,0.338,0.243,1.0,0.6544810000000001,1.0,0.809,LF,LF,0.5833333333333334,0.5617283950617284,3136,7921,56,89,UFA,6666667,12250000,18000000,12250000,18000000,12250000,9496.5025,3169.6899999999996,97.45,56.3,18000000,95750000,25000000,18000000,12250000,18000000,35,91,5.3824,4.368099999999999,2.32,2.09,3,11,15.712630592850154,16.70588231586044,16.70588231586044
MIA,PHI,6.1,6.1,2022,2020,2020,2019,2020,2,1,37636,67600,194,260,2500,6241,50,79,0,0,6,4,2,2,30,29,31,30,PHI,Miami Marlins,Philadelphia Phillies,Florida,22198867,19606274,49,144,7,12,2704,6084,52,78,60,162,Corey Dickerson,0.508369,0.820836,0.713,0.906,2,7,200,200,3,14,0.066564,0.092416,0.258,0.304,0.7516889999999999,0.23232399999999997,0.867,0.482,LF,LF,0.5166666666666667,0.5,289,3481,17,59,UFA,2592593,2787639,8000000,8500000,8000000,8500000,538.24,0.0,23.2,0.0,17500000,25350000,403000000,17500000,8500000,8750000,31,81,0.0484,0.2025,0.22,0.45,2,2,14.76816909115215,15.89495209964411,15.89495209964411
ATL,TB,6.2,6.2,0,2020,2020,2019,2020,2,1,27225,123201,165,351,2809,7744,53,88,0,0,7,2,1,2,30,29,31,30,TB,Atlanta Braves,Tampa Bay Rays,Georgia,12078070,9115107,81,256,9,16,1936,10609,44,103,60,161,Travis d'Arnaud,0.8445610000000001,0.555025,0.919,0.745,18,1,210,210,26,5,0.10304100000000001,0.063001,0.321,0.251,0.537289,0.404496,0.733,0.636,C,C,0.5833333333333334,0.5962732919254659,1156,4761,34,69,UFA,2962963,438648,8000000,555000,8000000,555000,5893.6329,1281.6399999999999,76.77,35.8,16000000,95750000,33500000,16000000,555000,8000000,35,96,0.7055999999999999,0.16809999999999997,0.84,-0.41,3,0,14.901700339133827,15.89495209964411,15.89495209964411
PHI,NYY,6.3,6.3,2021,2020,2020,2019,2020,1,1,46225,104976,215,324,3721,5929,61,77,0,0,4,5,2,2,29,28,30,29,NYY,Philadelphia Phillies,New York Yankees,Pennsylvania,35041585,29856400,100,256,10,16,3600,6724,60,82,60,162,Didi Gregorius,0.6839289999999999,0.515524,0.827,0.718,7,40,205,205,14,55,0.08065599999999999,0.05664399999999999,0.284,0.238,1.0,0.256036,1.0,0.506,SS,SS,0.4666666666666667,0.6358024691358025,1600,3721,40,61,UFA,5185185,11750000,14000000,11750000,14000000,11750000,3044.8324,0.0,55.18,0.0,14000000,134350000,124555000,14000000,11750000,14000000,28,103,0.8281000000000001,0.4096,0.91,0.64,2,27,15.461316078854964,16.454567887579532,16.454567887579532
WSH,MIA,6.2,6.2,2022,2021,2020,2013,2020,2,7,3600,404496,60,636,256,29584,16,172,0,857142,10,2,1,2,29,22,30,29,MIA,Washington Nationals,Miami Marlins,Washington DC,63601694,61379472,4,484,2,22,256,26244,16,162,62,162,Starlin Castro,0.565504,0.541696,0.752,0.736,1,2,230,230,6,2,0.071289,0.0729,0.267,0.27,0.071289,1.0,0.267,1.0,2B,2B,0.4193548387096774,0.3518518518518518,16,7396,4,86,UFA,2222222,11857142,6000000,11000000,6000000,11857142,0.0,542.89,0.0,23.3,12000000,316750000,4500000,12000000,60000000,6000000,26,57,0.22089999999999999,1.1025,0.47,1.05,1,2,14.614018154182041,15.60727002719233,15.60727002719233
CHW,NYY,0.0,0.0,2022,2021,2020,2017,2020,1,3,25281,174724,159,418,625,10404,25,102,1000000,1666668,5,5,2,2,36,33,37,36,NYY,Chicago White Sox,New York Yankees,Illinois,125235742,120161668,100,1156,10,34,1936,12321,44,111,60,162,Edwin Encarnacion,0.393129,0.765625,0.627,0.875,6,40,230,230,10,55,0.024649,0.059536,0.157,0.244,0.537289,0.46922500000000006,0.733,0.685,DH,DH,0.5833333333333334,0.6358024691358025,361,7396,19,86,UFA,5074074,8000000,11000000,20000000,12000000,21666668,136.89,3162.9376,11.7,56.24,12000000,151500000,124555000,12000000,60000000,12000000,35,103,0.12249999999999998,4.2025,-0.35,2.05,3,27,15.43965460318953,16.213405830762646,16.300417207752275
