Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_inicio_de_contrato_t,Anio_inicio_de_contrato_t_1,Anio,Anios_de_contrato_t,Anios_de_contrato_t_1,At_bats_2_t,At_bats_2_t_1,At_bats_t,At_bats_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Edad_t_1,Equipo_anterior,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Home_runs_2_t,Home_runs_2_t_1,Home_runs_t,Home_runs_t_1,Juegos_2_t,Juegos_2_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,OPS_2_t,OPS_2_t_1,OPS_t,OPS_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_bateo_2_t,Porcentaje_bateo_2_t_1,Porcentaje_bateo_t,Porcentaje_bateo_t_1,Porcetnaje_juegos_2_t,Porcetnaje_juegos_2_t_1,Porcetnaje_juegos_t,Porcetnaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,RBI_2_t,RBI_2_t_1,RBI_t,RBI_t_1,Status,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Valor_promedio_contrato,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WS_ganadas_t,WS_ganadas_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIL,SD,6.3,6.3,2020,2018,2018,2017,2018,2,1,3136,2916,56,54,81,144,9,12,750000,0,5,4,1,5,29,28,30,29,SD,Milwaukee Brewers,San Diego Padres,Wisconsin,21814609,12314609,0,0,0,0,1296,1156,36,34,163,162,Jhoulys Chacin,0.145924,0.23136099999999998,0.382,0.481,1,2,215,215,5,5,0.025921000000000003,0.049284,0.161,0.222,0.048841,0.04409999999999999,0.221,0.21,SP,SP,0.588957055214724,0.4382716049382716,1,16,1,4,UFA,8750000,1750000,8000000,1750000,8750000,1750000,4904.2009,6353.684099999999,70.03,79.71,15500000,103750000,8250000,15500000,1750000,7750000,96,71,3.9204,6.4516,1.98,2.54,0,0,15.984564258333798,15.89495209964411,15.984564258333798
BOS,BOS,6.3,6.3,2020,2018,2018,2017,2018,2,1,163216,258064,404,508,9801,15625,99,125,0,0,3,1,1,1,32,31,32,31,BOS,Boston Red Sox,Boston Red Sox,Massachusetts,25179800,18679800,225,484,15,22,15625,22201,125,149,162,162,Mitch Moreland,0.574564,0.591361,0.758,0.769,14,13,245,245,24,23,0.060024999999999995,0.060516,0.245,0.246,0.5959840000000001,0.8464,0.772,0.92,1B,1B,0.6666666666666666,0.5740740740740741,4624,6241,68,79,UFA,6500000,5500000,6500000,5500000,6500000,5500000,1550.7844000000002,2259.1009,39.38,47.53,13000000,131000000,5500000,13000000,5500000,6500000,108,93,0.8835999999999999,3.8024999999999998,0.94,1.95,9,8,15.687312734865866,15.687312734865866,15.687312734865866
NYY,STL,6.5,6.5,2019,2018,2018,2015,2018,1,3,16,2916,4,54,0,16,0,4,0,0,2,2,2,2,30,27,31,30,STL,New York Yankees,St. Louis Cardinals,New York,37737213,25737213,0,0,0,0,961,1089,31,33,162,162,Lance Lynn,0.0,0.047524,0.0,0.218,40,23,270,270,54,28,0.0,0.005475999999999999,0.0,0.074,0.036481,0.04161599999999999,0.191,0.204,SP,SP,0.6172839506172839,0.5123456790123457,0,0,0,0,UFA,1999996,8500000,12000000,7500000,12000000,8500000,412.49609999999996,5256.25,20.31,72.5,12000000,14000000,113000000,12000000,23500000,12000000,100,83,0.10890000000000001,10.0489,0.33,3.17,27,11,14.508655738522219,16.300417207752275,16.300417207752275
CHC,NYY,6.2,6.2,2019,2018,2018,2012,2018,1,4,16,1089,4,33,0,25,0,5,0,0,7,3,2,2,31,25,31,30,NYY,Chicago Cubs,New York Yankees,Illinois,59316110,51237000,0,1,0,1,1089,729,33,27,163,162,Jaime Garcia,0.0,0.201601,0.0,0.449,17,40,215,215,20,53,0.0,0.023104,0.0,0.152,0.041209,0.027889000000000004,0.203,0.167,RP,SP,0.5828220858895705,0.5617283950617284,0,49,0,7,UFA,79110,187072,545000,12000000,545000,12000000,0.0,2065.7025000000003,0.0,45.45,10000000,215545000,102500000,545000,27500000,10000000,95,91,0.24009999999999998,1.3923999999999999,-0.49,1.18,3,27,11.278594568015443,13.208541073645382,13.208541073645382
COL,ARI,0.0,0.0,2021,2018,2018,2017,2018,2,1,89401,73984,299,272,4489,4761,67,69,150000,0,5,5,1,1,34,33,35,34,ARI,Colorado Rockies,Arizona Diamondbacks,Colorado,35274000,31524000,121,289,11,17,12100,7921,110,89,163,162,Chris Iannetta,0.5328999999999999,0.748225,0.73,0.865,1,1,230,230,5,6,0.050176000000000005,0.064516,0.224,0.254,0.45562500000000006,0.30140100000000003,0.675,0.549,C,C,0.558282208588957,0.5740740740740741,1296,1849,36,43,UFA,3600000,1500000,3450000,1500000,3600000,1500000,548.9649,0.0,23.43,0.0,8500000,122500000,9750000,8500000,1500000,4250000,91,93,0.16809999999999997,3.0976,-0.41,1.76,0,1,15.096444403426338,15.053884789007542,15.096444403426338
COL,COL,0.0,0.0,2019,2018,2018,2011,2018,1,7,214369,220900,463,470,16384,14884,128,122,0,428571,5,4,1,1,32,25,32,31,COL,Colorado Rockies,Colorado Rockies,Colorado,86817571,78817571,256,196,16,14,17689,18496,133,136,163,162,Carlos Gonzalez,0.6336160000000001,0.571536,0.796,0.756,1,1,220,220,5,4,0.07672900000000002,0.06760000000000001,0.277,0.26,0.6658559999999999,0.7055999999999999,0.816,0.84,RF,RF,0.558282208588957,0.5370370370370371,4096,3249,64,57,UFA,8000000,20428571,5000000,20000000,8000000,20428571,1453.1344,383.37639999999993,38.12,19.58,8000000,122500000,97250000,8000000,80000000,8000000,91,87,0.1369,0.04409999999999999,0.37,-0.21,0,0,15.89495209964411,15.424948470398375,15.89495209964411
BOS,BOS,0.0,0.0,2020,0,2018,2017,2018,2,1,230400,218089,480,467,16129,21316,127,146,0,0,3,1,1,1,30,29,31,30,BOS,Boston Red Sox,Boston Red Sox,Massachusetts,13033506,9033506,100,144,10,12,16129,12996,127,114,162,162,Eduardo Nunez,0.45832900000000004,0.6416010000000001,0.677,0.801,14,13,195,195,24,23,0.07022500000000001,0.097969,0.265,0.313,0.6146560000000001,0.49561599999999995,0.784,0.704,2B,SS,0.6666666666666666,0.5740740740740741,1936,3364,44,58,UFA,4000000,1560668,4000000,4200000,4000000,4200000,195.4404,3547.3936000000003,13.98,59.56,8000000,131000000,5500000,8000000,4200000,4000000,108,93,1.2544000000000002,0.8835999999999999,-1.12,0.94,9,8,15.201804919084164,15.201804919084164,15.201804919084164
ARI,SEA,5.9,5.9,2020,2018,2018,2017,2018,2,1,42436,119716,206,346,1521,7569,39,87,250000,0,2,2,1,1,33,32,33,32,SEA,Arizona Diamondbacks,Seattle Mariners,Arizona,11688625,7688625,4,25,2,5,4489,12321,67,111,162,162,Jarrod Dyson,0.29052100000000003,0.45427600000000007,0.539,0.674,1,0,165,165,6,4,0.035721,0.063001,0.189,0.251,0.171396,0.46922500000000006,0.414,0.685,RF,RF,0.5061728395061729,0.4814814814814814,144,900,12,30,UFA,3750000,2800000,3500000,2800000,3750000,2800000,0.0,2393.1664,0.0,48.92,7500000,15750000,11535000,7500000,2800000,3750000,82,78,0.0144,7.398400000000001,0.12,2.72,1,0,15.137266397946593,15.068273526459642,15.137266397946593
WSH,WSH,0.0,0.0,2020,2018,2018,2016,2018,2,2,23104,93025,152,305,2116,9216,46,96,0,0,5,4,1,1,34,32,34,33,WSH,Washington Nationals,Washington Nationals,Washington DC,63320000,55320000,16,81,4,9,1600,8281,40,91,162,163,Howie Kendrick,0.6480250000000001,0.712336,0.805,0.844,1,1,220,220,5,5,0.091809,0.09922500000000001,0.303,0.315,0.061009,0.31584400000000007,0.247,0.562,LF,LF,0.5061728395061729,0.5950920245398773,144,1681,12,41,UFA,3000000,3551912,3000000,10000000,3000000,10000000,0.0,0.0,0.0,0.0,7000000,23300000,10400000,7000000,20000000,3500000,82,97,0.0484,1.6384,-0.22,1.28,0,0,14.914122846632385,14.914122846632385,14.914122846632385
CHC,CHC,6.0,6.0,2020,2018,2018,2017,2018,2,1,1,16,1,4,0,0,0,0,0,0,7,3,2,2,34,33,35,34,CHC,Chicago Cubs,Chicago Cubs,Illinois,13802500,10302500,0,0,0,0,2401,4624,49,68,163,162,Brian Duensing,0.25,0.0,0.5,0.0,17,17,200,200,20,19,0.0,0.0,0.0,0.0,0.09060099999999999,0.17639999999999997,0.301,0.42,RP,RP,0.5828220858895705,0.5679012345679012,0,0,0,0,UFA,3500000,2000000,3500000,2000000,3500000,2000000,0.48999999999999994,3000.8484000000003,0.7,54.78,7000000,215545000,16000000,7000000,2000000,3500000,95,92,2.3104,1.9320999999999997,-1.52,1.39,3,3,15.068273526459642,15.068273526459642,15.068273526459642
