Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
BAL,6.4,2016,7,4,41,1681,1,5,24,576,23,529,3.1666666666666665,10.027777777777777,0.044223327805417365,0.0019557027221854006,0.14004053805048833,0.01961135229747027,3.43,11.7649,34,Baltimore Orioles,BAL,Maryland,60.3,3636.0899999999997,64,162,4096,0,0,Darren O'Day,3,9,7,220,14,RP,0.4629629629629629,2,4,UFA,76,5776,7000000,7000000,7000000,28.36,804.2896,31000000,55600000,7750000,75,1.05,1.1025,1.08,1.1664,3,24,576,2,4,15.761420707019587,15.761420707019587,15.761420707019587
BOS,6.5,2016,7,7,65,4225,1,1,30,900,28,784,3.1666666666666665,10.027777777777777,0.035698348951360995,0.0012743721178531367,0.11304477167930982,0.012779120404027287,3.38,11.424399999999999,31,Boston Red Sox,TOR,Massachusetts,74.7,5580.09,16,162,256,11,121,David Price,3,9,13,215,23,SP,0.5740740740740741,0,0,UFA,76,5776,30000000,30000000,30000000,0.0,0.0,217000000,5500000,31000000,93,1.58,2.4964000000000004,1.19,1.4161,8,24,576,6,36,17.216707939626428,17.216707939626428,17.216707939626428
CIN,0.0,2017,7,1,57,3249,2,2,32,1024,27,729,2.0869565217391304,4.355387523629489,0.046719479991874875,0.0021827098107111967,0.09750152346130408,0.00950654707727523,4.45,19.802500000000002,29,Cincinnati Reds,SEA,Ohio,54.7,2992.09,58,162,3364,0,0,Drew Storen,2,4,10,195,15,RP,0.419753086419753,1,1,UFA,48,2304,3150000,3000000,3150000,10.73,115.1329,3000000,5300000,3000000,68,-0.2,0.04000000000000001,1.46,2.1315999999999997,5,23,529,4,16,14.962913010801817,14.914122846632385,14.962913010801817
MIA,6.3,2017,7,1,77,5929,2,6,42,1764,41,1681,2.3703703703703702,5.618655692729766,0.03861003861003861,0.001490735081468672,0.09152009152009151,0.008375927151845926,4.75,22.5625,35,Miami Marlins,MIA,Florida,77.7,6037.290000000001,63,162,3969,0,0,Dustin McGowan,2,4,2,240,2,RP,0.4753086419753086,0,0,UFA,64,4096,1750000,1750000,1750000,26.16,684.3456,1750000,57250000,1750000,77,-0.2,0.04000000000000001,1.34,1.7956000000000003,2,27,729,8,64,14.375126345899696,14.375126345899696,14.375126345899696
MIA,0.0,2017,7,2,78,6084,2,6,46,2116,43,1849,1.528301886792453,2.335706657173372,0.06380161309738774,0.004070645833828759,0.09750812567713978,0.009507834573068885,4.19,17.556100000000004,33,Miami Marlins,KC,Florida,92.3,8519.289999999999,17,162,289,17,289,Edinson Volquez,8,64,2,220,2,SP,0.4753086419753086,0,0,UFA,81,6561,9000000,9000000,9000000,37.36,1395.7695999999999,22000000,57250000,11000000,77,0.68,0.4624000000000001,1.42,2.0164,2,53,2809,4,16,16.012735135300492,16.012735135300492,16.012735135300492
WSH,0.0,2017,7,1,86,7396,1,4,53,2809,44,1936,2.0689655172413794,4.280618311533889,0.04239766081871345,0.0017975616428986695,0.08771929824561403,0.007694675284702985,5.21,27.144099999999998,33,Washington Nationals,SD,Washington DC,76.0,5776.0,22,163,484,13,169,Edwin Jackson,6,36,1,210,5,SP,0.5950920245398773,0,0,UFA,60,3600,1000000,1000000,415264,12.3,151.29000000000002,2450000,10400000,2450000,97,-0.23,0.0529,1.51,2.2801,0,29,841,5,25,13.815510557964274,13.815510557964274,12.936669741536956
MIN,6.2,2015,7,4,177,31329,1,2,85,7225,77,5929,2.737704918032787,7.495028218220909,0.03207656307514329,0.001028905898713646,0.08781616448440868,0.007711678744752721,3.28,10.758399999999998,34,Minnesota Twins,ATL,Minnesota,211.3,44647.69,33,162,1089,33,1089,Ervin Santana,8,64,6,175,15,SP,0.5246913580246914,0,0,UFA,167,27889,13500000,13500000,13500000,85.0,7225.0,55000000,26550000,13750000,85,4.63,21.436899999999998,1.13,1.2768999999999997,3,61,3721,16,256,16.41820024340866,16.41820024340866,16.41820024340866
ARI,0.0,2017,7,1,40,1600,1,5,29,841,26,676,2.5,6.25,0.05224030540486237,0.002729049508793292,0.1306007635121559,0.017056559429958075,4.23,17.892900000000004,40,Arizona Diamondbacks,MIA,Arizona,55.3,3058.0899999999997,61,162,3721,0,0,Fernando Rodney,4,16,1,240,6,RP,0.5740740740740741,39,1521,UFA,65,4225,4000000,2750000,4000000,85.15,7250.522500000001,2750000,9750000,2750000,93,0.34,0.11560000000000002,1.19,1.4161,1,26,676,5,25,15.201804919084164,14.827111469642754,15.201804919084164
HOU,6.3,2015,7,3,105,11025,2,3,66,4356,61,3721,1.6037735849056605,2.5720897116411536,0.06071019473081329,0.0036857277442532694,0.09736540664375716,0.00948002241090419,5.66,32.0356,33,Houston Astros,PIT,Texas,97.0,9409.0,38,162,1444,18,324,Francisco Liriano,7,49,2,218,11,RP,0.6234567901234568,0,0,UFA,85,7225,13666668,13000000,4475394,0.0,0.0,39000000,82000000,13000000,101,-0.17,0.028900000000000006,1.63,2.6569,1,53,2809,6,36,16.430470433561442,16.38045991542581,15.314104950508124
KC,6.0,2016,7,5,143,20449,2,4,99,9801,92,8464,2.1475409836065573,4.61193227626982,0.04401154401154401,0.0019370160062800754,0.09451659451659451,0.008933386639014345,5.38,28.944399999999998,32,Kansas City Royals,SD,Missouri,154.0,23716.0,30,162,900,30,900,Ian Kennedy,13,169,4,205,9,SP,0.4938271604938271,0,0,UFA,131,17161,13500000,13500000,13500000,10.93,119.4649,70000000,43800000,14000000,80,0.49,0.24009999999999998,1.33,1.7689000000000001,2,61,3721,5,25,16.41820024340866,16.41820024340866,16.41820024340866
PIT,6.5,2017,7,3,203,41209,2,2,96,9216,86,7396,3.638888888888889,13.241512345679013,0.0213903743315508,0.0004575481140438674,0.0778371954842543,0.0060586290008540185,4.14,17.139599999999998,30,Pittsburgh Pirates,PIT,Pennsylvania,187.0,34969.0,31,162,961,31,961,Ivan Nova,14,196,9,250,17,SP,0.4629629629629629,0,0,UFA,131,17161,8416666,7000000,8416666,53.2,2830.2400000000002,26000000,37000000,8666667,75,2.15,4.6225,1.28,1.6384,5,36,1296,11,121,15.945724345809609,15.761420707019587,15.945724345809609
TOR,6.5,2016,7,3,145,21025,1,6,64,4096,57,3249,3.0869565217391304,9.52930056710775,0.03517626366903724,0.0012373695257136294,0.10858759654354974,0.011791266123104736,3.53,12.460899999999999,34,Toronto Blue Jays,PIT,Toronto,145.3,21112.090000000004,25,162,625,25,625,J.A. Happ,11,121,2,205,7,SP,0.4691358024691358,0,0,UFA,142,20164,13000000,13000000,13000000,69.65,4851.1225,36000000,70000000,12000000,76,3.62,13.1044,1.31,1.7161000000000002,2,46,2116,10,100,16.38045991542581,16.38045991542581,16.38045991542581
CHW,6.3,2015,7,4,116,13456,2,1,72,5184,68,4624,1.9433962264150944,3.776788892844429,0.050332383665717,0.002533348845472935,0.09781576448243115,0.009567923781282439,5.23,27.352900000000005,35,Chicago White Sox,KC,Illinois,117.0,13689.0,21,162,441,21,441,James Shields,7,49,6,215,9,SP,0.4135802469135802,0,0,UFA,103,10609,21000000,21000000,10000000,6.1,37.209999999999994,75000000,6000000,18750000,67,0.3,0.09,1.44,2.0736,3,53,2809,5,25,16.860032995687696,16.860032995687696,16.11809565095832
MIL,0.0,2017,7,1,49,2401,1,3,21,441,20,400,2.0,4.0,0.04466778336125069,0.0019952108704076243,0.08933556672250138,0.007980843481630497,3.02,9.1204,31,Milwaukee Brewers,PIT,Wisconsin,59.7,3564.09,67,162,4489,0,0,Jared Hughes,3,9,1,240,4,RP,0.5308641975308642,1,1,UFA,48,2304,950000,950000,950000,55.8,3113.64,950000,7550000,950000,86,1.21,1.4641,1.22,1.4884,0,24,576,5,25,13.764217263576723,13.764217263576723,13.764217263576723
KC,6.6,2017,7,2,209,43681,2,4,109,11881,106,11236,3.0208333333333335,9.125434027777779,0.029580329081161028,0.0008749958685497809,0.08935724409934061,0.007984717073029142,5.29,27.9841,34,Kansas City Royals,CHC,Missouri,180.3,32508.090000000004,32,162,1024,32,1024,Jason Hammel,13,169,4,225,9,SP,0.4938271604938271,0,0,UFA,145,21025,5000000,5000000,5000000,32.19,1036.1961,16000000,43800000,8000000,80,1.41,1.9880999999999998,1.42,2.0164,2,48,2304,8,64,15.424948470398375,15.424948470398375,15.424948470398375
ATL,6.0,2016,7,2,28,784,1,5,16,256,16,256,1.35,1.8225000000000002,0.0546000546000546,0.002981165962328943,0.07371007371007371,0.005433174966344499,3.54,12.531600000000001,35,Atlanta Braves,CHC,Georgia,40.7,1656.4900000000002,46,162,2116,0,0,Jason Motte,0,0,18,225,23,RP,0.4444444444444444,0,0,UFA,27,729,535000,535000,461834,0.0,0.0,10000000,34525000,5000000,72,0.68,0.4624000000000001,1.18,1.3923999999999999,3,20,400,1,1,13.190022025878143,13.190022025878143,13.042960798138212
KC,6.0,2014,7,4,181,32761,2,4,84,7056,83,6889,2.310344827586207,5.33769322235434,0.03586223953502752,0.0012861002244676908,0.0828541396154084,0.006864808451409588,4.16,17.305600000000002,34,Kansas City Royals,LAA,Missouri,179.7,32292.089999999997,32,162,1024,32,1024,Jason Vargas,11,121,4,215,9,SP,0.4938271604938271,0,0,UFA,134,17956,8000000,8000000,8000000,72.74,5291.107599999999,32000000,43800000,8000000,80,3.87,14.9769,1.33,1.7689000000000001,2,58,3364,18,324,15.89495209964411,15.89495209964411,15.89495209964411
SF,0.0,2016,7,5,204,41616,5,3,107,11449,102,10404,6.40625,41.0400390625,0.017118707537580914,0.0002930501477572296,0.10966672016262773,0.0120267895112281,4.42,19.5364,32,San Francisco Giants,CHW,California,207.7,43139.28999999999,35,162,1225,32,1024,Jeff Samardzija,15,225,23,240,26,SP,0.3950617283950617,0,0,UFA,205,42025,19800000,18000000,19800000,42.71,1824.1441,90000000,65250000,18000000,64,2.54,6.4516,1.14,1.2995999999999999,8,32,1024,9,81,16.801192495664765,16.70588231586044,16.801192495664765
NYM,6.6,2017,7,1,43,1849,2,2,16,256,16,256,2.875,8.265625,0.05442176870748299,0.0029617289092507748,0.1564625850340136,0.02448054051552594,2.94,8.6436,33,New York Mets,NYM,New York,49.0,2401.0,75,162,5625,0,0,Jerry Blevins,0,0,5,190,9,RP,0.4320987654320987,1,1,UFA,69,4761,5500000,5500000,5500000,30.9,954.81,6500000,116500000,6500000,70,1.45,2.1025,1.37,1.8769000000000002,2,24,576,6,36,15.520258650202699,15.520258650202699,15.520258650202699
