Acronimo,Altura,Anio_x,Anio_y,Anios_contrato,Bateos_pitcher,Bateos_pitcher_2,Cantidad de equipos,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Equipo,Equipo_anterior,Estado,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Status,Strike-outs,Strike-outs_2,Sueldo,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato,Valor_contrato_total,Valor_promedio_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo,ln_Sueldo_base,ln_Sueldo_regular
COL,6.0,2017,7,3,43,1849,1,4,25,625,25,625,2.0357142857142856,4.144132653061224,0.061851115529047936,0.003825560492187635,0.12591119946984758,0.015853630151935746,4.47,19.9809,32,Colorado Rockies,MIA,Colorado,50.3,2530.0899999999997,68,162,4624,0,0,Michael Dunn,1,1,1,215,4,RP,0.5370370370370371,0,0,UFA,57,3249,4000000,4000000,4000000,10.54,111.09159999999999,19000000,97250000,6333333,87,0.66,0.43560000000000004,1.41,1.9880999999999998,0,28,784,5,25,15.201804919084164,15.201804919084164,15.201804919084164
SEA,0.0,2016,7,5,200,40000,1,2,93,8649,81,6561,3.5135135135135136,12.344777209642075,0.022102747909199524,0.0004885314651376239,0.07765830346475508,0.00603081209702399,3.92,15.366399999999999,29,Seattle Mariners,SF,Washington,186.0,34596.0,32,162,1024,31,961,Mike Leake,13,169,0,170,4,SP,0.4814814814814814,0,0,UFA,130,16900,15000000,15000000,2704911,41.89,1754.7721000000001,80000000,11535000,16000000,78,1.03,1.0609,1.27,1.6129,0,37,1369,10,100,16.523560759066484,16.523560759066484,14.810579567688164
KC,6.4,2016,7,2,57,3249,2,4,23,529,22,484,4.0,16.0,0.03146003146003146,0.000989733579466169,0.12584012584012583,0.015835737271458705,2.55,6.5024999999999995,29,Kansas City Royals,ATL,Missouri,77.7,6037.290000000001,65,162,4225,0,0,Mike Minor,6,36,4,210,9,RP,0.4938271604938271,6,36,UFA,88,7744,4000000,4000000,4000000,93.22,8689.9684,7250000,43800000,3625000,80,2.87,8.2369,1.02,1.0404,2,22,484,6,36,15.201804919084164,15.201804919084164,15.201804919084164
CHW,6.7,2016,7,2,127,16129,2,1,87,7569,79,6241,1.2741935483870968,1.6235691987513006,0.05740740740740741,0.003295610425240055,0.07314814814814814,0.005350651577503428,5.93,35.164899999999996,33,Chicago White Sox,MIN,Illinois,120.0,14400.0,34,162,1156,21,441,Mike Pelfrey,12,144,6,240,9,RP,0.4135802469135802,0,0,UFA,79,6241,535000,535000,476449,0.0,0.0,16000000,6000000,8000000,67,-1.09,1.1881000000000002,1.58,2.4964000000000004,3,62,3844,3,9,13.190022025878143,13.190022025878143,13.074115965918008
BOS,6.3,2017,7,1,2,4,1,1,0,0,0,0,inf,inf,0.0,0.0,0.1111111111111111,0.012345679012345678,0.0,0.0,31,Boston Red Sox,TEX,Massachusetts,1.0,1.0,149,162,22201,127,16129,Mitch Moreland,0,0,13,245,23,1B,0.5740740740740741,0,0,UFA,1,1,5500000,5500000,5500000,47.53,2259.1009,5500000,5500000,5500000,93,1.95,3.8024999999999998,2.0,4.0,8,0,0,0,0,15.520258650202699,15.520258650202699,15.520258650202699
WSH,6.3,2016,7,2,32,1024,1,4,17,289,17,289,3.25,10.5625,0.04040404040404041,0.0016324864809713297,0.13131313131313133,0.017243138455259672,4.64,21.5296,35,Washington Nationals,HOU,Washington DC,33.0,1089.0,50,163,2500,0,0,Oliver Perez,0,0,1,225,5,RP,0.5950920245398773,1,1,UFA,39,1521,4000000,4000000,4000000,8.25,68.0625,7000000,10400000,3500000,97,0.28,0.07840000000000001,1.33,1.7689000000000001,0,12,144,0,0,15.201804919084164,15.201804919084164,15.201804919084164
ATL,6.3,2017,7,1,193,37249,1,5,99,9801,91,8281,2.029850746268657,4.120294052127423,0.0391812865497076,0.0015351732156902978,0.07953216374269007,0.006325365069594064,4.31,18.576099999999997,42,Atlanta Braves,TOR,Georgia,190.0,36100.0,31,162,961,31,961,R.A. Dickey,10,100,18,215,23,SP,0.4444444444444444,0,0,UFA,136,18496,7500000,7500000,7500000,52.01,2705.0400999999997,8000000,34525000,8000000,72,2.04,4.1616,1.37,1.8769000000000002,3,67,4489,10,100,15.830413578506539,15.830413578506539,15.830413578506539
LAD,6.5,2017,7,3,99,9801,5,6,51,2601,50,2500,3.3877551020408165,11.476884631403584,0.040121182346679767,0.0016097092728955282,0.13592074019487432,0.018474447615122524,3.32,11.0224,37,Los Angeles Dodgers,LAD,California,135.7,18414.489999999998,25,162,625,25,625,Rich Hill,8,64,25,221,31,SP,0.6419753086419753,0,0,UFA,166,27556,12666666,12000000,12666666,67.79,4595.484100000001,48000000,199600000,16000000,104,2.23,4.9729,1.09,1.1881000000000002,6,49,2401,12,144,16.35448437639097,16.300417207752275,16.35448437639097
LAA,6.2,2014,7,4,205,42025,5,4,102,10404,99,9801,2.4655172413793105,6.078775267538645,0.03560466543891958,0.0012676922010173945,0.08778391651319828,0.007706015998396165,4.92,24.2064,34,Los Angeles Angels,LAD,California,181.0,32761.0,33,162,1089,33,1089,Ricky Nolasco,15,225,1,215,10,SP,0.4938271604938271,0,0,UFA,143,20449,12000000,12000000,8000000,13.47,181.44090000000003,49000000,24750000,12250000,80,0.66,0.43560000000000004,1.45,2.1025,1,58,3364,6,36,16.300417207752275,16.300417207752275,15.89495209964411
WSH,6.6,2016,7,3,38,1444,1,4,12,144,12,144,7.444444444444445,55.41975308641975,0.01694915254237288,0.0002872737719046251,0.12617702448210924,0.015920641507158793,1.83,3.3489000000000004,36,Washington Nationals,KC,Washington DC,59.0,3481.0,60,163,3600,0,0,Ryan Madson,4,16,1,234,5,RP,0.5950920245398773,2,4,UFA,67,4489,7666666,7500000,3196752,74.79,5593.544100000001,22000000,10400000,7333333,97,1.55,2.4025000000000003,0.8,0.6400000000000001,0,9,81,5,25,15.852392398268789,15.830413578506539,14.97764585230863
OAK,6.0,2017,7,2,58,3364,5,5,29,841,28,784,2.590909090909091,6.712809917355371,0.04143126177024482,0.0017165494518745503,0.10734463276836158,0.011522870184174406,4.27,18.232899999999997,36,Oakland Athletics,SF,California,59.0,3481.0,63,162,3969,0,0,Santiago Casilla,5,25,15,210,26,RP,0.4629629629629629,16,256,UFA,57,3249,5000000,4500000,5000000,24.97,623.5008999999999,11000000,34500000,5500000,75,0.51,0.2601,1.36,1.8496000000000004,9,22,484,4,16,15.424948470398375,15.319587954740548,15.424948470398375
CIN,6.6,2017,7,1,116,13456,2,2,62,3844,59,3481,2.657142857142857,7.060408163265306,0.03494060097833683,0.0012208455967273528,0.09284216831386644,0.008619668217220305,4.77,22.752899999999997,34,Cincinnati Reds,TOR,Ohio,111.3,12387.689999999999,21,162,441,21,441,Scott Feldman,7,49,10,225,15,SP,0.419753086419753,0,0,UFA,93,8649,3000000,2300000,3000000,37.19,1383.0960999999998,2300000,5300000,2300000,68,0.52,0.27040000000000003,1.36,1.8496000000000004,5,35,1225,7,49,14.914122846632385,14.648419680899378,14.914122846632385
WSH,6.2,2016,7,3,29,841,1,4,21,441,21,441,2.272727272727273,5.165289256198348,0.04700854700854701,0.0022098034918547737,0.10683760683760683,0.011414274234787055,7.27,52.85289999999999,33,Washington Nationals,SD,Washington DC,26.0,676.0,33,163,1089,0,0,Shawn Kelley,2,4,1,237,5,RP,0.5950920245398773,4,16,UFA,25,625,5500000,5500000,5500000,0.0,0.0,15000000,10400000,5000000,97,-0.67,0.4489000000000001,1.54,2.3716,0,11,121,3,9,15.520258650202699,15.520258650202699,15.520258650202699
TB,6.6,2016,7,2,26,676,2,5,10,100,10,100,2.9285714285714284,8.576530612244897,0.03479990057171265,0.0012110330798010866,0.10191399453144419,0.010386462281355235,2.02,4.0804,31,Tampa Bay Rays,STL,Florida,44.7,1998.0900000000001,49,162,2401,0,0,Steve Cishek,2,4,1,215,4,RP,0.4938271604938271,1,1,UFA,41,1681,6000000,6000000,2163942,56.81,3227.3761000000004,10000000,21700000,5000000,80,0.42,0.17639999999999997,0.9,0.81,0,14,196,3,9,15.60727002719233,15.60727002719233,14.587442116371209
NYM,6.0,2017,7,1,65,4225,2,2,43,1849,41,1681,2.7142857142857144,7.367346938775511,0.032206119162640906,0.0010372341115182258,0.0874166091557396,0.007641663556287336,7.63,58.216899999999995,30,New York Mets,MIN,New York,48.3,2332.89,17,162,289,8,64,Tom Milone,3,9,5,215,9,RP,0.4320987654320987,1,1,UFA,38,1444,1250000,1250000,1017746,0.0,0.0,1250000,116500000,1250000,70,-0.16,0.0256,1.63,2.6569,2,14,196,1,1,14.038654109278484,14.038654109278484,13.833100936119232
TEX,0.0,2016,7,2,64,4096,2,4,36,1296,35,1225,2.590909090909091,6.712809917355371,0.04266046150862905,0.001819914976129221,0.11052937754508436,0.0122167433005038,5.49,30.140100000000004,33,Texas Rangers,ARI,Texas,57.3,3283.2899999999995,50,162,2500,0,0,Tony Barnette,1,1,2,190,8,RP,0.4814814814814814,2,4,UFA,57,3249,1750000,1750000,1750000,12.83,164.6089,3500000,36000000,1750000,78,-0.23,0.0529,1.5,2.25,0,22,484,2,4,14.375126345899696,14.375126345899696,14.375126345899696
HOU,6.0,2016,7,3,36,1296,2,3,25,625,24,576,2.4375,5.94140625,0.04766160262138815,0.0022716283644391134,0.1161751563896336,0.013496666962155826,5.79,33.5241,33,Houston Astros,HOU,Texas,37.3,1391.2899999999997,46,162,2116,0,0,Tony Sipp,1,1,2,190,11,RP,0.6234567901234568,0,0,UFA,39,1521,6000000,6000000,6000000,0.0,0.0,18000000,82000000,6000000,101,-0.34,0.11560000000000002,1.39,1.9320999999999997,1,16,256,0,0,15.60727002719233,15.60727002719233,15.60727002719233
KC,6.4,2017,7,1,91,8281,2,4,50,2500,46,2116,1.9333333333333333,3.7377777777777776,0.05952380952380952,0.003543083900226757,0.11507936507936507,0.01324326026706979,4.93,24.304899999999996,29,Kansas City Royals,CHC,Missouri,84.0,7056.0,21,162,441,14,196,Trevor Cahill,3,9,4,230,9,RP,0.4938271604938271,0,0,UFA,87,7569,1750000,1750000,669410,0.0,0.0,1750000,43800000,1750000,80,-0.48,0.2304,1.62,2.6244000000000005,2,45,2025,4,16,14.375126345899696,14.375126345899696,13.414152006398902
HOU,6.3,2016,7,2,47,2209,2,3,33,1089,32,1024,2.3225806451612905,5.394380853277836,0.057121798415330764,0.0032628998542016843,0.13266998341625208,0.017601324499668603,4.77,22.752899999999997,32,Houston Astros,NYM,Texas,60.3,3636.0899999999997,67,162,4489,0,0,Tyler Clippard,8,64,2,200,11,RP,0.6234567901234568,5,25,UFA,72,5184,6150000,4150000,1646743,10.92,119.2464,12250000,82000000,6125000,101,0.5,0.25,1.29,1.6641000000000001,1,31,961,2,4,15.631962639782701,15.238618892206881,14.31430995569688
MIA,0.0,2016,7,5,25,625,2,6,14,196,14,196,2.7777777777777777,7.716049382716049,0.030303030303030304,0.0009182736455463729,0.08417508417508418,0.007085444795882507,3.82,14.5924,31,Miami Marlins,BAL,Florida,33.0,1089.0,9,162,81,5,25,Wei-Yin Chen,1,1,2,200,2,SP,0.4753086419753086,0,0,UFA,25,625,15500000,9000000,15500000,0.0,0.0,80000000,57250000,16000000,77,0.44,0.1936,1.03,1.0609,2,9,81,2,4,16.556350581889475,16.012735135300492,16.556350581889475
SEA,6.2,2016,7,2,138,19044,1,2,84,7056,83,6889,1.5666666666666667,2.4544444444444444,0.0510073960724305,0.0026017544540897987,0.07991158718014113,0.006385861765649296,5.72,32.718399999999995,31,Seattle Mariners,TEX,Washington,130.7,17082.489999999998,28,162,784,22,484,Yovani Gallardo,10,100,0,205,4,RP,0.4814814814814814,1,1,UFA,94,8836,11000000,11000000,9000000,0.0,0.0,22000000,11535000,11000000,78,-0.24,0.0576,1.51,2.2801,0,60,3600,5,25,16.213405830762646,16.213405830762646,16.012735135300492
STL,6.2,2015,7,3,13,169,2,2,8,64,8,64,2.0,4.0,0.03642987249544626,0.001327135610034472,0.07285974499089252,0.005308542440137888,3.93,15.4449,34,St. Louis Cardinals,MIL,Missouri,18.3,334.89000000000004,27,162,729,0,0,Zach Duke,1,1,23,210,28,RP,0.5123456790123457,0,0,UFA,12,144,5500000,5500000,5500000,0.0,0.0,15000000,113000000,5000000,83,0.23,0.0529,1.04,1.0816000000000001,11,6,36,1,1,15.520258650202699,15.520258650202699,15.520258650202699
ARI,6.2,2013,7,6,172,29584,1,5,80,6400,72,5184,4.777777777777778,22.827160493827158,0.024715768660405337,0.0006108692204746746,0.11808645026638107,0.01394440973651449,3.2,10.240000000000002,33,Arizona Diamondbacks,LAA,Arizona,202.3,40925.29000000001,33,162,1089,32,1024,Zack Greinke,7,49,1,200,6,SP,0.5740740740740741,0,0,UFA,215,46225,34000000,31000000,34000000,71.98,5181.120400000001,147000000,9750000,24500000,93,6.05,36.6025,1.07,1.1449,1,45,2025,17,289,17.341871082580436,17.24949776244942,17.341871082580436
ARI,6.2,2016,7,6,172,29584,1,5,80,6400,72,5184,4.777777777777778,22.827160493827158,0.024715768660405337,0.0006108692204746746,0.11808645026638107,0.01394440973651449,3.2,10.240000000000002,33,Arizona Diamondbacks,LAD,Arizona,202.3,40925.29000000001,33,162,1089,32,1024,Zack Greinke,7,49,1,200,6,SP,0.5740740740740741,0,0,UFA,215,46225,34000000,31000000,34000000,71.98,5181.120400000001,206500000,9750000,34416667,93,6.05,36.6025,1.07,1.1449,1,45,2025,17,289,17.341871082580436,17.24949776244942,17.341871082580436
