Acronimo,Equipo,Victorias,Juegos totales,Playoffs,Pennants won,WS ganadas,Anio,Rango,Valor_Corriente,1An_Cambio_Valor%,Valor%,Ingresos_equipo,Ingresos_Operando,Estado,Cantidad de equipos
LAD,Los Angeles Dodgers,42,59,34,25,7,2020,2,3.4,0.03,0.12,556,96.0,California,5
MIA,Miami Marlins,31,60,3,2,2,2020,30,0.98,-0.02,0.41,222,-5.9,Florida,2
MIL,Milwaukee Brewers,29,60,7,1,0,2020,24,1.2,0.02,0.06,295,43.0,Wisconsin,1
MIN,Minnesota Twins,36,60,17,6,3,2020,19,1.3,0.08,0.19,297,43.0,Minnesota,1
NYM,New York Mets,26,60,9,5,2,2020,6,2.4,0.04,0.15,362,7.0,New York,2
NYY,New York Yankees,33,60,56,40,27,2020,1,5.0,0.09,0.0,683,35.0,New York,2
OAK,Oakland Athletics,36,60,29,15,9,2020,26,1.1,0.0,0.09,225,10.0,California,5
PHI,Philadelphia Phillies,28,60,14,7,2,2020,8,2.0,0.08,0.04,392,73.0,Pennsylvania,2
PIT,Pittsburgh Pirates,19,59,17,9,5,2020,22,1.26,-0.01,0.08,273,66.0,Pennsylvania,2
SD,San Diego Padres,38,61,6,2,0,2020,17,1.45,0.07,0.08,299,52.0,California,5
SEA,Seattle Mariners,27,61,4,0,0,2020,16,1.6,0.02,0.12,315,31.0,Washington,1
SF,San Francisco Giants,29,60,26,23,8,2020,5,3.1,0.03,0.0,452,96.0,California,5
STL,St. Louis Cardinals,30,58,30,23,11,2020,7,2.2,0.05,0.1,383,72.0,Missouri,2
TB,Tampa Bay Rays,41,61,6,2,0,2020,28,1.05,0.04,0.19,264,68.0,Florida,2
TEX,Texas Rangers,22,59,8,2,0,2020,13,1.75,0.06,0.43,335,61.0,Texas,2
TOR,Toronto Blue Jays,32,61,8,2,2,2020,15,1.625,0.08,0.0,265,16.0,Toronto,1
WSH,Washington Nationals,26,62,6,1,1,2020,10,1.9,0.09,0.18,370,27.0,Washington DC,1
ARI,Arizona Diamondbacks,53,163,6,1,1,2021,20,1.32,0.02,0.08,118,-47.0,Arizona,1
ATL,Atlanta Braves,88,161,27,18,4,2021,11,1.875,0.04,0.26,132,-67.0,Georgia,1
BAL,Baltimore Orioles,52,162,14,7,3,2021,18,1.43,0.02,0.14,115,-23.0,Maryland,1
BOS,Boston Red Sox,92,162,25,14,9,2021,3,3.465,0.05,0.0,152,-70.0,Massachusetts,1
CHC,Chicago Cubs,71,162,21,17,3,2021,4,3.36,0.05,0.13,163,-73.0,Illinois,2
CHW,Chicago White Sox,93,162,11,6,3,2021,14,1.685,0.02,0.07,124,-40.0,Illinois,2
CIN,Cincinnati Reds,83,163,16,10,5,2021,27,1.085,0.01,0.12,114,-47.0,Ohio,2
COL,Colorado Rockies,74,161,5,1,0,2021,21,1.3,0.02,0.09,109,-65.0,Colorado,1
DET,Detroit Tigers,77,162,16,11,4,2021,23,1.26,0.01,0.13,111,-42.0,Michigan,1
HOU,Houston Astros,95,162,15,4,1,2021,12,1.87,0.01,0.16,126,-76.0,Texas,2
KC,Kansas City Royals,75,163,9,4,2,2021,28,1.06,0.03,0.24,109,-37.0,Missouri,2
LAA,Los Angeles Angels,77,162,10,1,1,2021,9,2.025,0.03,0.02,141,-33.0,California,5
LAD,Los Angeles Dodgers,106,162,35,25,7,2021,2,3.57,0.05,0.12,185,-116.0,California,5
MIA,Miami Marlins,67,162,3,2,2,2021,30,0.99,0.01,0.4,96,-55.0,Florida,2
MIL,Milwaukee Brewers,95,162,8,1,0,2021,24,1.22,0.02,0.1,104,-46.0,Wisconsin,1
MIN,Minnesota Twins,73,163,17,6,3,2021,19,1.325,0.02,0.19,111,-49.0,Minnesota,1
NYM,New York Mets,77,162,9,5,2,2021,6,2.45,0.02,0.18,107,-125.0,New York,2
NYY,New York Yankees,92,162,57,40,27,2021,1,5.25,0.05,0.0,108,-190.0,New York,2
OAK,Oakland Athletics,86,162,29,15,9,2021,26,1.125,0.02,0.13,104,-40.0,California,5
PHI,Philadelphia Phillies,82,162,14,7,2,2021,8,2.05,0.02,0.06,140,-67.0,Pennsylvania,2
PIT,Pittsburgh Pirates,60,161,17,9,5,2021,22,1.285,0.02,0.1,116,-21.0,Pennsylvania,2
SD,San Diego Padres,79,162,6,2,0,2021,17,1.5,0.03,0.14,114,-69.0,California,5
SEA,Seattle Mariners,90,162,4,0,0,2021,16,1.63,0.02,0.15,129,-35.0,Washington,1
SF,San Francisco Giants,108,163,27,23,8,2021,5,3.175,0.02,0.02,151,-64.0,California,5
STL,St. Louis Cardinals,89,161,31,23,11,2021,7,2.245,0.02,0.11,109,-79.0,Missouri,2
TB,Tampa Bay Rays,100,162,7,2,0,2021,29,1.055,0.0,0.09,112,-23.0,Florida,2
TEX,Texas Rangers,60,162,8,2,0,2021,13,1.785,0.02,0.43,111,-60.0,Texas,2
TOR,Toronto Blue Jays,92,163,8,2,2,2021,15,1.675,0.03,0.0,116,-56.0,Toronto,1
WSH,Washington Nationals,65,162,6,1,1,2021,10,1.925,0.01,0.26,119,-67.0,Washington DC,1
ARI,Arizona Diamondbacks,74,162,6,1,1,2022,21,1.38,0.05,0.09,267,40.0,Arizona,1
ATL,Atlanta Braves,101,162,28,18,4,2022,10,2.1,0.12,0.23,443,83.0,Georgia,1
BAL,Baltimore Orioles,83,162,14,7,3,2022,22,1.375,-0.04,0.16,251,83.0,Maryland,1
BOS,Boston Red Sox,78,162,25,14,9,2022,3,3.9,0.13,0.0,479,69.0,Massachusetts,1
CHC,Chicago Cubs,74,162,21,17,3,2022,4,3.8,0.13,0.11,425,68.0,Illinois,2
CHW,Chicago White Sox,81,162,11,6,3,2022,15,1.76,0.04,0.09,258,-9.5,Illinois,2
CIN,Cincinnati Reds,62,162,16,10,5,2022,26,1.19,0.1,0.13,266,0.4,Ohio,2
CLE,Cleveland Guardians,92,162,16,6,2,2022,24,1.3,0.12,0.1,267,71.0,Ohio,2
COL,Colorado Rockies,68,162,5,1,0,2022,20,1.385,0.07,0.09,270,14.0,Colorado,1
DET,Detroit Tigers,66,162,16,11,4,2022,18,1.4,0.11,0.13,268,31.0,Michigan,1
HOU,Houston Astros,106,162,16,5,2,2022,13,1.98,0.06,0.15,388,29.0,Texas,2
KC,Kansas City Royals,65,162,9,4,2,2022,28,1.11,0.05,0.25,263,47.0,Missouri,2
LAA,Los Angeles Angels,73,162,10,1,1,2022,9,2.2,0.09,0.05,331,-2.4,California,5
LAD,Los Angeles Dodgers,111,162,36,25,7,2022,2,4.075,0.14,0.11,565,-7.9,California,5
MIA,Miami Marlins,69,162,3,2,2,2022,30,0.99,0.0,0.4,240,25.0,Florida,2
MIL,Milwaukee Brewers,86,162,8,1,0,2022,25,1.28,0.05,0.12,269,29.0,Wisconsin,1
MIN,Minnesota Twins,78,162,17,6,3,2022,19,1.39,0.05,0.2,268,10.0,Minnesota,1
NYM,New York Mets,101,162,10,5,2,2022,6,2.65,0.08,0.17,302,-96.0,New York,2
NYY,New York Yankees,99,162,58,40,27,2022,1,6.0,0.14,0.0,482,-40.0,New York,2
OAK,Oakland Athletics,60,162,29,15,9,2022,27,1.18,0.05,0.13,208,-8.7,California,5
PHI,Philadelphia Phillies,87,162,15,8,2,2022,8,2.3,0.12,0.06,323,-17.0,Pennsylvania,2
PIT,Pittsburgh Pirates,62,162,17,9,5,2022,23,1.32,0.03,0.11,258,64.0,Pennsylvania,2
SD,San Diego Padres,89,162,7,2,0,2022,17,1.575,0.05,0.19,282,-32.0,California,5
SEA,Seattle Mariners,90,162,5,0,0,2022,16,1.7,0.04,0.14,313,71.0,Washington,1
SF,San Francisco Giants,81,162,27,23,8,2022,5,3.5,0.1,0.04,384,32.0,California,5
STL,St. Louis Cardinals,93,162,32,23,11,2022,7,2.45,0.09,0.09,287,-34.0,Missouri,2
TB,Tampa Bay Rays,86,162,8,2,0,2022,29,1.1,0.04,0.11,252,45.0,Florida,2
TEX,Texas Rangers,68,162,8,2,0,2022,11,2.05,0.15,0.37,387,97.0,Texas,2
TOR,Toronto Blue Jays,92,162,9,2,2,2022,14,1.78,0.06,0.0,238,-52.0,Toronto,1
WSH,Washington Nationals,55,162,6,1,1,2022,12,2.0,0.04,0.25,322,36.0,Washington DC,1
