Acronimo,Equipo,Victorias,Juegos totales
ARI,Arizona Diamondbacks,81,162
ATL,Atlanta Braves,94,162
BAL,Baltimore Orioles,93,162
BOS,Boston Red Sox,69,162
CHC,Chicago Cubs,61,162
CHW,Chicago White Sox,85,162
CIN,Cincinnati Reds,97,162
COL,Colorado Rockies,64,162
DET,Detroit Tigers,88,162
HOU,Houston Astros,55,162
KC,Kansas City Royals,72,162
LAA,Los Angeles Angels,89,162
LAD,Los Angeles Dodgers,86,162
MIA,Miami Marlins,69,162
MIL,Milwaukee Brewers,83,162
MIN,Minnesota Twins,66,162
NYM,New York Mets,74,162
NYY,New York Yankees,95,162
OAK,Oakland Athletics,94,162
PHI,Philadelphia Phillies,81,162
PIT,Pittsburgh Pirates,79,162
SD,San Diego Padres,76,162
SEA,Seattle Mariners,75,162
SF,San Francisco Giants,94,162
STL,St. Louis Cardinals,88,162
TB,Tampa Bay Rays,90,162
TEX,Texas Rangers,93,162
TOR,Toronto Blue Jays,73,162
WSH,Washington Nationals,98,162
