Acronimo,Equipo,Victorias,Juegos totales,Apariciones WS,WS ganadas,Playoffs
ARI,Arizona Diamondbacks,94,162,1,1,6
ATL,Atlanta Braves,89,162,,,
BAL,Baltimore Orioles,69,162,,,
BOS,Boston Red Sox,90,162,,,
CHC,Chicago Cubs,71,162,,,
CHW,Chicago White Sox,79,162,,,
CIN,Cincinnati Reds,79,162,,,
COL,Colorado Rockies,73,162,,,
DET,Detroit Tigers,95,162,,,
HOU,Houston Astros,56,162,,,
KC,Kansas City Royals,71,162,,,
LAA,Los Angeles Angels,86,162,,,
LAD,Los Angeles Dodgers,82,161,,,
MIA,Miami Marlins,72,162,,,
MIL,Milwaukee Brewers,96,162,,,
MIN,Minnesota Twins,63,162,,,
NYM,New York Mets,77,162,,,
NYY,New York Yankees,97,162,,,
OAK,Oakland Athletics,74,162,,,
PHI,Philadelphia Phillies,102,162,,,
PIT,Pittsburgh Pirates,72,162,,,
SD,San Diego Padres,71,162,,,
SEA,Seattle Mariners,67,162,,,
SF,San Francisco Giants,86,162,,,
STL,St. Louis Cardinals,90,162,,,
TB,Tampa Bay Rays,91,162,,,
TEX,Texas Rangers,96,162,,,
TOR,Toronto Blue Jays,81,162,,,
WSH,Washington Nationals,80,161,,,
