Acronimo,Equipo,Victorias,Juegos totales
ARI,Arizona Diamondbacks,81,162
ATL,Atlanta Braves,96,162
BAL,Baltimore Orioles,85,162
BOS,Boston Red Sox,97,162
CHC,Chicago Cubs,66,162
CHW,Chicago White Sox,63,162
CIN,Cincinnati Reds,90,162
COL,Colorado Rockies,74,162
DET,Detroit Tigers,93,162
HOU,Houston Astros,51,162
KC,Kansas City Royals,86,162
LAA,Los Angeles Angels,78,162
LAD,Los Angeles Dodgers,92,162
MIA,Miami Marlins,62,162
MIL,Milwaukee Brewers,74,162
MIN,Minnesota Twins,66,162
NYM,New York Mets,74,162
NYY,New York Yankees,85,162
OAK,Oakland Athletics,96,162
PHI,Philadelphia Phillies,73,162
PIT,Pittsburgh Pirates,94,162
SD,San Diego Padres,76,162
SEA,Seattle Mariners,71,162
SF,San Francisco Giants,76,162
STL,St. Louis Cardinals,97,162
TB,Tampa Bay Rays,91,162
TEX,Texas Rangers,91,162
TOR,Toronto Blue Jays,74,162
WSH,Washington Nationals,86,162
