Acronimo,Equipo,Victorias,Juegos totales
ARI,Arizona Diamondbacks,68,161
ATL,Atlanta Braves,67,160
BAL,Baltimore Orioles,88,161
BOS,Boston Red Sox,93,161
CHC,Chicago Cubs,102,160
CHW,Chicago White Sox,78,161
CIN,Cincinnati Reds,68,161
COL,Colorado Rockies,75,161
DET,Detroit Tigers,86,160
HOU,Houston Astros,84,161
KC,Kansas City Royals,81,161
LAA,Los Angeles Angels,73,161
LAD,Los Angeles Dodgers,91,161
MIA,Miami Marlins,79,160
MIL,Milwaukee Brewers,72,161
MIN,Minnesota Twins,58,161
NYM,New York Mets,87,161
NYY,New York Yankees,84,161
OAK,Oakland Athletics,68,161
PHI,Philadelphia Phillies,70,161
PIT,Pittsburgh Pirates,78,160
SD,San Diego Padres,68,161
SEA,Seattle Mariners,86,161
SF,San Francisco Giants,86,161
STL,St. Louis Cardinals,85,161
TB,Tampa Bay Rays,67,161
TEX,Texas Rangers,95,161
TOR,Toronto Blue Jays,88,161
WSH,Washington Nationals,94,161
