Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
Albert Pujols,2012,UFA,STL,10,240000000,24000000,DH,154,0.951,607,173,30,105,0.285,0.859,LAA,12000000,12000000,12000000,23716,0.9044009999999999,368449,29929,900,11025,0.08122499999999999,0.737881
Prince Fielder,2012,UFA,MIL,9,214000000,23777778,DH,162,1.0,581,182,30,108,0.313,0.94,DET,23000000,23150000,23150000,26244,1.0,337561,33124,900,11664,0.097969,0.8835999999999999
Jose Reyes,2012,UFA,NYM,6,106000000,17666667,3B,160,0.988,642,184,11,57,0.287,0.78,MIA,10000000,10000000,10000000,25600,0.976144,412164,33856,121,3249,0.08236899999999998,0.6084
C.J. Wilson,2012,UFA,TEX,5,77500000,15500000,SP,34,0.21,5,0,0,0,0.0,0.167,LAA,10000000,10550000,10550000,1156,0.04409999999999999,25,0,0,0,0.0,0.027889000000000004
Mark Buehrle,2012,UFA,CHW,4,58000000,14500000,SP,31,0.191,67,3,0,1,0.045,0.104,MIA,6000000,7000000,7000000,961,0.036481,4489,9,0,1,0.002025,0.010816
Aramis Ramirez,2012,UFA,CHC,3,36000000,12000000,3B,149,0.92,570,171,27,105,0.3,0.901,MIL,6000000,6000000,6000000,22201,0.8464,324900,29241,729,11025,0.09,0.811801
Michael Cuddyer,2012,UFA,MIN,3,31500000,10500000,LF,101,0.624,358,93,16,58,0.26,0.806,COL,10500000,10500000,10500000,10201,0.389376,128164,8649,256,3364,0.06760000000000001,0.6496360000000001
Carlos Beltran,2012,UFA,SF,2,26000000,13000000,DH,151,0.932,547,147,32,97,0.269,0.842,STL,13000000,13050000,13050000,22801,0.8686240000000001,299209,21609,1024,9409,0.07236100000000001,0.7089639999999999
Josh Willingham,2012,UFA,OAK,3,21000000,7000000,LF,145,0.895,519,135,35,110,0.26,0.89,MIN,7000000,7000000,7000000,21025,0.801025,269361,18225,1225,12100,0.06760000000000001,0.7921
Coco Crisp,2012,UFA,OAK,2,14000000,7000000,CF,120,0.741,455,118,11,46,0.259,0.742,OAK,6000000,6000000,6000000,14400,0.549081,207025,13924,121,2116,0.067081,0.5505639999999999
