Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
COL,No,6.2,2022,2023,1,0,109,11881,0,1,5,62,3844,54,2916,1.4651162790697674,2.1465657111952403,0.049255441008018326,0.002426098468894373,0.07216494845360824,0.0052077797853119345,5.01,25.100099999999998,30,30,Colorado Rockies,Colorado,10313510,97.0,9409.0,21,162,17,Jose Urena,8,64,349986,1,208.0,5,0.12962962962962962,SP,0.419753086419753,0,0,63,3969,349986,700000,0.003,700000,16.79,281.90409999999997,700000,195350000,700000,68,1.2584499999999992,1.583696402499998,1.57,2.4649,0,43,1849,3,9,12.765648432665575,13.458835614025542,13.458835614025542
CLE,No,6.2,2022,2026,1,1,93,8649,0,2,2,58,3364,53,2809,4.454545454545454,19.842975206611566,0.025200458190148912,0.0006350630929934434,0.11225658648339061,0.012601541208902955,4.92,24.2064,27,26,Cleveland Guardians,Ohio,2311075,97.0,9409.0,20,162,20,Aaron Civale,6,36,716900,6,215.0,16,0.12345679012345678,SP,0.5679012345679012,0,0,98,9604,716900,716900,0.011,716900,24.36,593.4096,716900,3900000,716900,92,1.2584499999999992,1.583696402499998,1.19,1.4161,2,22,484,5,25,13.482691639840963,13.482691639840963,13.482691639840963
COL,No,6.1,2022,2028,5,1,133,17689,0,1,5,56,3136,52,2704,2.347826086956522,5.512287334593574,0.027687492476224873,0.000766597239621009,0.06500541711809318,0.004225704254697283,5.07,25.704900000000002,27,26,Colorado Rockies,Colorado,12036074,92.3,8519.289999999999,19,162,19,Antonio Senzatela,7,49,7250000,1,236.0,5,0.11728395061728394,SP,0.419753086419753,0,0,54,2916,7250000,7250000,0.052,7250000,6.85,46.92249999999999,10100000,195350000,50500000,68,0.5,0.25,1.69,2.8560999999999996,0,23,529,3,9,15.796512026830857,15.796512026830857,15.796512026830857
DET,Si,6.2,2022,2027,5,1,87,7569,0,1,4,49,2401,41,1681,2.1176470588235294,4.484429065743945,0.04151404151404151,0.001723415642829562,0.08791208791208792,0.007728535201062675,4.06,16.483599999999996,29,28,Detroit Tigers,Michigan,33436088,91.0,8281.0,17,162,17,Eduardo Rodriguez,5,25,14000000,11,231.0,16,0.10493827160493827,SP,0.4074074074074074,0,0,72,5184,14000000,14000000,0.103,14000000,19.27,371.3329,15400000,235500000,77000000,66,0.13,0.016900000000000002,1.33,1.7689000000000001,4,34,1156,5,25,16.454567887579532,16.454567887579532,16.454567887579532
NYM,No,6.3,2022,2023,1,1,87,7569,0,2,6,34,1156,32,1024,3.652173913043478,13.33837429111531,0.028490028490028487,0.0008116817233626348,0.10405053883314752,0.01082651463146834,3.21,10.3041,30,29,New York Mets,New York,10830067,89.7,8046.09,30,162,10,Trevor Williams,5,25,3900000,5,230.0,10,0.18518518518518517,RP,0.6234567901234568,1,1,84,7056,3900000,3900000,0.015,3900000,0.0,0.0,3900000,259270000,3900000,101,1.3,1.6900000000000002,1.23,1.5129,2,23,529,3,9,15.176487111099874,15.176487111099874,15.176487111099874
MIA,No,6.2,2022,2028,1,0,86,7396,0,2,2,38,1444,35,1225,3.75,14.0625,0.030303030303030304,0.0009182736455463729,0.11363636363636363,0.012913223140495866,3.58,12.8164,24,24,Miami Marlins,Florida,4650356,88.0,7744.0,17,162,17,Braxton Garrett,7,49,430752,2,202.0,3,0.10493827160493827,SP,0.4259259259259259,0,0,90,8100,430752,700000,0.005,700000,51.27,2628.6129000000005,700000,89000000,700000,69,1.17,1.3688999999999998,1.25,1.5625,2,24,576,3,9,12.97328779744382,13.458835614025542,13.458835614025542
CHC,No,6.3,2022,2024,4,3,85,7225,0,2,11,45,2025,45,2025,2.75,7.5625,0.03163305654408857,0.0010006502663215048,0.08699090549624358,0.0075674176390563815,4.8,23.04,32,29,Chicago Cubs,Illinois,46149468,84.3,7106.49,16,162,16,Kyle Hendricks,6,36,14000000,17,190.0,21,0.09876543209876543,SP,0.4567901234567901,0,0,66,4356,14000000,14000000,0.093,14000000,11.84,140.1856,13875000,109707000,55500000,74,0.53,0.28090000000000004,1.29,1.6641000000000001,3,24,576,4,16,16.454567887579532,16.454567887579532,16.454567887579532
PHI,No,6.4,2022,2028,1,1,85,7225,0,2,7,39,1521,36,1296,4.352941176470588,18.948096885813147,0.022486772486772486,0.0005056549368718681,0.09788359788359788,0.009581198734637888,3.86,14.8996,25,24,Philadelphia Phillies,Pennsylvania,1126509,84.0,7056.0,20,162,16,Bailey Falter,4,16,347670,8,175.0,15,0.12345679012345678,SP,0.5370370370370371,0,0,74,5476,347670,703000,0.001,703000,38.01,1444.7600999999997,703000,204150000,703000,87,1.2,1.44,1.21,1.4641,2,17,289,6,36,12.759009032996547,13.463112170792803,13.463112170792803
TEX,No,6.4,2022,2027,1,0,63,3969,0,2,8,25,625,18,324,3.75,14.0625,0.03240178209801539,0.0010498754831272706,0.12150668286755772,0.014763873981477245,1.97,3.8809,25,25,Texas Rangers,Texas,2019290,82.3,6773.29,52,162,0,Brock Burke,5,25,714000,2,180.0,8,0.32098765432098764,RP,0.419753086419753,0,0,90,8100,714000,714000,0.005,714000,94.1,8854.81,714000,580700000,714000,68,2.33,5.4289000000000005,1.06,1.1236000000000002,0,24,576,7,49,13.478638241321722,13.478638241321722,13.478638241321722
BAL,No,6.0,2022,2027,1,1,69,4761,0,1,3,35,1225,29,841,3.85,14.822500000000002,0.027199782401740785,0.0007398281627020477,0.10471916224670201,0.0109661029416511,3.2,10.240000000000002,27,26,Baltimore Orioles,Maryland,2444992,81.7,6674.89,45,162,1,Keegan Akin,3,9,701640,7,235.0,14,0.2777777777777778,RP,0.5123456790123457,2,4,77,5929,701640,709500,0.016,709500,0.0,0.0,709500,7900000,709500,83,0.8,0.6400000000000001,1.09,1.1881000000000002,3,20,400,3,9,13.461175730957716,13.472315775582235,13.472315775582235
DET,No,5.580428134556572,2022,0,1,1,73,5329,0,1,4,39,1521,38,1444,2.16,4.6656,0.03399972800217598,0.0011559815042219495,0.07343941248470011,0.005393347306097926,4.19,17.556100000000004,24,23,Detroit Tigers,Michigan,713436,81.7,6674.89,15,162,15,Beau Brieske,6,36,638436,11,209.35153583617748,16,0.09259259259259259,SP,0.4074074074074074,0,0,54,2916,638436,700000,0.005,700000,0.0,0.0,700000,235500000,700000,66,0.73,0.5328999999999999,1.2,1.44,4,25,625,3,9,13.366776714505269,13.458835614025542,13.458835614025542
CIN,No,6.0,2022,2024,1,1,76,5776,0,2,4,44,1936,41,1681,2.107142857142857,4.440051020408164,0.038551562715131486,0.0014862229877787162,0.0812336500068842,0.006598905893440959,4.57,20.884900000000002,30,29,Cincinnati Reds,Ohio,5259058,80.7,6512.490000000001,46,162,10,Luis Cessa,4,16,1800000,10,208.0,16,0.2839506172839506,SP,0.382716049382716,0,0,59,3481,1800000,1800000,0.016,1800000,11.96,143.04160000000002,1800000,14825000,1800000,62,0.45,0.2025,1.29,1.6641000000000001,5,28,784,4,16,14.403297222866392,14.403297222866392,14.403297222866392
TB,No,6.5,2022,2025,1,0,88,7744,0,2,4,44,1936,40,1600,2.772727272727273,7.688016528925621,0.030555555555555555,0.0009336419753086419,0.08472222222222223,0.007177854938271605,4.5,20.25,30,30,Tampa Bay Rays,Florida,7388543,80.0,6400.0,20,162,9,Ryan Yarbrough,8,64,3850000,2,205.0,8,0.12345679012345678,SP,0.5308641975308642,0,0,61,3721,3850000,3850000,0.039,3850000,13.37,178.75689999999997,3850000,18900000,3850000,86,0.06,0.0036,1.38,1.9043999999999996,0,22,484,3,9,15.163583706263967,15.163583706263967,15.163583706263967
LAA,No,6.1,2022,2026,1,0,63,3969,0,5,9,29,841,23,529,2.8421052631578947,8.077562326869806,0.026621829900518427,0.000708721827252137,0.07566204287515764,0.005724744732042193,2.61,6.812099999999999,25,25,Los Angeles Angels,California,1736825,79.3,6288.49,35,162,1,Jaime Barria,3,9,730000,1,210.0,10,0.21604938271604937,RP,0.4506172839506173,0,0,54,2916,730000,730000,0.004,730000,0.0,0.0,730000,123750000,730000,73,1.82,3.3124000000000002,1.03,1.0609,1,19,361,3,9,13.500799813124575,13.500799813124575,13.500799813124575
BOS,No,6.5,2022,2029,4,1,65,4225,200000,1,6,32,1024,30,900,5.466666666666667,29.884444444444444,0.021285653469561516,0.0004530790436262562,0.11636157230026963,0.013540015508190876,3.45,11.902500000000002,26,25,Boston Red Sox,Massachusetts,2538000,78.3,6130.889999999999,31,162,9,Garrett Whitlock,2,4,1720000,14,190.0,25,0.19135802469135801,RP,0.4814814814814814,6,36,82,6724,920000,720000,0.004,920000,0.0,0.0,4687500,173000000,18750000,78,1.79,3.2041,1.02,1.0404,9,15,225,4,16,13.732128949025222,13.487006490992238,13.732128949025222
BOS,No,6.1,2022,2028,1,1,81,6561,0,1,6,49,2401,47,2209,2.6551724137931036,7.049940546967896,0.04168463418140003,0.001737608726837144,0.11067989075751043,0.012250038218094443,5.47,29.920899999999996,26,25,Boston Red Sox,Massachusetts,675761,77.3,5975.29,21,162,12,Kutter Crawford,6,36,547694,14,209.0,25,0.12962962962962962,SP,0.4814814814814814,0,0,77,5929,547694,702000,0.003,702000,14.31,204.7761,702000,173000000,702000,78,0.2,0.04000000000000001,1.42,2.0164,9,29,841,3,9,13.213472015809488,13.461688683007948,13.461688683007948
PIT,No,6.2,2022,2027,1,0,68,4624,0,2,6,40,1600,37,1369,1.7894736842105263,3.2022160664819945,0.05555555555555555,0.0030864197530864196,0.09941520467836257,0.009883382921240722,4.38,19.1844,27,27,Pittsburgh Pirates,Pennsylvania,2170951,76.0,5776.0,60,162,1,Wil Crowe,10,100,715000,9,228.0,17,0.37037037037037035,RP,0.382716049382716,4,16,68,4624,715000,715000,0.011,715000,41.06,1685.9236,715000,14100000,715000,62,0.09,0.0081,1.39,1.9320999999999997,5,38,1444,6,36,13.480037821676145,13.480037821676145,13.480037821676145
PHI,No,6.6,2022,2024,1,1,70,4900,0,2,7,38,1444,34,1156,4.333333333333333,18.777777777777775,0.022016732716864815,0.0004847365195258655,0.09540584177308087,0.009102274644430142,4.04,16.3216,28,27,Philadelphia Phillies,Pennsylvania,13944147,75.7,5730.490000000001,20,162,13,Zach Eflin,5,25,5550000,8,215.0,15,0.12345679012345678,RP,0.5370370370370371,1,1,65,4225,5550000,5550000,0.023,5550000,0.0,0.0,5700000,204150000,5700000,87,0.94,0.8835999999999999,1.12,1.2544000000000002,2,15,225,3,9,15.529308485722618,15.529308485722618,15.529308485722618
SF,No,6.5,2022,2026,1,0,73,5329,0,5,7,34,1156,30,900,2.130434782608696,4.538752362948961,0.033758990165859384,0.0011396694170185907,0.07192132687509173,0.005172677259473792,3.57,12.7449,31,31,San Francisco Giants,California,1631123,75.7,5730.490000000001,68,162,0,Tyler Rogers,4,16,730000,23,187.0,27,0.41975308641975306,RP,0.5,0,0,49,2401,730000,730000,0.005,730000,43.78,1916.6884,730000,140700000,730000,81,0.78,0.6084,1.27,1.6129,8,23,529,3,9,13.500799813124575,13.500799813124575,13.500799813124575
CHW,No,6.3,2022,2023,1,1,68,4624,0,2,5,42,1764,40,1600,2.76,7.617599999999999,0.03688947912055482,0.00136083366978585,0.10181496237273131,0.010366286562960693,4.78,22.8484,30,29,Chicago White Sox,Illinois,13139412,75.3,5670.089999999999,27,162,9,Vincent Velasquez,3,9,3000000,6,205.0,11,0.16666666666666666,RP,0.5,0,0,69,4761,3000000,3000000,0.015,3000000,0.0,0.0,3000000,63000000,3000000,81,0.23,0.0529,1.24,1.5376,3,25,625,3,9,14.914122846632385,14.914122846632385,14.914122846632385
KC,No,6.3,2022,2025,1,0,52,2704,0,2,2,23,529,18,324,3.5,12.25,0.0328996560490504,0.0010823873681458187,0.11514879617167639,0.013259245259786275,2.18,4.752400000000001,29,29,Kansas City Royals,Missouri,4255006,74.3,5520.49,69,162,0,Scott Barlow,4,16,2400000,4,210.0,9,0.42592592592592593,RP/CL,0.4012345679012346,24,576,77,5929,2400000,2400000,0.026,2400000,94.53,8935.920900000001,2400000,13975000,2400000,65,2.77,7.6729,1.0,1.0,2,22,484,7,49,14.690979295318174,14.690979295318174,14.690979295318174
OAK,No,6.4,2022,0,1,0,82,6724,0,5,2,55,3025,52,2704,1.1794871794871795,1.391190006574622,0.058322117541498436,0.0034014693945243596,0.06879018992074175,0.00473209022933172,6.3,39.69,27,27,Oakland Athletics,California,499980,74.3,5520.49,19,162,14,Adam Oller,8,64,499980,15,225.0,29,0.11728395061728394,SP,0.3703703703703703,0,0,46,2116,499980,700000,0.01,700000,1.91,3.6481,700000,1700000,700000,60,1.2584499999999992,1.583696402499998,1.63,2.6569,9,39,1521,2,4,13.122323376604307,13.458835614025542,13.458835614025542
TEX,No,6.3,2022,2023,1,1,49,2401,0,2,8,20,400,16,256,2.1842105263157894,4.7707756232686975,0.057057057057057055,0.0032555077600122644,0.12462462462462462,0.015531297062828592,1.95,3.8024999999999998,33,32,Texas Rangers,Texas,36590852,74.0,5476.0,63,162,0,Matt Moore,2,4,2311852,2,210.0,8,0.3888888888888889,RP,0.419753086419753,5,25,83,6889,2311852,2500000,0.015,2500000,82.96,6882.361599999999,2500000,580700000,2500000,68,2.3,5.289999999999999,1.18,1.3923999999999999,0,38,1444,5,25,14.653559492884602,14.73180128983843,14.73180128983843
BAL,No,6.2,2022,2026,1,1,57,3249,0,1,3,29,841,25,625,3.75,14.0625,0.024121815166591284,0.0005818619669311932,0.09045680687471731,0.008182433909969906,3.05,9.302499999999998,28,27,Baltimore Orioles,Maryland,6250259,73.7,5431.6900000000005,67,162,0,Dillon Tate,4,16,711500,7,195.0,14,0.41358024691358025,RP,0.5123456790123457,5,25,60,3600,711500,711500,0.016,711500,73.54,5408.131600000001,711500,7900000,711500,83,1.55,2.4025000000000003,0.99,0.9801,3,16,256,4,16,13.475130696512045,13.475130696512045,13.475130696512045
LAD,Si,6.2,2022,2023,1,1,60,3600,0,5,9,34,1156,25,625,5.7894736842105265,33.51800554016621,0.029038667278007028,0.000843244197282796,0.168118600030567,0.028263863676237764,3.1,9.610000000000001,31,30,Los Angeles Dodgers,California,25110498,72.7,5285.29,16,162,14,Andrew Heaney,4,16,8500000,25,200.0,36,0.09876543209876543,SP,0.6851851851851852,0,0,110,12100,8500000,8500000,0.031,8500000,0.0,0.0,8500000,267800000,8500000,111,0.83,0.6889,1.09,1.1881000000000002,7,19,361,4,16,15.955576721460545,15.955576721460545,15.955576721460545
CLE,No,6.2,2022,2029,5,1,43,1849,400000,2,2,18,324,11,121,7.7,59.290000000000006,0.015283509093687909,0.000233585650216841,0.1176830200213969,0.013849293201356503,1.36,1.8496000000000004,24,23,Cleveland Guardians,Ohio,4582041,72.7,5285.29,77,162,0,Emmanuel Clase,4,16,3500000,6,206.0,16,0.47530864197530864,RP/CL,0.5679012345679012,42,1764,77,5929,1900000,1500000,0.029,1900000,98.8,9761.439999999999,4000000,3900000,20000000,92,2.91,8.468100000000002,0.73,0.5328999999999999,2,10,100,3,9,14.457364444136669,14.22097566607244,14.457364444136669
NYY,No,6.2,2022,2025,1,0,65,4225,0,2,4,31,961,29,841,3.0526315789473686,9.318559556786704,0.029199323805132935,0.0008526005106770029,0.08913477793145844,0.00794500863689041,3.61,13.0321,29,29,New York Yankees,New York,3437226,72.3,5227.29,15,162,14,Domingo German,5,25,1750000,40,181.0,58,0.09259259259259259,SP,0.6111111111111112,0,0,58,3364,1750000,1750000,0.007,1750000,0.0,0.0,1750000,37400000,1750000,99,0.9,0.81,1.16,1.3456,27,19,361,2,4,14.375126345899696,14.375126345899696,14.375126345899696
MIN,No,6.2,2022,2028,1,0,56,3136,0,1,4,29,841,27,729,3.9,15.209999999999999,0.030736130321192566,0.000944709707121333,0.11987090825265101,0.014369034645315476,3.36,11.289599999999998,27,27,Minnesota Twins,Minnesota,1605439,72.3,5227.29,65,162,0,Griffin Jax,4,16,680742,6,195.0,17,0.4012345679012346,RP,0.4814814814814814,1,1,78,6084,680742,700000,0.005,700000,68.12,4640.334400000001,700000,116550000,700000,78,0.86,0.7395999999999999,1.05,1.1025,3,20,400,7,49,13.430938658722555,13.458835614025542,13.458835614025542
PIT,No,6.4,2022,2027,1,0,52,2704,0,2,6,24,576,21,441,1.9666666666666666,3.8677777777777775,0.04649000464900046,0.0021613205322640844,0.09143034247636757,0.008359507525345864,2.64,6.969600000000001,28,28,Pittsburgh Pirates,Pennsylvania,1877604,71.7,5140.89,42,162,0,Chase De Jong,3,9,646128,9,230.0,17,0.25925925925925924,RP,0.382716049382716,1,1,59,3481,646128,700000,0.01,700000,0.0,0.0,700000,14100000,700000,62,1.5,2.25,1.14,1.2995999999999999,5,30,900,6,36,13.378752905551984,13.458835614025542,13.458835614025542
MIA,No,6.4,2022,2028,1,1,44,1936,0,2,2,24,576,24,576,2.272727272727273,5.165289256198348,0.05113900511390051,0.0026151978440395423,0.11622501162250115,0.013508253326650527,3.01,9.060099999999998,24,23,Miami Marlins,Florida,704209,71.7,5140.89,14,162,14,Edward Cabrera,4,16,484596,2,175.0,3,0.08641975308641975,SP,0.4259259259259259,0,0,75,5625,484596,700000,0.006,700000,0.0,0.0,700000,89000000,700000,69,2.08,4.3264000000000005,1.07,1.1449,2,33,1089,6,36,13.091070833100202,13.458835614025542,13.458835614025542
MIL,No,5.580428134556572,2022,0,1,1,88,7744,0,1,5,47,2209,43,1849,1.6428571428571428,2.6989795918367343,0.04339067100573376,0.0018827503303278244,0.07128467379513403,0.005081504718078669,5.4,29.160000000000004,29,28,Milwaukee Brewers,Wisconsin,392292,71.7,5140.89,18,162,11,Jason Alexander,3,9,392292,1,209.35153583617748,8,0.1111111111111111,RP,0.5308641975308642,0,0,46,2116,392292,700000,0.003,700000,0.0,0.0,700000,13625000,700000,86,1.2584499999999992,1.583696402499998,1.62,2.6244000000000005,0,28,784,2,4,12.879761739432997,13.458835614025542,13.458835614025542
MIN,No,6.3,2022,2025,1,1,53,2809,0,1,4,26,676,20,400,2.3225806451612905,5.394380853277836,0.048513302034428794,0.002353540474283713,0.11267605633802817,0.012695893671890498,2.54,6.4516,29,28,Minnesota Twins,Minnesota,3835111,71.0,5041.0,67,162,0,Jorge Lopez,7,49,527488,6,200.0,17,0.41358024691358025,RP/CL,0.4814814814814814,23,529,72,5184,527488,1500000,0.004,1500000,85.76,7354.777600000001,1500000,116550000,1500000,78,1.88,3.5343999999999998,1.18,1.3923999999999999,3,31,961,4,16,13.175881395258434,14.22097566607244,14.22097566607244
TOR,No,6.3,2022,2025,1,0,66,4356,0,1,6,28,784,22,484,4.461538461538462,19.90532544378698,0.020430614490020427,0.0004174100084398326,0.09115197234009115,0.008308682061488742,2.8,7.839999999999999,31,31,Toronto Blue Jays,Toronto,3771286,70.7,4998.490000000001,77,162,0,Adam Cimber,6,36,1575000,2,195.0,9,0.47530864197530864,RP,0.5679012345679012,4,16,58,3364,1575000,1575000,0.009,1575000,59.03,3484.5409,1575000,157000000,1575000,92,0.83,0.6889,1.12,1.2544000000000002,2,13,169,10,100,14.269765830241871,14.269765830241871,14.269765830241871
TOR,No,6.2,2022,2024,2,1,51,2601,0,1,6,15,225,12,144,3.65,13.3225,0.031610557926347406,0.0009992273724149649,0.11537853643116802,0.013312206668998367,1.54,2.3716,34,33,Toronto Blue Jays,Toronto,7806283,70.3,4942.089999999999,74,162,0,Anthony Bass,3,9,1054976,2,200.0,9,0.4567901234567901,RP,0.5679012345679012,0,0,73,5329,1054976,3000000,0.006,3000000,74.32,5523.462399999999,2500000,157000000,5000000,92,1.72,2.9583999999999997,1.01,1.0201,2,20,400,4,16,13.86902857581838,14.914122846632385,14.914122846632385
ATL,No,6.0,2022,2025,1,0,49,2401,0,1,6,21,441,16,256,6.266666666666667,39.27111111111111,0.023809523809523808,0.0005668934240362811,0.1492063492063492,0.022262534643487025,2.06,4.2436,28,28,Atlanta Braves,Georgia,5774183,70.0,4900.0,75,162,0,A.J. Minter,4,16,2200000,18,215.0,28,0.46296296296296297,RP,0.6234567901234568,5,25,94,8836,2200000,2200000,0.012,2200000,80.52,6483.470399999999,2200000,61250000,2200000,101,1.85,3.4225000000000003,0.91,0.8281000000000001,4,15,225,5,25,14.603967918328545,14.603967918328545,14.603967918328545
ARI,No,6.2,2022,2024,1,0,57,3249,0,1,3,35,1225,32,1024,1.6666666666666667,2.777777777777778,0.06190476190476191,0.0038321995464852612,0.10317460317460317,0.010644998740236835,4.11,16.892100000000003,30,30,Arizona Diamondbacks,Arizona,5525334,70.0,4900.0,44,162,1,Caleb Smith,3,9,2000000,1,205.0,6,0.2716049382716049,RP,0.4567901234567901,0,0,65,4225,2000000,2000000,0.023,2000000,0.0,0.0,2000000,23250000,2000000,74,1.2584499999999992,1.583696402499998,1.37,1.8769000000000002,1,39,1521,1,1,14.508657738524219,14.508657738524219,14.508657738524219
WSH,No,6.3,2022,0,1,1,66,4356,0,1,5,35,1225,35,1225,1.945945945945946,3.7867056245434627,0.05873015873015873,0.0034492315444696396,0.11428571428571428,0.013061224489795917,4.5,20.25,23,22,Washington Nationals,Washington DC,7369204,70.0,4900.0,16,162,13,MacKenzie Gore,4,16,246144,1,195.0,6,0.09876543209876543,RP,0.3395061728395062,0,0,72,5184,246144,700000,0.002,700000,0.0,0.0,700000,23750000,700000,55,0.23,0.0529,1.47,2.1609,1,37,1369,4,16,12.413672009508398,13.458835614025542,13.458835614025542
BAL,No,6.6,2022,2028,1,0,60,3600,0,1,3,29,841,27,729,2.923076923076923,8.54437869822485,0.04144747329826239,0.001717893042810174,0.12115415271799776,0.014678328720815923,3.49,12.180100000000001,27,27,Baltimore Orioles,Maryland,825036,69.7,4858.09,66,162,2,Bryan Baker,3,9,700500,7,245.0,14,0.4074074074074074,RP,0.5123456790123457,1,1,76,5776,700500,700500,0.016,700500,54.87,3010.7169,700500,7900000,700500,83,1.12,1.2544000000000002,1.23,1.5129,3,26,676,4,16,13.459549644759198,13.459549644759198,13.459549644759198
WSH,No,6.0,2022,2023,1,1,55,3025,0,1,5,34,1156,33,1089,1.4545454545454546,2.115702479338843,0.052910052910052914,0.002799473698944599,0.07696007696007696,0.00592285344570097,4.28,18.3184,38,37,Washington Nationals,Washington DC,116539075,69.3,4802.49,14,162,14,Anibal Sanchez,6,36,2000000,1,205.0,6,0.08641975308641975,SP,0.3395061728395062,0,0,48,2304,2000000,2000000,0.016,2000000,0.0,0.0,2000000,23750000,2000000,55,0.85,0.7224999999999999,1.27,1.6129,1,33,1089,4,16,14.508657738524219,14.508657738524219,14.508657738524219
ATL,Si,6.2,2022,2023,1,0,71,5041,0,1,6,34,1156,29,841,3.7,13.690000000000001,0.0320666987333654,0.0010282731676564182,0.11864678531345199,0.014077059665216368,3.76,14.137599999999999,38,38,Atlanta Braves,Georgia,23183342,69.3,4802.49,60,162,1,Jesse Chavez,3,9,247248,18,175.0,28,0.37037037037037035,RP,0.6234567901234568,0,0,74,5476,247248,1250000,0.001,1250000,32.1,1030.41,1250000,61250000,1250000,101,1.2584499999999992,1.583696402499998,1.31,1.7161000000000002,4,20,400,4,16,12.418147160473476,14.038654109278484,14.038654109278484
ATL,Si,6.2,2022,2025,2,1,51,2601,0,1,6,20,400,20,400,5.357142857142857,28.698979591836732,0.022446689113355782,0.000503853852151645,0.12025012025012026,0.014460091420168382,2.6,6.760000000000001,35,34,Atlanta Braves,Georgia,22554315,69.3,4802.49,58,162,0,Collin McHugh,2,4,4000000,18,190.0,28,0.35802469135802467,RP,0.6234567901234568,0,0,75,5625,4000000,4000000,0.022,4000000,70.04,4905.601600000001,5000000,61250000,10000000,101,1.97,3.8809,0.94,0.8835999999999999,4,14,196,3,9,15.201804919084164,15.201804919084164,15.201804919084164
SEA,No,5.580428134556572,2022,0,1,1,48,2304,0,1,2,23,529,23,529,4.222222222222222,17.82716049382716,0.028860028860028863,0.0008329012658016989,0.12185345518678853,0.01484826454095868,2.99,8.940100000000001,28,27,Seattle Mariners,Washington,646128,69.3,4802.49,64,162,1,Penn Murfee,0,0,646128,0,209.35153583617748,5,0.3950617283950617,RP,0.5555555555555556,0,0,76,5776,646128,700000,0.006,700000,77.87,6063.736900000001,700000,115700000,700000,90,1.03,1.0609,0.95,0.9025,0,18,324,4,16,13.378752905551984,13.458835614025542,13.458835614025542
LAA,No,6.3,2022,2027,1,0,48,2304,0,5,9,20,400,19,361,4.2,17.64,0.024154589371980676,0.0005834441877290019,0.10144927536231885,0.010291955471539594,2.48,6.1504,28,28,Los Angeles Angels,California,1429502,69.0,4761.0,49,162,1,Jimmy Herget,1,1,720000,1,170.0,10,0.30246913580246915,RP,0.4506172839506173,9,81,63,3969,720000,720000,0.004,720000,95.14,9051.6196,720000,123750000,720000,73,2.22,4.928400000000001,0.91,0.8281000000000001,1,15,225,2,4,13.487006490992238,13.487006490992238,13.487006490992238
HOU,No,6.0,2022,2023,1,0,47,2209,0,2,3,22,484,18,324,3.1739130434782608,10.073724007561436,0.037416625996421024,0.0014000039009560495,0.11875711729298846,0.014103252907740619,2.37,5.6169,31,31,Houston Astros,Texas,7275638,68.3,4664.889999999999,71,162,0,Rafael Montero,2,4,2725000,5,185.0,16,0.4382716049382716,RP,0.654320987654321,14,196,73,5329,2725000,2725000,0.015,2725000,78.9,6225.210000000001,2725000,69100000,2725000,106,1.22,1.4884,1.02,1.0404,2,23,529,5,25,14.817978986079481,14.817978986079481,14.817978986079481
SF,No,6.1,2022,2024,1,1,71,5041,0,5,7,27,729,24,576,3.0,9.0,0.029411764705882353,0.0008650519031141869,0.08823529411764706,0.007785467128027683,3.18,10.112400000000001,32,31,San Francisco Giants,California,2947241,68.0,4624.0,76,162,11,John Brebbia,2,4,837500,23,200.0,27,0.4691358024691358,RP,0.5,0,0,54,2916,837500,837500,0.005,837500,52.04,2708.1616,837500,140700000,837500,81,1.57,2.4649,1.31,1.7161000000000002,8,18,324,6,36,13.638176542681359,13.638176542681359,13.638176542681359
KC,No,6.5,2022,2028,1,0,47,2209,0,2,2,26,676,21,441,1.9189189189189189,3.6822498173849523,0.06045751633986928,0.003655111281985561,0.11601307189542484,0.013459032850613013,2.78,7.728399999999999,25,25,Kansas City Royals,Missouri,539871,68.0,4624.0,68,162,0,Dylan Coleman,2,4,0,4,230.0,9,0.41975308641975306,RP,0.4012345679012346,0,0,71,5041,700650,700650,0.008,700650,62.23,3872.5728999999997,700650,13975000,700650,65,1.62,2.6244000000000005,1.24,1.5376,2,37,1369,5,25,13.459763754598363,13.459763754598363,13.459763754598363
