Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,Bateos_en_contra,Bateos_en_contra_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Carreras_en_contra,Carreras_en_contra_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_iniciados,Jugador,Losses,Losses_2,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_juegos,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
STL,No,6.7,2022,2023,1,0,192,36864,0,2,4,80,6400,79,6241,2.6481481481481484,7.012688614540467,0.03129890453834116,0.0009796214253001928,0.08288413609227381,0.006869780015762566,3.71,13.7641,40,40,St. Louis Cardinals,Missouri,175065963,191.7,36748.88999999999,32,162,32,Adam Wainwright,12,144,17500000,23,230.0,32,0.19753086419753085,SP,0.5740740740740741,0,0,143,20449,17500000,17500000,0.112,17500000,46.44,2156.6735999999996,17500000,52700000,17500000,93,1.78,3.1684,1.28,1.6384,11,54,2916,11,121,16.67771143889374,16.67771143889374,16.67771143889374
CLE,No,6.5,2022,2027,1,0,138,19044,0,2,2,65,4225,63,3969,4.318181818181818,18.646694214876035,0.025556136376836847,0.0006531161065114836,0.11035604344543183,0.012178456324930038,2.96,8.7616,24,24,Cleveland Guardians,Ohio,3560968,191.3,36595.69,31,162,30,Triston McKenzie,11,121,707100,6,165.0,16,0.19135802469135801,SP,0.5679012345679012,0,0,190,36100,707100,707100,0.011,707100,92.04,8471.361600000002,707100,3900000,707100,92,3.88,15.0544,0.95,0.9025,2,44,1936,11,121,13.468927377592331,13.468927377592331,13.468927377592331
SEA,Si,6.2,2022,2027,5,0,163,26569,0,1,2,80,6400,78,6084,3.4193548387096775,11.691987513007284,0.036449147560258674,0.001328540357869511,0.12463256907701352,0.015533277274736546,3.71,13.7641,30,30,Seattle Mariners,Washington,44458723,189.0,35721.0,32,162,32,Robbie Ray,12,144,21000000,0,215.0,5,0.19753086419753085,SP,0.5555555555555556,0,0,212,44944,21000000,21000000,0.181,21000000,31.72,1006.1583999999999,23000000,115700000,115000000,90,2.02,4.0804,1.19,1.4161,0,62,3844,12,144,16.860032995687696,16.860032995687696,16.860032995687696
CLE,No,6.3,2022,2026,1,1,178,31684,0,2,2,78,6084,70,4900,2.723404255319149,7.416930737890448,0.028031251863780044,0.0007857510810506721,0.0763404306077414,0.00582786134537538,3.38,11.424399999999999,27,26,Cleveland Guardians,Ohio,7661927,186.3,34707.69,32,162,32,Cal Quantrill,5,25,2510000,6,195.0,16,0.19753086419753085,SP,0.5679012345679012,0,0,128,16384,2510000,2510000,0.038,2510000,73.33,5377.2889,2510000,3900000,2510000,92,1.75,3.0625,1.21,1.4641,2,47,2209,16,256,14.735793311107967,14.735793311107967,14.735793311107967
SEA,No,6.6,2022,2028,1,1,170,28900,0,1,2,71,5041,66,4356,3.5510204081632653,12.609745939192003,0.02931849458505355,0.0008595741247338144,0.10411057260814935,0.010839011328796737,3.2,10.240000000000002,25,24,Seattle Mariners,Washington,5034681,185.7,34484.49,32,162,32,Logan Gilbert,6,36,712300,0,225.0,5,0.19753086419753085,SP,0.5555555555555556,0,0,174,30276,712300,712300,0.006,712300,82.73,6844.2529,712300,115700000,712300,90,3.14,9.8596,1.18,1.3923999999999999,0,49,2401,13,169,13.476254449966445,13.476254449966445,13.476254449966445
ATL,No,6.4,2022,2025,1,1,156,24336,0,1,6,55,3025,51,2601,5.3125,28.22265625,0.019188103375906936,0.00036818331116449115,0.1019367991845056,0.010391111027982222,2.48,6.1504,28,27,Atlanta Braves,Georgia,14567338,185.3,34336.090000000004,30,162,30,Max Fried,7,49,6850000,18,190.0,28,0.18518518518518517,SP,0.6234567901234568,0,0,170,28900,6850000,6850000,0.037,6850000,97.65,9535.522500000001,6850000,61250000,6850000,101,6.07,36.8449,1.01,1.0201,4,32,1024,14,196,15.739759210238407,15.739759210238407,15.739759210238407
ARI,No,6.2,2022,0,1,0,121,14641,0,1,3,56,3136,52,2704,4.085106382978723,16.688094160253506,0.028381642512077296,0.0008055176316833533,0.11594202898550725,0.013442554085276203,2.54,6.4516,26,26,Arizona Diamondbacks,Arizona,2424579,184.0,33856.0,31,162,31,Zac Gallen,4,16,745600,1,191.0,6,0.19135802469135801,SP,0.4567901234567901,0,0,192,36864,745600,745600,0.009,745600,97.64,9533.5696,745600,23250000,745600,74,4.99,24.900100000000002,0.91,0.8281000000000001,1,47,2209,12,144,13.521944542353518,13.521944542353518,13.521944542353518
CHW,No,6.2,2022,2026,1,0,126,15876,0,2,5,55,3025,45,2025,2.91025641025641,8.469592373438527,0.04710144927536232,0.0022185465238395295,0.13707729468599034,0.018790184718429834,2.2,4.840000000000001,26,26,Chicago White Sox,Illinois,3328539,184.0,33856.0,32,162,32,Dylan Cease,8,64,750000,6,195.0,11,0.19753086419753085,SP,0.5,0,0,227,51529,750000,750000,0.004,750000,98.02,9607.920399999999,750000,63000000,750000,81,6.35,40.3225,1.11,1.2321000000000002,3,78,6084,14,196,13.527828485512494,13.527828485512494,13.527828485512494
SEA,No,6.1,2022,2026,4,3,194,37636,250000,1,2,97,9409,84,7056,2.06,4.2436,0.030358227079538554,0.0009216219514128279,0.06253794778384943,0.0039109949130154776,4.13,17.0569,30,27,Seattle Mariners,Washington,15450517,183.0,33489.0,32,162,32,Marco Gonzales,15,225,5500000,0,195.0,5,0.19753086419753085,SP,0.5555555555555556,0,0,103,10609,5750000,5500000,0.05,5750000,23.67,560.2689,7500000,115700000,30000000,90,1.2584499999999992,1.583696402499998,1.33,1.7689000000000001,0,50,2500,10,100,15.564710412773533,15.520258650202699,15.564710412773533
NYM,No,6.5,2022,2023,1,1,159,25281,0,2,6,71,5041,69,4761,3.4081632653061225,11.61557684298209,0.029963920993089952,0.0008978365612801368,0.10212193481318413,0.010428889569988229,3.42,11.696399999999999,33,32,New York Mets,New York,16148183,181.7,33014.89,30,162,30,Chris Bassitt,9,81,8650000,5,217.0,10,0.18518518518518517,SP,0.6234567901234568,0,0,167,27889,8650000,8650000,0.032,8650000,83.0,6889.0,8800000,259270000,8800000,101,3.18,10.112400000000001,1.14,1.2995999999999999,2,49,2401,15,225,15.973069878908062,15.973069878908062,15.973069878908062
