Acronimo,Agente libre,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,Bateos_pitcher,Bateos_pitcher_2,Bono_por_firma,Cantidad_agentes_libres,Carreras,Carreras_2,Carreras_ganadas,Carreras_ganadas_2,Comando,Comando_2,Control,Control_2,Dominio,Dominio_2,ERA,ERA_2,Edad,Edad_al_firmar,Equipo,Ganancias,Inning_pitched,Inning_pitched_2,Juegos,Juegos totales,Juegos_2,Juegos_iniciados,Juegos_iniciados_2,Jugador,Losses,Losses_2,Pennants won,Peso,Playoffs,Posicion,Promedio_victorias,Saves,Saves_2,Strike-outs,Strike-outs_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WHIP,WHIP_2,WS ganadas,Walks,Walks_2,Wins,Wins_2,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
LAA,No,6.2,2012,2014,2009,4,165,27225,0,4,109,11881,102,10404,2.180327868852459,4.7538296156947055,0.038077403245942575,0.0014498886379541182,0.08302122347066167,0.006892523546565544,5.16,26.625600000000002,29,26,Los Angeles Angels,31236000,178.0,31684.0,30,162,900,30,900,Ervin Santana,13,169,1,175,10,SP,0.5493827160493827,0,0,133,17689,11200000,11200000,11200000,1.69,2.8560999999999996,321150000,30000000,89,-1.08,1.1664,1.27,1.6129,1,61,3721,9,81,16.231424336265324,16.231424336265324,16.231424336265324
LAA,No,6.5,2012,2013,2009,4,190,36100,0,4,95,9025,85,7225,3.736842105263158,13.96398891966759,0.023894862604540025,0.0005709644588898453,0.08929132868012325,0.007972941377461802,4.33,18.7489,31,28,Los Angeles Angels,48273500,176.7,31222.889999999996,31,162,961,30,900,Dan Haren,13,169,1,215,10,SP,0.5493827160493827,0,0,142,20164,12750000,12750000,12750000,13.49,181.9801,321150000,44750000,89,-0.13,0.016900000000000002,1.29,1.6641000000000001,1,38,1444,12,144,16.36104182956871,16.36104182956871,16.36104182956871
DET,No,0.0,2012,2013,2010,2,59,3481,0,3,34,1156,29,841,1.7777777777777777,3.1604938271604937,0.043478260869565216,0.0018903591682419658,0.07729468599033816,0.005974468482344978,3.78,14.2884,34,31,Detroit Tigers,0,69.0,4761.0,71,162,5041,0,0,Jose Valverde,4,16,11,0,14,RP,0.5432098765432098,35,1225,48,2304,9000000,9000000,9000000,41.15,1693.3225,221000000,14000000,88,0.71,0.5041,1.25,1.5625,4,27,729,3,9,16.012735135300492,16.012735135300492,16.012735135300492
DET,No,6.5,2012,0,2010,4,50,2500,0,3,32,1024,27,729,2.25,5.0625,0.03232323232323232,0.0010447913478216508,0.07272727272727272,0.005289256198347107,4.42,19.5364,21,18,Detroit Tigers,3525000,55.0,3025.0,10,162,100,10,100,Jacob Turner,5,25,11,215,14,RP,0.5432098765432098,0,0,36,1296,1175000,1175000,1175000,0.0,0.0,221000000,5500000,88,-0.19,0.0361,1.2,1.44,4,16,256,2,4,13.976778705560397,13.976778705560397,13.976778705560397
MIA,No,6.7,2012,2014,2010,4,180,32400,0,6,84,7056,81,6561,2.5384615384615383,6.44378698224852,0.03775338328396352,0.0014253179493858561,0.09583551141313817,0.009184445247817738,3.81,14.5161,28,25,Miami Marlins,27749000,191.3,36595.69,31,162,961,31,961,Josh Johnson,14,196,2,225,2,SP,0.4259259259259259,0,0,165,27225,13750000,13750000,13750000,36.56,1336.6336000000001,203300000,39000000,69,,,1.28,1.6384,2,65,4225,8,64,16.436549382076855,16.436549382076855,16.436549382076855
PHI,No,6.3,2012,2013,2010,3,207,42849,2000000,7,106,11236,100,10000,4.882352941176471,23.837370242214536,0.01977894124490983,0.0003912065167695952,0.09656777196044211,0.00932533458140395,4.71,22.1841,31,29,Philadelphia Phillies,35598500,191.0,36481.0,31,162,961,30,900,Joe Blanton,13,169,7,252,14,RP,0.5,0,0,166,27556,10500000,8500000,10500000,0.0,0.0,57650000,24000000,81,0.11,0.0121,1.26,1.5876000000000001,2,34,1156,10,100,16.166885815127753,15.955576721460545,16.166885815127753
STL,No,6.2,2012,2013,2009,4,192,36864,312500,5,74,5476,67,4489,3.763157894736842,14.16135734072022,0.020010531858873092,0.000400421385274975,0.07530279094260137,0.005670510323745126,2.86,8.179599999999999,33,30,St. Louis Cardinals,57240000,211.0,44521.0,34,162,1156,33,1089,Kyle Lohse,3,9,23,214,26,SP,0.5432098765432098,0,0,143,20449,12187500,11875000,12187500,86.24,7437.337599999999,40850000,41000000,88,4.01,16.080099999999998,1.09,1.1881000000000002,11,38,1444,16,256,16.31592139428824,16.289945907884977,16.31592139428824
STL,No,6.7,2012,2014,2008,4,196,38416,0,5,96,9216,87,7569,3.5384615384615383,12.520710059171597,0.029077895207739193,0.000845523989712262,0.10289101381200022,0.01058656072326122,3.94,15.5236,30,26,St. Louis Cardinals,26853000,198.7,39481.689999999995,33,162,1089,32,1024,Adam Wainwright,13,169,23,230,26,SP,0.5432098765432098,0,0,184,33856,9000000,9000000,9000000,74.69,5578.5961,40850000,15000000,88,0.92,0.8464,1.25,1.5625,11,52,2704,14,196,16.012735135300492,16.012735135300492,16.012735135300492
MIL,No,6.2,2012,2013,2009,4,200,40000,0,3,84,7056,82,6724,3.7037037037037037,13.717421124828533,0.02826189354686764,0.0007987346268544789,0.10467367980321347,0.01095657924354566,3.48,12.1104,28,25,Milwaukee Brewers,43397172,212.3,45071.29000000001,37,162,1369,34,1156,Zack Greinke,5,25,1,200,4,SP,0.5123456790123457,0,0,200,40000,13500000,13500000,13500000,59.73,3567.6728999999996,40250000,38000000,83,1.47,2.1609,1.2,1.44,0,54,2916,15,225,16.41820024340866,16.41820024340866,16.41820024340866
MIL,No,6.2,2012,2016,2010,5,185,34225,250000,3,86,7396,83,6889,2.5185185185185186,6.342935528120714,0.04411764705882353,0.0019463667820069207,0.1111111111111111,0.012345679012345678,3.66,13.395600000000002,26,23,Milwaukee Brewers,12423000,204.0,41616.0,33,162,1089,33,1089,Yovani Gallardo,9,81,1,205,4,RP,0.5123456790123457,0,0,204,41616,5750000,5500000,5750000,60.18,3621.6324,40250000,30100000,83,2.91,8.468100000000002,1.3,1.6900000000000002,0,81,6561,16,256,15.564710412773533,15.520258650202699,15.564710412773533
