Jugador,Juegos_2019,Wins_2019,Saves_2019,WHIP_2019,ERA_2019,Equipo_2019,Sueldo_2019
Justin Verlander,34,21,0,0.8,2.58,HOU,28075000
Trevor Bauer,34,11,0,1.25,4.48,CIN,13000000
Gerrit Cole,34,20,0,0.89,2.5,HOU,13500000
Stephen Strasburg,34,18,0,1.04,3.32,WSH,39333334
Zack Greinke,36,18,0,0.98,2.93,HOU,34500000
Mike Minor,33,14,0,1.24,3.59,TEX,9833333
Madison Bumgarner,37,9,0,1.13,3.9,SF,12000000
Jacob deGrom,34,11,0,0.97,2.43,NYM,9500000
Eduardo Rodriguez,34,19,0,1.33,3.81,BOS,4325000
Marco Gonzales,35,16,0,1.31,3.99,SEA,900000
Aaron Nola,34,12,0,1.26,3.87,PHI,4500000
Jose Berrios,32,14,0,1.22,3.68,MIN,620000
Noah Syndergaard,32,10,0,1.23,4.28,NYM,6000000
Sandy Alcantara,33,6,0,1.32,3.88,MIA,555000
Mike Leake,32,12,0,1.29,4.29,ARI,16000000
Jack Flaherty,38,11,0,0.97,2.75,STL,562100
Zack Wheeler,31,11,0,1.26,3.96,NYM,5975000
Luis Castillo,32,15,0,1.14,3.4,CIN,557500
Ivan Nova,34,11,0,1.46,4.72,CHW,9166668
Matt Boyd,33,9,0,1.23,4.57,DET,2600000
Marcus Stroman,32,10,0,1.31,3.22,NYM,7400000
Miles Mikolas,32,9,0,1.22,4.16,STL,8750000
Reynaldo Lopez,33,10,0,1.46,5.38,CHW,580000
Merrill Kelly,32,13,0,1.32,4.42,ARI,2000000
Hyun-Jin Ryu,30,14,0,1.01,2.32,LAD,17900000
Walker Buehler,30,14,0,1.04,3.26,LAD,570000
Masahiro Tanaka,32,11,0,1.24,4.45,NYY,22000000
Jeff Samardzija,32,11,0,1.11,3.52,SF,19800000
Yu Darvish,31,6,0,1.1,3.98,CHC,20000000
Clayton Kershaw,29,16,0,1.04,3.03,LAD,31000000
Kyle Hendricks,31,11,0,1.13,3.46,CHC,7405000
Lucas Giolito,29,14,0,1.06,3.41,CHW,573000
Sonny Gray,34,11,0,1.08,2.88,CIN,7500000
Jake Junis,31,9,0,1.43,5.24,KC,578250
Julio Teheran,35,10,0,1.32,3.81,ATL,11166668
Michael Soroka,29,13,0,1.11,2.68,ATL,555000
Dakota Hudson,33,16,1,1.41,3.35,STL,559100
Rick Porcello,32,14,0,1.39,5.52,BOS,21125000
Robbie Ray,34,12,0,1.34,4.34,ARI,6050000
German Marquez,29,12,0,1.2,4.76,COL,1300000
Max Scherzer,29,11,0,1.03,2.93,WSH,37505562
Jon Lester,32,13,0,1.5,4.46,CHC,27500000
Adam Wainwright,32,14,0,1.43,4.19,STL,10000000
Jose Quintana,32,13,0,1.39,4.68,CHC,10500000
Joe Musgrove,46,11,0,1.22,4.44,PIT,582500
Anthony DeSclafani,31,9,0,1.2,3.89,CIN,2125000
Max Fried,40,17,0,1.33,4.02,ATL,565000
Tanner Roark,31,10,0,1.4,4.36,OAK,10000000
Brad Keller,28,7,0,1.36,4.19,KC,578175
Joey Lucchesi,30,10,0,1.22,4.18,SD,565100
Homer Bailey,33,13,0,1.32,4.57,OAK,555000
Zach Eflin,32,10,0,1.35,4.13,PHI,590000
Dylan Bundy,30,6,0,1.36,4.79,BAL,2800000
Yusei Kikuchi,32,6,0,1.51,5.46,SEA,9500000
Steven Matz,36,11,0,1.34,4.21,NYM,2625000
Kyle Gibson,34,13,0,1.44,4.84,MIN,8125000
Zach Davies,35,10,0,1.29,3.55,MIL,2600000
Jake Odorizzi,30,15,0,1.21,3.51,MIN,9500000
John Means,31,12,0,1.13,3.6,BAL,555500
Trent Thornton,32,6,0,1.41,4.84,TOR,555000
Kenta Maeda,41,10,3,1.07,4.04,LAD,8525000
Caleb Smith,30,10,0,1.23,4.52,MIA,556500
James Paxton,29,15,0,1.28,3.82,NYY,8575000
Andrew Cashner,42,11,1,1.35,4.68,BOS,12500000
Jon Gray,27,11,0,1.35,3.84,COL,2925000
Jason Vargas,30,7,0,1.36,4.51,PHI,8000000
Eric Lauer,30,8,0,1.4,4.45,SD,562500
Spencer Turnbull,30,3,0,1.44,4.61,DET,556100
Chris Sale,25,6,0,1.09,4.4,BOS,15000000
Michael Pineda,26,11,0,1.16,4.01,MIN,8000000
Trevor Williams,26,7,0,1.41,5.38,PIT,584000
Daniel Norris,33,3,0,1.33,4.49,DET,1275000
Chris Bassitt,28,10,0,1.19,3.81,OAK,565000
Domingo German,27,18,0,1.15,4.03,NYY,577500
Cole Hamels,27,7,0,1.39,3.81,CHC,20000000
Ryan Yarbrough,28,11,0,1.0,4.13,TB,563400
Chris Paddack,26,9,0,0.98,3.33,SD,555000
Chase Anderson,34,8,0,1.27,4.21,MIL,6500000
Glenn Sparkman,31,4,0,1.51,6.02,KC,555000
Jake Arrieta,24,8,0,1.47,4.64,PHI,25000000
Trevor Richards,31,6,0,1.35,4.06,TB,570000
Yonny Chirinos,26,9,0,1.05,3.85,TB,561800
Aaron Sanchez,30,5,0,1.62,5.89,HOU,3900000
Danny Duffy,23,7,0,1.31,4.34,KC,15250000
Tyler Mahle,27,3,0,1.31,5.14,CIN,570000
Michael Wacha,29,6,0,1.56,4.76,STL,6350000
Adrian Sampson,35,6,0,1.53,5.89,TEX,555000
Antonio Senzatela,25,11,0,1.75,6.71,COL,560000
Jorge Lopez,39,4,1,1.47,6.33,KC,562250
Ariel Jurado,32,7,0,1.5,5.81,TEX,555000
Brandon Woodruff,27,11,0,1.14,3.63,MIL,561400
Wade LeBlanc,26,6,0,1.45,5.71,SEA,2800000
Chris Archer,24,3,0,1.41,5.19,PIT,7666668
Vincent Velasquez,35,7,0,1.39,4.91,PHI,2249000
Mike Foltynewicz,21,8,0,1.25,4.54,ATL,5475000
Tyler Beede,25,5,0,1.48,5.08,SF,555000
Matthew Strahm,48,6,0,1.25,4.71,SD,581700
Drew Smyly,25,4,1,1.59,6.24,PHI,7000000
Steven Brault,34,4,0,1.5,5.16,PIT,574500
Jordan Zimmermann,23,1,0,1.52,6.91,DET,25000000
Tom Milone,23,4,0,1.12,4.76,SEA,555000
Adrian Houser,35,6,0,1.24,3.72,MIL,555000
Pablo Lopez,22,5,0,1.24,5.09,MIA,555000
Gabriel Ynoa,36,1,0,1.37,5.61,BAL,555000
Aaron Brooks,29,6,1,1.38,5.65,BAL,560000
C.C. Sabathia,24,5,0,1.41,4.95,NYY,8000000
David Price,22,7,0,1.31,4.28,BOS,31000000
Blake Snell,23,6,0,1.27,4.29,TB,1600000
Kyle Freeland,22,3,0,1.58,6.73,COL,565000
Jalen Beeks,34,6,1,1.49,4.31,TB,556500
Jhoulys Chacin,25,3,0,1.56,6.01,BOS,555000
Cal Quantrill,23,6,0,1.3,5.16,SD,555000
Kevin Gausman,31,3,0,1.42,5.72,CIN,9350000
Dereck Rodriguez,29,6,0,1.46,5.64,SF,561250
Felix Pena,23,8,0,1.18,4.58,LAA,569000
Frankie Montas,16,9,0,1.12,2.63,OAK,560000
Shaun Anderson,28,3,2,1.55,5.44,SF,555000
Sam Gaviglio,52,4,0,1.12,4.61,TOR,579500
Andrew Heaney,18,4,0,1.29,4.91,LAA,3400000
Nick Pivetta,30,4,1,1.52,5.38,PHI,598000
Brad Peacock,23,7,0,1.19,4.12,HOU,3110000
Mike Montgomery,34,3,0,1.62,4.95,KC,2440000
Ross Stripling,32,4,0,1.15,3.47,LAD,595000
Griffin Canning,19,5,0,1.22,4.58,LAA,555000
Peter Lambert,22,3,0,1.74,7.25,COL,555000
Freddy Peralta,40,7,1,1.46,5.29,MIL,564600
Jose Urena,25,4,3,1.48,5.21,MIA,3200000
Taylor Clarke,23,5,1,1.37,5.32,ARI,555000
Wilmer Font,48,4,0,1.27,4.48,TOR,560400
Liam Hendriks,75,4,25,0.98,1.82,OAK,2150000
Junior Guerra,72,9,3,1.12,3.55,MIL,2225000
Michael Lorenzen,106,1,7,1.15,2.92,CIN,1950000
Alex Young,17,7,0,1.19,3.56,ARI,555000
Yusmeiro Petit,80,5,0,0.81,2.71,OAK,5500000
Jaime Barria,19,4,0,1.44,6.42,LAA,563500
Asher Wojciechowski,17,4,0,1.31,4.92,BAL,555000
Elieser Hernandez,21,3,0,1.24,5.03,MIA,555000
Craig Stammen,76,8,4,1.16,3.29,SD,2250000
Luis Cessa,43,2,1,1.31,4.11,NYY,578975
Jose Suarez,19,2,0,1.64,7.11,LAA,555000
Seth Lugo,61,7,6,0.9,2.7,NYM,591875
Zac Gallen,15,3,0,1.23,2.81,ARI,555000
David Hess,23,1,0,1.55,7.09,BAL,563500
Julio Urias,37,4,4,1.08,2.49,LAD,565000
Nick Ramirez,46,5,0,1.39,4.07,DET,555000
Josh Tomlin,51,2,2,1.12,3.74,ATL,1000000
Jordan Yamamoto,16,4,0,1.14,4.46,MIA,555000
Marcus Walden,70,9,2,1.19,3.81,BOS,555000
Erick Fedde,21,4,0,1.46,4.5,WSH,555000
Jacob Waguespack,16,5,0,1.33,4.39,TOR,555000
Ryne Stanek,65,0,1,1.3,3.97,MIA,564200
Tyler Chatwood,41,5,2,1.33,3.76,CHC,12500000
Chris Stratton,35,1,0,1.66,5.57,PIT,567500
Josh Hader,61,3,37,0.81,2.62,MIL,687600
Collin McHugh,35,4,0,1.23,4.7,HOU,5800000
Giovanny Gallegos,67,3,1,0.81,2.31,STL,555000
Miguel Castro,65,1,2,1.42,4.66,BAL,569000
Dario Agrazal,15,4,0,1.36,4.91,PIT,555000
Dinelson Lamet,14,3,0,1.26,4.07,SD,566700
Thomas Pannone,37,3,0,1.42,6.16,TOR,560100
Dylan Cease,15,4,0,1.55,5.67,CHW,555000
Hansel Robles,71,5,23,1.02,2.48,LAA,1400000
Luke Jackson,71,9,18,1.4,3.84,ATL,585000
John Brebbia,66,3,0,1.18,3.59,STL,569300
Ty Buttrey,72,6,2,1.27,3.98,LAA,557250
Luis Perdomo,47,2,0,1.21,4.0,SD,555000
Bryan Shaw,70,3,1,1.36,5.38,COL,8500000
Carlos Estevez,71,2,0,1.29,3.75,COL,555000
Dillon Peters,17,4,0,1.54,5.38,LAA,555000
Felix Hernandez,15,1,0,1.53,6.41,SEA,27857142
Archie Bradley,66,4,18,1.44,3.52,ARI,1830000
Brandon Workman,73,10,16,1.03,1.88,BOS,1150000
Jared Hughes,72,5,1,1.18,4.04,PHI,2125000
Wander Suero,78,6,1,1.26,4.54,WSH,562500
Matt Andriese,54,5,1,1.4,4.71,ARI,920000
Framber Valdez,26,4,0,1.67,5.86,HOU,566600
Scott Barlow,61,3,1,1.44,4.22,KC,650000
Francisco Liriano,69,5,0,1.36,3.47,PIT,1800000
Jeff Hoffman,18,2,0,1.59,6.56,COL,555000
Emilio Pagan,66,4,20,0.83,2.31,TB,555000
Ross Detwiler,18,3,0,1.62,6.59,CHW,555000
Pedro Baez,71,7,1,0.95,3.1,LAD,2100000
Taylor Rogers,60,2,30,1.0,2.61,MIN,1525000
Chris Devenski,61,2,0,1.3,4.83,HOU,1525000
Chad Green,54,4,2,1.23,4.17,NYY,598650
Jose Leclerc,70,2,14,1.33,4.33,TEX,1500000
Diego Castillo,66,5,8,1.24,3.41,TB,561500
Wei-Yin Chen,45,0,0,1.54,6.59,MIA,20000000
Sean Newcomb,55,6,1,1.32,3.16,ATL,575000
Edwin Jackson,18,3,0,2.03,9.58,DET,555000
Javy Guerra,51,3,2,1.24,4.66,WSH,800000
Noe Ramirez,51,5,0,1.17,3.99,LAA,569000
Buck Farmer,73,6,0,1.27,3.72,DET,570800
Hector Neris,68,3,28,1.02,2.93,PHI,1800000
Josh Osich,57,4,0,1.14,4.66,CHW,555000
Aaron Bummer,58,0,1,0.99,2.13,CHW,555000
Mark Melancon,67,5,12,1.32,3.61,ATL,19000000
Raisel Iglesias,68,3,34,1.22,4.16,CIN,6000000
Nestor Cortes,33,5,0,1.54,5.67,NYY,555000
John Gant,64,11,3,1.28,3.66,STL,571300
Will Smith,63,6,34,1.03,2.76,SF,4225000
Will Smith,63,6,34,1.03,2.76,LAD,555000
Richard Rodriguez,72,4,1,1.35,3.72,PIT,650000
Roberto Osuna,66,4,38,0.88,2.63,HOU,6500000
Nick Anderson,68,5,1,1.08,3.32,TB,555000
Robert Stephenson,57,3,0,1.04,3.76,CIN,565000
Joseph Biagini,63,3,1,1.5,4.59,HOU,900000
Matt Barnes,70,5,4,1.38,3.78,BOS,1600000
Trevor May,65,5,2,1.07,2.94,MIN,900000
Luke Weaver,13,4,0,1.07,2.94,ARI,581300
Steve Cishek,70,4,7,1.2,2.95,CHC,6500000
Joe Ross,28,4,0,1.67,5.48,WSH,1000000
Chad Bettis,39,1,1,1.55,6.08,COL,3325000
Robert Gsellman,52,2,1,1.37,4.67,NYM,582500
Ian Kennedy,63,3,30,1.28,3.41,KC,16500000
Kenley Jansen,62,5,34,1.06,3.71,LAD,19333334
Chi Chi Gonzalez,14,2,0,1.46,5.29,COL,555000
Mychal Givens,58,2,11,1.19,4.57,BAL,2150000
Shane Greene,65,0,23,1.0,2.3,ATL,4000000
Sam Dyson,61,5,2,1.06,3.32,MIN,5000000
Yimi Garcia,64,1,0,0.87,3.61,LAD,710000
Brett Martin,51,2,0,1.44,4.77,TEX,555000
Alexander Claudio,83,2,0,1.31,4.07,MIL,1275000
Luis Garcia,64,2,1,1.52,4.36,LAA,1675000
Josh A. Smith,36,0,2,2.84,11.62,BOS,555000
Tommy Kahnle,72,3,0,1.06,3.67,NYY,1387500
Cam Bedrosian,59,3,1,1.14,3.23,LAA,1750000
Josh James,49,5,1,1.32,4.7,HOU,566800
Alex Colome,62,4,30,1.07,2.8,CHW,7325000
Kyle Ryan,73,4,0,1.38,3.54,CHC,555000
Hector Rondon,62,3,0,1.25,3.71,HOU,4500000
Kirby Yates,60,0,41,0.89,1.19,SD,3062500
Yoan Lopez,70,2,1,1.14,3.41,ARI,556900
Adam Conley,60,2,2,1.73,6.53,MIA,1125000
Derek Law,58,1,5,1.66,4.9,TOR,555000
Tyler Glasnow,12,6,0,0.89,1.78,TB,566700
Kevin McCarthy,56,4,1,1.48,4.48,KC,578250
Sean Doolittle,63,6,29,1.3,4.05,WSH,6000000
Will Harris,68,4,4,0.93,1.5,HOU,4225000
Felipe Vazquez,56,5,28,0.93,1.65,PIT,4500000
Lou Trivino,61,4,0,1.53,5.25,OAK,557500
Matt Albers,67,8,4,1.37,5.13,MIL,2500000
Daniel Mengden,13,5,1,1.44,4.83,OAK,555000
Joe Jimenez,66,4,9,1.32,4.37,DET,569200
Jose Alvarez,67,3,1,1.42,3.36,PHI,1925000
Rich Hill,13,4,0,1.13,2.46,LAD,18666668
Blake Treinen,57,6,16,1.62,4.91,OAK,6400000
Dylan Covey,19,1,0,1.76,7.98,CHW,571000
Drew VerHagen,22,4,0,1.6,5.9,DET,567400
Shawn Armstrong,56,1,5,1.64,5.74,BAL,559100
Edwin Diaz,66,2,26,1.38,5.59,NYM,607425
Erik Swanson,27,1,2,1.17,5.74,SEA,555000
Jairo Diaz,56,6,5,1.3,4.53,COL,555000
Tyler Duffey,58,5,0,1.01,2.5,MIN,555000
Gregory Soto,34,0,0,1.86,5.78,DET,555000
Paul Fry,66,1,3,1.45,5.34,BAL,559000
Aroldis Chapman,60,3,37,1.11,2.21,NYY,17200000
Brandon Kintzler,62,3,1,1.03,2.68,CHC,5000000
Nick Margevicius,17,2,0,1.61,6.79,SD,555000
Reyes Moronta,56,3,0,1.31,2.86,SF,567500
Michael Feliz,58,4,0,1.26,3.99,PIT,850000
Hector Velazquez,34,1,0,1.53,5.43,BOS,568500
Oliver Drake,50,5,2,0.98,3.21,TB,566100
T.J. McFarland,51,0,0,1.63,4.82,ARI,1400000
Scott Oberg,49,6,5,1.11,2.25,COL,1300000
Amir Garrett,69,5,0,1.41,3.21,CIN,567500
Ryan Brasier,62,2,7,1.29,4.85,BOS,577500
Chris Martin,58,1,4,1.02,3.4,ATL,2250000
Robbie Erlin,37,0,0,1.57,5.37,SD,1450000
Richard Bleier,53,3,4,1.32,5.37,BAL,572500
Tyler Webb,65,2,1,1.02,3.76,STL,555000
Adam Kolarek,82,6,1,1.16,3.27,LAD,560800
Jace Fry,68,3,0,1.58,4.75,CHW,569000
Colten Brewer,58,1,0,1.7,4.12,BOS,557000
Ryan Pressly,55,2,3,0.9,2.32,HOU,2900000
Ryne Harper,61,4,1,1.18,3.81,MIN,555000
Tony Watson,60,2,0,1.26,4.17,SF,7500000
Tyler Alexander,13,1,0,1.4,4.86,DET,555000
Anthony Swarzak,59,3,4,1.48,4.56,ATL,8500000
Ken Giles,55,2,23,1.0,1.87,TOR,6300000
Yoshihisa Hirano,62,5,1,1.38,4.76,ARI,3500000
Andrew Chafin,78,2,0,1.33,3.76,ARI,1945000
Trevor Gott,50,7,1,1.1,4.44,SF,567500
Taylor Cole,38,3,0,1.59,5.92,LAA,557500
Colin Poche,51,5,2,1.01,4.7,TB,555000
Matt Wisler,44,3,0,1.4,5.61,SEA,570000
Tim Mayza,68,1,0,1.4,4.91,TOR,568300
Chaz Roe,71,1,1,1.57,4.06,TB,1275000
Trey Wingenter,51,1,1,1.22,5.65,SD,557200
Manny Banuelos,16,3,0,1.84,6.93,CHW,559000
Matt Magill,50,5,5,1.4,4.09,SEA,560000
Mike Morin,52,1,1,1.11,4.62,PHI,555000
Evan Marshall,55,4,0,1.3,2.49,CHW,555000
Jarlin Garcia,53,4,0,1.11,3.02,MIA,555000
Roenis Elias,48,4,14,1.28,3.96,WSH,910000
Clay Holmes,35,1,0,1.62,5.58,PIT,555000
Andrew Kittredge,37,1,0,1.27,4.17,TB,555000
Tyler Kinley,52,3,1,1.6,3.65,MIA,555000
Kyle Crick,52,3,0,1.55,4.96,PIT,581500
Corbin Burnes,32,1,1,1.84,8.82,MIL,562800
Devin Smeltzer,12,2,1,1.26,3.86,MIN,555000
Brendan McKay,18,2,0,1.41,5.14,TB,555000
Luke Bard,32,3,0,1.1,4.78,LAA,575000
Ranger Suarez,37,6,0,1.32,3.14,PHI,555000
Daniel Poncedeleon,13,1,0,1.27,3.7,STL,555000
Carlos Martinez,48,4,24,1.18,3.17,STL,11700000
Tanner Rainey,52,2,0,1.45,3.91,WSH,555000
Anthony Bass,45,2,5,0.98,3.56,SEA,555000
Mitch Keller,11,1,0,1.83,7.13,PIT,555000
Fernando Rodney,55,0,2,1.62,5.66,WSH,5250000
Juan Nicasio,47,2,1,1.65,4.75,PHI,9250000
Brandon Brennan,44,3,0,1.23,4.56,SEA,575000
Josh Taylor,52,2,0,1.18,3.04,BOS,555000
Austin Pruitt,14,3,0,1.25,4.4,TB,555000
Justin Anderson,54,3,1,1.57,5.55,LAA,561500
Dylan Floro,50,5,0,1.29,4.24,LAD,565000
Casey Sadler,33,4,1,1.16,2.14,LAD,555000
Tayron Guerrero,52,1,0,1.7,6.26,MIA,565000
Ryan Buchter,64,1,0,1.43,2.98,OAK,1400000
Kolby Allard,9,4,0,1.57,4.96,TEX,555000
Nick Vincent,32,1,0,1.32,4.43,PHI,555000
Austin Brice,36,1,0,1.23,3.43,MIA,555000
Caleb Ferguson,46,1,0,1.48,4.84,LAD,560000
Blaine Hardy,39,1,0,1.15,4.47,DET,1300000
Austin Voth,9,2,0,1.05,3.3,WSH,556000
Lucas Sims,24,2,0,1.16,4.61,CIN,555000
Wade Davis,50,1,15,1.88,8.65,COL,18000000
Victor Alcantara,47,3,0,1.41,4.85,DET,559100
Pedro Strop,50,2,10,1.27,4.97,CHC,6250000
Touki Toussaint,24,4,0,1.68,5.62,ATL,555000
Cole Irvin,16,2,1,1.39,5.83,PHI,555000
Jake McGee,45,0,0,1.4,4.36,COL,8500000
Jonathan Holder,34,5,0,1.31,6.32,NYY,580300
Branden Kline,34,1,0,1.54,5.93,BAL,555000
Jose Urquidy,9,2,0,1.1,3.95,HOU,555000
Dominic Leone,40,1,1,1.5,5.53,STL,1260000
Ryan Weber,18,2,0,1.38,5.09,BOS,555000
Brian Johnson,22,1,0,1.88,6.03,BOS,575000
Anthony Gonsolin,11,4,1,1.02,2.93,LAD,555000
Jose Ruiz,40,1,0,2.0,5.63,CHW,555000
Heath Hembree,45,1,2,1.31,3.86,BOS,1312500
Wandy Peralta,47,1,0,1.41,5.67,SF,570000
Tim Hill,46,2,1,1.11,3.63,KC,573175
Justin Shafer,34,2,1,1.66,3.86,TOR,555000
Logan Webb,9,2,0,1.46,5.22,SF,555000
Patrick Sandoval,10,0,0,1.37,5.03,LAA,555000
Edgar Garcia,37,2,0,1.64,5.77,PHI,555000
Jeff Brigham,32,3,1,1.3,4.46,MIA,555000
Jameson Taillon,7,2,0,1.13,4.1,PIT,587500
Jimmy Cordero,31,1,0,0.99,2.89,CHW,555000
Ryan Helsley,24,2,0,1.25,2.95,STL,555000
Jon Duplantier,15,1,1,1.55,4.42,ARI,555000
Justus Sheffield,8,0,0,1.72,5.5,SEA,555000
Alec Mills,9,1,1,1.17,2.75,CHC,555000
Jesus Tinoco,24,0,1,1.61,4.75,COL,555000
Corey Kluber,7,2,0,1.65,5.8,TEX,17700000
Alex Wood,7,1,0,1.4,5.8,CIN,9650000
Jose Cisnero,35,0,0,1.53,4.33,DET,555000
Geoff Hartlieb,29,0,0,2.0,9.0,PIT,555000
Carlos Rodon,7,3,0,1.44,5.19,CHW,4200000
Dustin May,14,2,0,1.1,3.64,LAD,555000
Brad Wieck,44,2,0,1.18,5.71,CHC,555000
Wes Parsons,32,1,0,1.76,5.45,COL,565000
Robert Dugger,8,0,0,1.46,5.77,MIA,555000
Yency Almonte,28,0,0,1.56,5.56,COL,555000
Hector Santiago,19,1,0,1.9,6.68,CHW,555000
Kyle Barraclough,43,1,0,1.75,5.61,SF,1725000
Elvis Luciano,25,1,0,1.78,5.35,TOR,555000
Tim Melville,7,2,0,1.44,4.86,COL,555000
Rowan Wick,31,2,2,1.14,2.43,CHC,555000
Andrew Suarez,21,0,0,1.62,5.79,SF,555000
Jacob Barnes,33,1,0,1.78,7.44,KC,567600
Jerry Blevins,46,1,1,1.27,3.9,ATL,1500000
Jeffrey Springs,25,4,0,1.89,6.4,TEX,557000
Jacob Webb,36,4,2,1.11,1.39,ATL,555000
Luis Avilan,45,4,0,1.47,5.06,NYM,1600000
Austin Adams,30,2,0,1.13,3.94,SEA,555000
Matthew Bowman,27,2,0,1.25,3.66,CIN,555000
J.B. Wendelken,26,3,0,0.95,3.7,OAK,557500
Jonathan Loaisiga,15,2,0,1.48,4.55,NYY,560550
Adalberto Mejia,35,0,0,1.72,6.61,LAA,560000
Jake Newberry,27,1,0,1.45,3.77,KC,555000
Jay Jackson,28,1,0,1.32,4.45,MIL,1000000
Stefan Crichton,28,1,0,1.02,3.56,ARI,555000
Darwinzon Hernandez,29,0,0,1.75,4.45,BOS,555000
Jose Alvarado,35,1,7,1.87,4.8,TB,555000
Adam Morgan,40,3,0,1.01,3.94,PHI,1100000
Keone Kela,32,2,1,1.01,2.12,PIT,3175000
Sean Manaea,5,4,0,0.77,1.21,OAK,3150000
Michel Baez,24,1,0,1.32,3.03,SD,555000
Jose Quijada,34,2,1,1.79,5.76,MIA,555000
A.J. Minter,36,3,5,2.01,7.06,ATL,575000
Rafael Montero,22,2,0,0.97,2.48,TEX,555000
