Jugador,Valor_contrato_2015,Valor_promedio_contrato_2015,Porcetnaje_juegos_2015,RBI_2015,Porcentaje_bateo_2015,OPS_2015,Equipo_2015,Sueldo_2015
Max Scherzer,210000000,30000000,0.21,0,0.217,0.457,WSH,17317857
Jon Lester,155000000,25833333,0.198,0,0.065,0.172,CHC,20000000
Pablo Sandoval,95000000,19000000,0.778,48,0.247,0.664,BOS,17600000
Hanley Ramirez,88000000,22000000,0.648,53,0.249,0.717,BOS,19750000
Russell Martin,82000000,16400000,0.796,77,0.24,0.787,TOR,7000000
James Shields,75000000,18750000,0.222,2,0.132,0.307,SD,10000000
Nelson Cruz,57000000,14250000,0.938,93,0.302,0.936,SEA,14375000
Chase Headley,52000000,13000000,0.963,62,0.259,0.693,NYY,14000000
Brandon McCarthy,48000000,12000000,0.025,1,0.0,0.143,LAD,12500000
Nick Markakis,44000000,11000000,0.963,53,0.296,0.746,ATL,11000000
Melky Cabrera,42000000,14000000,0.975,76,0.273,0.71,CHW,13000000
Francisco Liriano,39000000,13000000,0.191,7,0.169,0.415,PIT,11666666
Billy Butler,30000000,10000000,0.932,65,0.251,0.713,OAK,6666666
Adam LaRoche,25000000,12500000,0.784,45,0.21,0.638,CHW,12000000
Jake Peavy,24000000,12000000,0.117,3,0.194,0.55,SF,9000000
Jed Lowrie,23000000,7666667,0.426,30,0.222,0.712,HOU,8000000
Edinson Volquez,20000000,10000000,0.216,0,0.0,0.0,KC,7500000
Jason Hammel,20000000,10000000,0.198,4,0.169,0.364,CHC,9000000
Kendrys Morales,17000000,8500000,0.975,106,0.29,0.847,KC,7250000
Mike Morse,16000000,8000000,0.605,19,0.231,0.649,PIT,2928961
Sergio Romo,15000000,7500000,0.432,0,0.0,0.0,SF,6000000
Alex Rios,11000000,11000000,0.648,32,0.255,0.64,KC,9500000
Torii Hunter,10500000,10500000,0.858,81,0.24,0.702,MIN,10500000
Brett Anderson,10000000,10000000,0.191,3,0.085,0.279,LAD,12400000
A.J. Burnett,8500000,8500000,0.161,5,0.119,0.307,PIT,8500000
Colby Rasmus,8000000,8000000,0.846,61,0.238,0.789,HOU,8000000
Asdrubal Cabrera,7500000,7500000,0.883,58,0.265,0.744,TB,7500000
Nick Hundley,6250000,3125000,0.636,43,0.301,0.809,COL,3100000
Kyle Kendrick,5500000,5500000,0.167,2,0.186,0.541,COL,5500000
Chris Capuano,5000000,5000000,0.136,0,0.0,0.0,NYY,5000000
David Ross,5000000,2500000,0.444,9,0.176,0.537,CHC,2500000
Aaron Harang,5000000,5000000,0.179,0,0.167,0.371,PHI,5000000
Stephen Drew,5000000,5000000,0.809,44,0.201,0.652,NYY,5000000
Colby Lewis,4000000,4000000,0.204,0,0.0,0.0,TEX,4000000
Ryan Vogelsong,4000000,4000000,0.204,2,0.139,0.412,SF,4000000
Jonny Gomes,4000000,4000000,0.586,26,0.213,0.66,KC,1000000
Daniel Descalso,3600000,1800000,0.624,22,0.205,0.606,COL,1500000
