Jugador,Juegos_2018,Wins_2018,Saves_2018,WHIP_2018,ERA_2018,Equipo_2018,Sueldo_2018,Agente libre
Max Scherzer,35,18,0,0.91,2.53,WSH,22242857,No
Jacob deGrom,34,11,0,0.91,1.7,NYM,7400000,No
Justin Verlander,34,16,0,0.9,2.52,HOU,28100000,No
Aaron Nola,33,17,0,0.98,2.37,PHI,573000,No
Zack Greinke,34,15,0,1.08,3.21,ARI,34000000,No
James Shields,34,7,0,1.31,4.53,CHW,21000000,No
Dallas Keuchel,34,12,0,1.31,3.74,HOU,13200000,No
Kyle Freeland,33,16,0,1.25,2.85,COL,550000,No
Miles Mikolas,34,18,0,1.07,2.83,STL,7750000,No
Gerrit Cole,32,15,0,1.03,2.88,HOU,6750000,No
Patrick Corbin,33,11,0,1.05,3.15,ARI,7500000,No
Kyle Hendricks,33,14,0,1.15,3.44,CHC,4175000,No
Kyle Gibson,32,10,0,1.3,3.62,MIN,4200000,No
German Marquez,33,14,0,1.2,3.77,COL,550000,No
Jhoulys Chacin,36,15,0,1.16,3.5,MIL,8750000,Si
Jose Berrios,32,12,0,1.14,3.84,MIN,570000,No
Rick Porcello,33,17,0,1.18,4.28,BOS,21125000,No
Luis Severino,32,19,0,1.14,3.39,NYY,604975,No
Jameson Taillon,32,14,0,1.18,3.2,PIT,571000,No
Cole Hamels,33,9,0,1.26,3.78,CHC,22500000,No
Reynaldo Lopez,32,7,0,1.27,3.91,CHW,555000,No
Mike Leake,32,10,0,1.3,4.36,SEA,17000000,No
Kevin Gausman,32,10,0,1.3,3.92,ATL,5600000,No
Mike Foltynewicz,31,13,0,1.08,2.85,ATL,2200000,No
Zack Wheeler,29,12,0,1.12,3.31,NYM,1900000,No
Jon Lester,34,18,0,1.31,3.32,CHC,27500000,No
Blake Snell,31,21,0,0.97,1.89,TB,558200,No
Tanner Roark,31,9,0,1.28,4.34,WSH,6475000,No
Andrew Heaney,30,9,0,1.2,4.15,LAA,800000,No
Zack Godley,33,15,0,1.45,4.74,ARI,579200,No
J.A. Happ,31,17,0,1.13,3.65,NYY,13000000,No
Jake Junis,30,9,0,1.27,4.37,KC,554250,No
David Price,30,16,0,1.14,3.58,BOS,30000000,No
Tyler Anderson,33,7,0,1.27,4.55,COL,555000,No
Julio Teheran,31,9,0,1.17,3.95,ATL,8166666,No
Jose Quintana,32,13,0,1.32,4.03,CHC,8850000,No
Jose Urena,32,9,0,1.18,3.98,MIA,575000,No
Lucas Giolito,32,10,0,1.48,6.13,CHW,555000,No
