Jugador,Porcetnaje_juegos_2017,RBI_2017,Porcentaje_bateo_2017,OPS_2017,Equipo_2017,Sueldo_2017
Joe Ross,0.124,1,0.182,0.448,WSH,551000
Zach Davies,0.204,3,0.125,0.403,MIL,546200
Dan Vogelbach,0.099,2,0.214,0.54,SEA,535000
Chance Sisco,0.062,4,0.333,1.232,BAL,535000
Kyle Farmer,0.124,2,0.3,0.65,LAD,535000
Cameron Gallagher,0.08,5,0.25,0.75,KC,535000
Ben Lively,0.093,8,0.231,0.692,PHI,535000
Victor Robles,0.08,4,0.25,0.766,WSH,535000
Mike Tauchman,0.191,2,0.222,0.64,COL,535000
Matt Cain,0.167,2,0.156,0.375,SF,20833334
Luis Perdomo,0.179,3,0.109,0.432,SD,544300
Jaime Garcia,0.167,7,0.152,0.449,NYY,12000000
Mike Montgomery,0.272,3,0.185,0.519,CHC,570500
Kyle Hendricks,0.154,5,0.1,0.22,CHC,760500
Tanner Roark,0.198,0,0.091,0.216,WSH,4315000
Jose Urena,0.222,2,0.104,0.229,MIA,535000
Jerad Eickhoff,0.148,0,0.161,0.355,PHI,552000
Pedro Severino,0.105,3,0.172,0.433,WSH,535000
Tyler Glasnow,0.111,3,0.294,0.749,PIT,541000
Robert Gsellman,0.167,4,0.147,0.415,NYM,541750
Kenta Maeda,0.185,4,0.128,0.282,LAD,7375000
Jacob Stallings,0.031,3,0.357,0.938,PIT,535000
Chad Kuhl,0.204,3,0.104,0.268,PIT,550000
Alex Mejia,0.179,3,0.109,0.32,STL,535000
Bronson Arroyo,0.093,0,0.154,0.308,CIN,535000
Johnny Cueto,0.154,3,0.087,0.191,SF,23500000
Vance Worley,0.161,3,0.182,0.364,MIA,535000
Lance Lynn,0.204,0,0.074,0.218,STL,8500000
Kris Negron,0.086,1,0.16,0.5,ARI,535000
Dan Straily,0.204,1,0.073,0.18,MIA,552100
Hyun-Jin Ryu,0.154,0,0.133,0.402,LAD,7833333
Joe Wendle,0.049,5,0.308,0.973,OAK,535000
Max Stassi,0.086,4,0.167,0.781,HOU,535000
Aaron Nola,0.167,1,0.083,0.237,PHI,544000
Alex Verdugo,0.093,1,0.174,0.544,LAD,535000
Antonio Senzatela,0.222,5,0.125,0.281,COL,535000
Seth Lugo,0.124,2,0.138,0.448,NYM,543500
Miguel Andujar,0.031,4,0.571,1.482,NYY,535000
Colin Moran,0.043,3,0.364,1.235,HOU,535000
Rob Segedin,0.08,1,0.2,0.5,LAD,535000
David Freitas,0.037,2,0.235,0.588,ATL,535000
Rafael Bautista,0.105,0,0.16,0.382,WSH,535000
Ildemaro Vargas,0.074,4,0.308,0.692,ARI,535000
Matt Garza,0.148,1,0.086,0.197,MIL,12500000
Gordon Beckham,0.068,0,0.177,0.399,SEA,535000
Jeremy Hellickson,0.185,2,0.091,0.348,BAL,17200000
Craig Stammen,0.37,0,0.5,1.292,SD,900000
Jordan Lyles,0.235,3,0.231,0.516,SD,535000
Tim Federowicz,0.08,3,0.231,0.978,SF,535000
Chris Rusin,0.37,0,0.333,0.667,COL,545000
Alex Wood,0.167,4,0.058,0.15,LAD,2800000
Jon Gray,0.124,3,0.079,0.26,COL,540000
Curt Casali,0.056,3,0.333,1.128,TB,535000
Steven Matz,0.105,1,0.143,0.286,NYM,562250
Christian Walker,0.068,2,0.25,1.233,ARI,535000
Adam Conley,0.136,0,0.125,0.317,MIA,537500
Renato Nunez,0.049,3,0.2,0.65,OAK,535000
Jeff Hoffman,0.142,1,0.091,0.212,COL,535000
Luke Weaver,0.093,1,0.158,0.358,STL,535000
Tim Adleman,0.185,2,0.103,0.241,CIN,535000
Zach Eflin,0.068,2,0.143,0.286,PHI,537000
Steven Brault,0.074,2,0.231,0.538,PIT,535000
Brent Suter,0.142,0,0.167,0.377,MIL,535000
Raudy Read,0.049,0,0.273,0.545,WSH,535000
Jacob Hannemann,0.068,1,0.15,0.45,SEA,535000
Nick Pivetta,0.161,0,0.068,0.136,PHI,535000
Tomas Nido,0.031,3,0.3,0.7,NYM,535000
Luis Castillo,0.093,1,0.1,0.229,CIN,535000
Dinelson Lamet,0.13,0,0.086,0.171,SD,535000
Ryan McMahon,0.105,1,0.158,0.544,COL,535000
Mike Marjama,0.031,1,0.333,1.111,SEA,535000
Taylor Davis,0.049,1,0.231,0.538,CHC,535000
Ervin Santana,0.204,5,0.2,0.5,MIN,13500000
Chris Archer,0.21,1,0.25,0.5,TB,4916666
Brad Peacock,0.21,2,0.286,0.804,HOU,541500
Erik Kratz,0.025,2,1.0,2.5,NYY,535000
Erasmo Ramirez,0.228,1,0.667,1.333,SEA,3125000
Jose Quintana,0.198,4,0.08,0.191,CHC,7000000
Matt Harvey,0.117,1,0.059,0.145,NYM,5125000
Charlie Culberson,0.093,1,0.154,0.497,LAD,550000
Zack Wheeler,0.111,0,0.074,0.218,NYM,800000
Michael Wacha,0.185,3,0.044,0.106,STL,2775000
Micah Johnson,0.111,0,0.2,0.4,ATL,535000
Michael Lorenzen,0.451,1,0.167,0.583,CIN,555000
Mike Foltynewicz,0.179,0,0.048,0.095,ATL,544000
Carlos Perez,0.068,3,0.1,0.393,LAA,547500
Odrisamer Despaigne,0.111,1,0.105,0.211,MIA,535000
Marcus Stroman,0.21,1,0.286,1.143,TOR,3400000
Rafael Montero,0.21,1,0.08,0.16,NYM,541400
A.J. Cole,0.068,0,0.143,0.393,WSH,535000
Noah Syndergaard,0.043,0,0.222,0.639,NYM,605500
Carlos Rodon,0.074,2,0.333,0.833,CHW,600000
Darrell Ceciliani,0.019,3,0.4,1.6,TOR,535000
Zack Godley,0.167,2,0.048,0.139,ARI,535000
Chris Stratton,0.08,0,0.143,0.286,SF,535000
Jake Thompson,0.074,0,0.167,0.481,PHI,535000
Trevor Williams,0.191,0,0.049,0.142,PIT,544000
Jackson Stephens,0.043,2,0.333,0.667,CIN,535000
Chris Flexen,0.086,0,0.154,0.385,NYM,535000
Mark Leiter Jr.,0.167,0,0.08,0.16,PHI,535000
Brandon Woodruff,0.049,0,0.2,0.473,MIL,535000
Ubaldo Jimenez,0.191,0,0.2,0.4,BAL,13500000
Justin Verlander,0.204,1,0.167,0.333,HOU,28000000
Yovani Gallardo,0.173,0,0.5,1.0,SEA,11000000
Ian Kennedy,0.185,0,0.333,0.833,KC,13500000
Brandon McCarthy,0.117,0,0.044,0.197,LAD,11500000
Brett Anderson,0.08,1,0.143,0.393,TOR,535000
Jason Vargas,0.198,0,0.25,0.5,KC,8000000
Jordan Zimmermann,0.179,0,0.167,0.333,DET,18000000
Chris Sale,0.198,0,0.333,1.0,BOS,12000000
Fernando Salas,0.377,0,0.5,1.0,LAA,535000
Wade LeBlanc,0.309,1,0.2,0.4,PIT,750000
David Price,0.099,0,1.0,2.0,BOS,30000000
Michael Pineda,0.105,0,0.333,0.667,NYY,7400000
Danny Duffy,0.148,0,0.5,1.0,KC,5000000
Wei-Yin Chen,0.056,0,0.125,0.25,MIA,15500000
Yu Darvish,0.191,0,0.059,0.17,LAD,11000000
Wade Miley,0.198,0,0.25,0.5,BAL,8916668
Jeurys Familia,0.161,0,1.0,4.0,NYM,7425000
Tom Koehler,0.167,0,0.048,0.095,TOR,5750000
Jake Odorizzi,0.173,1,0.333,0.667,TB,4100000
Hector Rondon,0.377,0,0.5,1.0,CHC,5800000
T.J. McFarland,0.265,0,0.2,0.4,ARI,535000
Andrew Albers,0.056,1,1.0,2.0,SEA,535000
Archie Bradley,0.389,1,0.25,0.5,ARI,544100
Blake Swihart,0.037,0,0.2,0.629,BOS,535000
Robert Stephenson,0.161,0,0.044,0.087,CIN,535000
Chad Bettis,0.056,1,0.091,0.258,COL,545000
Tom Murphy,0.074,1,0.042,0.199,COL,537000
Asher Wojciechowski,0.154,0,0.071,0.143,CIN,535000
John Ryan Murphy,0.031,1,0.143,0.429,ARI,535000
Raisel Iglesias,0.389,0,1.0,3.0,CIN,4214285
Andrew Susac,0.049,0,0.083,0.167,MIL,537400
A.J. Jimenez,0.043,0,0.083,0.167,TEX,535000
Amir Garrett,0.099,1,0.053,0.158,CIN,535000
Tyler Anderson,0.105,0,0.039,0.113,COL,540000
Alex Meyer,0.08,0,0.5,1.0,LAA,535000
Adam Morgan,0.228,0,0.5,1.167,PHI,539000
Sean Newcomb,0.117,0,0.037,0.14,ATL,535000
Daniel Gossett,0.111,0,0.2,0.4,OAK,535000
Matt Boyd,0.161,0,0.333,0.667,DET,544200
Luis Severino,0.191,0,0.2,0.4,NYY,550975
Marco Gonzales,0.068,0,0.5,1.0,SEA,535000
Rocky Gale,0.019,2,0.1,0.5,SD,535000
Sal Romano,0.099,0,0.042,0.163,CIN,535000
Jose Torres,0.383,0,1.0,2.0,SD,535400
Nolan Fontana,0.074,1,0.05,0.374,LAA,535000
Rookie Davis,0.043,0,0.167,0.619,CIN,535000
Jose Berrios,0.161,0,0.2,0.4,MIN,535000
Daniel Mengden,0.043,0,0.5,1.167,OAK,537500
Brock Stewart,0.105,1,0.25,0.5,LAD,537500
Rob Zastryzny,0.025,0,0.333,0.667,CHC,535000
Niko Goodrum,0.068,0,0.059,0.17,MIN,535000
Paolo Espino,0.074,0,0.25,0.5,TEX,535000
Lucas Sims,0.086,0,0.067,0.133,ATL,535000
Breyvic Valera,0.031,0,0.1,0.282,STL,535000
Sam Gaviglio,0.099,0,0.2,0.4,KC,535000
Kevin Shackelford,0.161,0,0.333,0.667,CIN,535000
Chad Wallach,0.037,0,0.091,0.182,CIN,535000
Tyler Mahle,0.025,0,0.143,0.393,CIN,535000
O'Koyea Dickson,0.043,0,0.143,0.476,LAD,535000
Zach Vincej,0.056,0,0.111,0.444,CIN,535000
Clay Buchholz,0.012,0,0.0,0.0,PHI,13500000
Ricky Nolasco,0.204,0,0.0,0.286,LAA,12000000
Anibal Sanchez,0.173,0,0.0,0.0,DET,16800000
C.C. Sabathia,0.167,0,0.0,0.25,NYY,25000000
Cole Hamels,0.148,1,0.0,0.0,TEX,22500000
Miguel Gonzalez,0.167,0,0.0,0.143,TEX,5900000
Tony Sipp,0.284,0,0.0,0.0,HOU,6000000
Rick Porcello,0.204,0,0.0,0.0,BOS,20125000
J.A. Happ,0.154,0,0.0,0.0,TOR,13000000
Juan Nicasio,0.469,0,0.0,0.0,STL,3650000
Jeremy Jeffress,0.377,0,0.0,0.0,MIL,2100000
Blake Wood,0.444,0,0.0,0.0,LAA,1275000
Doug Fister,0.111,0,0.0,0.0,BOS,2200000
Pedro Strop,0.426,0,0.0,0.0,CHC,5500000
George Kontos,0.401,0,0.0,0.0,PIT,1750000
Alex Cobb,0.179,0,0.0,0.0,TB,4200000
Henderson Alvarez,0.019,0,0.0,0.0,PHI,750000
Martin Perez,0.198,0,0.0,0.0,TEX,4650000
Randall Delgado,0.161,0,0.0,0.0,ARI,1775000
Cory Gearrin,0.42,0,0.0,0.0,SF,1050000
Brad Hand,0.444,0,0.0,0.0,SD,1375000
Marco Estrada,0.204,0,0.0,0.0,TOR,14500000
Michael Fiers,0.185,0,0.0,0.0,HOU,3450000
Tony Watson,0.438,0,0.0,0.0,LAD,5600000
Drew Pomeranz,0.198,0,0.0,0.0,BOS,4450000
Javy Guerra,0.099,0,0.0,0.0,MIA,535000
David Phelps,0.333,0,0.0,0.0,SEA,4600000
Quintin Berry,0.043,0,0.0,0.0,MIL,535000
Tyler Skaggs,0.099,0,0.0,0.0,LAA,555000
Luis Avilan,0.377,0,0.0,0.0,LAD,1500000
Justin Grimm,0.309,0,0.0,0.0,CHC,1825000
Sam Freeman,0.358,0,0.0,0.0,ATL,535000
Shelby Miller,0.025,0,0.0,0.333,ARI,4700000
Collin McHugh,0.074,0,0.0,0.0,HOU,3850000
Dallas Keuchel,0.142,0,0.0,0.0,HOU,9150000
Tony Sanchez,0.006,0,0.0,0.0,ATL,535000
Masahiro Tanaka,0.185,0,0.0,0.0,NYY,22000000
Kevin Gausman,0.21,0,0.0,0.0,BAL,3550000
Eduardo Rodriguez,0.154,0,0.0,0.0,BOS,584500
A.J. Schugel,0.198,0,0.0,0.5,PIT,535000
J.C. Ramirez,0.167,0,0.0,0.0,LAA,550000
Ian Krol,0.315,0,0.0,0.0,ATL,900000
Jarred Cosart,0.043,0,0.0,0.0,SD,566300
Scott Alexander,0.358,0,0.0,0.0,KC,535000
Matt Shoemaker,0.086,0,0.0,0.0,LAA,3325000
Ross Stripling,0.315,0,0.0,0.0,LAD,540000
A.J. Griffin,0.111,0,0.0,0.167,TEX,2000000
Pedro Baez,0.407,1,0.0,0.5,LAD,550000
Nick Martinez,0.142,0,0.0,0.5,TEX,540590
Tyler Lyons,0.309,0,0.0,0.5,STL,549800
Terrance Gore,0.074,0,0.0,0.2,KC,536500
Matt Grace,0.247,0,0.0,0.0,WSH,535000
Kendall Graveman,0.117,0,0.0,0.0,OAK,545000
Enny Romero,0.327,0,0.0,0.0,WSH,551000
Nik Turley,0.062,0,0.0,0.0,MIN,535000
Chasen Shreve,0.272,0,0.0,0.0,NYY,552425
Brandon Finnegan,0.031,0,0.0,0.0,CIN,567000
C.J. Edwards,0.457,0,0.0,0.0,CHC,556000
Michael Feliz,0.284,0,0.0,0.0,HOU,546200
Justin Nicolino,0.124,0,0.0,0.0,MIA,535000
Gabriel Ynoa,0.056,0,0.0,0.0,BAL,535000
Luke Jackson,0.265,0,0.0,0.0,ATL,535000
Ryan Tepera,0.451,0,0.0,0.0,TOR,542700
Josh Smoker,0.333,0,0.0,0.0,NYM,536625
Lance McCullers,0.136,0,0.0,0.0,HOU,548000
Josh Ravin,0.086,0,0.0,0.0,LAD,545000
Matt Wisler,0.124,0,0.0,0.0,ATL,535000
Erick Fedde,0.019,0,0.0,0.0,WSH,535000
Jack Flaherty,0.037,0,0.0,0.0,STL,535000
A.J. Reed,0.012,0,0.0,0.0,HOU,535000
Cody Reed,0.074,0,0.0,0.0,CIN,537000
Brian Ellington,0.259,0,0.0,0.0,MIA,535000
Kyle Barraclough,0.407,0,0.0,0.0,MIA,536500
John Gant,0.043,0,0.0,0.0,STL,536600
Michael Fulmer,0.154,0,0.0,0.0,DET,551900
Steven Okert,0.272,0,0.0,0.0,SF,536500
Edubray Ramos,0.37,0,0.0,0.0,PHI,540000
Blake Snell,0.148,0,0.0,0.167,TB,545000
Austin Brice,0.136,0,0.0,0.0,CIN,535000
Nick Wittgren,0.235,0,0.0,0.0,MIA,535000
Johnny Barbato,0.148,0,0.0,0.0,PIT,535000
Jharel Cotton,0.148,0,0.0,0.0,OAK,535000
Joe Musgrove,0.235,0,0.0,0.0,HOU,543400
Deck McGuire,0.037,1,0.0,0.0,CIN,535000
Joseph Biagini,0.272,1,0.0,0.0,TOR,535000
Braden Shipley,0.062,0,0.0,0.0,ARI,535000
Chris Smith,0.086,0,0.0,0.0,OAK,535000
Chris O'Grady,0.08,0,0.0,0.0,MIA,535000
Chris Devenski,0.383,0,0.0,0.0,HOU,554500
Sean Manaea,0.179,0,0.0,0.25,OAK,537500
Junior Guerra,0.13,0,0.0,0.0,MIL,546200
Albert Suarez,0.111,0,0.0,0.0,SF,535000
Edwin Diaz,0.407,0,0.0,0.0,SEA,545000
Ariel Miranda,0.198,0,0.0,0.0,SEA,540500
Alberto Rosario,0.019,0,0.0,0.0,STL,535000
James Hoyt,0.265,0,0.0,0.0,HOU,535000
Felix Pena,0.154,0,0.0,0.25,CHC,535000
Casey Lawrence,0.167,0,0.0,0.0,SEA,535000
Anthony Banda,0.049,0,0.0,0.0,ARI,535000
Max Fried,0.062,0,0.0,0.125,ATL,535000
Jake Junis,0.124,0,0.0,0.0,KC,535000
Ricardo Pinto,0.161,0,0.0,0.0,PHI,535000
Paul Blackburn,0.062,0,0.0,0.0,OAK,535000
Josh Hader,0.216,0,0.0,0.0,MIL,535000
Miguel Diaz,0.191,0,0.0,0.0,SD,535000
Dylan Covey,0.111,0,0.0,0.0,CHW,535000
Austin Bibens-Dirkx,0.148,0,0.0,0.0,TEX,535000
Hoby Milner,0.228,0,0.0,0.0,PHI,535000
Ariel Hernandez,0.117,0,0.0,0.0,CIN,535000
Paul Sewald,0.352,0,0.0,0.0,NYM,535000
Jordan Montgomery,0.179,0,0.0,0.4,NYY,535000
Emilio Pagan,0.21,0,0.0,0.0,SEA,535000
Hector Velazquez,0.049,0,0.0,0.0,BOS,535000
John Brebbia,0.309,0,0.0,0.0,STL,535000
Jimmy Yacabonis,0.086,1,0.0,0.0,BAL,535000
Chasen Bradford,0.173,0,0.0,0.0,NYM,535000
Yacksel Rios,0.08,0,0.0,0.0,PHI,535000
Dillon Peters,0.037,0,0.0,0.0,MIA,535000
Luiz Gohara,0.031,0,0.0,0.0,ATL,535000
Jen-Ho Tseng,0.012,1,0.0,0.0,CHC,535000
Aaron Wilkerson,0.019,0,0.0,0.0,MIL,535000
Tim Locastro,0.019,0,0.0,0.0,LAD,535000
