Jugador,Porcetnaje_juegos_2017,RBI_2017,Porcentaje_bateo_2017,OPS_2017,Equipo_2017,Sueldo_2017
Zack Cozart,0.753,62,0.295,0.928,CIN,5325000
Javier Baez,0.895,76,0.275,0.801,CHC,609000
Yolmer Sanchez,0.87,59,0.267,0.732,CHW,546000
Jordy Mercer,0.895,58,0.255,0.733,PIT,4325000
Manuel Margot,0.778,39,0.263,0.721,SD,535600
Cody Bellinger,0.815,97,0.267,0.933,LAD,535000
Logan Morrison,0.92,85,0.246,0.868,TB,2750000
Salvador Perez,0.796,80,0.268,0.792,KC,4200000
Jose Peraza,0.883,37,0.259,0.622,CIN,540000
Steven Souza,0.914,78,0.239,0.81,TB,546700
Jorge Polanco,0.821,74,0.256,0.723,MIN,540000
Rougned Odor,1.0,75,0.204,0.649,TEX,1333333
Max Kepler,0.907,69,0.243,0.737,MIN,547500
Jose Reyes,0.895,58,0.246,0.728,NYM,535000
Mike Trout,0.704,72,0.306,1.071,LAA,20083333
Carlos Gonzalez,0.84,57,0.26,0.756,COL,20428571
Gerardo Parra,0.71,72,0.311,0.798,COL,8000000
Matt Kemp,0.71,64,0.276,0.781,ATL,21500000
Hanley Ramirez,0.821,62,0.242,0.75,BOS,22750000
Yonder Alonso,0.877,67,0.266,0.866,SEA,4000000
Matt Carpenter,0.895,69,0.241,0.835,STL,10000000
Yangervis Solarte,0.79,64,0.255,0.731,SD,2625000
Brandon Drury,0.833,63,0.267,0.764,ARI,559300
Tommy Joseph,0.877,69,0.24,0.721,PHI,543000
Paul DeJong,0.667,65,0.285,0.857,STL,535000
Trevor Story,0.895,82,0.237,0.762,COL,540000
Dustin Pedroia,0.648,62,0.291,0.756,BOS,15125000
Jose Iglesias,0.803,54,0.255,0.657,DET,4100000
Miguel Cabrera,0.803,60,0.25,0.728,DET,28000000
Cory Spangenberg,0.796,46,0.264,0.725,SD,545000
Byron Buxton,0.864,51,0.253,0.728,MIN,535000
Eric Thames,0.852,63,0.247,0.877,MIL,4500000
Jackie Bradley Jr.,0.821,64,0.241,0.718,BOS,3600000
Jedd Gyorko,0.772,67,0.272,0.813,STL,6000000
Trea Turner,0.605,45,0.282,0.782,WSH,554900
Danny Valencia,0.803,66,0.256,0.725,SEA,5500000
Eduardo Escobar,0.796,72,0.25,0.747,MIN,2600000
A.J. Pollock,0.691,49,0.266,0.801,ARI,6750000
Jason Heyward,0.778,59,0.259,0.715,CHC,28166666
Jonathan Lucroy,0.759,40,0.265,0.716,COL,5250000
David Freese,0.803,52,0.263,0.739,PIT,6250000
Hernan Perez,0.84,51,0.259,0.704,MIL,545700
Miguel Sano,0.704,77,0.264,0.859,MIN,572500
Dansby Swanson,0.889,51,0.23,0.633,ATL,540000
Adam Frazier,0.747,53,0.276,0.743,PIT,549500
Josh Donaldson,0.698,78,0.268,0.94,TOR,17000000
Scott Schebler,0.87,67,0.233,0.791,CIN,540000
Justin Bour,0.667,83,0.289,0.902,MIA,552500
Yasmani Grandal,0.796,58,0.247,0.767,LAD,5500000
Michael Taylor,0.728,53,0.271,0.806,WSH,557900
Adrian Beltre,0.58,71,0.312,0.915,TEX,18000000
Kevin Kiermaier,0.605,39,0.276,0.788,TB,3166666
Michael Conforto,0.673,68,0.279,0.939,NYM,554904
Willson Contreras,0.722,74,0.276,0.855,CHC,544500
Mitch Haniger,0.593,47,0.282,0.843,SEA,538000
Hunter Renfroe,0.753,58,0.232,0.751,SD,535900
Ryan Braun,0.642,52,0.268,0.821,MIL,20000000
Neil Walker,0.685,49,0.265,0.803,MIL,17200000
Ben Zobrist,0.79,50,0.232,0.693,CHC,16500000
Todd Frazier,0.907,76,0.213,0.772,NYY,12000000
Derek Dietrich,0.833,53,0.249,0.758,MIA,1700000
Delino DeShields,0.741,22,0.269,0.714,TEX,540300
Kolten Wong,0.667,42,0.285,0.788,STL,2500000
Aaron Altherr,0.661,65,0.272,0.856,PHI,538500
Victor Martinez,0.661,47,0.255,0.697,DET,18000000
Tucker Barnhart,0.747,44,0.27,0.75,CIN,575000
Alex Gordon,0.914,45,0.208,0.608,KC,16000000
Ryan Goins,0.883,62,0.237,0.643,TOR,548200
Chris Davis,0.79,61,0.215,0.732,BAL,21065362
Jorge Bonifacio,0.698,40,0.255,0.752,KC,535000
Randal Grichuk,0.753,59,0.238,0.758,STL,557200
Mike Zunino,0.765,64,0.251,0.84,SEA,570000
Chris Owings,0.599,51,0.268,0.741,ARI,2300000
Jonathan Villar,0.753,40,0.241,0.665,MIL,554500
Yunel Escobar,0.549,31,0.274,0.73,LAA,7000000
Howie Kendrick,0.562,41,0.315,0.844,WSH,10000000
Mikie Mahtook,0.673,38,0.276,0.785,DET,541300
Guillermo Heredia,0.759,24,0.249,0.652,SEA,782000
Martin Maldonado,0.852,38,0.221,0.645,LAA,1725000
Gregory Polanco,0.667,35,0.251,0.695,PIT,1600000
Jacoby Ellsbury,0.691,39,0.264,0.75,NYY,21142857
Curtis Granderson,0.907,64,0.209,0.768,LAD,15000000
Matt Wieters,0.759,52,0.223,0.627,WSH,10500000
Christian Vazquez,0.611,32,0.29,0.735,BOS,561000
Robbie Grossman,0.735,45,0.246,0.741,MIN,552500
Joey Gallo,0.895,80,0.209,0.869,TEX,537120
Norichika Aoki,0.679,35,0.277,0.728,NYM,535000
Matt Adams,0.809,65,0.274,0.841,ATL,2800000
Lucas Duda,0.784,64,0.218,0.818,TB,7250000
Brandon Belt,0.642,51,0.241,0.823,SF,4000000
Manuel Pina,0.661,43,0.279,0.751,MIL,538200
Ronald Torreyes,0.667,36,0.292,0.689,NYY,561900
Ian Happ,0.71,68,0.253,0.842,CHC,535000
Wilmer Flores,0.679,52,0.271,0.795,NYM,2200000
Keon Broxton,0.883,49,0.22,0.719,MIL,541200
Matt Davidson,0.728,68,0.22,0.711,CHW,537000
Cameron Maybin,0.704,35,0.228,0.683,HOU,9000000
Wilmer Difo,0.765,21,0.271,0.69,WSH,537800
Jose Pirela,0.512,40,0.289,0.837,SD,535000
