Jugador,Valor_contrato_2012,Valor_promedio_contrato_2012,Juegos_2012,Wins_2012,Saves_2012,WHIP_2012,ERA_2012,Equipo_2012,Sueldo_2012
C.J. Wilson,77500000,15500000,34,13,0,1.34,3.83,LAA,10550000
Mark Buehrle,58000000,14500000,31,13,0,1.17,3.74,MIA,7000000
Jonathan Papelbon,50000000,12500000,70,5,38,1.06,2.44,PHI,11000058
Heath Bell,27000000,9000000,73,4,19,1.55,5.09,MIA,7000000
Joe Nathan,14000000,7000000,66,3,37,1.06,2.8,TEX,8050000
Aaron Harang,12000000,6000000,31,10,0,1.4,3.61,LAD,3000000
Frank Francisco,12000000,6000000,48,1,23,1.61,5.53,NYM,5500000
Edwin Jackson,11000000,11000000,34,10,0,1.22,4.03,WSH,11000000
Chris Capuano,10000000,5000000,34,12,0,1.22,3.72,LAD,3375000
Jonathan Broxton,4000000,4000000,60,4,27,1.26,2.48,CIN,4000000
Chien-Ming Wang,4000000,4000000,10,2,0,2.01,6.68,WSH,4000000
LaTroy Hawkins,3000000,3000000,48,2,1,1.38,3.64,LAA,3000000
Jamey Wright,900000,900000,66,5,0,1.51,3.72,LAD,900000
Zach Duke,900000,900000,8,1,0,1.1,1.32,WSH,900000
Chris Young,900000,900000,20,4,0,1.35,4.15,ARI,7200000
Chris Young,900000,900000,20,4,0,1.35,4.15,NYM,900000
Jared Burton,750000,750000,64,3,5,0.92,2.18,MIN,750000
Brad Penny,500000,500000,22,0,0,1.82,6.11,SF,500000
Hiroki Kuroda,0,0,33,16,0,1.16,3.32,NYY,10000000
