Jugador,Porcetnaje_juegos_2020,RBI_2020,Porcentaje_bateo_2020,OPS_2020,Equipo_2020,Sueldo_2020
Trea Turner,0.983,41,0.335,0.982,WSH,7450000
Jose Abreu,1.0,60,0.317,0.987,CHW,12781666
Freddie Freeman,1.0,53,0.341,1.102,ATL,22559375
D.J. LeMahieu,0.833,27,0.364,1.011,NYY,12000000
Whit Merrifield,1.0,30,0.282,0.764,KC,5000000
Manny Machado,1.0,47,0.304,0.95,SD,32000000
Trevor Story,0.983,28,0.289,0.874,COL,9000000
Charlie Blackmon,0.983,42,0.303,0.804,COL,21333333
Tim Anderson,0.817,21,0.322,0.886,CHW,4000000
David Fletcher,0.817,18,0.319,0.801,LAA,593500
Dansby Swanson,1.0,35,0.274,0.809,ATL,3150000
Michael Conforto,0.9,31,0.322,0.927,NYM,8000000
Corey Seager,0.867,41,0.307,0.943,LAD,7600000
Mookie Betts,0.917,39,0.292,0.927,LAD,32000000
Lourdes Gurriel Jr.,0.95,33,0.308,0.882,TOR,2928571
Eloy Jimenez,0.917,41,0.296,0.891,CHW,2333333
Donovan Solano,0.9,29,0.326,0.828,SF,1375000
Hanser Alberto,0.9,22,0.283,0.698,BAL,1650000
Alex Verdugo,0.883,15,0.309,0.844,BOS,601500
Fernando Tatis Jr.,0.983,45,0.277,0.937,SD,591800
Xander Bogaerts,0.933,28,0.301,0.867,BOS,20000000
David Peralta,0.9,34,0.301,0.773,ARI,7000000
Rafael Devers,0.95,43,0.263,0.793,BOS,692500
Randal Grichuk,0.917,35,0.273,0.793,TOR,13000000
Christian Walker,0.95,34,0.271,0.792,ARI,589500
Raimel Tapia,0.85,17,0.321,0.772,COL,573500
Luke Voit,0.933,52,0.277,0.948,NYY,634000
Isiah Kiner-Falefa,0.983,10,0.28,0.699,TEX,587000
Paul Goldschmidt,1.0,21,0.304,0.883,STL,26000000
Vladimir Guerrero Jr.,1.0,33,0.262,0.791,TOR,579300
Wil Myers,0.917,40,0.288,0.959,SD,22500000
Mike Yastrzemski,0.9,35,0.297,0.968,SF,569750
Jeff McNeil,0.867,23,0.312,0.836,NYM,617676
Nelson Cruz,0.883,33,0.303,0.992,MIN,12000000
Mike Trout,0.883,46,0.281,0.993,LAA,37766667
Kyle Tucker,0.967,42,0.268,0.837,HOU,568700
Adalberto Mondesi,0.983,22,0.256,0.71,KC,604500
Nick Solak,0.967,23,0.268,0.671,TEX,565500
Dominic Smith,0.833,42,0.316,0.993,NYM,578826
Victor Reyes,0.983,14,0.277,0.706,DET,573900
Andrew McCutchen,0.95,34,0.254,0.757,PHI,17000000
Tommy La Stella,0.917,25,0.281,0.819,OAK,3250000
Jeimer Candelario,0.897,29,0.297,0.872,DET,583300
Cavan Biggio,0.983,28,0.25,0.807,TOR,576600
Teoscar Hernandez,0.833,34,0.29,0.919,TOR,602200
Robinson Cano,0.817,30,0.316,0.896,NYM,24000000
A.J. Pollock,0.917,34,0.276,0.881,LAD,15000000
Anthony Rendon,0.867,31,0.286,0.915,LAA,26071428
Jackie Bradley Jr.,0.917,22,0.283,0.814,BOS,11000000
Jorge Polanco,0.917,19,0.258,0.658,MIN,3833333
Eddie Rosario,0.95,42,0.257,0.792,MIN,7750000
Kyle Lewis,0.967,28,0.262,0.801,SEA,565000
Juan Soto,0.783,37,0.351,1.185,WSH,629400
Alec Bohm,0.733,23,0.338,0.881,PHI,563500
Trent Grisham,0.983,26,0.251,0.808,SD,566800
Nick Ahmed,0.95,29,0.266,0.729,ARI,6375000
Carlos Correa,0.967,25,0.264,0.709,HOU,8000000
Jesus Aguilar,0.85,34,0.277,0.809,MIA,2575000
Ketel Marte,0.75,17,0.287,0.732,ARI,4000000
Brandon Lowe,0.933,37,0.269,0.916,TB,1500000
Brandon Nimmo,0.917,18,0.28,0.888,NYM,2175000
J.P. Crawford,0.883,24,0.255,0.674,SEA,575800
Miguel Cabrera,0.983,35,0.25,0.746,DET,30000000
Michael Brantley,0.767,22,0.3,0.84,HOU,16000000
Bryce Harper,0.967,33,0.268,0.962,PHI,27538462
Jean Segura,0.9,25,0.266,0.769,PHI,14850000
Ian Happ,0.95,28,0.258,0.866,CHC,624000
Tommy Edman,0.948,26,0.25,0.685,STL,581800
Cody Bellinger,0.933,30,0.239,0.789,LAD,11500000
Brian Anderson,0.983,38,0.255,0.81,MIA,615000
Salvador Perez,0.617,32,0.333,0.986,KC,14200000
Jurickson Profar,0.933,25,0.278,0.771,SD,5700000
George Springer,0.85,32,0.265,0.899,HOU,21000000
Chris Taylor,0.933,32,0.27,0.842,LAD,5600000
Renato Nunez,0.867,31,0.256,0.816,BAL,578000
Evan Longoria,0.883,28,0.254,0.722,SF,15000000
Kyle Seager,1.0,40,0.241,0.788,SEA,19500000
Christian Vazquez,0.783,23,0.283,0.801,BOS,4200000
Yulieski Gurriel,0.95,22,0.232,0.658,HOU,8700000
Jake Cronenworth,0.9,20,0.285,0.831,SD,563500
Joe Wendle,0.833,17,0.286,0.777,TB,575600
Kolten Wong,0.914,16,0.265,0.675,STL,10250000
Willy Adames,0.9,23,0.26,0.813,TB,579500
Adam Frazier,0.967,23,0.23,0.661,PIT,2800000
Pete Alonso,0.95,35,0.231,0.817,NYM,652521
Marcus Semien,0.883,23,0.223,0.679,OAK,13000000
Mark Canha,0.983,33,0.246,0.795,OAK,4800000
Luis Robert,0.933,31,0.233,0.738,CHW,1500000
J.D. Davis,0.933,19,0.247,0.761,NYM,592463
Josh Reddick,0.933,23,0.245,0.693,HOU,13000000
Brandon Belt,0.85,30,0.309,1.015,SF,17200000
Justin Turner,0.7,23,0.307,0.86,LAD,20000000
Nolan Arenado,0.8,26,0.253,0.738,COL,35025000
J.T. Realmuto,0.783,32,0.266,0.84,PHI,10000000
Willson Contreras,0.95,26,0.243,0.763,CHC,4500000
Keston Hiura,0.983,32,0.212,0.707,MIL,582100
Anthony Rizzo,0.967,24,0.222,0.755,CHC,16500000
J.D. Martinez,0.9,27,0.213,0.68,BOS,23750000
Javier Baez,0.983,24,0.203,0.599,CHC,10000000
