Jugador,Juegos_2017,Wins_2017,Saves_2017,WHIP_2017,ERA_2017,Equipo_2017,Sueldo_2017
Ervin Santana,33,16,0,1.13,3.28,MIN,13500000
Jeff Samardzija,35,9,0,1.14,4.42,SF,19800000
Justin Verlander,33,15,0,1.17,3.36,HOU,28000000
Carlos Martinez,34,12,0,1.22,3.64,STL,3700000
Rick Porcello,33,11,0,1.39,4.65,BOS,20125000
Gerrit Cole,34,12,0,1.25,4.26,PIT,3750000
Zack Greinke,33,17,0,1.07,3.2,ARI,34000000
Jacob deGrom,37,15,0,1.19,3.53,NYM,4050000
Gio Gonzalez,32,15,0,1.18,2.96,WSH,12000000
Chris Archer,34,10,0,1.26,4.12,TB,4916666
Marcus Stroman,34,13,0,1.31,3.09,TOR,3400000
Max Scherzer,31,16,0,0.9,2.51,WSH,22242857
Luis Severino,31,14,0,1.04,2.98,NYY,550975
Zach Davies,33,17,0,1.35,4.0,MIL,546200
Patrick Corbin,35,14,0,1.42,4.04,ARI,3950000
Jose Quintana,32,11,0,1.22,4.15,CHC,7000000
Julio Teheran,37,11,0,1.38,4.54,ATL,6466666
Yu Darvish,31,10,0,1.16,3.86,LAD,11000000
Kevin Gausman,34,11,0,1.5,4.68,BAL,3550000
Lance Lynn,33,11,0,1.23,3.43,STL,8500000
Mike Leake,32,10,0,1.27,3.92,SEA,15000000
Marco Estrada,33,10,0,1.38,4.98,TOR,14500000
Martin Perez,32,13,0,1.53,4.77,TEX,4650000
Dan Straily,33,10,0,1.3,4.26,MIA,552100
Tanner Roark,32,13,0,1.34,4.67,WSH,4315000
Ricky Nolasco,33,6,0,1.45,4.92,LAA,12000000
Jon Lester,32,13,0,1.32,4.33,CHC,25000000
Jason Vargas,32,18,0,1.33,4.16,KC,8000000
Alex Cobb,29,12,0,1.22,3.66,TB,4200000
Masahiro Tanaka,30,13,0,1.24,4.74,NYY,22000000
Stephen Strasburg,28,15,0,1.02,2.57,WSH,18333333
Jimmy Nelson,29,12,0,1.25,3.49,MIL,547000
Clayton Kershaw,27,18,0,0.95,2.31,LAD,35571428
Matt Moore,32,6,0,1.53,5.52,SF,7000000
Drew Pomeranz,32,17,0,1.36,3.32,BOS,4450000
John Lackey,32,12,0,1.28,4.59,CHC,16000000
Dylan Bundy,28,13,0,1.2,4.14,BAL,1640000
Jose Urena,36,14,0,1.27,3.82,MIA,535000
Jake Arrieta,32,14,0,1.22,3.53,CHC,15637500
Aaron Nola,27,12,0,1.21,3.54,PHI,544000
Michael Wacha,30,12,0,1.36,4.13,STL,2775000
Michael Fulmer,25,10,0,1.15,3.83,DET,551900
Jeremy Hellickson,30,8,0,1.26,5.43,BAL,17200000
Luis Perdomo,29,8,0,1.51,4.73,SD,544300
Ty Blach,38,8,0,1.36,4.78,SF,536500
Sonny Gray,27,10,0,1.21,3.55,NYY,3575000
Robbie Ray,28,15,0,1.15,2.89,ARI,570400
German Marquez,29,11,0,1.38,4.39,COL,537000
Jordan Zimmermann,29,8,0,1.55,6.08,DET,18000000
Ariel Miranda,32,8,0,1.27,5.12,SEA,540500
Sean Manaea,29,12,0,1.4,4.37,OAK,537500
Kyle Gibson,29,12,0,1.53,5.07,MIN,2900000
Wade Miley,32,8,0,1.72,5.61,BAL,8916668
Taijuan Walker,28,9,0,1.33,3.49,ARI,2250000
Chad Kuhl,33,8,0,1.47,4.35,PIT,550000
Jaime Garcia,27,5,0,1.41,4.47,NYY,12000000
Miguel Gonzalez,27,8,0,1.43,4.85,TEX,5900000
Kyle Freeland,35,11,0,1.49,4.1,COL,535000
Jordan Montgomery,29,9,0,1.23,3.88,NYY,535000
Zack Godley,27,8,0,1.14,3.37,ARI,535000
Ian Kennedy,30,5,0,1.33,5.38,KC,13500000
