Jugador,Porcetnaje_juegos_2018,RBI_2018,Porcentaje_bateo_2018,OPS_2018,Equipo_2018,Sueldo_2018
Whit Merrifield,0.975,60,0.304,0.806,KC,569500
Freddie Freeman,1.0,98,0.309,0.892,ATL,21609375
Manny Machado,0.994,107,0.298,0.905,LAD,16000000
Christian Yelich,0.902,110,0.326,1.0,MIL,7000000
Nick Markakis,1.0,93,0.297,0.806,ATL,11050000
Nick Castellanos,0.975,89,0.298,0.854,DET,6050000
Charlie Blackmon,0.963,70,0.291,0.86,COL,12333333
Jose Peraza,0.975,58,0.288,0.742,CIN,570000
Scooter Gennett,0.951,92,0.31,0.847,CIN,5700000
Mookie Betts,0.846,80,0.346,1.078,BOS,10500000
Trea Turner,1.0,73,0.271,0.76,WSH,577200
Jean Segura,0.901,63,0.304,0.755,SEA,9600000
Javier Baez,0.988,111,0.29,0.881,CHC,657000
Nolan Arenado,0.957,110,0.297,0.935,COL,17750000
Trevor Story,0.969,108,0.291,0.914,COL,555000
Paul Goldschmidt,0.975,83,0.29,0.922,ARI,11100000
Alex Bregman,0.969,103,0.286,0.926,HOU,599000
Mitch Haniger,0.975,93,0.285,0.859,SEA,560200
Miguel Andujar,0.92,92,0.297,0.855,NYY,545800
Jose Altuve,0.846,61,0.317,0.837,HOU,9000000
Andrew Benintendi,0.914,87,0.29,0.83,BOS,620500
Ozzie Albies,0.975,72,0.261,0.757,ATL,555000
Starlin Castro,0.957,54,0.278,0.729,MIA,10857142
Giancarlo Stanton,0.982,100,0.266,0.852,NYY,25000000
David Peralta,0.907,87,0.293,0.868,ARI,3300000
Adam Jones,0.901,63,0.281,0.732,BAL,17333333
Anthony Rendon,0.846,92,0.308,0.909,WSH,12300000
Marcell Ozuna,0.926,88,0.28,0.758,STL,9000000
Jose Martinez,0.938,83,0.305,0.821,STL,560400
Andrelton Simmons,0.914,75,0.292,0.754,LAA,11000000
Marcus Semien,0.982,70,0.255,0.706,OAK,3125000
Eddie Rosario,0.858,77,0.288,0.803,MIN,602500
Brian Anderson,0.969,65,0.273,0.757,MIA,545000
Anthony Rizzo,0.945,101,0.283,0.846,CHC,7285714
Jed Lowrie,0.969,99,0.267,0.801,OAK,6000000
Ender Inciarte,0.963,61,0.265,0.705,ATL,4700000
Yulieski Gurriel,0.84,85,0.291,0.751,HOU,12400000
Starling Marte,0.907,72,0.277,0.787,PIT,7833333
Eduardo Escobar,0.938,84,0.272,0.824,ARI,4850000
Cesar Hernandez,0.994,60,0.253,0.718,PHI,5100000
Matt Chapman,0.895,68,0.278,0.864,OAK,547500
Corey Dickerson,0.839,55,0.3,0.804,PIT,5950000
Dee Gordon,0.877,36,0.268,0.637,SEA,10800000
Freddy Galvis,1.0,67,0.248,0.68,SD,6825000
Eugenio Suarez,0.889,104,0.283,0.892,CIN,2535714
Shin-Soo Choo,0.901,62,0.264,0.812,TEX,20100000
Xander Bogaerts,0.84,103,0.289,0.883,BOS,7050000
Matt Duffy,0.821,44,0.294,0.727,TB,930000
Mike Trout,0.864,79,0.312,1.088,LAA,34083333
D.J. LeMahieu,0.791,62,0.276,0.749,COL,8500000
Joe Wendle,0.858,61,0.3,0.789,TB,545000
Stephen Piscotty,0.932,88,0.267,0.821,OAK,1333333
Andrew McCutchen,0.957,65,0.255,0.792,NYY,14750000
