Jugador,Porcetnaje_juegos_2015,RBI_2015,Porcentaje_bateo_2015,OPS_2015,Equipo_2015,Sueldo_2015,Agente libre
Dee Gordon,0.895,46,0.333,0.776,MIA,2500000,No
Jose Altuve,0.951,67,0.314,0.812,HOU,2712500,No
Xander Bogaerts,0.963,81,0.32,0.776,BOS,543000,No
A.J. Pollock,0.969,76,0.315,0.866,ARI,519500,No
Prince Fielder,0.975,98,0.305,0.841,TEX,24050000,No
Ian Kinsler,0.957,73,0.297,0.77,DET,16000000,No
Josh Donaldson,0.975,123,0.297,0.939,TOR,4300000,No
Yoenis Cespedes,0.988,105,0.289,0.869,NYM,10500000,No
Paul Goldschmidt,0.982,110,0.321,1.005,ARI,3100000,No
Nick Markakis,0.963,53,0.296,0.746,ATL,11000000,Si
Ben Revere,0.938,45,0.306,0.719,TOR,1456284,No
Manny Machado,1.0,86,0.286,0.861,BAL,548000,No
Robinson Cano,0.963,79,0.287,0.779,SEA,24000000,No
Nelson Cruz,0.938,93,0.302,0.936,SEA,14375000,Si
Eric Hosmer,0.975,93,0.297,0.822,KC,5700000,No
Nolan Arenado,0.969,130,0.287,0.898,COL,512500,No
Jose Abreu,0.951,102,0.289,0.846,CHW,8666666,No
Buster Posey,0.926,95,0.316,0.846,SF,17352777,No
Charlie Blackmon,0.969,58,0.287,0.797,COL,517500,No
Adam Eaton,0.944,56,0.287,0.793,CHW,850000,No
Brandon Phillips,0.92,70,0.296,0.726,CIN,12000000,No
Mookie Betts,0.895,77,0.29,0.817,BOS,514500,No
Melky Cabrera,0.975,76,0.273,0.71,CHW,13000000,Si
Mike Trout,0.982,90,0.299,0.991,LAA,6083333,No
Bryce Harper,0.944,99,0.33,1.109,WSH,2500000,No
Joey Votto,0.975,80,0.314,1.0,CIN,14000000,No
D.J. LeMahieu,0.926,61,0.303,0.75,COL,517500,No
Yunel Escobar,0.858,56,0.314,0.79,WSH,5000000,No
Lorenzo Cain,0.864,72,0.305,0.837,KC,2825000,No
J.D. Martinez,0.981,102,0.282,0.879,DET,3000000,No
Matt Duffy,0.92,77,0.293,0.759,SF,509000,No
Matt Duffy,0.92,77,0.293,0.759,HOU,507500,No
Matt Duffy,0.049,3,0.375,0.944,SF,509000,No
Matt Duffy,0.049,3,0.375,0.944,HOU,507500,No
Kyle Seager,0.994,74,0.267,0.779,SEA,4500000,No
Starling Marte,0.944,81,0.287,0.785,PIT,1333333,No
Kendrys Morales,0.975,106,0.29,0.847,KC,7250000,Si
Andrew McCutchen,0.969,96,0.292,0.889,PIT,10258333,No
Adrian Beltre,0.883,83,0.288,0.788,TEX,16000000,No
Evan Longoria,0.988,73,0.27,0.764,TB,11000000,No
Anthony Rizzo,0.988,101,0.278,0.899,CHC,5285714,No
Kevin Pillar,0.982,56,0.278,0.713,TOR,512000,No
Erick Aybar,0.963,44,0.27,0.639,LAA,8750000,No
Kole Calhoun,0.982,83,0.256,0.732,LAA,537500,No
Jason Heyward,0.951,60,0.293,0.797,STL,8300000,No
Jhonny Peralta,0.957,71,0.275,0.751,STL,15000000,No
Gerardo Parra,0.957,51,0.291,0.78,BAL,2215505,No
Ender Inciarte,0.815,45,0.303,0.747,ARI,513000,No
Matt Kemp,0.951,100,0.265,0.755,SD,21250000,No
Todd Frazier,0.969,89,0.255,0.806,CIN,3750000,No
Joe Mauer,0.975,66,0.265,0.72,MIN,23000000,No
Adrian Gonzalez,0.963,90,0.275,0.83,LAD,21857142,No
Alcides Escobar,0.914,46,0.257,0.617,KC,3100000,No
Mike Moustakas,0.907,83,0.287,0.827,KC,2700000,No
Matt Carpenter,0.951,84,0.272,0.871,STL,3750000,No
Elvis Andrus,0.988,62,0.258,0.667,TEX,15250000,No
Shin-Soo Choo,0.92,83,0.276,0.839,TEX,14000000,No
Kris Bryant,0.932,100,0.274,0.856,CHC,507500,No
Gregory Polanco,0.944,53,0.258,0.706,PIT,525000,No
Billy Burns,0.772,42,0.294,0.728,OAK,507500,No
Logan Forsythe,0.944,68,0.282,0.804,TB,1100000,No
Curtis Granderson,0.969,70,0.259,0.821,NYM,16000000,No
Chase Headley,0.963,62,0.259,0.693,NYY,14000000,Si
Chris Davis,0.988,117,0.262,0.923,BAL,12000000,No
Carlos Gonzalez,0.944,97,0.271,0.864,COL,16478571,No
Dexter Fowler,0.963,46,0.25,0.759,CHC,9500000,No
Brett Gardner,0.932,66,0.259,0.742,NYY,12500000,No
Brian Dozier,0.969,77,0.236,0.751,MIN,2025000,No
Adam Jones,0.846,82,0.269,0.782,BAL,13408333,No
Albert Pujols,0.969,95,0.244,0.787,LAA,24050000,No
Freddy Galvis,0.932,50,0.263,0.645,PHI,513500,No
Edwin Encarnacion,0.901,111,0.277,0.929,TOR,10000000,No
Neil Walker,0.932,71,0.269,0.759,PIT,8000000,No
Brett Lawrie,0.92,60,0.26,0.706,OAK,1925000,No
Kolten Wong,0.926,61,0.262,0.707,STL,520000,No
Miguel Cabrera,0.739,76,0.338,0.981,DET,22000000,No
Starlin Castro,0.932,69,0.265,0.677,CHC,6857142,No
Martin Prado,0.796,63,0.288,0.732,MIA,11000000,No
David Ortiz,0.901,108,0.273,0.913,BOS,16000000,No
Ryan Braun,0.864,84,0.285,0.854,MIL,13000000,No
Alexei Ramirez,0.951,62,0.247,0.638,CHW,10000000,No
Jean Segura,0.877,50,0.257,0.616,MIL,534000,No
David Peralta,0.92,78,0.312,0.893,ARI,512000,No
Josh Reddick,0.92,77,0.272,0.781,OAK,4100000,No
Marcus Semien,0.957,45,0.257,0.715,OAK,510000,No
Christian Yelich,0.778,44,0.3,0.782,MIA,570000,No
Andrelton Simmons,0.907,44,0.265,0.663,ATL,3000000,No
Yangervis Solarte,0.938,63,0.27,0.748,SD,516400,No
Avisail Garcia,0.914,58,0.255,0.672,CHW,523000,No
Daniel Murphy,0.803,73,0.281,0.77,NYM,8000000,No
Trevor Plouffe,0.938,86,0.244,0.742,MIN,4800000,No
Nick Castellanos,0.957,73,0.255,0.721,DET,525000,No
Adam Lind,0.92,87,0.277,0.82,MIL,7500000,No
Didi Gregorius,0.957,56,0.265,0.688,NYY,553900,No
Evan Gattis,0.944,88,0.246,0.748,HOU,526500,No
Brandon Belt,0.846,68,0.281,0.834,SF,3600000,No
Howie Kendrick,0.722,54,0.295,0.748,LAD,9850000,No
Salvador Perez,0.877,70,0.258,0.701,KC,1850000,No
Justin Upton,0.926,81,0.251,0.794,SD,14708333,No
Troy Tulowitzki,0.79,70,0.28,0.779,TOR,7540983,No
Cameron Maybin,0.87,59,0.269,0.703,ATL,7100000,No
Jose Bautista,0.944,114,0.251,0.915,TOR,14000000,No
Ian Desmond,0.963,62,0.233,0.674,WSH,11000000,No
Billy Butler,0.932,65,0.251,0.713,OAK,6666666,Si
Asdrubal Cabrera,0.883,58,0.265,0.744,TB,7500000,Si
Angel Pagan,0.821,37,0.262,0.635,SF,10250000,No
Francisco Cervelli,0.803,43,0.295,0.771,PIT,987500,No
Mark Trumbo,0.877,64,0.262,0.759,SEA,4675409,No
Kevin Kiermaier,0.932,40,0.263,0.718,TB,513800,No
Carlos Beltran,0.821,67,0.276,0.808,NYY,15000000,No
Jose Reyes,0.716,53,0.274,0.688,COL,8295081,No
Yadier Molina,0.84,61,0.271,0.66,STL,15300000,No
Adeiny Hechavarria,0.803,48,0.281,0.689,MIA,1925000,No
Alex Rodriguez,0.932,86,0.251,0.842,NYY,22000000,No
Jay Bruce,0.969,87,0.226,0.729,CIN,12041666,No
Austin Jackson,0.84,48,0.267,0.698,CHC,1000000,No
Mitch Moreland,0.815,85,0.278,0.812,TEX,2950000,No
Brandon Crawford,0.883,84,0.256,0.786,SF,3175000,No
Ben Zobrist,0.778,56,0.276,0.809,KC,2827868,No
Derek Norris,0.907,62,0.251,0.709,SD,545000,No
Wilmer Flores,0.846,59,0.265,0.707,NYM,513543,No
Brock Holt,0.796,45,0.28,0.727,BOS,530500,No
Jace Peterson,0.938,52,0.239,0.649,ATL,507500,No
Torii Hunter,0.858,81,0.24,0.702,MIN,10500000,Si
Marlon Byrd,0.833,73,0.247,0.749,SF,8000000,No
Jose Iglesias,0.745,23,0.301,0.717,DET,1443750,No
A.J. Pierzynski,0.698,49,0.302,0.774,ATL,2400000,Si
Johnny Giavotella,0.796,49,0.271,0.692,LAA,516250,No
Anthony Gose,0.87,26,0.254,0.688,DET,515000,No
Josh Harrison,0.704,28,0.292,0.739,PIT,3050000,No
