Jugador,Juegos_2019,Wins_2019,Saves_2019,WHIP_2019,ERA_2019,Equipo_2019,Sueldo_2019,Agente libre
Antonio Senzatela,25,11,0,1.75,6.71,COL,560000,No
Jorge Lopez,39,4,1,1.47,6.33,KC,562250,No
Ariel Jurado,32,7,0,1.5,5.81,TEX,555000,No
Brandon Woodruff,27,11,0,1.14,3.63,MIL,561400,No
Wade LeBlanc,26,6,0,1.45,5.71,SEA,2800000,No
Chris Archer,24,3,0,1.41,5.19,PIT,7666668,No
Vincent Velasquez,35,7,0,1.39,4.91,PHI,2249000,No
Mike Foltynewicz,21,8,0,1.25,4.54,ATL,5475000,No
Tyler Beede,25,5,0,1.48,5.08,SF,555000,No
Matthew Strahm,48,6,0,1.25,4.71,SD,581700,No
Drew Smyly,25,4,1,1.59,6.24,PHI,7000000,No
Steven Brault,34,4,0,1.5,5.16,PIT,574500,No
Dallas Keuchel,19,8,0,1.37,3.75,ATL,21210000,Si
Jordan Zimmermann,23,1,0,1.52,6.91,DET,25000000,No
Tom Milone,23,4,0,1.12,4.76,SEA,555000,No
Adrian Houser,35,6,0,1.24,3.72,MIL,555000,No
Pablo Lopez,22,5,0,1.24,5.09,MIA,555000,No
Gabriel Ynoa,36,1,0,1.37,5.61,BAL,555000,No
Aaron Brooks,29,6,1,1.38,5.65,BAL,560000,No
C.C. Sabathia,24,5,0,1.41,4.95,NYY,8000000,No
David Price,22,7,0,1.31,4.28,BOS,31000000,No
Blake Snell,23,6,0,1.27,4.29,TB,1600000,No
Kyle Freeland,22,3,0,1.58,6.73,COL,565000,No
Jalen Beeks,34,6,1,1.49,4.31,TB,556500,No
Drew Pomeranz,46,2,2,1.43,4.85,MIL,1500000,Si
Jhoulys Chacin,25,3,0,1.56,6.01,BOS,555000,No
Cal Quantrill,23,6,0,1.3,5.16,SD,555000,No
Trevor Cahill,39,4,0,1.47,5.98,LAA,9000000,Si
Kevin Gausman,31,3,0,1.42,5.72,CIN,9350000,No
Dereck Rodriguez,29,6,0,1.46,5.64,SF,561250,No
Felix Pena,23,8,0,1.18,4.58,LAA,569000,No
Frankie Montas,16,9,0,1.12,2.63,OAK,560000,No
Shaun Anderson,28,3,2,1.55,5.44,SF,555000,No
Sam Gaviglio,52,4,0,1.12,4.61,TOR,579500,No
Andrew Heaney,18,4,0,1.29,4.91,LAA,3400000,No
Nick Pivetta,30,4,1,1.52,5.38,PHI,598000,No
Brad Peacock,23,7,0,1.19,4.12,HOU,3110000,No
Mike Montgomery,34,3,0,1.62,4.95,KC,2440000,No
Ross Stripling,32,4,0,1.15,3.47,LAD,595000,No
Griffin Canning,19,5,0,1.22,4.58,LAA,555000,No
Peter Lambert,22,3,0,1.74,7.25,COL,555000,No
Gio Gonzalez,19,3,0,1.29,3.5,MIL,2000000,Si
Freddy Peralta,40,7,1,1.46,5.29,MIL,564600,No
Jose Urena,25,4,3,1.48,5.21,MIA,3200000,No
Taylor Clarke,23,5,1,1.37,5.32,ARI,555000,No
Derek Holland,53,2,0,1.51,6.08,CHC,6500000,Si
Wilmer Font,48,4,0,1.27,4.48,TOR,560400,No
Liam Hendriks,75,4,25,0.98,1.82,OAK,2150000,No
Junior Guerra,72,9,3,1.12,3.55,MIL,2225000,No
Michael Lorenzen,106,1,7,1.15,2.92,CIN,1950000,No
Alex Young,17,7,0,1.19,3.56,ARI,555000,No
Yusmeiro Petit,80,5,0,0.81,2.71,OAK,5500000,No
Jaime Barria,19,4,0,1.44,6.42,LAA,563500,No
Asher Wojciechowski,17,4,0,1.31,4.92,BAL,555000,No
Elieser Hernandez,21,3,0,1.24,5.03,MIA,555000,No
Craig Stammen,76,8,4,1.16,3.29,SD,2250000,No
Luis Cessa,43,2,1,1.31,4.11,NYY,578975,No
Jose Suarez,19,2,0,1.64,7.11,LAA,555000,No
Seth Lugo,61,7,6,0.9,2.7,NYM,591875,No
Zac Gallen,15,3,0,1.23,2.81,ARI,555000,No
David Hess,23,1,0,1.55,7.09,BAL,563500,No
Julio Urias,37,4,4,1.08,2.49,LAD,565000,No
Nick Ramirez,46,5,0,1.39,4.07,DET,555000,No
Josh Tomlin,51,2,2,1.12,3.74,ATL,1000000,No
Jordan Yamamoto,16,4,0,1.14,4.46,MIA,555000,No
Jesse Chavez,48,3,1,1.33,4.85,TEX,4000000,Si
Marcus Walden,70,9,2,1.19,3.81,BOS,555000,No
Erick Fedde,21,4,0,1.46,4.5,WSH,555000,No
Jacob Waguespack,16,5,0,1.33,4.39,TOR,555000,No
Ryne Stanek,65,0,1,1.3,3.97,MIA,564200,No
Tyler Chatwood,41,5,2,1.33,3.76,CHC,12500000,No
Chris Stratton,35,1,0,1.66,5.57,PIT,567500,No
Josh Hader,61,3,37,0.81,2.62,MIL,687600,No
Collin McHugh,35,4,0,1.23,4.7,HOU,5800000,No
Giovanny Gallegos,67,3,1,0.81,2.31,STL,555000,No
Miguel Castro,65,1,2,1.42,4.66,BAL,569000,No
Dario Agrazal,15,4,0,1.36,4.91,PIT,555000,No
Daniel Hudson,69,9,8,1.14,2.47,WSH,1500000,Si
Dinelson Lamet,14,3,0,1.26,4.07,SD,566700,No
Thomas Pannone,37,3,0,1.42,6.16,TOR,560100,No
Dylan Cease,15,4,0,1.55,5.67,CHW,555000,No
Hansel Robles,71,5,23,1.02,2.48,LAA,1400000,No
Luke Jackson,71,9,18,1.4,3.84,ATL,585000,No
John Brebbia,66,3,0,1.18,3.59,STL,569300,No
Ty Buttrey,72,6,2,1.27,3.98,LAA,557250,No
Luis Perdomo,47,2,0,1.21,4.0,SD,555000,No
Bryan Shaw,70,3,1,1.36,5.38,COL,8500000,No
Carlos Estevez,71,2,0,1.29,3.75,COL,555000,No
Dillon Peters,17,4,0,1.54,5.38,LAA,555000,No
Felix Hernandez,15,1,0,1.53,6.41,SEA,27857142,No
Archie Bradley,66,4,18,1.44,3.52,ARI,1830000,No
Brandon Workman,73,10,16,1.03,1.88,BOS,1150000,No
Jared Hughes,72,5,1,1.18,4.04,PHI,2125000,No
Wander Suero,78,6,1,1.26,4.54,WSH,562500,No
Matt Andriese,54,5,1,1.4,4.71,ARI,920000,No
Framber Valdez,26,4,0,1.67,5.86,HOU,566600,No
Scott Barlow,61,3,1,1.44,4.22,KC,650000,No
Francisco Liriano,69,5,0,1.36,3.47,PIT,1800000,No
Jeff Hoffman,18,2,0,1.59,6.56,COL,555000,No
