Jugador,Juegos_2019,Wins_2019,Saves_2019,WHIP_2019,ERA_2019,Equipo_2019,Sueldo_2019,Agente libre
Matt Shoemaker,5,3,0,0.87,1.57,TOR,3500000,Si
Jordan Hicks,29,2,14,0.94,3.14,STL,555000,No
Randy Dobnak,9,2,1,1.13,1.59,MIN,555000,No
Jesse Biddle,30,0,0,2.29,8.36,TEX,575000,No
Zac Reininger,26,0,0,2.14,8.68,DET,555000,No
Evan Phillips,25,0,0,1.86,6.43,BAL,555000,No
Lewis Thorpe,12,3,0,1.74,6.18,MIN,555000,No
Sam Coonrod,33,5,0,1.23,3.58,SF,555000,No
Carson Fulmer,20,1,0,1.68,6.26,CHW,555000,No
Alex McRae,11,0,0,1.95,8.78,PIT,555000,No
Brock Burke,6,0,0,1.54,7.43,TEX,555000,No
Taylor Guerrieri,20,0,0,1.78,5.81,TEX,555000,No
Tanner Scott,28,1,0,1.78,4.79,BAL,555000,No
Jake Jewell,18,0,0,1.37,6.84,LAA,555000,No
Gerardo Reyes,27,4,0,1.35,7.62,SD,555000,No
Brock Stewart,13,4,0,1.75,9.82,TOR,565000,No
Chance Adams,13,1,1,1.97,8.53,NYY,556725,No
Kohl Stewart,9,2,0,1.46,6.4,MIN,555000,No
Joe Smith,28,1,0,0.96,1.8,HOU,8000000,No
D.J. Johnson,28,0,0,1.68,5.04,COL,557000,No
Cody Stashak,18,0,0,1.2,3.24,MIN,555000,No
Seranthony Dominguez,27,3,0,1.46,4.01,PHI,564000,No
Stephen Tarpley,21,1,2,1.99,6.93,NYY,557250,No
Hunter Strickland,28,2,2,1.23,5.55,WSH,1375000,Si
Jandel Gustave,23,0,1,1.11,2.96,SF,555000,No
Kevin Ginkel,25,3,2,0.99,1.48,ARI,555000,No
Yefry Ramirez,14,0,0,1.89,7.4,PIT,555000,No
David McKay,25,0,0,1.44,5.18,DET,555000,No
Connor Sadzeck,20,0,1,1.39,2.66,SEA,556000,No
Drew Gagnon,18,3,0,1.73,8.37,NYM,555000,No
Matt Hall,16,0,0,1.84,7.71,DET,555000,No
Emmanuel Clase,21,2,1,1.11,2.31,TEX,555000,No
Sam Tuivailala,23,1,0,1.04,2.35,SEA,568600,No
Andres Munoz,22,1,1,1.17,3.91,SD,555000,No
T.J. Zeuch,5,1,0,1.46,4.77,TOR,555000,No
Walker Lockett,9,1,0,1.72,8.34,NYM,555000,No
Heath Fillmyer,12,0,0,1.79,8.06,KC,555000,No
Jimmy Nelson,10,0,0,1.91,6.96,MIL,3700000,No
Tyler Bashlor,24,0,0,1.73,6.96,NYM,555000,No
Parker Markel,20,0,0,1.96,7.77,PIT,555000,No
Ryan Tepera,23,0,0,1.29,4.99,TOR,1525000,No
Jason Adam,23,3,0,1.15,2.91,TOR,555000,No
Burch Smith,17,0,0,1.88,5.48,SF,555000,No
Cy Sneed,8,0,0,1.45,5.48,HOU,555000,No
Dillon Tate,16,0,0,1.29,6.43,BAL,555000,No
Eric Skoglund,6,0,0,1.86,9.0,KC,568175,No
Pete Fairbanks,21,2,2,1.67,6.86,TB,555000,No
Reggie McClain,14,1,0,1.67,6.0,SEA,555000,No
Craig Kimbrel,23,0,13,1.6,6.53,CHC,10000000,Si
Tyler Anderson,5,0,0,2.13,11.76,COL,2625000,No
Austin Davis,14,0,0,1.74,6.53,PHI,555000,No
Michael Shawaryn,14,0,0,1.92,9.74,BOS,555000,No
Genesis Cabrera,13,0,1,1.67,4.87,STL,555000,No
Buddy Boshers,28,0,0,1.5,4.05,TOR,555000,No
Bryse Wilson,6,1,0,1.8,7.2,ATL,565000,No
Ryan Burr,16,1,0,1.27,4.58,CHW,556000,No
Ronald Bolanos,5,0,0,1.48,5.95,SD,555000,No
Paul Sewald,17,1,1,1.07,4.58,NYM,555000,No
Kyle Wright,7,0,0,1.88,8.7,ATL,565000,No
Jose Rodriguez,9,0,0,1.42,2.75,LAA,555000,No
Josh Staumont,16,0,0,1.6,3.72,KC,555000,No
Mike Mayers,16,0,0,1.68,6.63,STL,563700,No
Sam Howard,20,2,0,1.63,6.63,COL,555000,No
JD Hammer,20,1,0,1.42,3.79,PHI,555000,No
Jacob Faria,16,0,0,2.14,6.75,MIL,555000,No
Kyle Zimmer,15,0,0,2.56,10.8,KC,555000,No
Brent Suter,9,4,0,0.6,0.49,MIL,568300,No
Jimmie Sherfy,17,1,1,1.53,5.89,ARI,555000,No
Pat Neshek,20,0,3,1.39,5.0,PHI,7750000,No
Joe Harvey,18,1,0,1.72,5.0,COL,555000,No
Tyler Rogers,17,2,0,0.85,1.02,SF,555000,No
Scott Alexander,28,3,0,1.38,3.64,LAD,575000,No
Zac Grotz,14,1,0,1.27,4.15,SEA,555000,No
Montana DuRapau,14,0,0,2.08,9.35,PIT,555000,No
James Marvel,4,0,0,1.79,8.31,PIT,555000,No
C.J. Edwards,22,1,0,1.47,8.47,SD,1500000,No
Conner Menez,9,0,0,1.47,5.29,SF,555000,No
Chasen Bradford,12,0,1,1.26,4.86,SEA,562300,No
Jonathan Hernandez,9,2,0,1.62,4.32,TEX,555000,No
Joe Palumbo,7,0,0,1.74,9.18,TEX,555000,No
Sal Romano,12,1,2,1.84,7.71,CIN,555000,No
Trevor Hildenberger,22,2,1,2.27,10.47,MIN,572500,No
Chris Mazza,9,1,0,1.59,5.51,NYM,555000,No
Tayler Scott,13,0,0,2.57,14.33,BAL,555000,No
Edinson Volquez,11,0,0,2.0,6.75,TEX,2000000,No
Johnny Cueto,4,1,0,1.25,5.06,SF,21000000,No
Ray Black,17,0,0,1.44,5.06,MIL,555000,No
Kyle McGowin,7,0,1,1.63,10.13,WSH,555000,No
Phillips Valdez,11,0,0,1.63,3.94,TEX,555000,No
Ruben Alaniz,12,1,0,1.66,9.19,CIN,555000,No
Jordan Romano,17,0,0,1.7,7.63,TOR,555000,No
Edubray Ramos,20,1,0,1.73,5.4,PHI,573500,No
Dan Altavilla,17,2,0,1.43,5.52,SEA,555000,No
Taylor Williams,12,1,0,1.98,9.82,MIL,563800,No
Randy Rosario,19,2,0,1.39,4.4,KC,564000,No
Drew Steckenrider,15,0,0,0.98,6.28,MIA,575000,No
Josh Rogers,5,0,0,1.67,8.79,BAL,555000,No
Ian Gibaut,10,1,0,1.53,5.65,TEX,555000,No
Anthony Kay,4,2,0,1.43,5.79,TOR,555000,No
Fernando Romero,15,0,0,2.14,7.07,MIN,555000,No
Chris Flexen,9,0,0,2.05,6.59,NYM,555000,No
Devin Williams,13,0,0,1.76,3.95,MIL,555000,No
Luke Farrell,9,1,0,0.68,2.7,TEX,555000,No
Fernando Abad,21,0,0,0.92,4.15,SF,800000,No
Yacksel Rios,14,1,0,1.85,6.92,PIT,555000,No
John Schreiber,13,2,0,1.54,6.23,DET,555000,No
Tyler Lyons,14,1,0,1.42,6.4,NYY,555000,No
Ryan Dull,12,0,0,2.53,12.79,TOR,860000,No
Alex Cobb,3,0,0,1.87,10.95,BAL,14000000,No
Taylor Guilbeau,17,0,0,1.05,3.65,SEA,555000,No
Grant Dayton,14,0,0,1.33,3.0,ATL,585000,No
Luis Severino,3,1,0,1.0,1.5,NYY,4500000,No
Jesus Luzardo,6,0,2,0.67,1.5,OAK,555000,No
Duane Underwood,12,0,0,1.37,5.4,CHC,555000,No
Dillon Maples,14,1,0,1.37,5.4,CHC,555000,No
Bobby Poyner,13,0,0,1.29,6.94,BOS,555000,No
Junior Fernandez,13,0,0,1.29,5.4,STL,555000,No
Eric Yardley,10,0,0,1.29,2.31,SD,555000,No
A.J. Puk,10,2,0,1.32,3.18,OAK,555000,No
Ryan Eades,8,0,0,1.5,2.38,BAL,555000,No
Allen Webster,12,0,1,1.73,4.91,CHC,650000,No
Paul Blackburn,5,0,0,2.09,10.64,OAK,555000,No
Enyel De Los Santos,5,0,0,1.64,7.36,PHI,555000,No
David Bednar,13,0,0,1.36,6.55,SD,555000,No
Eduardo Jimenez,8,0,0,1.59,5.91,DET,555000,No
Robert Stock,10,1,0,2.06,10.13,SD,559900,No
Kyle Keller,10,0,0,1.22,3.38,MIA,555000,No
Nate Jones,13,0,1,1.64,3.48,TEX,4650000,No
James Pazos,12,0,0,1.07,1.74,COL,555000,No
Williams Jerez,12,1,0,2.03,4.36,PIT,555000,No
Sam Selman,10,0,0,1.16,4.36,SF,555000,No
Matt Moore,2,0,0,0.4,0.0,DET,2500000,Si
Joel Kuhnel,12,1,0,1.35,4.66,CIN,555000,No
Brusdar Graterol,10,1,0,1.24,4.66,MIN,555000,No
Jeremy Walker,6,0,0,1.39,1.93,ATL,555000,No
Dovydas Neverauskas,10,0,0,2.36,10.61,PIT,569000,No
Miguel Del Pozo,17,1,0,1.93,10.61,LAA,555000,No
James Norwood,9,0,0,1.82,2.89,CHC,555000,No
Josh Sborz,7,0,0,1.56,8.0,LAD,555000,No
Cionel Perez,5,1,0,1.44,10.0,HOU,555000,No
Garrett Richards,3,0,0,1.85,8.31,SD,7000000,Si
Nick Burdi,11,2,0,1.62,9.35,PIT,559000,No
Javier Guerra,8,0,0,1.15,5.19,SD,555000,No
Daniel Zamora,17,0,0,1.73,5.19,NYM,555000,No
Bryan Abreu,7,0,0,0.81,1.04,HOU,555000,No
Trevor Kelley,10,0,0,1.68,8.64,BOS,555000,No
Sean Poppen,4,0,0,1.8,7.56,MIN,555000,No
Jonny Venters,12,0,1,2.75,12.38,WSH,2250000,No
Adrian Morejon,5,0,0,2.25,10.13,SD,555000,No
Donnie Hart,5,0,0,1.04,0.0,NYM,555000,No
Keynan Middleton,11,0,0,1.43,1.17,LAA,563500,No
Ben Heller,6,0,0,1.23,1.23,NYY,555000,No
Robby Scott,11,1,0,2.05,4.91,ARI,555000,No
Gabe Speier,9,0,0,1.5,7.36,KC,555000,No
Phillip Diehl,10,0,0,1.64,7.36,COL,555000,No
David Robertson,7,0,0,2.1,5.4,PHI,10000000,Si
Steve Nogosek,7,0,0,2.1,10.8,NYM,555000,No
Justin Dunn,4,0,0,1.65,2.7,SEA,555000,No
Bryan Garcia,7,0,0,2.1,12.15,DET,555000,No
Ryan Borucki,2,0,0,3.15,10.8,TOR,565200,No
Corey Oswalt,2,0,0,2.25,12.15,NYM,555000,No
Steven Wright,6,0,0,2.37,8.53,BOS,1375000,No
Brian Moran,10,1,0,1.26,4.26,MIA,555000,No
Hunter Harvey,7,1,0,1.11,1.42,BAL,555000,No
Jimmy Herget,5,0,0,1.74,4.26,CIN,555000,No
Rico Garcia,2,0,0,2.33,10.5,COL,555000,No
Luis Escobar,4,0,0,2.47,7.94,PIT,555000,No
Darren O'Day,8,0,0,0.75,1.69,ATL,9000000,No
Tommy Hunter,5,0,0,0.38,0.0,PHI,9000000,No
Steve Wilkerson,119,0,1,1.13,6.75,BAL,555000,No
Pedro Avila,1,0,0,1.13,1.69,SD,555000,No
Enderson Franco,5,0,0,0.94,3.38,SF,555000,No
Art Warren,6,1,0,0.75,0.0,SEA,555000,No
Jared Walsh,35,0,0,1.8,1.8,LAA,555000,No
Jesse Hahn,6,0,0,2.79,13.5,KC,800000,No
Yohander Mendez,3,1,0,1.93,5.79,TEX,558000,No
Victor Arano,3,1,0,0.86,3.86,PHI,555000,No
Russell Martin,83,0,0,0.5,0.0,LAD,20000000,No
Arodys Vizcaino,4,1,1,1.5,2.25,SEA,4800000,No
Jose De Leon,3,1,0,1.5,2.25,TB,558000,No
Anthony Banda,3,0,0,1.5,6.75,TB,556800,No
Jordan Montgomery,2,0,0,1.75,6.75,NYY,596600,No
Michael Brosseau,52,0,0,1.25,4.5,TB,555000,No
Jake Barrett,2,0,0,2.18,14.73,NYY,555000,No
Keury Mella,3,0,0,1.91,7.36,CIN,555000,No
Hoby Milner,4,0,0,1.36,7.36,TB,555000,No
Aaron Loup,4,0,0,0.9,0.0,SD,1200000,No
Danny Hultzen,6,0,0,1.8,0.0,CHC,555000,No
Roman Quinn,44,0,0,3.0,8.1,PHI,559000,No
Tyler White,83,0,0,3.6,21.6,LAD,582900,No
Hernan Perez,91,0,0,1.33,3.0,MIL,2500000,No
Tom Murphy,76,0,0,0.67,6.0,SEA,557500,No
John Ryan Murphy,26,0,0,4.33,27.0,ATL,900000,No
Alexander Reyes,4,0,0,2.67,15.0,STL,564600,No
Alex Gordon,150,0,0,4.29,19.29,KC,20000000,No
Aaron Barrett,3,0,0,3.86,15.43,WSH,555000,No
Ricardo Pinto,2,0,0,2.57,15.43,SF,555000,No
Jose Osuna,95,0,0,1.29,3.86,PIT,573500,No
Jeff Mathis,88,0,0,1.5,9.0,TEX,3250000,No
Alex Avila,63,0,0,1.5,4.5,ARI,4250000,No
Xavier Cedeno,5,0,0,3.5,0.0,CHC,900000,No
Charlie Culberson,108,0,0,2.0,0.0,ATL,1395000,No
Luke Maile,46,0,0,0.5,0.0,TOR,579000,No
Victor Caratini,95,0,0,1.5,9.0,CHC,569500,No
Mike Ford,50,0,0,3.0,22.5,NYY,555000,No
Brandon Dixon,118,0,0,0.5,9.0,DET,555000,No
Ty France,69,0,0,1.0,4.5,SD,555000,No
Michael King,1,0,0,1.0,0.0,NYY,555000,No
Chris Owings,67,0,0,4.2,21.6,BOS,555000,Si
Humberto Arteaga,41,0,0,1.8,5.4,KC,555000,No
Jorge Alcala,2,0,0,1.2,0.0,MIN,555000,No
Sean Rodriguez,76,0,0,0.0,0.0,PHI,555000,No
Caleb Joseph,20,0,0,0.0,0.0,ARI,1100000,Si
Jose Peraza,141,0,0,0.75,0.0,CIN,2775000,No
Kyle Farmer,98,0,0,0.75,0.0,CIN,557500,No
Ben Zobrist,48,0,0,2.0,0.0,CHC,12500000,No
Ian Kinsler,87,0,0,3.0,0.0,SD,3750000,Si
Pablo Sandoval,108,0,0,0.0,0.0,SF,555000,No
Chris Davis,106,0,0,2.0,9.0,BAL,21065362,No
Daniel Descalso,82,0,0,2.0,18.0,CHC,1500000,Si
Ian Desmond,140,0,0,1.0,0.0,COL,15000000,No
Austin Romine,73,0,0,4.0,27.0,NYY,1800000,No
Tim Federowicz,29,0,0,3.0,9.0,TEX,555000,No
Brian Dozier,135,0,0,2.0,18.0,WSH,9000000,Si
Ehire Adrianza,84,0,0,5.0,27.0,MIN,1300000,No
Taijuan Walker,1,0,0,1.0,0.0,ARI,5025000,No
Hanser Alberto,140,0,0,3.0,18.0,BAL,578000,No
Daniel Robertson,74,0,0,1.0,0.0,TB,570300,No
Richard Urena,30,0,0,5.0,36.0,TOR,562000,No
Jacob Stallings,73,0,0,0.0,0.0,PIT,564000,No
Nick Martini,32,0,0,2.0,0.0,SD,557500,No
Dylan Moore,113,0,0,7.0,36.0,SEA,565000,No
Dellin Betances,1,0,0,0.0,0.0,NYY,7250000,No
Jose Castillo,1,0,0,1.5,0.0,SD,560300,No
James Bourque,1,0,0,7.5,54.0,WSH,555000,No
Yennsy Diaz,1,0,0,7.5,27.0,TOR,555000,No
Bryan Holaday,45,0,0,0.0,0.0,MIA,1250000,No
Jedd Gyorko,62,0,0,0.0,0.0,LAD,13000000,No
Max Stassi,53,0,0,0.0,0.0,LAA,590100,No
Taylor Hearn,1,0,0,21.0,108.0,TEX,555000,No
Austen Williams,2,0,0,18.0,162.0,WSH,556000,No
Gerardo Parra,119,0,0,0.0,0.0,WSH,555000,No
