Jugador,Juegos_2018,Wins_2018,Saves_2018,WHIP_2018,ERA_2018,Equipo_2018,Sueldo_2018
Max Scherzer,35,18,0,0.91,2.53,WSH,22242857
Jacob deGrom,34,11,0,0.91,1.7,NYM,7400000
Justin Verlander,34,16,0,0.9,2.52,HOU,28100000
Aaron Nola,33,17,0,0.98,2.37,PHI,573000
Zack Greinke,34,15,0,1.08,3.21,ARI,34000000
James Shields,34,7,0,1.31,4.53,CHW,21000000
Dallas Keuchel,34,12,0,1.31,3.74,HOU,13200000
Kyle Freeland,33,16,0,1.25,2.85,COL,550000
Miles Mikolas,34,18,0,1.07,2.83,STL,7750000
Gerrit Cole,32,15,0,1.03,2.88,HOU,6750000
Patrick Corbin,33,11,0,1.05,3.15,ARI,7500000
Kyle Hendricks,33,14,0,1.15,3.44,CHC,4175000
Kyle Gibson,32,10,0,1.3,3.62,MIN,4200000
German Marquez,33,14,0,1.2,3.77,COL,550000
Jose Berrios,32,12,0,1.14,3.84,MIN,570000
Rick Porcello,33,17,0,1.18,4.28,BOS,21125000
Luis Severino,32,19,0,1.14,3.39,NYY,604975
Jameson Taillon,32,14,0,1.18,3.2,PIT,571000
Cole Hamels,33,9,0,1.26,3.78,CHC,22500000
Reynaldo Lopez,32,7,0,1.27,3.91,CHW,555000
Mike Leake,32,10,0,1.3,4.36,SEA,17000000
Kevin Gausman,32,10,0,1.3,3.92,ATL,5600000
Mike Foltynewicz,31,13,0,1.08,2.85,ATL,2200000
Zack Wheeler,29,12,0,1.12,3.31,NYM,1900000
Jon Lester,34,18,0,1.31,3.32,CHC,27500000
Blake Snell,31,21,0,0.97,1.89,TB,558200
Tanner Roark,31,9,0,1.28,4.34,WSH,6475000
Andrew Heaney,30,9,0,1.2,4.15,LAA,800000
Zack Godley,33,15,0,1.45,4.74,ARI,579200
J.A. Happ,31,17,0,1.13,3.65,NYY,13000000
Jake Junis,30,9,0,1.27,4.37,KC,554250
David Price,30,16,0,1.14,3.58,BOS,30000000
Tyler Anderson,33,7,0,1.27,4.55,COL,555000
Julio Teheran,31,9,0,1.17,3.95,ATL,8166666
Jose Quintana,32,13,0,1.32,4.03,CHC,8850000
Jose Urena,32,9,0,1.18,3.98,MIA,575000
Lucas Giolito,32,10,0,1.48,6.13,CHW,555000
Jon Gray,31,12,0,1.35,5.12,COL,555000
Dylan Bundy,31,8,0,1.41,5.45,BAL,1640000
Derek Holland,37,7,0,1.29,3.57,SF,1750000
Gio Gonzalez,32,10,0,1.44,4.21,WSH,12000000
Trevor Williams,31,14,0,1.18,3.11,PIT,569500
Matt Boyd,31,9,0,1.16,4.39,DET,562000
Luis Castillo,31,10,0,1.22,4.3,CIN,555000
Charlie Morton,30,15,0,1.16,3.13,HOU,8875000
Marco Gonzales,29,13,0,1.22,4.0,SEA,550300
Jake Odorizzi,33,7,0,1.35,4.49,MIN,6300000
Sean Newcomb,31,12,0,1.33,3.9,ATL,555000
Nick Pivetta,34,7,0,1.3,4.77,PHI,551000
Wade LeBlanc,32,9,0,1.18,3.72,SEA,700000
Clayton Kershaw,27,9,0,1.04,2.73,LAD,35571428
Ivan Nova,29,9,0,1.28,4.19,PIT,9416666
Sean Manaea,27,12,0,1.08,3.59,OAK,550000
James Paxton,28,11,0,1.1,3.76,SEA,4900000
