Jugador,Valor_contrato_2019,Valor_promedio_contrato_2019,Juegos_2019,Wins_2019,Saves_2019,WHIP_2019,ERA_2019,Equipo_2019,Sueldo_2019
Patrick Corbin,140000000,23333333,33,14,0,1.18,3.25,WSH,12916666
Nathan Eovaldi,68000000,17000000,23,2,0,1.58,5.99,BOS,17000000
Craig Kimbrel,43000000,14333333,23,0,13,1.6,6.53,CHC,10000000
Zack Britton,39000000,13000000,66,3,3,1.14,1.91,NYY,13000000
J.A. Happ,34000000,17000000,32,12,0,1.29,4.91,NYY,17000000
Jeurys Familia,30000000,10000000,66,4,0,1.73,5.7,NYM,6666666
Charlie Morton,30000000,15000000,33,16,0,1.08,3.05,TB,15000000
Lance Lynn,30000000,10000000,33,16,0,1.22,3.67,TEX,9333333
Adam Ottavino,27000000,9000000,73,6,2,1.31,1.9,NYY,9000000
Joe Kelly,25000000,8333333,55,5,1,1.38,4.56,LAD,3000000
Andrew Miller,25000000,12500000,73,5,6,1.32,4.45,STL,11500000
David Robertson,23000000,11500000,7,0,0,2.1,5.4,PHI,10000000
Dallas Keuchel,21210000,21210000,19,8,0,1.37,3.75,ATL,21210000
Anibal Sanchez,19000000,9500000,30,11,0,1.27,3.85,WSH,10000000
Kelvin Herrera,18000000,9000000,57,3,1,1.62,6.14,CHW,8500000
Garrett Richards,15500000,7750000,3,0,0,1.85,8.31,SD,7000000
Joakim Soria,15000000,7500000,71,2,1,1.03,4.3,OAK,6500000
Michael Fiers,14100000,7050000,34,14,0,1.19,3.9,OAK,6000000
Justin Wilson,10000000,5000000,45,4,4,1.33,2.54,NYM,5000000
Brian Dozier,9000000,9000000,135,0,0,2.0,18.0,WSH,9000000
Trevor Cahill,9000000,9000000,39,4,0,1.47,5.98,LAA,9000000
Ian Kinsler,8000000,4000000,87,0,0,3.0,0.0,SD,3750000
Jesse Chavez,8000000,4000000,48,3,1,1.33,4.85,TEX,4000000
Derek Holland,7000000,7000000,53,2,0,1.51,6.08,CHC,6500000
Tyson Ross,5750000,5750000,7,1,0,1.67,6.11,DET,6000000
Daniel Descalso,5000000,2500000,82,0,0,2.0,18.0,CHC,1500000
Wade Miley,4500000,4500000,33,14,0,1.35,3.98,HOU,5000000
Martin Perez,4000000,4000000,32,10,0,1.52,5.12,MIN,3500000
Matt Shoemaker,3500000,3500000,5,3,0,0.87,1.57,TOR,3500000
Chris Owings,3000000,3000000,67,0,0,4.2,21.6,BOS,555000
Clay Buchholz,3000000,3000000,12,2,0,1.49,6.56,TOR,3000000
Shawn Kelley,2750000,2750000,51,5,11,1.39,4.94,TEX,2562500
Jake Diekman,2750000,2750000,75,1,0,1.43,4.72,OAK,2250000
David Phelps,2500000,2500000,41,2,1,1.4,3.41,CHC,2500000
Adam Warren,2500000,2500000,25,4,0,1.39,5.34,SD,2000000
Matt Moore,2500000,2500000,2,0,0,0.4,0.0,DET,2500000
Sergio Romo,2500000,2500000,65,2,20,1.11,3.43,MIN,2500000
Jordan Lyles,2050000,2050000,28,12,0,1.32,4.15,MIL,2050000
Gio Gonzalez,2000000,2000000,19,3,0,1.29,3.5,MIL,2000000
Drew Pomeranz,1500000,1500000,46,2,2,1.43,4.85,MIL,1500000
Daniel Hudson,1500000,1500000,69,9,8,1.14,2.47,WSH,1500000
Brett Anderson,1500000,1500000,32,13,0,1.31,3.89,OAK,1500000
Cory Gearrin,1400000,1400000,66,1,0,1.45,4.07,NYY,1400000
Hunter Strickland,1300000,1300000,28,2,2,1.23,5.55,WSH,1375000
Jeremy Hellickson,1300000,1300000,9,2,0,1.72,6.23,WSH,1900000
Caleb Joseph,1100000,1100000,20,0,0,0.0,0.0,ARI,1100000
Blake Parker,0,0,60,3,10,1.22,4.55,PHI,555000
Brad Brach,0,0,59,5,0,1.62,5.47,NYM,555000
