Jugador,Juegos_2013,Wins_2013,Saves_2013,WHIP_2013,ERA_2013,Equipo_2013,Sueldo_2013
Charlie Morton,20,7,0,1.28,3.26,PIT,2000000
Tyler Chatwood,26,8,0,1.43,3.15,COL,490000
Clay Buchholz,16,12,0,1.02,1.75,BOS,5800000
Samuel Deduno,18,8,0,1.35,3.83,MIN,490000
Nathan Eovaldi,18,4,0,1.32,3.39,MIA,502000
Tony Cingrani,24,7,0,1.1,2.92,CIN,490000
Alexi Ogando,23,7,0,1.23,3.11,TEX,506600
Ryan Vogelsong,19,4,0,1.56,5.73,SF,5000000
Henderson Alvarez,17,5,0,1.14,3.59,MIA,507900
Jonathan Pettibone,18,5,0,1.47,4.04,PHI,490000
Zack Wheeler,18,7,0,1.36,3.42,NYM,490000
Justin Grimm,27,7,0,1.57,5.97,CHC,491000
Anthony Swarzak,48,3,0,1.16,2.91,MIN,502500
Nick Tepesch,19,4,0,1.37,4.84,TEX,490000
J.A. Happ,18,5,0,1.47,4.57,TOR,3700000
Josh Collmenter,49,5,0,1.22,3.13,ARI,504000
Brandon Maurer,22,5,0,1.57,6.3,SEA,490000
Alfredo Simon,63,6,1,1.08,2.88,CIN,890000
David Phelps,22,6,0,1.42,4.99,NYY,512425
Carlos Torres,33,4,0,1.11,3.44,NYM,490000
Tommy Hunter,67,6,4,0.98,2.85,BAL,1820000
Brad Peacock,18,5,0,1.38,5.18,HOU,490000
Craig Stammen,55,7,0,1.29,2.76,WSH,875000
Josh Johnson,16,2,0,1.66,6.2,TOR,13750000
Jeanmar Gomez,34,3,0,1.15,3.35,PIT,500000
Ryan Webb,66,2,0,1.21,2.91,MIA,975000
A.J. Ramos,68,3,0,1.26,3.15,MIA,490000
Adam Ottavino,51,1,0,1.33,2.64,COL,491000
Nate Jones,70,4,0,1.21,4.04,CHW,507500
Alex Wood,31,3,0,1.33,3.13,ATL,490000
Brandon Kintzler,71,3,0,1.07,2.69,MIL,491000
Todd Redmond,17,4,0,1.21,4.33,TOR,490000
Adam Warren,34,3,1,1.43,3.39,NYY,490525
Kenley Jansen,75,4,28,0.86,1.88,LAD,512000
Tanner Scheppers,76,6,1,1.07,1.88,TEX,493600
Ryan Pressly,49,3,0,1.28,3.87,MIN,490000
Drew Smyly,63,6,2,1.04,2.37,DET,498000
Wilton Lopez,75,3,0,1.41,4.06,COL,1762500
Jake Arrieta,14,5,0,1.33,4.78,CHC,516500
Trevor Rosenthal,74,2,3,1.1,2.63,STL,490000
Alfredo Figaro,33,3,1,1.24,4.14,MIL,575000
Vin Mazzaro,57,8,1,1.21,2.81,PIT,490000
Justin Wilson,58,6,0,1.06,2.08,PIT,493500
T.J. McFarland,37,4,0,1.51,4.28,BAL,490000
Anthony Varvaro,62,3,1,1.27,2.82,ATL,490000
Paul Clemens,35,4,0,1.47,5.4,HOU,490000
Matt Belisle,72,5,0,1.25,4.32,COL,4100000
Brad Ziegler,78,8,13,1.14,2.22,ARI,3150000
Dane De La Rosa,75,6,2,1.16,2.86,LAA,490000
Erasmo Ramirez,14,5,0,1.45,4.98,SEA,490000
Tony Watson,67,3,2,0.88,2.39,PIT,505500
Brett Oberholtzer,13,4,0,1.1,2.76,HOU,490000
Ross Detwiler,13,2,0,1.49,4.04,WSH,2337500
Addison Reed,68,5,40,1.11,3.79,CHW,520000
Mark Melancon,72,3,16,0.96,1.39,PIT,531000
Tyler Clippard,72,6,0,0.86,2.41,WSH,4000000
Luke Hochevar,58,5,2,0.82,1.92,KC,4560000
Jim Johnson,74,3,50,1.28,2.94,BAL,6500000
Tim Stauffer,43,3,0,1.13,3.75,SD,1000000
Steve Cishek,69,4,34,1.08,2.33,MIA,505000
Aaron Loup,64,4,2,1.14,2.47,TOR,494200
Sean Doolittle,70,5,2,0.96,3.13,OAK,492500
Ernesto Frieri,67,2,37,1.24,3.8,LAA,530000
Junichi Tazawa,71,5,0,1.2,3.16,BOS,815000
Ronald Belisario,77,5,1,1.47,3.97,LAD,1450000
Michael Dunn,75,3,2,1.2,2.66,MIA,492500
Cesar Ramos,48,2,1,1.31,4.14,TB,501300
Ryan Cook,71,6,2,1.29,2.54,OAK,505000
Rex Brothers,72,2,19,1.29,1.74,COL,491000
Joaquin Benoit,66,4,24,1.03,2.02,DET,5500000
Craig Kimbrel,68,4,50,0.88,1.21,ATL,655000
Fernando Rodney,68,5,37,1.34,3.38,TB,2500000
Yoervis Medina,62,4,1,1.34,2.97,CHC,490000
Tyler Thornburg,19,3,0,1.18,2.03,MIL,490000
Luke Gregerson,73,6,4,1.01,2.71,SD,3200000
David Robertson,70,5,3,1.04,2.04,NYY,3100000
Chris Rusin,13,2,0,1.36,3.94,CHC,490000
Jared Burton,71,2,2,1.26,3.82,MIN,2050000
Greg Holland,67,2,46,0.88,1.23,KC,589500
J.J. Hoover,69,5,3,1.11,2.86,CIN,492500
Heath Bell,69,5,15,1.37,4.11,ARI,10000000
David Carpenter,56,4,0,0.99,1.78,ATL,490000
John Axford,75,7,0,1.52,4.02,STL,5000000
Charlie Furbush,71,2,0,1.18,3.74,SEA,504500
Dale Thayer,69,3,1,1.25,3.32,SD,498900
Luis Avilan,75,5,0,0.95,1.52,ATL,491250
Joe Nathan,67,6,43,0.9,1.39,TEX,8050000
Edward Mujica,65,2,37,1.0,2.78,STL,3200000
Michael Wacha,15,4,0,1.1,2.78,STL,490000
Bryan Morris,54,5,0,1.31,3.52,PIT,490000
Sonny Gray,12,5,0,1.11,2.67,OAK,490000
Aroldis Chapman,68,4,38,1.04,2.55,CIN,4733333
Wandy Rodriguez,13,6,0,1.12,3.59,PIT,8500000
Glen Perkins,61,2,36,0.93,2.3,MIN,2525000
Grant Balfour,65,1,38,1.2,2.59,OAK,4550000
Jake McGee,71,5,1,1.18,4.02,TB,506200
Burke Badenhop,63,2,1,1.19,3.47,MIL,1550000
David Hernandez,62,5,2,1.19,4.48,ARI,1375000
Robbie Ross,65,4,0,1.32,3.03,TEX,497400
Casey Fien,73,5,0,1.02,3.92,MIN,500000
Seth Maness,66,5,1,1.26,2.32,STL,490000
Jonathan Papelbon,61,5,29,1.13,2.92,PHI,13000000
Drew Storen,68,4,3,1.36,4.52,WSH,2500000
Kevin Gregg,61,2,32,1.38,3.54,CHC,490000
Darren O'Day,67,5,2,1.0,2.21,BAL,2200000
Sam LeCure,63,2,1,1.21,2.66,CIN,510000
Brian Duensing,73,6,1,1.48,3.98,MIN,1300000
Johnny Cueto,11,5,0,1.05,2.82,CIN,7400000
Brett Cecil,60,5,1,1.1,2.82,TOR,510000
Sergio Romo,65,5,38,1.08,2.54,SF,3700000
Tyler Cloyd,13,2,0,1.79,6.56,PHI,490000
Jerry Blevins,67,5,0,1.07,3.15,OAK,1100000
Jim Henderson,61,5,28,1.13,2.7,MIL,492000
Andrew Albers,10,2,0,1.18,4.05,MIN,490000
Jarred Cosart,10,1,0,1.35,1.95,HOU,490000
Craig Breslow,61,5,0,1.12,1.81,BOS,2325000
Carter Capps,53,3,0,1.63,5.49,SEA,491700
Kelvin Herrera,59,5,2,1.18,3.86,KC,508175
Steve Delabar,55,5,1,1.32,3.24,TOR,498900
Tom Wilhelmsen,58,0,23,1.35,4.19,SEA,509100
Alex Torres,39,4,0,0.9,1.71,TB,490000
Jesse Chavez,35,2,1,1.22,3.92,OAK,490000
Pedro Strop,66,2,1,1.24,4.55,CHC,502500
Neal Cotts,58,8,1,0.95,1.11,TEX,490000
Huston Street,58,2,33,1.02,2.7,SD,7000000
Pedro Hernandez,14,3,0,1.82,6.83,MIN,490000
Andre Rienzo,10,2,0,1.48,4.82,CHW,490000
Danny Farquhar,46,0,16,1.19,4.2,SEA,490000
Troy Patton,55,2,0,1.3,3.74,BAL,815000
Jaime Garcia,9,5,0,1.3,3.58,STL,5875000
George Kontos,52,2,0,1.41,4.39,SF,494500
Logan Ondrusek,52,3,0,1.25,4.09,CIN,1000000
Hector Rondon,45,2,0,1.41,4.77,CHC,490000
Robbie Erlin,11,3,0,1.24,4.12,SD,490000
Brandon Morrow,10,2,0,1.49,5.63,TOR,8000000
Brandon League,58,6,14,1.55,5.3,LAD,5500000
Paco Rodriguez,76,3,2,0.9,2.32,LAD,491500
Josh Outman,61,3,0,1.46,4.33,COL,675000
Wesley Wright,71,0,0,1.36,3.69,TB,1025000
Tanner Roark,14,7,0,0.91,1.51,WSH,490000
Shawn Kelley,57,4,0,1.29,4.39,NYY,935000
Tim Collins,66,3,0,1.44,3.54,KC,534500
Michael Kohn,63,1,0,1.32,3.74,LAA,490000
Jean Machi,51,3,0,1.09,2.38,SF,490500
Tyler Lyons,12,2,0,1.23,4.76,STL,490000
Clayton Richard,14,2,0,1.63,7.01,SD,5240000
James Russell,74,1,0,1.22,3.59,CHC,1075000
Will Harris,61,4,0,1.23,2.91,ARI,490000
Casey Janssen,55,4,33,1.0,2.6,TOR,3900000
Oliver Perez,60,3,2,1.41,3.83,SEA,1500000
Taylor Jordan,9,1,0,1.36,3.66,WSH,490000
Scott Rice,73,4,0,1.35,3.71,NYM,535000
Preston Claiborne,44,0,0,1.29,4.11,NYY,490000
Santiago Casilla,57,7,2,1.28,2.16,SF,4500000
Bobby Parnell,49,5,22,1.0,2.16,NYM,1700000
Brian Matusz,64,2,0,1.19,3.62,BAL,1600000
Carlos Marmol,52,2,2,1.63,4.41,LAD,9800000
Alberto Alburquerque,53,4,0,1.49,4.59,DET,500000
Vance Worley,10,1,0,1.99,7.21,MIN,525000
Yusmeiro Petit,8,4,0,1.19,3.56,SF,490000
Aaron Crow,57,7,1,1.48,3.38,KC,1280000
Kevin Gausman,20,3,0,1.34,5.66,BAL,490000
Liam Hendriks,10,1,0,1.71,6.85,MIN,500000
Jordan Walden,50,4,1,1.13,3.45,ATL,541500
Justin De Fratus,58,3,0,1.5,3.86,PHI,490000
Blake Parker,49,1,1,1.16,2.72,CHC,490000
Nick Vincent,45,6,1,0.95,2.14,SD,492200
Caleb Thielbar,49,3,0,0.83,1.76,MIN,490000
Brett Anderson,16,1,3,1.61,6.05,OAK,5750000
Joe Ortiz,32,2,0,1.25,4.23,TEX,490000
Chad Bettis,17,1,0,1.68,5.64,COL,490000
Josh Beckett,8,0,0,1.5,5.19,LAD,17000000
Scott Downs,68,4,0,1.48,2.49,ATL,5000000
Matt Thornton,59,0,0,1.38,3.59,BOS,5500000
Matt Guerrier,49,4,0,1.41,4.01,CHC,4750000
Antonio Bastardo,48,3,2,1.27,2.32,PHI,1400000
Joba Chamberlain,45,2,1,1.74,4.93,NYY,2150000
Anthony Bass,24,0,0,1.69,5.36,SD,503600
Brandon Workman,20,6,0,1.42,4.97,BOS,490000
Dan Jennings,47,2,0,1.35,3.76,MIA,490000
Pat Neshek,45,2,0,1.36,3.35,OAK,975000
Zack Britton,8,2,0,1.73,4.95,BAL,490000
Ethan Martin,15,2,0,1.7,6.08,PHI,490000
Kevin Siegrist,45,3,0,0.88,0.45,STL,490000
Javier Lopez,69,4,1,1.07,1.83,SF,4250000
Joe Thatcher,72,3,0,1.27,3.2,ARI,1350000
Boone Logan,61,5,0,1.18,3.23,NYY,3150000
Dan Otero,33,2,0,1.23,1.39,OAK,490000
Daisuke Matsuzaka,7,3,0,1.24,4.42,NYM,490000
Jose Alvarez,14,1,0,1.5,5.82,DET,490000
Phil Coke,49,0,1,1.67,5.4,DET,1850000
Blake Beavan,12,0,0,1.2,5.4,SEA,506700
Jake Diekman,45,1,0,1.3,2.58,PHI,490000
Neil Wagner,36,2,0,1.37,3.79,TOR,490000
Josh Fields,42,1,5,1.29,4.97,HOU,490000
Tony Sipp,56,3,0,1.51,4.78,ARI,1275000
David Huff,14,3,0,1.12,5.5,NYY,493600
Lucas Luetge,35,1,0,1.57,4.87,SEA,495500
Hector Ambriz,43,2,2,1.76,5.7,HOU,493400
Burch Smith,10,1,0,1.65,6.44,SD,490000
Kevin Jepsen,45,1,0,1.53,4.5,LAA,1181250
Ryan Mattheus,37,0,0,1.9,6.37,WSH,504500
Darin Downs,29,0,0,1.33,4.84,DET,494000
Raul Valdes,17,1,0,1.43,7.46,PHI,505000
Chris Withrow,26,3,1,0.95,2.6,LAD,490000
J.J. Putz,40,3,6,1.25,2.36,ARI,6500000
Gonzalez Germen,29,1,1,1.4,3.93,NYM,490000
Will Smith,19,2,0,0.93,3.24,KC,496500
Chad Jenkins,10,1,0,1.11,2.7,TOR,490000
Rob Scahill,23,1,0,1.47,5.13,COL,490000
Jared Hughes,29,2,0,1.66,4.78,PIT,504500
Brad Lincoln,22,1,0,1.58,3.98,TOR,490000
