Jugador,Valor_contrato_2012,Valor_promedio_contrato_2012,Porcetnaje_juegos_2012,RBI_2012,Porcentaje_bateo_2012,OPS_2012,Equipo_2012,Sueldo_2012
Albert Pujols,240000000,24000000,0.951,105,0.285,0.859,LAA,12000000
Prince Fielder,214000000,23777778,1.0,108,0.313,0.94,DET,23150000
Jose Reyes,106000000,17666667,0.988,57,0.287,0.78,MIA,10000000
C.J. Wilson,77500000,15500000,0.21,0,0.0,0.167,LAA,10550000
Mark Buehrle,58000000,14500000,0.191,1,0.045,0.104,MIA,7000000
Aramis Ramirez,36000000,12000000,0.92,105,0.3,0.901,MIL,6000000
Michael Cuddyer,31500000,10500000,0.624,58,0.26,0.806,COL,10500000
Carlos Beltran,26000000,13000000,0.932,97,0.269,0.842,STL,13050000
Josh Willingham,21000000,7000000,0.895,110,0.26,0.89,MIN,7000000
Coco Crisp,14000000,7000000,0.741,46,0.259,0.742,OAK,6000000
Rafael Furcal,14000000,7000000,0.747,49,0.264,0.671,STL,6500000
Aaron Harang,12000000,6000000,0.191,2,0.071,0.161,LAD,3000000
Aaron Hill,11000000,5500000,0.963,85,0.302,0.882,ARI,5500000
Edwin Jackson,11000000,11000000,0.21,0,0.228,0.495,WSH,11000000
Clint Barmes,10500000,5250000,0.889,45,0.229,0.593,PIT,5000000
Chris Capuano,10000000,5000000,0.21,3,0.093,0.237,LAD,3375000
David DeJesus,10000000,5000000,0.914,50,0.263,0.753,CHC,4250000
Mark Ellis,8750000,4375000,0.679,31,0.258,0.697,LAD,2500000
Omar Infante,8000000,4000000,0.92,53,0.274,0.719,DET,2142076
Carlos Pena,7250000,7250000,0.988,61,0.197,0.684,TB,7250000
Alex Gonzalez,4250000,4250000,0.148,15,0.259,0.783,MIL,3500000
Ramon Santiago,4000000,2000000,0.574,17,0.206,0.555,DET,2100000
Chien-Ming Wang,4000000,4000000,0.062,0,0.167,0.619,WSH,4000000
Willie Bloomquist,3800000,1900000,0.494,23,0.303,0.724,ARI,1900000
Ryan Ludwick,3000000,3000000,0.772,80,0.275,0.877,CIN,2450000
Cody Ross,3000000,3000000,0.803,81,0.267,0.807,BOS,3000000
Greg Dobbs,3000000,1500000,0.741,39,0.285,0.698,MIA,1400000
Jose Molina,1800000,1800000,0.63,32,0.223,0.64,TB,1500000
Endy Chavez,1500000,1500000,0.395,12,0.203,0.515,BAL,1500000
Ronny Cedeno,1150000,1150000,0.482,22,0.259,0.741,NYM,1150000
Reed Johnson,1150000,1150000,0.735,20,0.29,0.735,CHC,1150000
Raul Ibanez,1100000,1100000,0.803,62,0.24,0.761,NYY,1100000
Scott Hairston,1100000,1100000,0.827,57,0.263,0.803,NYM,1100000
Jonny Gomes,1000000,1000000,0.611,47,0.262,0.868,OAK,1000000
Dan Johnson,900000,900000,0.086,6,0.364,1.367,CHW,900000
Jamey Wright,900000,900000,0.407,0,0.0,0.0,LAD,900000
Eric Chavez,900000,900000,0.698,37,0.281,0.845,NYY,1800000
Zach Duke,900000,900000,0.049,0,0.0,0.0,WSH,900000
Chris Young,900000,900000,0.624,41,0.231,0.745,ARI,7200000
Chris Young,900000,900000,0.624,41,0.231,0.745,NYM,900000
Chris Young,900000,900000,0.124,2,0.129,0.35,ARI,7200000
Chris Young,900000,900000,0.124,2,0.129,0.35,NYM,900000
Dioner Navarro,800000,800000,0.148,12,0.29,0.755,CIN,800000
Xavier Nady,700000,700000,0.364,13,0.184,0.569,SF,700000
Brad Penny,500000,500000,0.136,0,0.0,0.0,SF,500000
Bobby Abreu,401311,401311,0.617,48,0.242,0.693,LAA,8598689
Bobby Abreu,401311,401311,0.617,48,0.242,0.693,LAD,480000
Hiroki Kuroda,0,0,0.204,0,0.0,0.0,NYY,10000000
Wil Nieves,0,0,0.198,8,0.301,0.739,ARI,800000
