"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","David Robertson","RP","PHI","10.00","0.36","0.00","0.00","0.17","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","14.23","$10,000,000",""
"","Jose Alvarado","RP","PHI","10.00","0.36","0.00","0.00","0.17","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","8.73","$3,500,000",""
"","Michael Harris","CF","ATL","10.00","0.70","10.00","0.70","36.32","10.79","2.37","0.26","1.67","5.61","0.297","0.339","0.514","0.853","8.60","$5,000,000",""
"","Jake McCarthy","OF","ARI","10.00","0.61","8.28","0.51","32.42","9.19","1.62","0.30","0.81","4.34","0.284","0.342","0.427","0.769","8.54","$0",""
"","Adley Rutschman","C","BAL","10.00","0.70","9.47","0.66","35.22","8.94","3.10","0.09","1.15","3.72","0.254","0.362","0.445","0.806","8.28","$0",""
"","Bryce Harper","DH","PHI","10.00","0.61","9.90","0.60","37.37","10.71","2.83","0.10","1.82","6.57","0.287","0.364","0.514","0.877","7.70","$26,000,000",""
"","Julio Rodriguez","CF","SEA","10.00","0.81","9.92","0.81","38.71","10.98","1.89","0.23","2.12","5.68","0.284","0.345","0.509","0.853","7.48","$19,300,000",""
"","Mike Trout","CF","LAA","10.00","0.73","9.83","0.72","36.81","10.42","2.35","0.17","3.36","6.72","0.283","0.369","0.630","0.999","7.48","$35,450,000",""
"","Yordan Alvarez","DH","HOU","10.00","0.83","9.85","0.82","34.81","10.67","2.15","0.15","2.74","7.19","0.306","0.406","0.613","1.019","7.40","$12,000,000",""
"","Willson Contreras","C","CHC","10.00","0.70","9.82","0.69","36.81","8.94","2.04","0.18","1.95","4.87","0.243","0.349","0.466","0.815","7.32","$10,000,000",""
"","Jorge Polanco","2B","MIN","10.00","0.64","9.90","0.64","36.06","8.46","1.54","0.00","1.54","5.38","0.235","0.346","0.405","0.751","7.22","$7,500,000",""
"","Jon Berti","3B","MIA","10.00","0.63","9.02","0.57","35.10","8.43","1.67","0.29","0.39","2.75","0.240","0.324","0.338","0.662","7.02","$2,100,000",""
"","Albert Pujols","DH","STL","10.00","0.67","7.34","0.49","28.17","7.61","1.28","0.00","2.20","6.24","0.270","0.346","0.550","0.896","6.92","$0",""
"","Lars Nootbaar","OF","STL","10.00","0.67","7.59","0.51","26.85","6.11","1.48","0.28","1.30","3.70","0.228","0.340","0.448","0.788","6.89","$0",""
"","Taylor Ward","RF","LAA","10.00","0.83","9.63","0.80","36.67","10.30","1.63","0.15","1.70","4.81","0.281","0.360","0.473","0.833","6.84","$2,750,000",""
"","Will Smith","C","LAD","10.00","0.85","9.49","0.80","37.08","9.64","1.90","0.22","1.75","6.35","0.260","0.343","0.465","0.807","6.82","$5,250,000",""
"","Andres Gimenez","2B","CLE","10.00","0.90","9.18","0.83","33.63","10.00","1.78","0.21","1.16","4.73","0.297","0.371","0.466","0.837","6.74","$0",""
"","Paul Goldschmidt","1B","STL","10.00","0.93","9.93","0.93","37.15","11.79","2.72","0.00","2.32","7.62","0.317","0.404","0.578","0.981","6.54","$26,000,000",""
"","Tyler O'Neill","LF","STL","10.00","0.59","9.17","0.54","34.79","7.92","1.15","0.10","1.46","6.04","0.228","0.309","0.392","0.701","6.51","$4,950,000",""
"","Kyle Tucker","RF","HOU","10.00","0.93","9.87","0.91","36.27","9.33","1.87","0.07","2.00","7.13","0.257","0.330","0.478","0.808","6.48","$5,000,000",""
"","Jose Altuve","2B","HOU","10.00","0.87","9.72","0.85","37.38","11.21","2.77","0.00","1.99","4.04","0.300","0.387","0.533","0.921","6.47","$26,000,000",""
"","Cal Raleigh","C","SEA","10.00","0.73","8.40","0.62","31.09","6.55","1.68","0.08","2.27","5.29","0.211","0.284","0.489","0.774","6.47","$0",""
"","Rafael Devers","3B","BOS","10.00","0.87","9.93","0.86","39.36","11.63","2.98","0.07","1.91","6.24","0.296","0.358","0.521","0.879","6.46","$22,500,000",""
"","Brendan Donovan","LF","STL","10.00","0.78","8.57","0.67","31.03","8.73","1.67","0.08","0.40","3.57","0.281","0.394","0.379","0.773","6.43","$0",""
"","Ronald Acuna Jr.","RF","ATL","10.00","0.73","9.66","0.71","39.24","10.42","2.02","0.00","1.26","4.20","0.266","0.352","0.413","0.765","6.39","$17,000,000",""
"","Willy Adames","SS","MIL","10.00","0.86","9.93","0.85","40.50","9.64","2.23","0.00","2.23","7.05","0.238","0.298","0.458","0.756","6.37","$8,700,000",""
"","Aaron Judge","CF","NYY","10.00","0.97","9.75","0.94","36.31","11.27","1.78","0.00","3.95","8.34","0.311","0.425","0.686","1.111","6.37","$40,000,000",""
"","Steven Kwan","LF","CLE","10.00","0.91","9.46","0.86","38.30","11.43","1.70","0.48","0.41","3.54","0.298","0.373","0.400","0.772","6.34","$0",""
"","Yandy Diaz","3B","TB","10.00","0.85","9.20","0.78","34.53","10.22","2.41","0.00","0.66","4.16","0.296","0.401","0.423","0.824","6.34","$6,000,000",""
"","Josh Rojas","3B","ARI","10.00","0.77","9.20","0.71","35.44","9.60","2.08","0.08","0.72","4.48","0.271","0.351","0.395","0.746","6.33","$2,575,000",""
"","Shohei Ohtani","SP","LAA","10.00","0.97","9.75","0.94","37.32","10.19","1.91","0.38","2.17","6.05","0.273","0.356","0.519","0.875","6.32","$30,000,000",""
"","Mookie Betts","RF","LAD","10.00","0.88","9.72","0.85","40.28","10.85","2.82","0.21","2.46","5.77","0.269","0.340","0.533","0.873","6.29","$17,000,000",""
"","Dylan Moore","2B","SEA","10.00","0.64","6.15","0.40","19.71","4.42","1.06","0.19","0.58","2.31","0.224","0.368","0.385","0.753","6.28","$2,250,000",""
"","Travis d'Arnaud","C","ATL","10.00","0.66","9.72","0.64","37.01","9.91","2.34","0.09","1.68","5.61","0.268","0.319","0.472","0.791","6.26","$8,000,000",""
"","Austin Riley","3B","ATL","10.00","0.98","9.94","0.98","38.68","10.57","2.45","0.13","2.39","5.85","0.273","0.349","0.528","0.878","6.20","$15,000,000",""
"","Brandon Drury","3B","SD","10.00","0.85","9.49","0.81","37.54","9.86","2.25","0.14","2.03","6.30","0.263","0.320","0.492","0.813","6.18","$8,500,000",""
"","Starling Marte","RF","NYM","10.00","0.73","9.83","0.72","39.49","11.53","2.03","0.42","1.36","5.34","0.292","0.347","0.468","0.814","6.12","$22,000,000",""
"","J.T. Realmuto","C","PHI","10.00","0.86","9.50","0.81","36.26","10.00","1.87","0.36","1.58","6.04","0.276","0.342","0.478","0.820","6.01","$23,875,000",""
"","Tommy Edman","SS","STL","10.00","0.94","9.28","0.88","37.71","10.00","2.03","0.26","0.85","3.73","0.265","0.324","0.400","0.725","5.99","$4,200,000",""
"","Alejandro Kirk","C","TOR","10.00","0.86","8.85","0.76","33.81","9.64","1.37","0.00","1.01","4.53","0.285","0.372","0.415","0.786","5.99","$0",""
"","Jeff McNeil","2B","NYM","10.00","0.91","9.59","0.88","36.01","11.76","2.64","0.07","0.61","4.19","0.327","0.382","0.454","0.836","5.96","$6,250,000",""
"","Daulton Varsho","CF","ARI","10.00","0.93","9.01","0.84","35.17","8.28","1.52","0.20","1.79","4.90","0.235","0.302","0.443","0.745","5.95","$3,050,000",""
"","Luis Robert","CF","CHW","10.00","0.60","9.39","0.57","38.78","11.02","1.84","0.00","1.22","5.71","0.284","0.319","0.426","0.746","5.92","$9,500,000",""
"","Pete Alonso","1B","NYM","10.00","0.99","10.00","0.99","37.31","10.13","1.69","0.00","2.50","8.19","0.271","0.352","0.518","0.870","5.91","$14,500,000",""
"","Manny Machado","3B","SD","10.00","0.93","9.87","0.91","38.53","11.47","2.47","0.07","2.13","6.80","0.298","0.367","0.531","0.898","5.91","$30,000,000",""
"","Freddie Freeman","1B","LAD","10.00","0.98","10.00","0.98","38.49","12.52","2.96","0.13","1.32","6.29","0.325","0.407","0.511","0.918","5.88","$20,000,000",""
"","Randy Arozarena","LF","TB","10.00","0.94","9.80","0.93","38.30","10.07","2.68","0.20","1.31","5.82","0.263","0.327","0.445","0.773","5.85","$4,150,000",""
"","Jose Ramirez","3B","CLE","10.00","0.97","10.00","0.97","38.28","10.70","2.80","0.32","1.85","8.03","0.280","0.356","0.514","0.870","5.85","$14,000,000",""
"","Isaac Paredes","3B","TB","10.00","0.69","7.93","0.54","29.82","6.13","1.44","0.00","1.80","4.05","0.205","0.305","0.435","0.740","5.85","$0",""
"","Ty France","1B","SEA","10.00","0.86","9.86","0.85","39.36","10.86","1.93","0.07","1.43","6.00","0.276","0.340","0.437","0.777","5.84","$4,100,000",""
"","Nico Hoerner","SS","CHC","10.00","0.83","9.56","0.80","35.63","10.00","1.63","0.37","0.74","4.07","0.281","0.327","0.410","0.736","5.84","$2,525,000",""
