"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Will Smith","C","LAD","10.00","0.62","9.19","0.57","30.81","8.92","2.43","0.00","2.16","6.76","0.290","0.402","0.579","0.980","25.77","$5,250,000",""
"","Salvador Perez","C","KC","10.00","0.62","10.00","0.62","40.54","13.51","3.24","0.00","2.97","8.65","0.333","0.353","0.633","0.986","25.60","$20,000,000",""
"","Anthony Santander","LF","BAL","10.00","0.62","10.00","0.62","41.35","10.81","3.51","0.27","2.97","8.65","0.261","0.315","0.575","0.890","25.42","$7,400,000",""
"","Dylan Moore","SS","SEA","10.00","0.63","9.47","0.60","36.05","9.21","2.37","0.00","2.11","4.47","0.256","0.359","0.496","0.855","25.36","$2,250,000",""
"","Jackson Frazier","OF","NYY","10.00","0.65","10.00","0.65","33.59","8.97","1.54","0.26","2.05","6.67","0.267","0.394","0.511","0.905","24.51","$0",""
"","Rhys Hoskins","1B","PHI","10.00","0.68","10.00","0.68","36.83","9.02","2.20","0.00","2.44","6.34","0.245","0.384","0.503","0.887","22.59","$12,000,000",""
"","Willi Castro","SS","DET","10.00","0.62","9.72","0.60","35.83","12.50","1.11","0.56","1.67","6.67","0.349","0.381","0.550","0.932","22.26","$0",""
"","Michael Brosseau","3B","TB","10.00","0.62","6.22","0.38","23.24","7.03","1.35","0.27","1.35","3.24","0.302","0.378","0.558","0.936","21.89","$1,400,000",""
"","Byron Buxton","CF","MIN","10.00","0.65","8.97","0.58","33.33","8.46","0.77","0.00","3.33","6.92","0.254","0.267","0.577","0.844","21.77","$15,000,000",""
"","Matt Chapman","3B","OAK","10.00","0.62","10.00","0.62","38.38","8.92","2.43","0.54","2.70","6.76","0.232","0.276","0.535","0.812","21.70","$12,000,000",""
"","Jose Iglesias","SS","BAL","10.00","0.65","8.97","0.58","36.41","13.59","4.36","0.00","0.77","6.15","0.373","0.400","0.556","0.956","21.68","$0",""
"","Miguel Rojas","SS","MIA","10.00","0.67","9.75","0.65","31.25","9.50","2.50","0.25","1.00","5.00","0.304","0.392","0.496","0.888","21.48","$5,000,000",""
"","Ronald Acuna Jr.","RF","ATL","10.00","0.77","10.00","0.77","34.78","8.70","2.39","0.00","3.04","6.30","0.250","0.406","0.581","0.987","21.44","$17,000,000",""
"","Juan Soto","LF","WSH","10.00","0.78","10.00","0.78","32.77","11.49","2.98","0.00","2.77","7.87","0.351","0.490","0.695","1.185","21.27","$23,000,000",""
"","Giovanny Urshela","3B","NYY","10.00","0.72","9.77","0.70","35.12","10.47","2.56","0.00","1.40","6.98","0.298","0.370","0.490","0.860","20.93","$8,400,000",""
"","Mitch Moreland","1B","SD","10.00","0.70","8.57","0.60","32.38","8.57","2.14","0.00","2.38","6.90","0.265","0.342","0.551","0.894","19.88","$0",""
"","Dominic Smith","1B","NYM","10.00","0.83","9.60","0.80","35.40","11.20","4.20","0.20","2.00","8.40","0.316","0.377","0.616","0.993","19.43","$2,000,000",""
"","Jon Berti","2B","MIA","10.00","0.65","8.97","0.58","30.77","7.95","1.28","0.00","0.51","3.59","0.258","0.388","0.350","0.738","19.28","$2,100,000",""
"","Teoscar Hernandez","DH","TOR","10.00","0.83","9.40","0.78","38.00","11.00","1.40","0.00","3.20","6.80","0.290","0.340","0.579","0.919","18.91","$14,000,000",""
"","Mike Yastrzemski","RF","SF","10.00","0.90","9.63","0.87","35.56","10.56","2.59","0.74","1.85","6.48","0.297","0.400","0.568","0.968","18.32","$6,100,000",""
"","Corey Seager","SS","LAD","10.00","0.87","10.00","0.87","40.77","12.50","2.31","0.19","2.88","7.88","0.307","0.358","0.585","0.943","18.21","$35,000,000",""
"","Alec Bohm","3B","PHI","10.00","0.73","10.00","0.73","36.36","12.27","2.50","0.00","0.91","5.23","0.338","0.400","0.481","0.881","18.15","$0",""
"","Brandon Belt","1B","SF","10.00","0.85","8.04","0.68","29.22","9.02","2.55","0.20","1.76","5.88","0.309","0.425","0.591","1.015","17.48","$9,300,000",""
"","Tim Hill","RP","SD","10.00","0.38","0.00","0.00","0.43","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","17.47","$1,850,000",""
"","Travis d'Arnaud","C","ATL","10.00","0.73","8.86","0.65","37.50","12.05","1.82","0.00","2.05","7.73","0.321","0.386","0.533","0.919","17.45","$8,000,000",""
"","Michael Conforto","RF","NYM","10.00","0.90","9.81","0.88","37.41","12.04","2.22","0.00","1.67","5.74","0.322","0.412","0.515","0.927","17.33","$18,000,000",""
"","Luke Voit","1B","NYY","10.00","0.93","9.82","0.92","38.04","10.54","0.89","0.00","3.93","9.29","0.277","0.338","0.610","0.948","17.24","$0",""
"","Brandon Lowe","2B","TB","10.00","0.93","8.75","0.82","34.46","9.29","1.61","0.36","2.50","6.61","0.269","0.362","0.554","0.916","17.08","$5,250,000",""
