"Rank","Player","Pos","Team","GP","GP%","GS","GS%","AB","H","2B","3B","HR","RBI","AVG","OBP","SLG","OPS","TVS","Cash2023",""
"","Alek Manoah","SP","TOR","10.00","0.12","10.00","0.12","0.50","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","44.78","$0",""
"","Jack Flaherty","SP","STL","10.00","0.10","8.82","0.09","10.00","1.18","0.00","0.00","0.59","1.76","0.118","0.304","0.294","0.598","43.93","$5,400,000",""
"","Patrick Sandoval","SP","LAA","10.00","0.10","8.24","0.09","2.35","0.59","0.00","0.00","0.00","0.00","0.250","0.250","0.250","0.500","42.82","$2,750,000",""
"","Carlos Rodon","SP","CHW","10.00","0.15","10.00","0.15","1.25","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","40.86","$27,000,000",""
"","Jose Urquidy","SP","HOU","10.00","0.12","10.00","0.12","2.00","0.50","0.00","0.00","0.00","0.00","0.250","0.250","0.250","0.500","40.42","$3,025,000",""
"","Framber Valdez","SP","HOU","10.00","0.14","10.00","0.14","1.82","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","39.89","$6,800,000",""
"","Pablo Lopez","SP","MIA","10.00","0.13","9.52","0.12","15.71","0.95","0.95","0.00","0.00","0.00","0.061","0.061","0.121","0.182","38.24","$5,450,000",""
"","Tanner Houck","SP","BOS","10.00","0.11","7.22","0.08","0.56","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","36.77","$0",""
"","Corbin Burnes","SP","MIL","10.00","0.17","10.00","0.17","18.57","2.86","0.00","0.00","0.00","1.43","0.154","0.200","0.154","0.354","35.56","$10,010,000",""
"","Trevor Rogers","SP","MIA","10.00","0.16","9.62","0.15","16.54","1.15","0.00","0.00","0.00","0.00","0.070","0.091","0.070","0.161","35.05","$0",""
"","Logan Webb","SP","SF","10.00","0.17","9.29","0.16","16.43","2.14","0.71","0.36","0.36","2.50","0.130","0.167","0.283","0.449","34.39","$4,600,000",""
"","Ian Anderson","SP","ATL","10.00","0.15","10.00","0.15","15.42","0.83","0.42","0.00","0.00","0.00","0.054","0.079","0.081","0.160","34.29","$0",""
"","Chris Bassitt","SP","OAK","10.00","0.17","10.00","0.17","0.74","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","33.77","$21,000,000",""
"","Lance Lynn","SP","CHW","10.00","0.17","10.00","0.17","1.79","0.36","0.00","0.00","0.00","0.71","0.200","0.200","0.200","0.400","33.14","$18,500,000",""
"","Brandon Woodruff","SP","MIL","10.00","0.19","10.00","0.19","17.33","2.00","0.00","0.00","0.00","0.67","0.115","0.164","0.115","0.279","32.71","$10,800,000",""
"","John Means","SP","BAL","10.00","0.16","10.00","0.16","1.92","0.38","0.38","0.00","0.00","0.00","0.200","0.200","0.400","0.600","31.93","$2,975,000",""
"","Freddy Peralta","SP","MIL","10.00","0.18","9.31","0.17","14.83","1.38","0.00","0.00","0.00","0.00","0.093","0.114","0.093","0.207","31.71","$3,500,000",""
"","Alex Cobb","SP","LAA","10.00","0.11","10.00","0.11","0.56","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","31.70","$9,000,000",""
"","Eric Lauer","SP","MIL","10.00","0.16","7.69","0.12","10.00","1.54","0.00","0.00","0.38","1.54","0.154","0.258","0.269","0.527","31.15","$5,075,000",""
"","Wily Peralta","SP","DET","10.00","0.12","9.47","0.11","0.53","0.00","0.00","0.00","0.00","0.00","0.000","0.500","0.000","0.500","31.05","$0",""
"","Nestor Cortes","SP","NYY","10.00","0.14","6.09","0.09","0.43","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","30.67","$3,200,000",""
"","Julio Urias","SP","LAD","10.00","0.20","10.00","0.20","18.44","3.75","0.63","0.00","0.00","2.81","0.203","0.217","0.237","0.454","30.61","$14,250,000",""
"","Zach Eflin","SP","PHI","10.00","0.11","10.00","0.11","16.11","0.00","0.00","0.00","0.00","0.56","0.000","0.065","0.000","0.065","30.36","$11,000,000",""
"","Max Fried","SP","ATL","10.00","0.20","8.75","0.17","17.19","4.69","0.94","0.00","0.00","1.56","0.273","0.322","0.327","0.649","30.04","$13,500,000",""
"","Wade Miley","SP","CIN","10.00","0.19","9.33","0.17","18.00","3.33","1.00","0.00","0.00","1.00","0.185","0.228","0.241","0.469","30.00","$3,500,000",""
"","Robbie Ray","SP","TOR","10.00","0.20","10.00","0.20","1.25","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","29.53","$21,000,000",""
"","Walker Buehler","SP","LAD","10.00","0.21","9.71","0.20","20.29","2.06","0.59","0.00","0.00","0.88","0.101","0.162","0.130","0.293","29.23","$8,025,000",""
"","Adrian Houser","SP","MIL","10.00","0.17","9.29","0.16","15.00","1.07","0.00","0.00","0.71","0.71","0.071","0.114","0.214","0.328","29.12","$3,600,000",""
"","Zack Wheeler","SP","PHI","10.00","0.20","9.70","0.20","20.61","3.33","0.61","0.00","0.00","0.91","0.162","0.162","0.191","0.353","28.96","$24,500,000",""
"","Jose Suarez","SP","LAA","10.00","0.14","6.09","0.09","0.43","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","28.46","$0",""
"","Sandy Alcantara","SP","MIA","10.00","0.20","10.00","0.20","17.58","0.61","0.30","0.00","0.00","0.00","0.035","0.097","0.052","0.148","28.04","$6,000,000",""
"","Lucas Giolito","SP","CHW","10.00","0.19","10.00","0.19","1.29","0.32","0.00","0.00","0.00","0.00","0.250","0.250","0.250","0.500","27.89","$10,400,000",""
"","Frankie Montas","SP","OAK","10.00","0.20","10.00","0.20","1.25","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","27.55","$7,500,000",""
"","Chris Flexen","SP","SEA","10.00","0.19","10.00","0.19","0.97","0.00","0.00","0.00","0.00","0.00","0.000","0.000","0.000","0.000","27.18","$8,000,000",""
"","Tyler Mahle","SP","CIN","10.00","0.20","10.00","0.20","16.67","0.91","0.00","0.00","0.00","0.30","0.055","0.119","0.055","0.173","26.97","$7,500,000",""
"","Adam Wainwright","SP","STL","10.00","0.21","9.41","0.20","16.76","2.06","0.59","0.00","0.00","1.18","0.123","0.167","0.158","0.325","26.95","$7,500,000",""
