Jugador,Juegos,Wins,Saves,WHIP,ERA,Equipo,Sueldo,Agente libre
Yovani Gallardo,28,5,1,1.51,5.72,SEA,11000000,No
Mike Montgomery,44,7,3,1.2,3.17,CHC,570500,No
Blake Snell,24,5,0,1.33,4.04,TB,545000,No
Jharel Cotton,24,9,0,1.44,5.65,OAK,535000,No
Jerad Eickhoff,24,4,0,1.52,4.64,PHI,552000,No
Hyun-Jin Ryu,25,5,1,1.37,3.77,LAD,7833333,No
Matt Cain,27,3,0,1.66,5.43,SF,20833334,No
Adam Wainwright,26,12,0,1.5,5.11,STL,19500000,No
Tim Adleman,30,5,0,1.43,5.52,CIN,535000,No
Parker Bridwell,21,10,0,1.2,3.65,LAA,535000,No
Mike Pelfrey,34,3,0,1.58,5.93,CHW,535000,No
Robert Gsellman,27,8,0,1.51,5.19,NYM,541750,No
Joseph Biagini,44,3,1,1.4,5.34,TOR,535000,No
Rafael Montero,34,5,0,1.74,5.45,NYM,541400,No
Lance McCullers,22,7,0,1.3,4.25,HOU,548000,No
James Shields,21,5,0,1.44,5.23,CHW,21000000,No
Matt Garza,24,6,0,1.45,4.95,MIL,12500000,No
Dinelson Lamet,21,7,0,1.24,4.57,SD,535000,No
Scott Feldman,21,7,0,1.36,4.77,CIN,3000000,Si
Nick Martinez,23,3,0,1.37,5.66,TEX,540590,No
Madison Bumgarner,17,4,0,1.09,3.32,SF,12200000,No
Jon Gray,20,10,0,1.3,3.67,COL,540000,No
Joe Musgrove,38,7,2,1.33,4.77,HOU,543400,No
Anibal Sanchez,28,3,0,1.6,6.41,DET,16800000,No
Kendall Graveman,19,6,0,1.39,4.19,OAK,545000,No
Adam Conley,22,8,0,1.52,6.14,MIA,537500,No
Daniel Norris,22,5,0,1.61,5.31,DET,545500,No
Seth Lugo,20,7,0,1.37,4.71,NYM,543500,No
Sean Newcomb,19,4,0,1.57,4.32,ATL,535000,No
Jeff Hoffman,23,6,0,1.47,5.89,COL,535000,No
Jake Junis,20,9,0,1.29,4.58,KC,535000,No
Adalberto Mejia,21,4,0,1.57,4.5,MIN,535000,No
Francisco Liriano,38,6,0,1.63,5.66,HOU,13666668,No
Michael Pineda,17,8,0,1.29,4.39,NYY,7400000,No
Chris Tillman,24,1,0,1.89,7.84,BAL,10050000,No
Brandon McCarthy,19,6,0,1.25,3.98,LAD,11500000,No
Matt Harvey,19,5,0,1.69,6.41,NYM,5125000,No
Edinson Volquez,17,4,0,1.42,4.19,MIA,9000000,Si
Yusmeiro Petit,60,5,4,0.95,2.76,LAA,2250000,No
Daniel Gossett,18,4,0,1.61,6.11,OAK,535000,No
Homer Bailey,18,6,0,1.69,6.43,CIN,19000000,No
Mark Leiter Jr.,27,3,0,1.34,4.96,PHI,535000,No
Doug Fister,18,5,0,1.39,5.18,BOS,2200000,No
Luis Castillo,15,3,0,1.08,3.12,CIN,535000,No
Ben Lively,15,4,0,1.27,4.26,PHI,535000,No
Sal Romano,16,5,0,1.47,4.45,CIN,535000,No
Felix Hernandez,16,6,0,1.29,4.36,SEA,26857142,No
Jacob Faria,16,5,0,1.18,3.43,TB,535000,No
Zack Wheeler,18,3,0,1.59,5.21,NYM,800000,No
Matt Andriese,18,5,1,1.37,4.5,TB,535000,No
Tyler Anderson,17,6,0,1.33,4.81,COL,540000,No
Tyler Skaggs,16,2,0,1.39,4.55,LAA,555000,No
Chris Rusin,60,5,2,1.11,2.65,COL,545000,No
Robert Stephenson,26,5,1,1.58,4.68,CIN,535000,No
Trevor Cahill,21,4,0,1.62,4.93,KC,1750000,Si
Michael Lorenzen,73,8,2,1.35,4.45,CIN,555000,No
Austin Pruitt,31,7,1,1.51,5.31,TB,535000,No
Alexander Claudio,70,4,11,1.04,2.5,TEX,545050,No
Brent Suter,23,3,0,1.29,3.42,MIL,535000,No
Chris Devenski,62,8,4,0.94,2.68,HOU,554500,No
Craig Stammen,60,2,0,1.2,3.14,SD,900000,No
Brad Hand,72,3,21,0.93,2.16,SD,1375000,No
Mychal Givens,69,8,0,1.04,3.09,BAL,546000,No
Dustin McGowan,63,8,0,1.34,4.75,MIA,1750000,Si
Mike Minor,65,6,6,1.02,2.55,KC,4000000,No
Matt Shoemaker,14,6,0,1.3,4.52,LAA,3325000,No
Ryan Tepera,73,7,2,1.13,3.59,TOR,542700,No
Anthony Swarzak,70,6,2,1.03,2.33,MIL,900000,No
A.J. Griffin,18,6,0,1.35,5.94,TEX,2000000,No
Edwin Jackson,22,5,0,1.51,5.21,WSH,1000000,Si
Addison Reed,77,2,19,1.05,2.84,BOS,7750000,No
Raisel Iglesias,63,3,28,1.11,2.49,CIN,4214285,No
Blake Treinen,72,3,16,1.39,3.93,OAK,563700,No
Corey Knebel,76,1,39,1.16,1.78,MIL,538900,No
Felipe Vazquez,73,5,21,0.88,1.55,PIT,564500,No
David Price,16,6,0,1.19,3.38,BOS,30000000,No
Hector Neris,74,4,26,1.26,3.01,PHI,557500,No
Blake Wood,72,3,0,1.57,5.45,LAA,1275000,No
Ross Stripling,51,3,2,1.18,3.75,LAD,540000,No
Sam Gaviglio,16,4,0,1.37,4.36,KC,535000,No
Joe Ross,20,5,0,1.45,5.01,WSH,551000,No
Archie Bradley,63,3,1,1.04,1.73,ARI,544100,No
Carlos Torres,67,4,1,1.53,4.21,MIL,2175000,No
Tom Koehler,27,1,0,1.62,6.19,TOR,5750000,No
Juan Nicasio,76,5,6,1.08,2.61,STL,3650000,No
Vincent Velasquez,16,2,0,1.5,5.13,PHI,547000,No
Jacob Barnes,73,3,2,1.25,4.0,MIL,537700,No
Vance Worley,26,2,1,1.8,6.91,MIA,535000,No
Brandon Kintzler,72,4,29,1.15,3.03,WSH,2925000,No
Luis Garcia,66,2,2,1.22,2.65,PHI,535000,No
Bronson Arroyo,15,3,0,1.59,7.35,CIN,535000,No
Tyler Duffey,56,2,1,1.37,4.94,MIN,542500,No
Amir Garrett,16,3,0,1.61,7.39,CIN,535000,No
Hector Santiago,15,4,0,1.44,5.63,MIN,8000000,No
Dominic Leone,65,3,1,1.05,2.56,TOR,548200,No
Junior Guerra,21,1,0,1.48,5.12,MIL,546200,No
Dylan Covey,18,0,0,1.67,7.71,CHW,535000,No
Jordan Lyles,38,1,0,1.69,7.75,SD,535000,No
Matt Barnes,70,7,1,1.23,3.89,BOS,563500,No
Carlos Rodon,12,2,0,1.37,4.15,CHW,600000,No
Austin Bibens-Dirkx,24,5,0,1.36,4.67,TEX,535000,No
Craig Kimbrel,67,5,35,0.68,1.44,BOS,13250000,No
Scott Alexander,58,5,4,1.3,2.48,KC,535000,No
Chad Green,40,5,0,0.74,1.83,NYY,535000,No
David Robertson,61,9,14,0.85,1.84,NYY,12000000,No
Kenley Jansen,65,5,41,0.75,1.32,LAD,11333333,Si
Jose Torres,62,7,1,1.16,4.22,SD,535400,No
Wade LeBlanc,50,5,1,1.19,4.5,PIT,750000,No
Cory Gearrin,68,4,0,1.25,1.99,SF,1050000,No
Brad Brach,67,4,18,1.13,3.18,BAL,3050000,No
Shane Greene,71,4,9,1.26,2.79,DET,550600,No
Brett Cecil,73,2,1,1.23,3.88,STL,7750000,Si
Blake Parker,71,3,8,0.83,2.54,LAA,560000,No
Alex Meyer,13,4,0,1.34,3.74,LAA,535000,No
Tony Watson,71,7,10,1.38,3.38,LAD,5600000,No
Alex Colome,65,2,47,1.2,3.24,TB,547900,No
Steven Matz,17,2,0,1.53,6.08,NYM,562250,No
George Kontos,65,1,1,1.22,3.39,PIT,1750000,No
C.J. Edwards,74,5,0,1.01,2.99,CHC,556000,No
Miguel Castro,39,3,0,1.22,3.53,BAL,535000,No
Kyle Barraclough,66,6,1,1.38,3.0,MIA,536500,No
Edwin Diaz,66,4,34,1.15,3.27,SEA,545000,No
Danny Barnes,60,3,0,1.09,3.55,TOR,535000,No
Jeremy Jeffress,61,5,0,1.64,4.68,MIL,2100000,No
Ryan Buchter,71,4,1,1.07,2.89,KC,544700,No
Andrew Triggs,12,5,0,1.33,4.27,OAK,537500,No
Paul Sewald,57,0,0,1.21,4.55,NYM,535000,No
