Jugador,Juegos,Wins,Saves,WHIP,ERA,Equipo,Sueldo,Agente libre
Brad Boxberger,30,4,0,1.16,3.38,TB,1600000,No
Luiz Gohara,5,1,0,1.36,4.91,ATL,535000,No
Erik Goeddel,33,0,0,1.35,5.28,NYM,535000,No
David Paulino,6,2,0,1.48,6.52,HOU,536100,No
Johnny Barbato,24,0,0,1.5,4.08,PIT,535000,No
Garrett Richards,6,0,0,0.9,2.28,LAA,6850000,No
Jake Barrett,28,1,0,1.56,5.0,ARI,548300,No
Steven Okert,44,1,0,1.33,6.0,SF,536500,No
Shawn Kelley,33,3,4,1.54,7.27,WSH,5500000,No
Sammy Solis,30,1,1,1.35,5.89,WSH,545700,No
Max Fried,10,1,0,1.62,3.81,ATL,535000,No
Jake Petricka,27,1,0,1.75,7.01,CHW,825000,No
Anthony Banda,8,2,0,1.4,5.96,ARI,535000,No
Dovydas Neverauskas,24,1,0,1.26,3.91,PIT,535000,No
Mike Wright,13,0,0,1.32,5.76,BAL,535000,No
Braden Shipley,10,0,0,1.84,5.76,ARI,535000,No
Jackson Stephens,7,2,0,1.12,4.68,CIN,535000,No
Jeurys Familia,26,2,5,1.46,4.38,NYM,7425000,No
Hector Velazquez,8,3,0,1.13,2.92,BOS,535000,No
Ariel Hernandez,19,0,0,1.48,5.18,CIN,535000,No
Steven Wright,5,1,0,1.88,8.25,BOS,593500,No
Jarred Cosart,7,0,0,1.88,4.88,SD,566300,No
Raul Alcantara,8,1,0,1.42,7.13,OAK,535000,No
Rookie Davis,7,1,0,2.17,8.63,CIN,535000,No
Paolo Espino,12,0,0,1.38,6.0,TEX,535000,No
Rex Brothers,28,4,0,1.48,7.23,ATL,535000,No
Grant Dayton,29,1,0,1.31,4.94,LAD,540000,No
Troy Scribner,10,2,0,1.14,4.18,LAA,535000,No
Carson Fulmer,7,3,0,1.24,3.86,CHW,535000,No
Matt Dermody,23,2,0,1.25,4.43,TOR,535000,No
Eduardo Paredes,18,0,1,1.21,4.43,LAA,535000,No
Shelby Miller,4,2,0,1.46,4.09,ARI,4700000,No
Ryan Garton,20,0,0,1.09,4.91,SEA,535000,No
Aaron Bummer,30,1,0,1.27,4.5,CHW,535000,No
Andrew Heaney,5,1,0,1.66,7.06,LAA,543000,No
Jack Flaherty,6,0,0,1.55,6.33,STL,535000,No
Javy Guerra,16,1,0,1.43,3.0,MIA,535000,No
Michael Tonkin,16,0,0,1.62,5.14,MIN,542500,No
Silvino Bracho,21,0,0,1.21,5.66,ARI,535000,No
Jimmy Yacabonis,14,2,0,1.55,4.36,BAL,535000,No
Giovanny Gallegos,16,0,0,1.28,4.87,NYY,535000,No
Mike Morin,16,0,0,1.7,7.2,KC,535000,No
Ryne Stanek,21,0,0,1.9,5.85,TB,535000,No
Tyler Mahle,4,1,0,1.5,2.7,CIN,535000,No
Chris Volstad,6,1,0,1.09,4.66,CHW,535000,No
Koda Glover,23,0,8,1.24,5.12,WSH,538300,No
Joe Jimenez,24,0,0,2.11,12.79,DET,535000,No
Kyle McGrath,17,0,0,1.05,2.84,SD,535000,No
Caleb Smith,9,0,0,1.66,7.71,NYY,535000,No
Chris Rowley,6,1,0,1.82,6.75,TOR,535000,No
Zach Duke,27,1,0,1.04,3.93,STL,5500000,No
Alberto Alburquerque,21,0,0,1.0,2.5,CHW,535000,No
Eric Skoglund,7,1,0,2.33,9.5,KC,535000,No
Edgar Santana,19,0,0,1.56,3.5,PIT,535000,No
Nik Turley,10,0,0,2.15,11.21,MIN,535000,No
Cody Reed,12,1,1,1.7,5.09,CIN,537000,No
Buddy Baumann,23,2,0,1.02,2.55,SD,535700,No
John Gant,7,0,0,1.56,4.67,STL,536600,No
Ben Taylor,14,0,1,1.67,5.19,BOS,535000,No
Austin Maddox,13,0,0,0.87,0.52,BOS,535000,No
Tim Mayza,19,1,0,1.65,7.41,TOR,535000,No
Josh Ravin,14,0,1,1.26,6.48,LAD,545000,No
Luis Santos,10,0,1,1.08,2.7,TOR,535000,No
Carlos Ramirez,12,0,0,0.54,2.7,TOR,535000,No
Yacksel Rios,13,1,0,1.47,4.41,PHI,535000,No
Reymin Guduan,22,0,0,2.25,7.88,HOU,535000,No
Erick Fedde,3,0,0,2.15,8.22,WSH,535000,No
Andrew Kittredge,15,0,0,1.24,1.76,TB,535000,No
Aaron Slegers,4,0,0,1.17,6.46,MIN,535000,No
A.J. Minter,16,0,0,1.0,3.0,ATL,535000,No
Henderson Alvarez,3,0,0,1.71,4.3,PHI,750000,No
Daniel Winkler,16,1,0,0.91,2.51,ATL,545000,No
Domingo German,7,0,0,1.39,3.14,NYY,535000,No
Ryan Sherriff,13,2,0,1.19,3.14,STL,535000,No
Leonel Campos,13,0,0,1.39,2.63,TOR,535000,No
Deck McGuire,6,1,0,0.88,2.63,CIN,535000,No
Noe Ramirez,12,0,0,0.85,2.77,LAA,535000,No
Brandon Finnegan,5,1,0,1.69,4.15,CIN,567000,No
Rob Zastryzny,4,0,0,2.0,8.31,CHC,535000,No
Luke Farrell,10,0,0,1.69,5.54,CIN,535000,No
Ricardo Rodriguez,16,0,1,1.62,6.23,TEX,535000,No
Myles Jaye,5,1,0,2.21,12.08,DET,535000,No
Carter Capps,11,0,0,1.13,6.57,SD,987500,No
Yohander Mendez,7,0,0,1.3,5.11,TEX,536000,No
Nate Jones,11,1,0,1.29,2.31,CHW,1900000,No
Ben Heller,9,1,0,1.0,0.82,NYY,535000,No
Jake Diekman,11,0,1,1.31,2.53,TEX,2550000,No
Chaz Roe,12,0,0,1.13,2.53,TB,720000,No
Victor Arano,10,1,0,0.94,1.69,PHI,535000,No
Jimmie Sherfy,11,2,1,0.68,0.0,ARI,535000,No
Artie Lewicki,4,0,0,2.23,6.1,DET,535000,No
Aaron Wilkerson,3,1,0,0.68,3.48,MIL,535000,No
Chih-Wei Hu,6,1,0,0.9,2.7,TB,535000,No
Zac Reininger,10,0,0,1.86,7.45,DET,535000,No
Walker Buehler,8,1,0,2.04,7.71,LAD,535000,No
Jeff Ferrell,11,0,0,2.36,5.79,DET,535000,No
Robbie Ross,8,0,0,1.89,7.0,BOS,1825000,No
Jacob Rhame,9,1,0,2.11,9.0,NYM,535000,No
Zach Putnam,7,0,0,0.35,1.04,CHW,1175000,No
John Curtiss,9,0,0,1.27,8.31,MIN,535000,No
Zac Curtis,6,0,0,1.2,4.32,PHI,535000,No
Sandy Alcantara,8,0,0,1.8,4.32,STL,535000,No
Cory Mazzoni,6,0,0,2.63,13.5,SD,535000,No
Nick Gardewine,12,0,0,2.13,5.63,TEX,535000,No
Shae Simmons,9,0,0,1.04,7.04,SEA,536200,No
Zac Rosscup,10,0,0,1.17,4.7,COL,535000,No
Bobby Wahl,7,0,0,1.57,4.7,OAK,535000,No
Clay Buchholz,2,0,0,2.59,12.27,PHI,13500000,No
Victor Alcantara,6,0,0,2.18,8.59,DET,535000,No
Josh Lucas,5,0,0,1.5,3.68,STL,535000,No
Carson Smith,8,0,1,1.35,1.35,BOS,556750,No
Reyes Moronta,7,0,0,1.35,2.7,SF,535000,No
Sam Moll,11,0,0,2.25,10.8,OAK,535000,No
Jace Fry,11,0,0,2.55,10.8,CHW,535000,No
Jairo Labourt,6,0,0,1.83,4.5,DET,535000,No
Alejandro Chacin,7,0,0,2.5,10.5,CIN,535000,No
Jen-Ho Tseng,2,1,0,1.17,7.5,CHC,535000,No
Glen Perkins,8,0,0,2.29,9.53,MIN,6500000,No
Tim Melville,3,0,0,2.29,11.12,SD,535000,No
Dillon Maples,6,0,0,2.25,10.13,CHC,535000,No
Chris Gimenez,77,0,0,1.4,7.2,MIN,950000,No
Austin Adams,6,0,0,2.4,3.6,WSH,535000,No
Jandel Gustave,6,0,0,2.4,5.4,HOU,537200,No
Taylor Williams,5,0,0,1.29,1.93,MIL,535000,No
Huston Street,4,0,0,0.75,0.0,LAA,9000000,No
Andrew Bailey,4,2,0,0.25,0.0,LAA,1000000,No
Shane Carle,3,0,0,1.5,6.75,COL,535000,No
Keury Mella,2,0,0,1.75,6.75,CIN,535000,No
Wilmer Font,3,0,0,3.0,17.18,LAD,53500,No
Andres Machado,2,0,0,3.55,22.09,KC,535000,No
Adam Liberatore,4,0,0,1.5,2.7,LAD,535000,No
Xavier Cedeno,9,1,0,3.67,12.0,TB,1300000,No
Kevin Plawecki,37,0,0,1.67,12.0,NYM,535000,No
Brian Flynn,1,0,0,1.29,3.86,KC,556000,No
Daniel Descalso,131,0,0,0.0,0.0,ARI,1350000,Si
J.D. Davis,25,0,0,1.2,0.0,HOU,535000,No
Tanner Scott,2,0,0,2.4,10.8,BAL,535000,No
Erick Aybar,108,0,0,0.75,0.0,SD,1750000,No
Miguel Montero,76,0,0,2.0,0.0,TOR,14000000,No
Carlos Ruiz,54,0,0,4.0,9.0,SEA,4500000,No
Jon Jay,141,0,0,1.0,0.0,CHC,8000000,Si
Mitch Moreland,149,0,0,2.0,0.0,BOS,5500000,Si
Andrew Romine,124,0,0,2.0,0.0,DET,1300000,No
Norichika Aoki,110,0,0,3.0,27.0,NYM,535000,No
Rob Brantly,14,0,0,1.0,9.0,CHW,535000,No
Hernan Perez,136,0,0,2.0,0.0,MIL,545700,No
Scooter Gennett,141,0,0,3.0,18.0,CIN,2525000,No
Mike Freeman,35,0,0,3.0,9.0,CHC,535000,No
Jesus Sucre,63,0,0,4.0,27.0,TB,630000,No
Pierce Johnson,1,0,0,3.0,0.0,SF,535000,No
Tyler White,22,0,0,2.0,18.0,HOU,535000,No
Brett Nicholas,22,0,0,5.0,36.0,TEX,537000,No
Taylor Cole,1,0,0,7.0,36.0,TOR,535000,No
Leonys Martin,49,0,0,4.5,27.0,CHC,4850000,No
Jason Gurka,3,0,0,4.5,0.0,LAA,535000,No
Andres Blanco,80,0,0,3.0,27.0,PHI,3000000,Si
Roenis Elias,1,0,0,3.0,0.0,BOS,582500,No
