Jugador,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo,Victorias,Juegos totales,Promedio_victorias
Max Scherzer,210000000,30000000,SP,34,0.21,69,15,0,0,0.217,0.457,WSH,17317857,83,161,0.515527950310559
Clint Robinson,0,0,1B,126,0.778,309,84,10,34,0.272,0.782,WSH,525000,83,161,0.515527950310559
Reed Johnson,0,0,LF,17,0.105,22,5,0,3,0.227,0.523,WSH,1000000,83,161,0.515527950310559
Jon Lester,155000000,25833333,SP,32,0.198,62,4,0,0,0.065,0.172,CHC,20000000,96,161,0.5962732919254659
Jason Hammel,20000000,10000000,SP,32,0.198,65,11,0,4,0.169,0.364,CHC,9000000,96,161,0.5962732919254659
David Ross,5000000,2500000,C,72,0.444,159,28,2,9,0.176,0.537,CHC,2500000,96,161,0.5962732919254659
Chris Denorfia,2600000,2600000,RF,103,0.636,212,57,3,18,0.269,0.691,CHC,2600000,96,161,0.5962732919254659
Jonathan Herrera,900000,900000,SS,73,0.451,126,29,2,14,0.23,0.576,CHC,900000,96,161,0.5962732919254659
Taylor Teagarden,0,0,C,8,0.049,15,3,0,2,0.2,0.4,CHC,507500,96,161,0.5962732919254659
Trevor Cahill,0,0,RP,26,0.161,7,1,0,0,0.143,0.393,CHC,507500,96,161,0.5962732919254659
Clayton Richard,0,0,SP,23,0.142,14,2,0,3,0.143,0.486,CHC,507500,96,161,0.5962732919254659
Quintin Berry,0,0,LF,8,0.049,1,0,0,0,0.0,0.0,CHC,507500,96,161,0.5962732919254659
Pablo Sandoval,95000000,19000000,3B,126,0.778,470,116,10,48,0.247,0.664,BOS,17600000,78,161,0.484472049689441
Hanley Ramirez,88000000,22000000,DH,105,0.648,401,100,19,53,0.249,0.717,BOS,19750000,78,161,0.484472049689441
Russell Martin,82000000,16400000,C,129,0.796,441,106,23,77,0.24,0.787,TOR,7000000,93,161,0.577639751552795
Justin Smoak,1000000,1000000,1B,132,0.815,296,67,18,59,0.226,0.768,TOR,1000000,93,161,0.577639751552795
Ezequiel Carrera,0,0,CF,91,0.562,172,47,3,26,0.273,0.693,TOR,507500,93,161,0.577639751552795
James Shields,75000000,18750000,SP,36,0.222,68,9,0,2,0.132,0.307,SD,10000000,74,161,0.4596273291925465
Brandon Morrow,2500000,2500000,RP,5,0.031,9,0,0,0,0.0,0.1,SD,2500000,74,161,0.4596273291925465
Clint Barmes,1500000,1500000,SS,98,0.605,207,48,3,16,0.232,0.633,SD,1300000,74,161,0.4596273291925465
Brett Wallace,0,0,3B,64,0.395,96,29,5,16,0.302,0.895,SD,507500,74,161,0.4596273291925465
Nelson Cruz,57000000,14250000,DH,152,0.938,590,178,44,93,0.302,0.936,SEA,14375000,75,161,0.4658385093167702
Shawn O'Malley,0,0,LF,24,0.148,42,11,1,7,0.262,0.775,SEA,507500,75,161,0.4658385093167702
Franklin Gutierrez,0,0,CF,59,0.364,171,50,15,35,0.292,0.974,SEA,507500,75,161,0.4658385093167702
Chase Headley,52000000,13000000,3B,156,0.963,580,150,11,62,0.259,0.693,NYY,14000000,87,161,0.5403726708074534
Chris Capuano,5000000,5000000,RP,22,0.136,1,0,0,0,0.0,0.0,NYY,5000000,87,161,0.5403726708074534
Stephen Drew,5000000,5000000,2B,131,0.809,383,77,17,44,0.201,0.652,NYY,5000000,87,161,0.5403726708074534
Chris Young,675000,675000,RF,140,0.864,318,80,14,42,0.252,0.773,NYY,2500000,87,161,0.5403726708074534
Chris Young,675000,675000,RP,33,0.204,4,2,0,3,0.5,1.0,NYY,2500000,87,161,0.5403726708074534
Brandon McCarthy,48000000,12000000,SP,4,0.025,6,0,0,1,0.0,0.143,LAD,12500000,91,161,0.5652173913043478
