Jugador,Anio_t,Anios_contrato_t,Valor_contrato_t,Valor_promedio_contrato_t,Juegos_t,Porcetnaje_juegos_t,At_bats_t,Bateos_t,Home_runs_t,RBI_t,Porcentaje_bateo_t,OPS_t,ln_Sueldo_base_t,ln_Sueldo_t,ln_Sueldo_regular_t,Juegos_2_t,Porcetnaje_juegos_2_t,At_bats_2_t,Bateos_2_t,Home_runs_2_t,RBI_2_t,Porcentaje_bateo_2_t,OPS_2_t,Anio_t_1,Anios_contrato_t_1,Valor_contrato_t_1,Valor_promedio_contrato_t_1,Juegos_t_1,Porcetnaje_juegos_t_1,At_bats_t_1,Bateos_t_1,Home_runs_t_1,RBI_t_1,Porcentaje_bateo_t_1,OPS_t_1,Juegos_2_t_1,Porcetnaje_juegos_2_t_1,At_bats_2_t_1,Bateos_2_t_1,Home_runs_2_t_1,RBI_2_t_1,Porcentaje_bateo_2_t_1,OPS_2_t_1
Dioner Navarro,3,1,1750000,1750000,89,0.549,240,72,13,34,0.3,0.856,14.375126345899696,14.375126345899696,14.375126345899696,7921,0.301401,57600,5184,169,1156,0.09,0.7327359999999999,2,1,800000,800000,24,0.148,69,20,2,12,0.29,0.755,576,0.0219039999999999,4761,400,4,144,0.0841,0.570025
Wil Nieves,3,1,800000,800000,71,0.438,195,58,1,22,0.297,0.69,13.592367006650065,13.592367006650065,13.592367006650065,5041,0.191844,38025,3364,1,484,0.088209,0.4760999999999999,2,1,0,0,32,0.198,83,25,2,8,0.301,0.739,1024,0.039204,6889,625,4,64,0.0906009999999999,0.546121
