Jugador,Posicion,Juegos,Porcetnaje_juegos,At-bats,Bateos,Home-runs,RBI,Porcentaje_bateo,OPS,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Juegos_2,Porcetnaje_juegos_2,At-bats_2,Bateos_2,Home-runs_2,RBI_2,Porcentaje_bateo_2,OPS_2
C.J. Cron,1B,142,0.882,470,132,28,92,0.281,0.903,COL,1000000,1000000,1000000,20164,0.7779240000000001,220900,17424,784,8464,0.07896100000000002,0.815409
Brandon Lowe,2B,149,0.92,535,132,39,99,0.247,0.863,TB,2500000,2500000,2500000,22201,0.8464,286225,17424,1521,9801,0.061009,0.744769
Trevor Story,SS,143,0.888,526,132,24,75,0.251,0.801,COL,17500000,18500000,18500000,20449,0.788544,276676,17424,576,5625,0.063001,0.6416010000000001
Miguel Rojas,SS,132,0.815,495,131,9,48,0.265,0.713,MIA,5000000,5000000,5000000,17424,0.664225,245025,17161,81,2304,0.07022500000000001,0.508369
Josh Bell,1B,144,0.889,498,130,27,88,0.261,0.823,WSH,6350000,6350000,6350000,20736,0.790321,248004,16900,729,7744,0.068121,0.677329
Willy Adames,SS,140,0.864,497,130,25,73,0.262,0.818,MIL,590000,590000,431400,19600,0.7464959999999999,247009,16900,625,5329,0.06864400000000001,0.6691239999999999
Chris Taylor,2B,148,0.914,507,129,20,73,0.254,0.782,LAD,7800000,7800000,7800000,21904,0.835396,257049,16641,400,5329,0.064516,0.6115240000000001
Jesse Winker,LF,110,0.679,423,129,24,71,0.305,0.949,CIN,3150000,3150000,3150000,12100,0.4610410000000001,178929,16641,576,5041,0.093025,0.9006009999999999
Kyle Seager,3B,159,0.982,603,128,35,101,0.212,0.723,SEA,18000000,18500000,18500000,25281,0.964324,363609,16384,1225,10201,0.044944,0.522729
Josh Rojas,SS,139,0.858,484,128,11,44,0.265,0.752,ARI,582400,582400,582400,19321,0.7361639999999999,234256,16384,121,1936,0.07022500000000001,0.565504
David Peralta,LF,150,0.926,487,127,8,63,0.261,0.734,ARI,7500000,7500000,7500000,22500,0.8574760000000001,237169,16129,64,3969,0.068121,0.538756
Kyle Farmer,SS,147,0.907,483,127,16,63,0.263,0.732,CIN,640000,640000,640000,21609,0.8226490000000001,233289,16129,256,3969,0.06916900000000001,0.535824
Luis Arraez,2B,121,0.747,428,126,2,42,0.294,0.733,MIN,611000,611000,611000,14641,0.558009,183184,15876,4,1764,0.08643599999999999,0.537289
Austin Hays,LF,131,0.809,488,125,22,71,0.256,0.768,BAL,578500,578500,578500,17161,0.6544810000000001,238144,15625,484,5041,0.065536,0.589824
