Jugador,Anio,Status,Equipo_anterior,Anios_contrato,Valor_contrato,Valor_promedio_contrato,Posicion,Juegos,Juegos_iniciados,Inning_pitched,Bateos_pitcher,Carreras,Carreras_ganadas,Walks,Strike-outs,Wins,Losses,Saves,WHIP,ERA,Equipo,Sueldo_base,Sueldo,Sueldo_regular,Dominio,Control,Comando,Juegos_2,Juegos_iniciados_2,Inning_pitched_2,Bateos_pitcher_2,Carreras_2,Carreras_ganadas_2,Walks_2,Strike-outs_2,Wins_2,Losses_2,Saves_2,WHIP_2,ERA_2,Control_2,Comando_2,Juegos_2_2
Joakim Soria,2016,UFA,PIT,3,25000000,8333333,RP/CL,70,0,66.7,70,31,30,27,68,5,8,1,1.46,4.05,KC,7000000,7000000,7000000,0.1132766949858404,0.04497751124437781,2.5185185185185186,4900,0,4448.89,4900,961,900,729,4624,25,64,1,2.1315999999999997,16.4025,0.002022976517738132,6.342935528120714,24010000
Yovani Gallardo,2016,UFA,TEX,2,22000000,11000000,RP,24,23,117.8,126,74,71,61,85,6,8,0,1.59,5.43,BAL,9000000,9000000,9000000,0.08017355215996981,0.05753631390303716,1.3934426229508197,576,529,13876.84,15876,5476,5041,3721,7225,36,64,0,2.5281000000000002,29.484899999999996,0.003310427417548827,1.9416823434560602,331776
Ryan Madson,2016,UFA,KC,3,22000000,7333333,RP,63,0,64.7,63,27,26,20,49,6,7,30,1.28,3.62,OAK,6500000,7916666,7916666,0.08414906405632834,0.03434655675768504,2.45,3969,0,4186.09,3969,729,676,400,2401,36,49,900,1.6384,13.1044,0.00117968596110888,6.002500000000001,15752961
Tony Sipp,2016,UFA,HOU,3,18000000,6000000,RP,60,0,43.7,52,26,24,18,40,1,2,1,1.6,4.95,HOU,6000000,6000000,6000000,0.10170353419781338,0.04576659038901602,2.2222222222222223,3600,0,1909.6900000000003,2704,676,576,324,1600,1,4,1,2.5600000000000005,24.5025,0.002094580795835973,4.938271604938272,12960000
Mike Pelfrey,2016,UFA,MIN,2,16000000,8000000,RP,24,22,119.0,161,76,71,46,56,4,10,0,1.74,5.37,DET,8000000,8000000,8000000,0.05228758169934641,0.04295051353874883,1.2173913043478262,576,484,14161.0,25921,5776,5041,2116,3136,16,100,0,3.0276,28.8369,0.0018447466132422469,1.4820415879017015,331776
Shawn Kelley,2016,UFA,SD,3,15000000,5000000,RP,67,0,58.0,41,19,17,11,80,3,2,7,0.9,2.64,WSH,4000000,4200000,4200000,0.1532567049808429,0.0210727969348659,7.2727272727272725,4489,0,3364.0,1681,361,289,121,6400,9,4,49,0.81,6.969600000000001,0.0004440627706580937,52.89256198347107,20151121
Chris Young,2016,UFA,NYY,2,13000000,6500000,RP,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,BOS,6500000,6500000,6500000,0.1184177374653565,0.05416981607457797,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.002934368973553606,4.77879935100054,1336336
Chris Young,2016,UFA,NYY,2,13000000,6500000,RP,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,KC,4250000,4500000,4500000,0.1184177374653565,0.05416981607457797,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.002934368973553606,4.77879935100054,1336336
Chris Young,2016,UFA,KC,2,11500000,5750000,RP,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,BOS,6500000,6500000,6500000,0.1184177374653565,0.05416981607457797,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.002934368973553606,4.77879935100054,1336336
Chris Young,2016,UFA,KC,2,11500000,5750000,RP,34,13,88.2,104,63,60,43,94,3,9,1,1.67,6.12,KC,4250000,4500000,4500000,0.1184177374653565,0.05416981607457797,2.186046511627907,1156,169,7779.240000000001,10816,3969,3600,1849,8836,9,81,1,2.7889,37.4544,0.002934368973553606,4.77879935100054,1336336
Tyler Clippard,2016,UFA,NYM,2,12250000,6125000,RP,69,0,63.0,54,27,25,26,72,4,6,3,1.27,3.57,NYY,4100000,6100000,1433879,0.12698412698412698,0.04585537918871252,2.769230769230769,4761,0,3969.0,2916,729,625,676,5184,16,36,9,1.6129,12.7449,0.0021027158005406093,7.668639053254437,22667121
Antonio Bastardo,2016,UFA,PIT,2,12000000,6000000,RP,69,0,67.4,61,37,35,32,74,3,0,0,1.38,4.67,PIT,5250000,5375000,1807377,0.12199142762940982,0.05275304978569073,2.3125,4761,0,4542.760000000001,3721,1369,1225,1024,5476,9,0,0,1.9043999999999996,21.808899999999998,0.002782884261691565,5.34765625,22667121
Hisashi Iwakuma,2016,UFA,SEA,1,12000000,12000000,SP,33,33,199.0,218,95,91,46,147,16,12,0,1.33,4.12,SEA,10000000,13500000,13500000,0.08207705192629816,0.02568397543271915,3.1956521739130435,1089,1089,39601.0,47524,9025,8281,2116,21609,256,144,0,1.7689000000000001,16.9744,0.0006596665940285209,10.212192816635161,1185921
Mark Lowe,2016,UFA,TOR,2,11000000,5500000,RP,54,0,49.3,57,41,39,21,49,1,3,0,1.58,7.12,DET,5500000,5500000,5500000,0.11043497858913681,0.04732927653820149,2.3333333333333335,2916,0,2430.49,3249,1681,1521,441,2401,1,9,0,2.4964000000000004,50.6944,0.0022400604176295497,5.4444444444444455,8503056
Steve Cishek,2016,UFA,STL,2,10000000,5000000,RP,62,0,64.0,44,21,20,21,76,4,6,25,1.02,2.81,SEA,4000000,5000000,5000000,0.13194444444444445,0.036458333333333336,3.619047619047619,3844,0,4096.0,1936,441,400,441,5776,16,36,625,1.0404,7.896100000000001,0.0013292100694444447,13.097505668934241,14776336
Jason Motte,2016,UFA,CHC,2,10000000,5000000,RP,30,0,23.7,28,15,13,8,24,0,1,0,1.52,4.94,COL,5000000,5000000,5000000,0.11251758087201126,0.03750586029067042,3.0,900,0,561.6899999999999,784,225,169,64,576,0,1,0,2.3104,24.403600000000004,0.0014066895561432884,9.0,810000
John Axford,2016,UFA,COL,2,10000000,5000000,RP,68,0,65.7,65,30,29,30,60,6,4,3,1.45,3.98,OAK,4500000,4500000,4500000,0.10147133434804667,0.050735667174023336,2.0,4624,0,4316.490000000001,4225,900,841,900,3600,36,16,9,2.1025,15.8404,0.002574107923593269,4.0,21381376
Jonathan Broxton,2016,UFA,STL,2,7500000,3750000,RP,66,0,60.7,51,32,29,24,57,4,2,0,1.24,4.3,STL,3750000,3750000,3750000,0.10433827567270729,0.04393190554640307,2.375,4356,0,3684.4900000000002,2601,1024,841,576,3249,16,4,0,1.5376,18.49,0.0019300123249380808,5.640625,18974736
Bartolo Colon,2016,UFA,NYM,1,7250000,7250000,SP,34,33,191.7,200,81,73,32,128,15,8,0,1.21,3.43,NYM,7250000,7300000,7300000,0.0741899959427346,0.01854749898568365,4.0,1156,1089,36748.88999999999,40000,6561,5329,1024,16384,225,64,0,1.4641,11.7649,0.00034400971862393596,16.0,1336336
Doug Fister,2016,UFA,WSH,1,7000000,7000000,SP,32,32,180.3,195,98,93,62,115,12,13,0,1.42,4.64,HOU,7000000,11000000,11000000,0.07086953842361496,0.03820792506316633,1.8548387096774193,1024,1024,32508.090000000004,38025,9604,8649,3844,13225,144,169,0,2.0164,21.5296,0.0014598455376325337,3.4404266389177938,1048576
Oliver Perez,2016,UFA,HOU,2,7000000,3500000,RP,64,0,40.0,38,22,22,20,46,2,3,0,1.45,4.95,WSH,3000000,3000000,3000000,0.12777777777777777,0.05555555555555555,2.3,4096,0,1600.0,1444,484,484,400,2116,4,9,0,2.1025,24.5025,0.0030864197530864196,5.289999999999999,16777216
Colby Lewis,2016,UFA,TEX,1,6000000,6000000,SP,19,19,116.3,103,53,48,28,73,6,5,0,1.13,3.71,TEX,6000000,6000000,6000000,0.06974300181522881,0.026750740422279543,2.607142857142857,361,361,13525.689999999999,10609,2809,2304,784,5329,36,25,0,1.2768999999999997,13.7641,0.0007156021131401807,6.79719387755102,130321
Chad Qualls,2016,UFA,HOU,2,6000000,3000000,RP,44,0,32.7,43,22,19,9,22,2,0,0,1.59,5.24,COL,1750000,2250000,2250000,0.07475365273530411,0.03058103975535168,2.4444444444444446,1936,0,1069.2900000000002,1849,484,361,81,484,4,0,0,2.5281000000000002,27.457600000000003,0.0009351999925184,5.975308641975309,3748096
Rich Hill,2016,UFA,BOS,1,6000000,6000000,SP,20,20,110.3,77,29,26,33,129,12,5,0,1.0,2.12,LAD,6000000,6000000,2065574,0.12994862496222426,0.03324267150196434,3.909090909090909,400,400,12166.09,5929,841,676,1089,16641,144,25,0,1.0,4.494400000000001,0.0011050752085875121,15.28099173553719,160000
Trevor Cahill,2016,UFA,CHC,1,4250000,4250000,RP,51,1,65.7,49,22,20,35,66,4,4,0,1.28,2.74,CHC,4250000,4250000,4250000,0.11161846778285134,0.05919161170302722,1.8857142857142857,2601,1,4316.490000000001,2401,484,400,1225,4356,16,16,0,1.6384,7.507600000000001,0.003503646896001949,3.555918367346939,6765201
Jerry Blevins,2016,UFA,NYM,1,4000000,4000000,RP,73,0,42.0,36,14,13,15,52,4,2,2,1.21,2.79,NYM,4000000,5000000,5000000,0.13756613756613756,0.03968253968253968,3.466666666666667,5329,0,1764.0,1296,196,169,225,2704,16,4,4,1.4641,7.7841000000000005,0.0015747039556563364,12.017777777777779,28398241
Joe Blanton,2016,UFA,PIT,1,4000000,4000000,RP,75,0,80.0,55,23,22,26,80,7,2,0,1.01,2.48,LAD,4000000,4000000,4000000,0.1111111111111111,0.03611111111111111,3.076923076923077,5625,0,6400.0,3025,529,484,676,6400,49,4,0,1.0201,6.1504,0.0013040123456790121,9.467455621301776,31640625
Neftali Feliz,2016,UFA,DET,1,3900000,3900000,RP,62,0,53.7,41,21,20,21,61,4,2,2,1.15,3.35,PIT,3900000,4080000,4080000,0.12621560107593627,0.04345127250155183,2.9047619047619047,3844,0,2883.6900000000005,1681,441,400,441,3721,16,4,4,1.3224999999999998,11.2225,0.001888013082004114,8.437641723356009,14776336
David Hernandez,2016,UFA,ARI,1,3900000,3900000,RP,70,0,72.7,77,31,31,32,80,3,4,1,1.5,3.84,PHI,3900000,3900000,3900000,0.12226807274950327,0.04890722909980131,2.5,4900,0,5285.29,5929,961,961,1024,6400,9,16,1,2.25,14.7456,0.002391917058220452,6.25,24010000
Tony Barnette,2016,UFA,ARI,2,3500000,1750000,RP,53,0,60.3,54,16,14,16,49,7,3,0,1.16,2.09,TEX,1500000,1500000,1500000,0.09028929426939378,0.02948221853694491,3.0625,2809,0,3636.0899999999997,2916,256,196,256,2401,49,9,0,1.3456,4.368099999999999,0.0008692012098601781,9.37890625,7890481
Juan Nicasio,2016,UFA,LAD,1,3000000,3000000,RP,52,12,118.0,116,64,56,45,138,10,7,0,1.36,4.27,PIT,3000000,3000000,3000000,0.12994350282485875,0.0423728813559322,3.066666666666667,2704,144,13924.0,13456,4096,3136,2025,19044,100,49,0,1.8496000000000004,18.232899999999997,0.0017954610744039068,9.404444444444445,7311616
Yusmeiro Petit,2016,UFA,SF,1,3000000,3000000,RP,36,1,62.0,67,33,31,15,49,3,5,1,1.32,4.5,WSH,2500000,2500000,2500000,0.08781362007168458,0.026881720430107527,3.2666666666666666,1296,1,3844.0,4489,1089,961,225,2401,9,25,1,1.7424000000000002,20.25,0.0007226268932824605,10.671111111111111,1679616
Jim Johnson,2016,UFA,LAD,1,2500000,2500000,RP,65,0,64.7,57,23,23,20,68,2,6,20,1.19,3.2,ATL,2500000,3075000,3075000,0.11677829297612913,0.03434655675768504,3.4,4225,0,4186.09,3249,529,529,400,4624,4,36,400,1.4161,10.240000000000002,0.00117968596110888,11.559999999999999,17850625
Matt Albers,2016,UFA,CHW,1,2250000,2250000,RP,58,1,51.3,67,44,35,19,30,2,6,0,1.67,6.14,CHW,2000000,2000000,2000000,0.0649772579597141,0.0411522633744856,1.5789473684210527,3364,1,2631.6899999999996,4489,1936,1225,361,900,4,36,0,2.7889,37.6996,0.0016935087808430287,2.4930747922437675,11316496
Ryan Vogelsong,2016,UFA,SF,1,2000000,2000000,SP,24,14,82.1,81,51,44,40,61,3,7,0,1.47,4.82,PIT,2000000,3225000,3225000,0.08255514954662337,0.054134524292867775,1.525,576,196,6740.409999999999,6561,2601,1936,1600,3721,9,49,0,2.1609,23.232400000000002,0.0029305467204150913,2.3256249999999996,331776
Fernando Rodney,2016,UFA,CHC,1,2000000,2000000,RP,67,0,65.3,54,27,25,37,74,2,4,25,1.39,3.44,MIA,1600000,4100000,830616,0.1259145822698656,0.0629572911349328,2.0,4489,0,4264.089999999999,2916,729,625,1369,5476,4,16,625,1.9320999999999997,11.833599999999999,0.003963620507048688,4.0,20151121
Alfredo Simon,2016,UFA,DET,1,2000000,2000000,SP,15,11,58.7,89,64,61,31,39,2,7,0,2.05,9.36,CIN,2000000,2000000,2000000,0.07382169222032935,0.058678780995646405,1.2580645161290323,225,121,3445.6900000000005,7921,4096,3721,961,1521,4,49,0,4.2025,87.60959999999999,0.003443199339135034,1.582726326742976,50625
Eric O'Flaherty,2016,UFA,NYM,1,1750000,1750000,RP,39,0,28.7,39,25,22,11,22,1,4,0,1.74,6.91,ATL,1750000,1750000,1750000,0.0851722802942315,0.04258614014711575,2.0,1521,0,823.6899999999999,1521,625,484,121,484,1,16,0,3.0276,47.7481,0.001813579332629784,4.0,2313441
Chris Capuano,2016,UFA,NYY,1,1500000,1500000,RP,16,0,24.0,23,11,11,15,27,1,1,0,1.58,4.13,MIL,1500000,1500000,1500000,0.125,0.06944444444444445,1.8,256,0,576.0,529,121,121,225,729,1,1,0,2.4964000000000004,17.0569,0.0048225308641975315,3.24,65536
Carlos Villanueva,2016,UFA,STL,1,1500000,1500000,RP,51,0,74.0,89,50,49,14,61,2,2,1,1.39,5.96,SD,1500000,1500000,1500000,0.0915915915915916,0.021021021021021023,4.357142857142857,2601,0,5476.0,7921,2500,2401,196,3721,4,4,1,1.9320999999999997,35.5216,0.0004418833247662077,18.984693877551017,6765201
Matt Belisle,2016,UFA,STL,1,1250000,1250000,RP,40,0,45.8,43,13,9,7,32,0,0,0,1.09,1.77,WSH,1250000,1250000,1250000,0.07763221737020864,0.01698204754973314,4.571428571428571,1600,0,2097.64,1849,169,81,49,1024,0,0,0,1.1881000000000002,3.1329000000000002,0.00028838993898139736,20.897959183673468,2560000
Jhoulys Chacin,2016,UFA,ARI,1,1100000,1100000,SP,34,22,144.0,153,81,77,55,119,6,8,0,1.44,4.81,LAA,1100000,1100000,877593,0.09182098765432099,0.04243827160493827,2.1636363636363636,1156,484,20736.0,23409,6561,5929,3025,14161,36,64,0,2.0736,23.136099999999995,0.00180100689681451,4.681322314049586,1336336
Gavin Floyd,2016,UFA,CLE,1,1000000,1000000,RP,28,0,31.0,23,14,14,8,30,2,4,0,1.0,4.07,TOR,1000000,1000000,1000000,0.10752688172043011,0.02867383512544803,3.75,784,0,961.0,529,196,196,64,900,4,16,0,1.0,16.5649,0.0008221888208013771,14.0625,614656
Carlos Torres,2016,UFA,ATL,1,950000,950000,RP,72,0,82.3,65,26,25,30,78,3,3,2,1.15,2.73,MIL,950000,950000,950000,0.10530579181855003,0.04050222762251924,2.6,5184,0,6773.29,4225,676,625,900,6084,9,9,4,1.3224999999999998,7.4529,0.0016404304423863604,6.760000000000001,26873856
Blaine Boyer,2016,UFA,MIN,1,950000,950000,RP,61,0,66.0,80,30,29,17,26,2,4,1,1.47,3.96,MIL,950000,950000,950000,0.04377104377104377,0.02861952861952862,1.5294117647058822,3721,0,4356.0,6400,900,841,289,676,4,16,1,2.1609,15.6816,0.0008190774184040178,2.339100346020761,13845841
Louis Coleman,2016,UFA,KC,1,750000,750000,RP,61,0,48.0,45,27,25,24,45,2,1,0,1.44,4.69,LAD,750000,750000,750000,0.10416666666666667,0.05555555555555555,1.875,3721,0,2304.0,2025,729,625,576,2025,4,1,0,2.0736,21.996100000000002,0.0030864197530864196,3.515625,13845841
Blake Wood,2016,UFA,PIT,1,600000,600000,RP,70,0,76.2,72,38,34,38,81,6,5,1,1.44,4.02,CIN,600000,600000,600000,0.11811023622047243,0.055409740449110526,2.1315789473684212,4900,0,5806.4400000000005,5184,1444,1156,1444,6561,36,25,1,2.0736,16.160399999999996,0.003070239336637795,4.543628808864267,24010000
Ryan Buchter,2016,UFA,LAD,1,520000,520000,RP,67,0,63.0,34,20,20,31,78,3,0,1,1.03,2.86,SD,520000,520000,485982,0.13756613756613756,0.054673721340388004,2.5161290322580645,4489,0,3969.0,1156,400,400,961,6084,9,0,1,1.0609,8.179599999999999,0.0029892158052063984,6.330905306971904,20151121
Edwin Jackson,2016,UFA,ATL,1,507500,507500,SP,24,13,84.0,92,56,55,41,61,5,7,0,1.58,5.89,SD,507500,507500,216294,0.08068783068783068,0.05423280423280423,1.4878048780487805,576,169,7056.0,8464,3136,3025,1681,3721,25,49,0,2.4964000000000004,34.692099999999996,0.0029411970549536683,2.2135633551457468,331776
Joe Nathan,2016,UFA,DET,1,507500,507500,RP,10,0,6.3,5,0,0,4,9,2,0,0,1.42,0.0,SF,507500,507500,83190,0.15873015873015875,0.07054673721340389,2.25,100,0,39.69,25,0,0,16,81,4,0,0,2.0164,0.0,0.004976842131457065,5.0625,10000
A.J. Griffin,2016,UFA,OAK,1,507500,507500,RP,23,23,119.0,116,68,67,46,107,7,4,0,1.36,5.07,TEX,507500,507500,493633,0.09990662931839403,0.04295051353874883,2.3260869565217392,529,529,14161.0,13456,4624,4489,2116,11449,49,16,0,1.8496000000000004,25.704900000000002,0.0018447466132422469,5.410680529300568,279841
Kevin Jepsen,2016,UFA,MIN,0,0,0,RP,58,0,49.7,62,35,33,21,35,2,6,7,1.67,5.98,TB,507500,507500,227386,0.07824726134585289,0.046948356807511735,1.6666666666666667,3364,0,2470.09,3844,1225,1089,441,1225,4,36,49,2.7889,35.760400000000004,0.0022041482069254333,2.777777777777778,11316496
Mat Latos,2016,UFA,CHW,0,0,0,SP,17,12,70.0,74,40,38,30,42,7,3,0,1.49,4.89,WSH,507500,507500,85963,0.06666666666666667,0.047619047619047616,1.4,289,144,4900.0,5476,1600,1444,900,1764,49,9,0,2.2201,23.912099999999995,0.0022675736961451243,1.9599999999999997,83521
Ross Ohlendorf,2016,UFA,TEX,1,0,0,RP,64,0,65.7,59,35,34,32,68,5,7,2,1.39,4.66,CIN,800000,800000,800000,0.1150008455944529,0.05411804498562489,2.125,4096,0,4316.490000000001,3481,1225,1156,1024,4624,25,49,4,1.9320999999999997,21.715600000000002,0.0029287627930661194,4.515625,16777216
Josh Collmenter,2016,UFA,ARI,0,0,0,RP,18,3,41.3,36,17,17,16,33,3,0,0,1.26,3.7,ATL,507500,507500,52687,0.08878127522195318,0.04304546677428033,2.0625,324,9,1705.6899999999998,1296,289,289,256,1089,9,0,0,1.5876000000000001,13.690000000000001,0.001852912209815672,4.25390625,104976
Brandon Morrow,2016,UFA,SD,1,0,0,RP,18,0,16.0,19,4,3,3,8,1,0,0,1.38,1.69,SD,507500,607500,138650,0.05555555555555555,0.020833333333333332,2.6666666666666665,324,0,256.0,361,16,9,9,64,1,0,0,1.9043999999999996,2.8560999999999996,0.00043402777777777775,7.111111111111111,104976
Brian Duensing,2016,UFA,MIN,1,0,0,RP,14,0,13.3,13,6,6,3,10,1,0,0,1.2,4.05,BAL,507500,507500,341079,0.0835421888053467,0.02506265664160401,3.3333333333333335,196,0,176.89000000000001,169,36,36,9,100,1,0,0,1.44,16.4025,0.0006281367579349375,11.111111111111112,38416
Fernando Abad,2016,UFA,OAK,1,0,0,RP,57,0,46.7,40,20,19,22,41,1,6,1,1.33,3.66,BOS,507500,507500,174699,0.09754936949797763,0.05234356412086605,1.8636363636363635,3249,0,2180.8900000000003,1600,400,361,484,1681,1,36,1,1.7689000000000001,13.395600000000002,0.0027398487048752155,3.473140495867768,10556001
Christian Friedrich,2016,UFA,COL,1,0,0,SP,24,23,129.3,131,74,69,52,100,5,12,0,1.41,4.8,SD,507500,507500,396539,0.08593280054996992,0.044685056285984355,1.9230769230769231,576,529,16718.49,17161,5476,4761,2704,10000,25,144,0,1.9880999999999998,23.04,0.00199675425528159,3.698224852071006,331776
Jim Henderson,2016,UFA,MIL,1,0,0,RP,44,0,35.0,35,17,17,14,40,2,2,0,1.4,4.37,NYM,507500,507500,507500,0.12698412698412698,0.044444444444444446,2.857142857142857,1936,0,1225.0,1225,289,289,196,1600,4,4,0,1.9599999999999997,19.0969,0.0019753086419753087,8.16326530612245,3748096
Miguel Gonzalez,2016,UFA,BAL,1,0,0,SP,24,23,135.0,132,61,55,35,95,5,8,0,1.24,3.67,CHW,507500,507500,413177,0.07818930041152264,0.02880658436213992,2.7142857142857144,576,529,18225.0,17424,3721,3025,1225,9025,25,64,0,1.5376,13.4689,0.0008298193026130841,7.367346938775511,331776
Dustin McGowan,2016,UFA,PHI,1,0,0,RP,55,0,67.0,49,26,21,33,63,1,3,1,1.22,2.82,MIA,1000000,1000000,1000000,0.1044776119402985,0.05472636815920398,1.9090909090909092,3025,0,4489.0,2401,676,441,1089,3969,1,9,1,1.4884,7.952399999999999,0.002994975371896735,3.6446280991735542,9150625
