Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales,Promedio_victorias
New York Yankees,2,336500000,NYY,33,60,0.55
Washington Nationals,10,316750000,WSH,26,62,0.41935483870967744
Los Angeles Angels,3,260850000,LAA,26,60,0.43333333333333335
Chicago White Sox,5,151500000,CHW,35,60,0.5833333333333334
Cincinnati Reds,4,144825000,CIN,31,59,0.5254237288135594
Philadelphia Phillies,4,134350000,PHI,28,60,0.4666666666666667
Minnesota Twins,7,134000000,MIN,36,60,0.6
Toronto Blue Jays,3,108000000,TOR,32,61,0.5245901639344263
Atlanta Braves,7,95750000,ATL,35,60,0.5833333333333334
Texas Rangers,4,55750000,TEX,22,59,0.3728813559322034
Milwaukee Brewers,9,49875000,MIL,29,60,0.48333333333333334
San Diego Padres,2,43000000,SD,38,61,0.6229508196721312
New York Mets,5,26300000,NYM,26,60,0.43333333333333335
Miami Marlins,6,25350000,MIA,31,60,0.5166666666666667
Arizona Diamondbacks,4,24650000,ARI,25,60,0.4166666666666667
Detroit Tigers,5,19350000,DET,23,57,0.40350877192982454
Boston Red Sox,8,19100000,BOS,24,60,0.4
San Francisco Giants,3,18250000,SF,29,60,0.48333333333333334
Los Angeles Dodgers,4,15813500,LAD,42,59,0.711864406779661
Houston Astros,3,15650000,HOU,29,60,0.48333333333333334
Kansas City Royals,3,7550000,KC,25,59,0.423728813559322
Oakland Athletics,2,7500000,OAK,36,60,0.6
St. Louis Cardinals,2,7000000,STL,30,58,0.5172413793103449
Seattle Mariners,4,6550000,SEA,27,61,0.4426229508196721
Pittsburgh Pirates,3,3900000,PIT,19,59,0.3220338983050847
Baltimore Orioles,2,3800000,BAL,27,62,0.43548387096774194
Chicago Cubs,4,2650000,CHC,32,58,0.5517241379310345
