"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023",""
"","Chad Kuhl","SP","PIT","1.00","0.89","4.72","4.94","2.61","2.39","1.83","4.50","0.28","0.28","0.00","0.08","0.25","0.00","1.76","$0",""
"","Eric Lauer","SP","SD","1.00","1.00","4.87","5.52","2.65","2.35","2.00","4.35","0.26","0.30","0.00","0.07","0.19","0.00","1.30","$5,075,000",""
"","Jonny Venters","RP","ATL","1.00","0.02","0.69","0.52","0.30","0.28","0.32","0.54","0.10","0.04","0.06","0.02","0.07","0.00","1.21","$0",""
"","Marcus Stroman","SP","TOR","1.00","1.00","5.39","6.05","3.58","3.32","1.89","4.05","0.16","0.47","0.00","0.08","0.29","0.00","1.19","$25,000,000",""
"","Junior Guerra","SP","MIL","1.00","0.84","4.55","4.61","2.39","2.06","1.77","4.39","0.19","0.29","0.00","0.05","0.13","0.00","1.13","$0",""
"","Jace Fry","RP","CHW","1.00","0.02","0.87","0.63","0.47","0.42","0.34","1.19","0.03","0.05","0.07","0.02","0.07","0.00","0.90","$0",""
"","Adam Conley","RP","MIA","1.00","0.00","0.97","0.71","0.48","0.44","0.35","0.96","0.06","0.08","0.06","0.02","0.08","0.00","0.87","$0",""
"","Sonny Gray","SP","NYY","1.00","0.77","4.34","4.60","2.43","2.37","1.90","4.10","0.37","0.30","0.00","0.05","0.16","0.00","0.85","$12,700,000",""
"","Bud Norris","RP","STL","1.00","0.00","0.90","0.80","0.42","0.36","0.33","1.05","0.05","0.09","0.44","0.02","0.06","0.00","0.83","$0",""
"","Sergio Romo","RP","TB","1.00","0.07","0.92","0.89","0.42","0.42","0.27","1.03","0.04","0.05","0.34","0.02","0.06","0.00","0.72","$0",""
"","Chris Devenski","RP","HOU","1.00","0.02","0.95","0.84","0.46","0.44","0.26","1.02","0.04","0.06","0.04","0.02","0.08","0.00","0.71","$0",""
"","Joe Jimenez","RP","DET","1.00","0.00","0.91","0.77","0.49","0.43","0.32","1.13","0.09","0.06","0.06","0.02","0.06","0.00","0.71","$2,765,000",""
"","Daniel Winkler","RP","ATL","1.00","0.00","0.87","0.75","0.39","0.33","0.29","1.00","0.06","0.00","0.03","0.02","0.05","0.00","0.70","$0",""
"","Scott Alexander","RP","LAD","1.00","0.01","0.90","0.78","0.38","0.37","0.37","0.77","0.03","0.01","0.04","0.02","0.05","0.00","0.66","$1,150,000",""
"","Archie Bradley","RP","ARI","1.00","0.00","0.94","0.82","0.39","0.38","0.26","0.99","0.05","0.07","0.04","0.02","0.05","0.00","0.66","$0",""
"","Lance Lynn","SP","NYY","1.00","0.94","5.05","5.26","2.81","2.68","2.45","5.19","0.32","0.32","0.00","0.05","0.15","0.00","0.66","$18,500,000",""
"","Ken Giles","RP","TOR","1.00","0.00","0.92","0.98","0.51","0.47","0.13","0.96","0.00","0.05","0.47","0.02","0.08","0.00","0.64","$0",""
"","Drew Steckenrider","RP","MIA","1.00","0.00","0.91","0.77","0.41","0.39","0.38","1.04","0.06","0.06","0.07","0.02","0.05","0.00","0.58","$0",""
"","Alex Colome","RP","SEA","1.00","0.00","0.97","0.84","0.37","0.33","0.30","1.03","0.10","0.07","0.17","0.02","0.04","0.00","0.57","$0",""
"","Dylan Bundy","SP","BAL","1.00","1.00","5.54","6.06","3.74","3.35","1.74","5.94","0.26","0.52","0.00","0.05","0.18","0.00","0.57","$0",""
"","Nick Vincent","RP","SEA","1.00","0.02","0.91","0.81","0.45","0.40","0.24","0.90","0.06","0.06","0.00","0.02","0.06","0.00","0.56","$0",""
"","Jacob Barnes","RP","MIL","1.00","0.00","0.99","1.04","0.49","0.37","0.47","0.96","0.00","0.02","0.04","0.03","0.07","0.00","0.56","$0",""
"","Shane Greene","RP","DET","1.00","0.00","0.95","1.01","0.58","0.54","0.28","0.97","0.07","0.10","0.49","0.02","0.08","0.00","0.55","$0",""
"","Dan Jennings","RP","MIL","1.00","0.01","0.88","0.90","0.37","0.32","0.32","0.62","0.05","0.07","0.01","0.02","0.04","0.00","0.55","$0",""
"","Noe Ramirez","RP","LAA","1.00","0.01","1.21","1.09","0.62","0.61","0.43","1.38","0.10","0.07","0.01","0.02","0.07","0.00","0.52","$0",""
"","Sal Romano","SP","CIN","1.00","0.64","3.74","3.97","2.36","2.21","1.36","2.69","0.21","0.28","0.00","0.04","0.14","0.00","0.51","$0",""
"","Hector Neris","RP","PHI","1.00","0.00","0.90","0.87","0.51","0.51","0.30","1.43","0.02","0.06","0.21","0.02","0.10","0.00","0.50","$8,000,000",""
"","Heath Hembree","RP","BOS","1.00","0.00","0.90","0.79","0.45","0.42","0.40","1.13","0.06","0.01","0.00","0.02","0.06","0.00","0.49","$0",""
"","Hansel Robles","RP","LAA","1.00","0.00","1.06","1.00","0.49","0.43","0.47","1.11","0.04","0.06","0.04","0.03","0.07","0.00","0.48","$0",""
"","Sam Freeman","RP","ATL","1.00","0.00","0.80","0.65","0.41","0.38","0.51","0.92","0.05","0.08","0.00","0.02","0.07","0.00","0.48","$0",""
"","Kyle Barraclough","RP","MIA","1.00","0.00","0.91","0.66","0.44","0.43","0.56","0.98","0.02","0.10","0.16","0.02","0.07","0.00","0.47","$0",""
"","Jorge De La Rosa","RP","CHC","1.00","0.00","0.92","0.84","0.41","0.34","0.44","0.77","0.00","0.03","0.02","0.02","0.06","0.00","0.43","$0",""
"","Joe Kelly","RP","BOS","1.00","0.00","0.90","0.78","0.47","0.44","0.44","0.93","0.05","0.03","0.03","0.02","0.06","0.00","0.42","$9,000,000",""
"","Matt Davidson","DH","CHW","1.00","0.93","0.02","0.01","0.00","0.00","0.01","0.02","0.00","0.00","0.00","0.01","0.00","0.00","0.40","$0",""
"","Cory Gearrin","RP","OAK","1.00","0.00","0.92","0.90","0.39","0.39","0.34","0.85","0.03","0.02","0.02","0.02","0.06","0.00","0.39","$0",""
"","Zach Duke","RP","SEA","1.00","0.00","0.72","0.79","0.39","0.33","0.29","0.71","0.07","0.07","0.00","0.02","0.06","0.00","0.37","$0",""
"","Daniel Descalso","3B","ARI","1.00","0.65","0.02","0.03","0.02","0.02","0.01","0.01","0.00","0.00","0.00","0.01","0.06","0.00","0.36","$0",""
"","Luis Avilan","RP","PHI","1.00","0.00","0.64","0.62","0.31","0.27","0.25","0.72","0.03","0.01","0.03","0.02","0.05","0.00","0.36","$0",""
"","Mike Mayers","RP","STL","1.00","0.00","1.03","1.18","0.56","0.54","0.30","0.98","0.04","0.02","0.02","0.03","0.09","0.00","0.34","$0",""
"","Tanner Scott","RP","BAL","1.00","0.00","1.01","1.04","0.62","0.60","0.53","1.43","0.06","0.06","0.00","0.03","0.10","0.00","0.34","$2,825,000",""
"","Tim Hill","RP","KC","1.00","0.00","0.65","0.66","0.40","0.33","0.20","0.60","0.01","0.06","0.03","0.02","0.06","0.00","0.33","$1,850,000",""
"","Chasen Shreve","RP","STL","1.00","0.00","0.88","0.88","0.47","0.38","0.45","1.03","0.05","0.07","0.02","0.03","0.07","0.00","0.23","$0",""
"","Brad Brach","RP","ATL","1.00","0.00","0.91","1.04","0.46","0.36","0.41","0.87","0.03","0.06","0.17","0.02","0.05","0.00","0.22","$0",""
"","Daniel Stumpf","RP","DET","1.00","0.00","0.68","0.79","0.41","0.38","0.29","0.66","0.02","0.09","0.00","0.03","0.09","0.00","0.17","$0",""
"","Aaron Loup","RP","PHI","1.00","0.00","0.67","0.81","0.39","0.34","0.24","0.75","0.00","0.00","0.00","0.03","0.08","0.00","0.17","$7,500,000",""
"","Brad Ziegler","RP","ARI","1.00","0.00","0.90","0.87","0.41","0.39","0.30","0.61","0.02","0.07","0.12","0.02","0.05","0.00","0.13","$0",""
"","Deck McGuire","SP","LAA","1.00","0.19","1.81","1.81","1.33","1.24","1.24","1.57","0.00","0.10","0.00","0.08","0.29","0.00","0.12","$0",""
"","Jerry Blevins","RP","NYM","1.00","0.02","0.66","0.55","0.37","0.35","0.34","0.63","0.06","0.03","0.02","0.02","0.07","0.00","0.11","$0",""
"","Greg Garcia","2B","STL","1.00","0.30","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.06","$0",""
"","Tommy La Stella","3B","CHC","1.00","0.19","0.01","0.02","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.02","0.05","0.00","0.05","$720,000",""
"","Addison Reed","RP","MIN","1.00","0.00","1.02","1.18","0.55","0.51","0.27","0.80","0.02","0.11","0.00","0.03","0.08","0.00","0.05","$0",""
"","Jose Reyes","3B","NYM","1.00","0.44","0.01","0.05","0.05","0.05","0.02","0.00","0.00","0.00","0.00","0.06","0.49","0.00","0.04","$0",""
"","Scott Kingery","SS","PHI","1.00","0.79","0.01","0.03","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.02","0.09","0.00","0.04","$0",""
"","Peter Moylan","RP","ATL","1.00","0.00","0.73","0.82","0.36","0.36","0.46","0.59","0.00","0.03","0.00","0.05","0.11","0.00","0.00","$0",""
"","Mark Reynolds","3B","WSH","1.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","$0",""
"","Matt Belisle","RP","MIN","1.00","0.00","1.04","1.48","0.97","0.91","0.33","0.76","0.03","0.03","0.00","0.05","0.24","0.00","0.00","$0",""
"","Pablo Sandoval","3B","SF","1.00","0.59","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","$0",""
"","Mark Melancon","RP","SF","1.00","0.00","0.95","1.17","0.44","0.34","0.34","0.76","0.02","0.10","0.07","0.04","0.08","0.00","0.00","$6,000,000",""
"","Alex Avila","C","ARI","1.00","0.70","0.02","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","$0",""
"","Andrew Romine","SS","SEA","1.00","0.39","0.04","0.07","0.07","0.07","0.03","0.00","0.00","0.00","0.00","0.03","0.20","0.00","0.00","$0",""
"","Ryan Cook","RP","SEA","1.00","0.00","0.89","0.79","0.53","0.53","0.37","1.21","0.11","0.05","0.00","0.07","0.28","0.00","0.00","$0",""
"","Chris Gimenez","C","MIN","1.00","0.72","0.08","0.32","0.32","0.32","0.04","0.08","0.00","0.00","0.00","0.18","1.44","0.00","0.00","$0",""
"","Erik Kratz","C","MIL","1.00","0.81","0.04","0.04","0.03","0.01","0.01","0.03","0.00","0.00","0.00","0.02","0.04","0.00","0.00","$0",""
"","Chase d'Arnaud","3B","SF","1.00","0.48","0.02","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","$0",""
"","Tyler Thornburg","RP","BOS","1.00","0.00","0.96","1.12","0.60","0.60","0.40","0.84","0.08","0.00","0.00","0.06","0.23","0.00","0.00","$0",""
"","Bryan Holaday","C","MIA","1.00","0.61","0.03","0.07","0.05","0.05","0.00","0.02","0.00","0.00","0.00","0.03","0.22","0.00","0.00","$0",""
"","Robbie Erlin","RP","SD","1.00","0.30","2.73","2.80","1.43","1.28","0.30","2.20","0.10","0.18","0.00","0.03","0.11","0.00","0.00","$0",""
"","Mike Wright","RP","BAL","1.00","0.04","1.76","2.10","1.15","1.08","0.75","1.54","0.08","0.04","0.00","0.03","0.12","0.00","0.00","$0",""
"","Zac Rosscup","RP","LAD","1.00","0.00","0.67","0.53","0.35","0.35","0.24","1.18","0.00","0.06","0.00","0.07","0.28","0.00","0.00","$0",""
"","Jake Petricka","RP","TOR","1.00","0.00","1.11","1.44","0.68","0.56","0.39","1.00","0.07","0.02","0.00","0.04","0.11","0.00","0.00","$0",""
"","Ryan LaMarre","CF","CHW","1.00","0.62","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.02","0.18","0.00","0.00","$0",""
"","Eddie Butler","RP","TEX","1.00","0.00","1.66","1.97","1.13","1.03","0.63","0.97","0.07","0.10","0.07","0.05","0.19","0.00","0.00","$0",""
"","Dominic Leone","RP","STL","1.00","0.00","0.80","0.90","0.40","0.40","0.27","0.87","0.03","0.07","0.00","0.05","0.15","0.00","0.00","$0",""
"","Jesus Sucre","C","TB","1.00","0.71","0.01","0.05","0.03","0.03","0.00","0.00","0.00","0.00","0.00","0.05","0.25","0.00","0.00","$0",""
"","Jace Peterson","2B","BAL","1.00","0.58","0.01","0.06","0.04","0.04","0.00","0.01","0.00","0.00","0.00","0.06","0.38","0.00","0.00","$4,500,000",""
"","Luke Jackson","RP","ATL","1.00","0.00","1.16","1.17","0.63","0.57","0.60","1.31","0.03","0.06","0.03","0.04","0.13","0.00","0.00","$3,000,000",""
"","Alex Blandino","SS","CIN","1.00","0.38","0.01","0.01","0.00","0.00","0.00","0.03","0.00","0.00","0.00","0.01","0.00","0.00","0.00","$0",""
"","Daniel Gossett","SP","OAK","1.00","1.00","4.87","5.00","2.80","2.80","1.60","2.40","0.00","0.60","0.00","0.27","1.04","0.00","0.00","$0",""
"","Tyler Glasnow","RP","TB","1.00","0.24","2.48","1.98","1.22","1.18","1.18","3.02","0.04","0.16","0.00","0.03","0.09","0.00","0.00","$5,350,000",""
"","Andrew Triggs","SP","OAK","1.00","1.00","4.59","4.11","2.67","2.67","2.00","4.78","0.33","0.11","0.00","0.15","0.58","0.00","0.00","$0",""
"","Jarlin Garcia","RP","MIA","1.00","0.24","2.28","2.03","1.28","1.24","0.97","1.38","0.10","0.10","0.00","0.05","0.17","0.00","0.00","$2,500,000",""
"","Randy Rosario","RP","CHC","1.00","0.00","1.06","1.07","0.50","0.43","0.50","0.68","0.09","0.00","0.02","0.03","0.08","0.00","0.00","$0",""
"","Francisco Arcia","C","LAA","1.00","0.63","0.07","0.12","0.07","0.07","0.00","0.00","0.00","0.00","0.00","0.04","0.22","0.00","0.00","$0",""
