"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023",""
"","Daniel Hudson","RP/CL","WSH","1.00","0.00","0.98","0.71","0.71","0.67","0.52","1.33","0.14","0.10","0.48","0.06","0.29","0.00","3.30","$6,500,000",""
"","Mike Minor","SP","OAK","1.00","0.92","4.72","4.17","3.00","2.92","1.67","5.17","0.08","0.50","0.00","0.10","0.46","0.00","2.83","$0",""
"","Emilio Pagan","RP","SD","1.00","0.00","1.00","0.64","0.50","0.50","0.41","1.05","0.00","0.05","0.09","0.05","0.20","0.00","2.35","$3,500,000",""
"","Hector Neris","RP","PHI","1.00","0.00","0.90","1.00","0.63","0.46","0.54","1.13","0.08","0.08","0.21","0.07","0.19","0.00","2.29","$8,000,000",""
"","Ty Buttrey","RP","LAA","1.00","0.00","0.98","1.04","0.67","0.63","0.33","0.67","0.07","0.11","0.19","0.05","0.22","0.00","2.26","$0",""
"","Geoff Hartlieb","RP","PIT","1.00","0.00","1.06","0.76","0.52","0.43","0.90","0.90","0.05","0.00","0.00","0.07","0.17","0.00","2.11","$0",""
"","Trevor May","RP/CL","MIN","1.00","0.00","0.97","0.83","0.46","0.42","0.29","1.58","0.04","0.00","0.08","0.05","0.16","0.00","2.08","$7,000,000",""
"","Sergio Romo","RP","MIN","1.00","0.00","0.83","0.67","0.38","0.38","0.29","0.96","0.04","0.08","0.21","0.05","0.17","0.00","1.94","$0",""
"","Pedro Baez","RP","LAD","1.00","0.00","0.94","0.56","0.44","0.33","0.39","0.72","0.00","0.00","0.11","0.06","0.18","0.00","1.92","$0",""
"","Tim Hill","RP","SD","1.00","0.00","0.78","0.74","0.39","0.39","0.26","0.87","0.13","0.00","0.00","0.06","0.20","0.00","1.75","$1,850,000",""
"","Jake Newberry","RP","KC","1.00","0.00","1.10","1.00","0.60","0.50","0.60","1.20","0.05","0.00","0.05","0.07","0.20","0.00","1.48","$0",""
"","Jacob Barnes","RP","LAA","1.00","0.00","1.00","1.06","0.72","0.61","0.22","1.33","0.00","0.11","0.00","0.07","0.31","0.00","1.21","$0",""
"","Shohei Ohtani","DH","LAA","1.00","0.91","0.04","0.07","0.15","0.15","0.17","0.07","0.00","0.02","0.00","0.14","0.82","0.00","0.94","$30,000,000",""
"","Austin Brice","RP","BOS","1.00","0.05","0.94","0.81","0.62","0.62","0.62","1.19","0.05","0.00","0.00","0.07","0.28","0.00","0.62","$0",""
"","Orlando Arcia","SS","MIL","1.00","0.85","0.03","0.07","0.07","0.07","0.02","0.00","0.00","0.00","0.00","0.04","0.31","0.00","0.56","$1,300,000",""
"","Brooks Raley","RP","HOU","1.00","0.00","0.95","0.62","0.57","0.52","0.29","1.29","0.00","0.05","0.05","0.05","0.24","0.00","0.38","$4,500,000",""
"","Brandon Workman","RP","PHI","1.00","0.00","0.94","1.48","0.67","0.62","0.62","1.10","0.05","0.19","0.43","0.11","0.28","0.00","0.36","$0",""
"","Ehire Adrianza","SS","MIN","1.00","0.52","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00","0.02","0.20","0.00","0.20","$0",""
"","Heath Hembree","RP","PHI","1.00","0.00","0.86","1.18","0.86","0.86","0.36","0.91","0.14","0.00","0.00","0.08","0.41","0.00","0.07","$0",""
"","Sean Doolittle","RP","WSH","1.00","0.00","0.70","0.82","0.55","0.45","0.36","0.55","0.00","0.18","0.00","0.15","0.53","0.00","0.00","$0",""
"","Brad Brach","RP","NYM","1.00","0.00","0.88","0.57","0.57","0.57","1.00","1.00","0.07","0.00","0.00","0.13","0.42","0.00","0.00","$0",""
"","Jose Quintana","RP","CHC","1.00","0.25","2.50","2.50","1.25","1.25","0.75","3.00","0.00","0.00","0.00","0.32","1.13","0.00","0.00","$13,000,000",""
"","Rafael Montero","RP","TEX","1.00","0.00","1.04","0.71","0.65","0.47","0.35","1.12","0.00","0.06","0.47","0.06","0.24","0.00","0.00","$11,500,000",""
"","Adam Morgan","RP","PHI","1.00","0.00","0.76","0.82","0.47","0.47","0.35","0.94","0.00","0.06","0.00","0.09","0.33","0.00","0.00","$0",""
"","Keone Kela","RP","PIT","1.00","0.00","0.67","1.00","0.33","0.33","0.33","1.00","0.00","0.00","0.00","0.67","1.50","0.00","0.00","$0",""
"","Cody Reed","RP","TB","1.00","0.00","1.09","1.00","0.55","0.55","0.73","1.09","0.00","0.09","0.00","0.14","0.41","0.00","0.00","$0",""
"","Jose Leclerc","RP/CL","TEX","1.00","0.00","1.00","1.00","0.50","0.50","1.00","1.50","0.00","0.00","0.50","1.00","2.25","0.00","0.00","$6,000,000",""
"","Hunter Harvey","RP","BAL","1.00","0.00","0.87","0.80","0.60","0.40","0.20","0.60","0.00","0.20","0.00","0.12","0.42","0.00","0.00","$870,000",""
"","Blake Cederlind","RP","PIT","1.00","0.00","0.80","0.60","0.40","0.40","0.20","0.80","0.00","0.00","0.00","0.20","0.90","0.00","0.00","$0",""
"","Adrian Morejon","RP","SD","1.00","0.44","2.15","2.22","1.22","1.11","0.44","2.78","0.22","0.22","0.00","0.14","0.52","0.00","0.00","$800,000",""
"","Keynan Middleton","RP","LAA","1.00","0.00","0.92","0.92","0.62","0.54","0.46","0.85","0.00","0.08","0.00","0.12","0.40","0.00","0.00","$0",""
"","Giovanny Gallegos","RP","STL","1.00","0.00","0.94","0.56","0.38","0.38","0.25","1.31","0.13","0.13","0.25","0.05","0.23","0.00","0.00","$4,500,000",""
"","Seth Elledge","RP","STL","1.00","0.00","0.97","0.92","0.50","0.50","0.67","1.17","0.08","0.00","0.00","0.14","0.39","0.00","0.00","$0",""
"","Jason Adam","RP","CHC","1.00","0.00","1.05","0.69","0.54","0.38","0.62","1.62","0.15","0.08","0.00","0.10","0.25","0.00","0.00","$1,775,000",""
"","Joey Gerber","RP","SEA","1.00","0.00","0.92","0.76","0.47","0.41","0.29","0.35","0.06","0.06","0.00","0.07","0.24","0.00","0.00","$0",""
"","Brady Lail","RP","SEA","1.00","0.00","2.04","1.75","1.00","1.00","0.88","1.50","0.00","0.00","0.00","0.16","0.55","0.00","0.00","$0",""
"","Rico Garcia","RP","SF","1.00","0.00","0.83","1.08","0.50","0.50","0.33","0.58","0.08","0.08","0.00","0.14","0.45","0.00","0.00","$0",""
