"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023",""
"","Nate Jones","RP","CHW","1.00","0.00","1.11","0.97","0.57","0.50","0.37","1.27","0.06","0.07","0.00","0.02","0.06","0.00","0.68","$0",""
"","Edinson Volquez","SP","LAD","1.00","0.97","5.16","5.85","3.45","3.27","2.33","4.30","0.27","0.36","0.00","0.05","0.17","0.00","0.65","$0",""
"","Jose Veras","RP","DET","1.00","0.00","0.94","0.66","0.34","0.31","0.33","0.90","0.00","0.07","0.31","0.02","0.05","0.00","0.58","$0",""
"","Dallas Keuchel","SP","HOU","1.00","0.67","4.66","5.58","2.91","2.67","1.58","3.73","0.18","0.30","0.00","0.05","0.16","0.00","0.53","$0",""
"","Scott Rice","RP","NYM","1.00","0.00","0.70","0.58","0.30","0.29","0.37","0.56","0.05","0.07","0.00","0.02","0.05","0.00","0.52","$0",""
"","Charlie Furbush","RP","SEA","1.00","0.00","0.92","0.68","0.46","0.38","0.41","1.13","0.03","0.08","0.00","0.02","0.05","0.00","0.39","$0",""
"","Dan Haren","SP","WSH","1.00","0.97","5.47","5.77","2.97","2.84","1.00","4.87","0.32","0.45","0.03","0.04","0.15","0.00","0.38","$0",""
"","Logan Ondrusek","RP","CIN","1.00","0.00","1.06","1.02","0.50","0.48","0.31","1.02","0.06","0.02","0.00","0.02","0.08","0.00","0.38","$0",""
"","Jake McGee","RP","TB","1.00","0.00","0.88","0.73","0.39","0.39","0.31","1.06","0.07","0.04","0.01","0.02","0.06","0.00","0.35","$0",""
"","Tim Collins","RP","KC","1.00","0.00","0.81","0.74","0.39","0.32","0.42","0.79","0.05","0.09","0.00","0.02","0.05","0.00","0.35","$0",""
"","Kelvin Herrera","RP","KC","1.00","0.00","0.99","0.81","0.46","0.42","0.36","1.25","0.08","0.12","0.03","0.02","0.07","0.00","0.31","$0",""
"","Joe Thatcher","RP","ARI","1.00","0.00","0.55","0.56","0.19","0.19","0.14","0.50","0.04","0.03","0.00","0.02","0.04","0.00","0.26","$0",""
"","Scott Downs","RP","ATL","1.00","0.00","0.64","0.66","0.19","0.18","0.28","0.54","0.06","0.06","0.00","0.02","0.04","0.00","0.25","$0",""
"","Donnie Veal","RP","CHW","1.00","0.00","0.59","0.52","0.32","0.30","0.32","0.58","0.04","0.06","0.00","0.03","0.09","0.00","0.25","$0",""
"","Alberto Alburquerque","RP","DET","1.00","0.00","0.92","0.74","0.47","0.47","0.64","1.32","0.08","0.06","0.00","0.03","0.09","0.00","0.21","$0",""
"","Shawn Kelley","RP","NYY","1.00","0.00","0.94","0.81","0.49","0.46","0.40","1.25","0.07","0.04","0.00","0.02","0.08","0.00","0.20","$0",""
"","Joel Peralta","RP","TB","1.00","0.00","0.89","0.59","0.39","0.34","0.43","0.93","0.04","0.10","0.01","0.01","0.04","0.00","0.17","$0",""
"","Phil Coke","RP","DET","1.00","0.00","0.78","0.88","0.49","0.47","0.43","0.61","0.00","0.10","0.02","0.03","0.11","0.00","0.15","$0",""
"","C.C. Sabathia","SP","NYY","1.00","1.00","6.59","7.00","3.81","3.50","2.03","5.47","0.44","0.41","0.00","0.04","0.15","0.00","0.13","$0",""
"","Matt Thornton","RP","BOS","1.00","0.00","0.72","0.78","0.32","0.29","0.22","0.51","0.00","0.05","0.00","0.02","0.06","0.00","0.10","$0",""
"","David Murphy","DH","TEX","1.00","0.80","0.01","0.01","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.01","0.00","0.00","0.07","$0",""
"","Sam Fuld","CF","TB","1.00","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","$0",""
"","Heath Bell","RP","ARI","1.00","0.00","0.95","1.07","0.43","0.43","0.23","1.04","0.07","0.03","0.22","0.02","0.06","0.00","0.02","$0",""
"","Daisuke Matsuzaka","SP","NYM","1.00","1.00","5.52","4.57","3.00","2.71","2.29","4.71","0.43","0.43","0.00","0.18","0.63","","0.00","$0",""
"","Gavin Floyd","RP","CHW","1.00","1.00","4.87","5.40","3.00","2.80","2.40","5.00","0.00","0.80","0.00","0.32","1.04","0.00","0.00","$0",""
"","Jeremy Affeldt","RP","SF","1.00","0.00","0.86","0.69","0.36","0.36","0.44","0.54","0.03","0.13","0.00","0.03","0.10","0.00","0.00","$0",""
"","Roberto Hernandez","RP","TB","1.00","0.75","4.72","5.13","2.72","2.56","1.19","3.53","0.19","0.41","0.03","0.04","0.15","","0.00","$0",""
"","Franklin Morales","RP","BOS","1.00","0.05","1.27","1.20","0.65","0.65","0.75","1.05","0.10","0.10","0.00","0.08","0.23","0.00","0.00","$0",""
"","Josh Johnson","SP","TOR","1.00","1.00","5.08","6.56","4.00","3.50","1.88","5.19","0.13","0.50","0.00","0.10","0.39","","0.00","$0",""
"","Wandy Rodriguez","RP","PIT","1.00","0.92","4.82","4.46","2.00","1.92","0.92","3.54","0.46","0.31","0.00","0.09","0.28","","0.00","$0",""
"","Francisco Rodriguez","RP","BAL","1.00","0.00","0.97","0.88","0.29","0.29","0.29","1.13","0.06","0.04","0.21","0.03","0.06","0.00","0.00","$0",""
